for |S1000 in [for, in]^
they |S1000 one [they, one]^
are |S1000 that [are, that]^
was |S1000 are [was, are]^
one |S1000 are [one, are]^
one |S1000 of [one, of]^
that |S1000 they [that, they]^
in |S1000 one [in, one]^
his |S1000 they [his, they]^
one |S1000 of [one, of]^
his |S1000 be [his, be]^
that |S1000 one [that, one]^
in |S1000 that [in, that]^
the |S1000 one [the, one]^
on |S1000 was [on, was]^
in |S1000 a [in, a]^
in |S1000 one [in, one]^
are |S1000 one [are, one]^
as |S1000 one [as, one]^
with |S1000 one [with, one]^
they |S1000 be [they, be]^
with |S1000 was [with, was]^
he |S1000 one [he, one]^
the |S1000 one [the, one]^
that |S1000 on [that, on]^
his |S1000 one [his, one]^
his |S1000 one [his, one]^
on |S1000 was [on, was]^
and |S1000 was [and, was]^
a |S1000 his [a, his]^
one |S1000 his [one, his]^
as |S1000 one [as, one]^
as |S1000 one [as, one]^
on |S1000 one [on, one]^
on |S1000 one [on, one]^
his |S1000 in [his, in]^
his |S1000 that [his, that]^
one |S1000 his [one, his]^
be |S1000 that [be, that]^
was |S1000 that [was, that]^
are |S1000 a [are, a]^
one |S1000 as [one, as]^
at |S1000 and [at, and]^
his |S1000 one [his, one]^
in |S1000 was [in, was]^
one |S1000 be [one, be]^
they |S1000 one [they, one]^
for |S1000 one [for, one]^
with |S1000 one [with, one]^
that |S1000 as [that, as]^
was |S1000 of [was, of]^
he |S1000 they [he, they]^
was |S1000 one [was, one]^
and |S1000 one [and, one]^
was |S1000 one [was, one]^
a |S1000 one [a, one]^
that |S1000 of [that, of]^
was |S1000 for [was, for]^
one |S1000 the [one, the]^
his |S1000 a [his, a]^
one |S1000 on [one, on]^
one |S1000 his [one, his]^
at |S1000 one [at, one]^
his |S1000 they [his, they]^
the |S1000 i [the, i]^
one |S1000 in [one, in]^
are |S1000 on [are, on]^
one |S1000 his [one, his]^
at |S1000 are [at, are]^
one |S1000 be [one, be]^
one |S1000 of [one, of]^
one |S1000 at [one, at]^
his |S1000 be [his, be]^
as |S1000 one [as, one]^
for |S1000 a [for, a]^
was |S1000 one [was, one]^
a |S1000 he [a, he]^
they |S1000 in [they, in]^
was |S1000 with [was, with]^
be |S1000 at [be, at]^
that |S1000 of [that, of]^
one |S1000 of [one, of]^
one |S1000 they [one, they]^
a |S1000 at [a, at]^
one |S1000 i [one, i]^
be |S1000 on [be, on]^
a |S1000 one [a, one]^
that |S1000 one [that, one]^
the |S1000 as [the, as]^
one |S1000 as [one, as]^
one |S1000 are [one, are]^
one |S1000 i [one, i]^
be |S1000 one [be, one]^
i |S1000 and [i, and]^
that |S1000 one [that, one]^
he |S1000 they [he, they]^
on |S1000 they [on, they]^
on |S1000 the [on, the]^
as |S1000 a [as, a]^
be |S1000 one [be, one]^
on |S1000 he [on, he]^
be |S1000 on [be, on]^
one |S1000 in [one, in]^
with |S1000 are [with, are]^
i |S1000 for [i, for]^
of |S1000 that [of, that]^
a |S1000 that [a, that]^
as |S1000 they [as, they]^
the |S1000 one [the, one]^
with |S1000 one [with, one]^
on |S1000 are [on, are]^
and |S1000 one [and, one]^
i |S1000 the [i, the]^
of |S1000 one [of, one]^
at |S1000 one [at, one]^
a |S1000 one [a, one]^
the |S1000 one [the, one]^
on |S1000 one [on, one]^
and |S1000 in [and, in]^
that |S1000 a [that, a]^
one |S1000 was [one, was]^
one |S1000 the [one, the]^
he |S1000 one [he, one]^
as |S1000 i [as, i]^
with |S1000 one [with, one]^
the |S1000 one [the, one]^
for |S1000 one [for, one]^
the |S1000 one [the, one]^
with |S1000 on [with, on]^
one |S1000 the [one, the]^
his |S1000 a [his, a]^
one |S1000 at [one, at]^
of |S1000 one [of, one]^
the |S1000 one [the, one]^
the |S1000 and [the, and]^
one |S1000 as [one, as]^
with |S1000 one [with, one]^
that |S1000 one [that, one]^
in |S1000 on [in, on]^
be |S1000 at [be, at]^
one |S1000 was [one, was]^
at |S1000 a [at, a]^
he |S1000 the [he, the]^
are |S1000 one [are, one]^
i |S1000 one [i, one]^
was |S1000 a [was, a]^
one |S1000 and [one, and]^
one |S1000 be [one, be]^
for |S1000 they [for, they]^
one |S1000 in [one, in]^
one |S1000 with [one, with]^
on |S1000 the [on, the]^
in |S1000 are [in, are]^
was |S1000 one [was, one]^
in |S1000 for [in, for]^
the |S1000 one [the, one]^
the |S1000 of [the, of]^
one |S1000 are [one, are]^
one |S1000 they [one, they]^
one |S1000 he [one, he]^
was |S1000 one [was, one]^
a |S1000 they [a, they]^
one |S1000 and [one, and]^
on |S1000 one [on, one]^
be |S1000 one [be, one]^
in |S1000 of [in, of]^
and |S1000 one [and, one]^
they |S1000 be [they, be]^
one |S1000 was [one, was]^
his |S1000 one [his, one]^
and |S1000 one [and, one]^
of |S1000 the [of, the]^
one |S1000 at [one, at]^
that |S1000 one [that, one]^
they |S1000 one [they, one]^
his |S1000 for [his, for]^
one |S1000 was [one, was]^
of |S1000 for [of, for]^
they |S1000 in [they, in]^
one |S1000 as [one, as]^
in |S1000 i [in, i]^
one |S1000 the [one, the]^
i |S1000 one [i, one]^
they |S1000 one [they, one]^
he |S1000 i [he, i]^
one |S1000 i [one, i]^
that |S1000 was [that, was]^
a |S1000 i [a, i]^
they |S1000 of [they, of]^
his |S1000 and [his, and]^
one |S1000 of [one, of]^
as |S1000 on [as, on]^
in |S1000 for [in, for]^
are |S1000 one [are, one]^
his |S1000 they [his, they]^
one |S1000 he [one, he]^
the |S1000 of [the, of]^
are |S1000 one [are, one]^
of |S1000 one [of, one]^
be |S1000 for [be, for]^
a |S1000 one [a, one]^
in |S1000 one [in, one]^
that |S1000 one [that, one]^
his |S1000 i [his, i]^
in |S1000 one [in, one]^
for |S1000 as [for, as]^
for |S1000 one [for, one]^
a |S1000 one [a, one]^
that |S1000 the [that, the]^
that |S1000 they [that, they]^
one |S1000 in [one, in]^
one |S1000 his [one, his]^
with |S1000 a [with, a]^
in |S1000 one [in, one]^
on |S1000 with [on, with]^
one |S1000 with [one, with]^
i |S1000 a [i, a]^
one |S1000 a [one, a]^
one |S1000 was [one, was]^
of |S1000 and [of, and]^
the |S1000 one [the, one]^
for |S1000 one [for, one]^
on |S1000 one [on, one]^
as |S1000 of [as, of]^
his |S1000 in [his, in]^
one |S1000 his [one, his]^
at |S1000 in [at, in]^
one |S1000 was [one, was]^
one |S1000 for [one, for]^
they |S1000 of [they, of]^
one |S1000 and [one, and]^
that |S1000 i [that, i]^
one |S1000 with [one, with]^
one |S1000 he [one, he]^
the |S1000 i [the, i]^
one |S1000 on [one, on]^
with |S1000 he [with, he]^
one |S1000 at [one, at]^
one |S1000 at [one, at]^
are |S1000 they [are, they]^
one |S1000 he [one, he]^
was |S1000 one [was, one]^
at |S1000 one [at, one]^
i |S1000 they [i, they]^
one |S1000 are [one, are]^
at |S1000 one [at, one]^
and |S1000 one [and, one]^
they |S1000 he [they, he]^
one |S1000 his [one, his]^
one |S1000 of [one, of]^
and |S1000 one [and, one]^
was |S1000 one [was, one]^
are |S1000 the [are, the]^
one |S1000 of [one, of]^
in |S1000 one [in, one]^
at |S1000 in [at, in]^
that |S1000 for [that, for]^
that |S1000 was [that, was]^
one |S1000 he [one, he]^
one |S1000 they [one, they]^
i |S1000 one [i, one]^
i |S1000 one [i, one]^
the |S1000 one [the, one]^
with |S1000 of [with, of]^
one |S1000 was [one, was]^
one |S1000 of [one, of]^
was |S1000 the [was, the]^
one |S1000 was [one, was]^
on |S1000 they [on, they]^
with |S1000 as [with, as]^
one |S1000 be [one, be]^
they |S1000 one [they, one]^
for |S1000 i [for, i]^
on |S1000 one [on, one]^
of |S1000 one [of, one]^
on |S1000 one [on, one]^
in |S1000 one [in, one]^
of |S1000 the [of, the]^
one |S1000 at [one, at]^
one |S1000 with [one, with]^
one |S1000 that [one, that]^
one |S1000 a [one, a]^
with |S1000 are [with, are]^
a |S1000 at [a, at]^
one |S1000 he [one, he]^
of |S1000 one [of, one]^
his |S1000 was [his, was]^
one |S1000 a [one, a]^
i |S1000 he [i, he]^
are |S1000 one [are, one]^
are |S1000 i [are, i]^
on |S1000 one [on, one]^
he |S1000 for [he, for]^
the |S1000 of [the, of]^
one |S1000 at [one, at]^
in |S1000 one [in, one]^
as |S1000 for [as, for]^
one |S1000 a [one, a]^
be |S1000 one [be, one]^
that |S1000 he [that, he]^
one |S1000 i [one, i]^
one |S1000 are [one, are]^
he |S1000 of [he, of]^
he |S1000 on [he, on]^
was |S1000 the [was, the]^
be |S1000 as [be, as]^
one |S1000 the [one, the]^
one |S1000 at [one, at]^
one |S1000 be [one, be]^
one |S1000 with [one, with]^
be |S1000 one [be, one]^
be |S1000 a [be, a]^
the |S1000 for [the, for]^
