second |S1000 second |S1000 second [second|second]^
car |S1000 car |S1000 car [car|car]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
began |S1000 began |S1000 began [began|began]^
rain |S1000 rain |S1000 rain [rain|rain]^
began |S1000 began |S1000 began [began|began]^
eat |S1000 eat |S1000 eat [eat|eat]^
began |S1000 began |S1000 began [began|began]^
care |S1000 care |S1000 care [care|care]^
room |S1000 room |S1000 room [room|room]^
began |S1000 began |S1000 began [began|began]^
second |S1000 second |S1000 second [second|second]^
carry |S1000 carry |S1000 carry [carry|carry]^
took |S1000 took |S1000 took [took|took]^
began |S1000 began |S1000 began [began|began]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
began |S1000 began |S1000 began [began|began]^
rain |S1000 rain |S1000 rain [rain|rain]^
began |S1000 began |S1000 began [began|began]^
care |S1000 care |S1000 care [care|care]^
took |S1000 took |S1000 took [took|took]^
group |S1000 group |S1000 group [group|group]^
eat |S1000 eat |S1000 eat [eat|eat]^
began |S1000 began |S1000 began [began|began]^
friend |S1000 friend |S1000 friend [friend|friend]^
feet |S1000 feet |S1000 feet [feet|feet]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
second |S1000 second |S1000 second [second|second]^
carry |S1000 carry |S1000 carry [carry|carry]^
car |S1000 car |S1000 car [car|car]^
rain |S1000 rain |S1000 rain [rain|rain]^
began |S1000 began |S1000 began [began|began]^
care |S1000 care |S1000 care [care|care]^
began |S1000 began |S1000 began [began|began]^
car |S1000 car |S1000 car [car|car]^
room |S1000 room |S1000 room [room|room]^
friend |S1000 friend |S1000 friend [friend|friend]^
began |S1000 began |S1000 began [began|began]^
care |S1000 care |S1000 care [care|care]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
began |S1000 began |S1000 began [began|began]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
room |S1000 room |S1000 room [room|room]^
second |S1000 second |S1000 second [second|second]^
began |S1000 began |S1000 began [began|began]^
group |S1000 group |S1000 group [group|group]^
room |S1000 room |S1000 room [room|room]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
room |S1000 room |S1000 room [room|room]^
took |S1000 took |S1000 took [took|took]^
care |S1000 care |S1000 care [care|care]^
began |S1000 began |S1000 began [began|began]^
second |S1000 second |S1000 second [second|second]^
care |S1000 care |S1000 care [care|care]^
began |S1000 began |S1000 began [began|began]^
eat |S1000 eat |S1000 eat [eat|eat]^
care |S1000 care |S1000 care [care|care]^
room |S1000 room |S1000 room [room|room]^
began |S1000 began |S1000 began [began|began]^
group |S1000 group |S1000 group [group|group]^
began |S1000 began |S1000 began [began|began]^
room |S1000 room |S1000 room [room|room]^
carry |S1000 carry |S1000 carry [carry|carry]^
eat |S1000 eat |S1000 eat [eat|eat]^
room |S1000 room |S1000 room [room|room]^
began |S1000 began |S1000 began [began|began]^
care |S1000 care |S1000 care [care|care]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
room |S1000 room |S1000 room [room|room]^
group |S1000 group |S1000 group [group|group]^
began |S1000 began |S1000 began [began|began]^
group |S1000 group |S1000 group [group|group]^
began |S1000 began |S1000 began [began|began]^
group |S1000 group |S1000 group [group|group]^
friend |S1000 friend |S1000 friend [friend|friend]^
began |S1000 began |S1000 began [began|began]^
rain |S1000 rain |S1000 rain [rain|rain]^
second |S1000 second |S1000 second [second|second]^
rain |S1000 rain |S1000 rain [rain|rain]^
began |S1000 began |S1000 began [began|began]^
eat |S1000 eat |S1000 eat [eat|eat]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
rain |S1000 rain |S1000 rain [rain|rain]^
began |S1000 began |S1000 began [began|began]^
care |S1000 care |S1000 care [care|care]^
began |S1000 began |S1000 began [began|began]^
friend |S1000 friend |S1000 friend [friend|friend]^
took |S1000 took |S1000 took [took|took]^
feet |S1000 feet |S1000 feet [feet|feet]^
group |S1000 group |S1000 group [group|group]^
began |S1000 began |S1000 began [began|began]^
room |S1000 room |S1000 room [room|room]^
second |S1000 second |S1000 second [second|second]^
took |S1000 took |S1000 took [took|took]^
second |S1000 second |S1000 second [second|second]^
group |S1000 group |S1000 group [group|group]^
began |S1000 began |S1000 began [began|began]^
took |S1000 took |S1000 took [took|took]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
took |S1000 took |S1000 took [took|took]^
began |S1000 began |S1000 began [began|began]^
group |S1000 group |S1000 group [group|group]^
began |S1000 began |S1000 began [began|began]^
room |S1000 room |S1000 room [room|room]^
began |S1000 began |S1000 began [began|began]^
care |S1000 care |S1000 care [care|care]^
began |S1000 began |S1000 began [began|began]^
second |S1000 second |S1000 second [second|second]^
began |S1000 began |S1000 began [began|began]^
rain |S1000 rain |S1000 rain [rain|rain]^
began |S1000 began |S1000 began [began|began]^
room |S1000 room |S1000 room [room|room]^
car |S1000 car |S1000 car [car|car]^
began |S1000 began |S1000 began [began|began]^
group |S1000 group |S1000 group [group|group]^
began |S1000 began |S1000 began [began|began]^
rain |S1000 rain |S1000 rain [rain|rain]^
took |S1000 took |S1000 took [took|took]^
carry |S1000 carry |S1000 carry [carry|carry]^
friend |S1000 friend |S1000 friend [friend|friend]^
began |S1000 began |S1000 began [began|began]^
friend |S1000 friend |S1000 friend [friend|friend]^
began |S1000 began |S1000 began [began|began]^
second |S1000 second |S1000 second [second|second]^
began |S1000 began |S1000 began [began|began]^
group |S1000 group |S1000 group [group|group]^
feet |S1000 feet |S1000 feet [feet|feet]^
friend |S1000 friend |S1000 friend [friend|friend]^
eat |S1000 eat |S1000 eat [eat|eat]^
began |S1000 began |S1000 began [began|began]^
took |S1000 took |S1000 took [took|took]^
began |S1000 began |S1000 began [began|began]^
car |S1000 car |S1000 car [car|car]^
began |S1000 began |S1000 began [began|began]^
care |S1000 care |S1000 care [care|care]^
group |S1000 group |S1000 group [group|group]^
began |S1000 began |S1000 began [began|began]^
took |S1000 took |S1000 took [took|took]^
began |S1000 began |S1000 began [began|began]^
took |S1000 took |S1000 took [took|took]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
car |S1000 car |S1000 car [car|car]^
began |S1000 began |S1000 began [began|began]^
friend |S1000 friend |S1000 friend [friend|friend]^
group |S1000 group |S1000 group [group|group]^
began |S1000 began |S1000 began [began|began]^
carry |S1000 carry |S1000 carry [carry|carry]^
second |S1000 second |S1000 second [second|second]^
began |S1000 began |S1000 began [began|began]^
group |S1000 group |S1000 group [group|group]^
carry |S1000 carry |S1000 carry [carry|carry]^
rain |S1000 rain |S1000 rain [rain|rain]^
began |S1000 began |S1000 began [began|began]^
took |S1000 took |S1000 took [took|took]^
rain |S1000 rain |S1000 rain [rain|rain]^
began |S1000 began |S1000 began [began|began]^
second |S1000 second |S1000 second [second|second]^
took |S1000 took |S1000 took [took|took]^
room |S1000 room |S1000 room [room|room]^
began |S1000 began |S1000 began [began|began]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
eat |S1000 eat |S1000 eat [eat|eat]^
began |S1000 began |S1000 began [began|began]^
eat |S1000 eat |S1000 eat [eat|eat]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
group |S1000 group |S1000 group [group|group]^
eat |S1000 eat |S1000 eat [eat|eat]^
room |S1000 room |S1000 room [room|room]^
feet |S1000 feet |S1000 feet [feet|feet]^
began |S1000 began |S1000 began [began|began]^
car |S1000 car |S1000 car [car|car]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
care |S1000 care |S1000 care [care|care]^
friend |S1000 friend |S1000 friend [friend|friend]^
rain |S1000 rain |S1000 rain [rain|rain]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
began |S1000 began |S1000 began [began|began]^
friend |S1000 friend |S1000 friend [friend|friend]^
began |S1000 began |S1000 began [began|began]^
car |S1000 car |S1000 car [car|car]^
began |S1000 began |S1000 began [began|began]^
care |S1000 care |S1000 care [care|care]^
group |S1000 group |S1000 group [group|group]^
rain |S1000 rain |S1000 rain [rain|rain]^
began |S1000 began |S1000 began [began|began]^
friend |S1000 friend |S1000 friend [friend|friend]^
group |S1000 group |S1000 group [group|group]^
room |S1000 room |S1000 room [room|room]^
friend |S1000 friend |S1000 friend [friend|friend]^
group |S1000 group |S1000 group [group|group]^
began |S1000 began |S1000 began [began|began]^
rain |S1000 rain |S1000 rain [rain|rain]^
began |S1000 began |S1000 began [began|began]^
second |S1000 second |S1000 second [second|second]^
began |S1000 began |S1000 began [began|began]^
group |S1000 group |S1000 group [group|group]^
feet |S1000 feet |S1000 feet [feet|feet]^
took |S1000 took |S1000 took [took|took]^
began |S1000 began |S1000 began [began|began]^
care |S1000 care |S1000 care [care|care]^
began |S1000 began |S1000 began [began|began]^
friend |S1000 friend |S1000 friend [friend|friend]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
began |S1000 began |S1000 began [began|began]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
rain |S1000 rain |S1000 rain [rain|rain]^
began |S1000 began |S1000 began [began|began]^
eat |S1000 eat |S1000 eat [eat|eat]^
began |S1000 began |S1000 began [began|began]^
friend |S1000 friend |S1000 friend [friend|friend]^
began |S1000 began |S1000 began [began|began]^
second |S1000 second |S1000 second [second|second]^
car |S1000 car |S1000 car [car|car]^
began |S1000 began |S1000 began [began|began]^
room |S1000 room |S1000 room [room|room]^
care |S1000 care |S1000 care [care|care]^
began |S1000 began |S1000 began [began|began]^
took |S1000 took |S1000 took [took|took]^
room |S1000 room |S1000 room [room|room]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
group |S1000 group |S1000 group [group|group]^
second |S1000 second |S1000 second [second|second]^
began |S1000 began |S1000 began [began|began]^
rain |S1000 rain |S1000 rain [rain|rain]^
room |S1000 room |S1000 room [room|room]^
began |S1000 began |S1000 began [began|began]^
second |S1000 second |S1000 second [second|second]^
car |S1000 car |S1000 car [car|car]^
second |S1000 second |S1000 second [second|second]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
car |S1000 car |S1000 car [car|car]^
feet |S1000 feet |S1000 feet [feet|feet]^
eat |S1000 eat |S1000 eat [eat|eat]^
carry |S1000 carry |S1000 carry [carry|carry]^
feet |S1000 feet |S1000 feet [feet|feet]^
friend |S1000 friend |S1000 friend [friend|friend]^
second |S1000 second |S1000 second [second|second]^
took |S1000 took |S1000 took [took|took]^
began |S1000 began |S1000 began [began|began]^
car |S1000 car |S1000 car [car|car]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
friend |S1000 friend |S1000 friend [friend|friend]^
second |S1000 second |S1000 second [second|second]^
car |S1000 car |S1000 car [car|car]^
began |S1000 began |S1000 began [began|began]^
care |S1000 care |S1000 care [care|care]^
car |S1000 car |S1000 car [car|car]^
began |S1000 began |S1000 began [began|began]^
room |S1000 room |S1000 room [room|room]^
began |S1000 began |S1000 began [began|began]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
friend |S1000 friend |S1000 friend [friend|friend]^
group |S1000 group |S1000 group [group|group]^
began |S1000 began |S1000 began [began|began]^
care |S1000 care |S1000 care [care|care]^
began |S1000 began |S1000 began [began|began]^
second |S1000 second |S1000 second [second|second]^
began |S1000 began |S1000 began [began|began]^
rain |S1000 rain |S1000 rain [rain|rain]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
began |S1000 began |S1000 began [began|began]^
friend |S1000 friend |S1000 friend [friend|friend]^
began |S1000 began |S1000 began [began|began]^
car |S1000 car |S1000 car [car|car]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
eat |S1000 eat |S1000 eat [eat|eat]^
began |S1000 began |S1000 began [began|began]^
friend |S1000 friend |S1000 friend [friend|friend]^
began |S1000 began |S1000 began [began|began]^
group |S1000 group |S1000 group [group|group]^
feet |S1000 feet |S1000 feet [feet|feet]^
friend |S1000 friend |S1000 friend [friend|friend]^
began |S1000 began |S1000 began [began|began]^
car |S1000 car |S1000 car [car|car]^
eat |S1000 eat |S1000 eat [eat|eat]^
car |S1000 car |S1000 car [car|car]^
room |S1000 room |S1000 room [room|room]^
began |S1000 began |S1000 began [began|began]^
second |S1000 second |S1000 second [second|second]^
room |S1000 room |S1000 room [room|room]^
car |S1000 car |S1000 car [car|car]^
room |S1000 room |S1000 room [room|room]^
carry |S1000 carry |S1000 carry [carry|carry]^
friend |S1000 friend |S1000 friend [friend|friend]^
group |S1000 group |S1000 group [group|group]^
began |S1000 began |S1000 began [began|began]^
second |S1000 second |S1000 second [second|second]^
began |S1000 began |S1000 began [began|began]^
room |S1000 room |S1000 room [room|room]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
car |S1000 car |S1000 car [car|car]^
friend |S1000 friend |S1000 friend [friend|friend]^
care |S1000 care |S1000 care [care|care]^
friend |S1000 friend |S1000 friend [friend|friend]^
eat |S1000 eat |S1000 eat [eat|eat]^
began |S1000 began |S1000 began [began|began]^
rain |S1000 rain |S1000 rain [rain|rain]^
began |S1000 began |S1000 began [began|began]^
car |S1000 car |S1000 car [car|car]^
began |S1000 began |S1000 began [began|began]^
care |S1000 care |S1000 care [care|care]^
took |S1000 took |S1000 took [took|took]^
feet |S1000 feet |S1000 feet [feet|feet]^
began |S1000 began |S1000 began [began|began]^
group |S1000 group |S1000 group [group|group]^
began |S1000 began |S1000 began [began|began]^
rain |S1000 rain |S1000 rain [rain|rain]^
began |S1000 began |S1000 began [began|began]^
took |S1000 took |S1000 took [took|took]^
care |S1000 care |S1000 care [care|care]^
eat |S1000 eat |S1000 eat [eat|eat]^
began |S1000 began |S1000 began [began|began]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
room |S1000 room |S1000 room [room|room]^
friend |S1000 friend |S1000 friend [friend|friend]^
feet |S1000 feet |S1000 feet [feet|feet]^
room |S1000 room |S1000 room [room|room]^
began |S1000 began |S1000 began [began|began]^
rain |S1000 rain |S1000 rain [rain|rain]^
carry |S1000 carry |S1000 carry [carry|carry]^
second |S1000 second |S1000 second [second|second]^
room |S1000 room |S1000 room [room|room]^
began |S1000 began |S1000 began [began|began]^
care |S1000 care |S1000 care [care|care]^
took |S1000 took |S1000 took [took|took]^
second |S1000 second |S1000 second [second|second]^
began |S1000 began |S1000 began [began|began]^
group |S1000 group |S1000 group [group|group]^
friend |S1000 friend |S1000 friend [friend|friend]^
began |S1000 began |S1000 began [began|began]^
eat |S1000 eat |S1000 eat [eat|eat]^
began |S1000 began |S1000 began [began|began]^
eat |S1000 eat |S1000 eat [eat|eat]^
took |S1000 took |S1000 took [took|took]^
carry |S1000 carry |S1000 carry [carry|carry]^
car |S1000 car |S1000 car [car|car]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
began |S1000 began |S1000 began [began|began]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
carry |S1000 carry |S1000 carry [carry|carry]^
rain |S1000 rain |S1000 rain [rain|rain]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
group |S1000 group |S1000 group [group|group]^
began |S1000 began |S1000 began [began|began]^
friend |S1000 friend |S1000 friend [friend|friend]^
began |S1000 began |S1000 began [began|began]^
room |S1000 room |S1000 room [room|room]^
began |S1000 began |S1000 began [began|began]^
car |S1000 car |S1000 car [car|car]^
room |S1000 room |S1000 room [room|room]^
began |S1000 began |S1000 began [began|began]^
care |S1000 care |S1000 care [care|care]^
began |S1000 began |S1000 began [began|began]^
car |S1000 car |S1000 car [car|car]^
began |S1000 began |S1000 began [began|began]^
took |S1000 took |S1000 took [took|took]^
began |S1000 began |S1000 began [began|began]^
friend |S1000 friend |S1000 friend [friend|friend]^
began |S1000 began |S1000 began [began|began]^
car |S1000 car |S1000 car [car|car]^
took |S1000 took |S1000 took [took|took]^
began |S1000 began |S1000 began [began|began]^
second |S1000 second |S1000 second [second|second]^
feet |S1000 feet |S1000 feet [feet|feet]^
began |S1000 began |S1000 began [began|began]^
carry |S1000 carry |S1000 carry [carry|carry]^
rain |S1000 rain |S1000 rain [rain|rain]^
began |S1000 began |S1000 began [began|began]^
carry |S1000 carry |S1000 carry [carry|carry]^
rain |S1000 rain |S1000 rain [rain|rain]^
room |S1000 room |S1000 room [room|room]^
second |S1000 second |S1000 second [second|second]^
eat |S1000 eat |S1000 eat [eat|eat]^
feet |S1000 feet |S1000 feet [feet|feet]^
began |S1000 began |S1000 began [began|began]^
second |S1000 second |S1000 second [second|second]^
began |S1000 began |S1000 began [began|began]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
began |S1000 began |S1000 began [began|began]^
care |S1000 care |S1000 care [care|care]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
began |S1000 began |S1000 began [began|began]^
car |S1000 car |S1000 car [car|car]^
carry |S1000 carry |S1000 carry [carry|carry]^
second |S1000 second |S1000 second [second|second]^
care |S1000 care |S1000 care [care|care]^
feet |S1000 feet |S1000 feet [feet|feet]^
began |S1000 began |S1000 began [began|began]^
room |S1000 room |S1000 room [room|room]^
eat |S1000 eat |S1000 eat [eat|eat]^
second |S1000 second |S1000 second [second|second]^
room |S1000 room |S1000 room [room|room]^
second |S1000 second |S1000 second [second|second]^
began |S1000 began |S1000 began [began|began]^
rain |S1000 rain |S1000 rain [rain|rain]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
took |S1000 took |S1000 took [took|took]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
room |S1000 room |S1000 room [room|room]^
began |S1000 began |S1000 began [began|began]^
took |S1000 took |S1000 took [took|took]^
group |S1000 group |S1000 group [group|group]^
began |S1000 began |S1000 began [began|began]^
car |S1000 car |S1000 car [car|car]^
rain |S1000 rain |S1000 rain [rain|rain]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
care |S1000 care |S1000 care [care|care]^
group |S1000 group |S1000 group [group|group]^
eat |S1000 eat |S1000 eat [eat|eat]^
friend |S1000 friend |S1000 friend [friend|friend]^
began |S1000 began |S1000 began [began|began]^
rain |S1000 rain |S1000 rain [rain|rain]^
began |S1000 began |S1000 began [began|began]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
car |S1000 car |S1000 car [car|car]^
began |S1000 began |S1000 began [began|began]^
second |S1000 second |S1000 second [second|second]^
car |S1000 car |S1000 car [car|car]^
feet |S1000 feet |S1000 feet [feet|feet]^
second |S1000 second |S1000 second [second|second]^
feet |S1000 feet |S1000 feet [feet|feet]^
began |S1000 began |S1000 began [began|began]^
car |S1000 car |S1000 car [car|car]^
began |S1000 began |S1000 began [began|began]^
second |S1000 second |S1000 second [second|second]^
care |S1000 care |S1000 care [care|care]^
room |S1000 room |S1000 room [room|room]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
second |S1000 second |S1000 second [second|second]^
began |S1000 began |S1000 began [began|began]^
second |S1000 second |S1000 second [second|second]^
began |S1000 began |S1000 began [began|began]^
eat |S1000 eat |S1000 eat [eat|eat]^
began |S1000 began |S1000 began [began|began]^
carry |S1000 carry |S1000 carry [carry|carry]^
began |S1000 began |S1000 began [began|began]^
second |S1000 second |S1000 second [second|second]^
care |S1000 care |S1000 care [care|care]^
began |S1000 began |S1000 began [began|began]^
rain |S1000 rain |S1000 rain [rain|rain]^
began |S1000 began |S1000 began [began|began]^
room |S1000 room |S1000 room [room|room]^
began |S1000 began |S1000 began [began|began]^
feet |S1000 feet |S1000 feet [feet|feet]^
began |S1000 began |S1000 began [began|began]^
