knew |S1000 piece [knew, piece]^
state |S1000 order [state, order]^
pass |S1000 state [pass, state]^
knew |S1000 state [knew, state]^
south |S1000 pass [south, pass]^
piece |S1000 pass [piece, pass]^
state |S1000 pass [state, pass]^
told |S1000 pass [told, pass]^
numeral |S1000 pass [numeral, pass]^
black |S1000 told [black, told]^
pass |S1000 piece [pass, piece]^
pass |S1000 black [pass, black]^
pass |S1000 state [pass, state]^
pass |S1000 short [pass, short]^
rock |S1000 class [rock, class]^
short |S1000 fire [short, fire]^
black |S1000 south [black, south]^
fire |S1000 order [fire, order]^
pass |S1000 complete [pass, complete]^
problem |S1000 numeral [problem, numeral]^
black |S1000 pass [black, pass]^
happen |S1000 black [happen, black]^
pass |S1000 rock [pass, rock]^
piece |S1000 pass [piece, pass]^
question |S1000 short [question, short]^
fire |S1000 problem [fire, problem]^
area |S1000 class [area, class]^
pass |S1000 order [pass, order]^
happen |S1000 pass [happen, pass]^
problem |S1000 pass [problem, pass]^
piece |S1000 pass [piece, pass]^
state |S1000 pass [state, pass]^
happen |S1000 pass [happen, pass]^
knew |S1000 black [knew, black]^
pass |S1000 question [pass, question]^
half |S1000 pass [half, pass]^
ship |S1000 area [ship, area]^
state |S1000 pass [state, pass]^
fire |S1000 product [fire, product]^
pass |S1000 product [pass, product]^
pass |S1000 area [pass, area]^
told |S1000 class [told, class]^
pass |S1000 class [pass, class]^
south |S1000 rock [south, rock]^
complete |S1000 pass [complete, pass]^
knew |S1000 told [knew, told]^
pass |S1000 complete [pass, complete]^
told |S1000 ship [told, ship]^
pass |S1000 rock [pass, rock]^
pass |S1000 numeral [pass, numeral]^
pass |S1000 told [pass, told]^
wind |S1000 pass [wind, pass]^
order |S1000 short [order, short]^
happen |S1000 told [happen, told]^
knew |S1000 pass [knew, pass]^
piece |S1000 pass [piece, pass]^
product |S1000 south [product, south]^
problem |S1000 rock [problem, rock]^
pass |S1000 half [pass, half]^
pass |S1000 numeral [pass, numeral]^
pass |S1000 ship [pass, ship]^
question |S1000 pass [question, pass]^
class |S1000 pass [class, pass]^
piece |S1000 pass [piece, pass]^
problem |S1000 pass [problem, pass]^
product |S1000 pass [product, pass]^
complete |S1000 pass [complete, pass]^
complete |S1000 pass [complete, pass]^
order |S1000 pass [order, pass]^
wind |S1000 half [wind, half]^
order |S1000 south [order, south]^
told |S1000 half [told, half]^
pass |S1000 piece [pass, piece]^
ship |S1000 short [ship, short]^
pass |S1000 numeral [pass, numeral]^
complete |S1000 pass [complete, pass]^
complete |S1000 problem [complete, problem]^
pass |S1000 knew [pass, knew]^
pass |S1000 wind [pass, wind]^
class |S1000 pass [class, pass]^
fire |S1000 class [fire, class]^
pass |S1000 problem [pass, problem]^
pass |S1000 complete [pass, complete]^
fire |S1000 pass [fire, pass]^
half |S1000 south [half, south]^
pass |S1000 rock [pass, rock]^
knew |S1000 ship [knew, ship]^
black |S1000 half [black, half]^
numeral |S1000 south [numeral, south]^
state |S1000 pass [state, pass]^
rock |S1000 pass [rock, pass]^
south |S1000 pass [south, pass]^
happen |S1000 pass [happen, pass]^
half |S1000 pass [half, pass]^
problem |S1000 told [problem, told]^
order |S1000 south [order, south]^
ship |S1000 pass [ship, pass]^
piece |S1000 black [piece, black]^
knew |S1000 pass [knew, pass]^
numeral |S1000 pass [numeral, pass]^
state |S1000 pass [state, pass]^
question |S1000 pass [question, pass]^
short |S1000 wind [short, wind]^
pass |S1000 knew [pass, knew]^
complete |S1000 order [complete, order]^
area |S1000 complete [area, complete]^
rock |S1000 knew [rock, knew]^
pass |S1000 black [pass, black]^
rock |S1000 pass [rock, pass]^
south |S1000 short [south, short]^
pass |S1000 short [pass, short]^
order |S1000 piece [order, piece]^
pass |S1000 happen [pass, happen]^
pass |S1000 piece [pass, piece]^
question |S1000 problem [question, problem]^
half |S1000 south [half, south]^
black |S1000 told [black, told]^
