line |S1000 line |S1000 line [line|line]^
think |S1000 think |S1000 think [think|think]^
differ |S1000 differ |S1000 differ [differ|differ]^
help |S1000 help |S1000 help [help|help]^
very |S1000 very |S1000 very [very|very]^
help |S1000 help |S1000 help [help|help]^
form |S1000 form |S1000 form [form|form]^
very |S1000 very |S1000 very [very|very]^
mean |S1000 mean |S1000 mean [mean|mean]^
great |S1000 great |S1000 great [great|great]^
help |S1000 help |S1000 help [help|help]^
differ |S1000 differ |S1000 differ [differ|differ]^
under |S1000 under |S1000 under [under|under]^
differ |S1000 differ |S1000 differ [differ|differ]^
low |S1000 low |S1000 low [low|low]^
form |S1000 form |S1000 form [form|form]^
differ |S1000 differ |S1000 differ [differ|differ]^
same |S1000 same |S1000 same [same|same]^
good |S1000 good |S1000 good [good|good]^
give |S1000 give |S1000 give [give|give]^
name |S1000 name |S1000 name [name|name]^
differ |S1000 differ |S1000 differ [differ|differ]^
just |S1000 just |S1000 just [just|just]^
form |S1000 form |S1000 form [form|form]^
cause |S1000 cause |S1000 cause [cause|cause]^
great |S1000 great |S1000 great [great|great]^
form |S1000 form |S1000 form [form|form]^
much |S1000 much |S1000 much [much|much]^
differ |S1000 differ |S1000 differ [differ|differ]^
under |S1000 under |S1000 under [under|under]^
differ |S1000 differ |S1000 differ [differ|differ]^
through |S1000 through |S1000 through [through|through]^
good |S1000 good |S1000 good [good|good]^
differ |S1000 differ |S1000 differ [differ|differ]^
low |S1000 low |S1000 low [low|low]^
say |S1000 say |S1000 say [say|say]^
line |S1000 line |S1000 line [line|line]^
differ |S1000 differ |S1000 differ [differ|differ]^
low |S1000 low |S1000 low [low|low]^
name |S1000 name |S1000 name [name|name]^
good |S1000 good |S1000 good [good|good]^
low |S1000 low |S1000 low [low|low]^
differ |S1000 differ |S1000 differ [differ|differ]^
much |S1000 much |S1000 much [much|much]^
differ |S1000 differ |S1000 differ [differ|differ]^
give |S1000 give |S1000 give [give|give]^
through |S1000 through |S1000 through [through|through]^
differ |S1000 differ |S1000 differ [differ|differ]^
low |S1000 low |S1000 low [low|low]^
think |S1000 think |S1000 think [think|think]^
through |S1000 through |S1000 through [through|through]^
differ |S1000 differ |S1000 differ [differ|differ]^
our |S1000 our |S1000 our [our|our]^
differ |S1000 differ |S1000 differ [differ|differ]^
help |S1000 help |S1000 help [help|help]^
differ |S1000 differ |S1000 differ [differ|differ]^
good |S1000 good |S1000 good [good|good]^
differ |S1000 differ |S1000 differ [differ|differ]^
our |S1000 our |S1000 our [our|our]^
differ |S1000 differ |S1000 differ [differ|differ]^
cause |S1000 cause |S1000 cause [cause|cause]^
very |S1000 very |S1000 very [very|very]^
differ |S1000 differ |S1000 differ [differ|differ]^
give |S1000 give |S1000 give [give|give]^
before |S1000 before |S1000 before [before|before]^
differ |S1000 differ |S1000 differ [differ|differ]^
through |S1000 through |S1000 through [through|through]^
differ |S1000 differ |S1000 differ [differ|differ]^
under |S1000 under |S1000 under [under|under]^
good |S1000 good |S1000 good [good|good]^
differ |S1000 differ |S1000 differ [differ|differ]^
mean |S1000 mean |S1000 mean [mean|mean]^
differ |S1000 differ |S1000 differ [differ|differ]^
under |S1000 under |S1000 under [under|under]^
turn |S1000 turn |S1000 turn [turn|turn]^
differ |S1000 differ |S1000 differ [differ|differ]^
very |S1000 very |S1000 very [very|very]^
differ |S1000 differ |S1000 differ [differ|differ]^
form |S1000 form |S1000 form [form|form]^
good |S1000 good |S1000 good [good|good]^
differ |S1000 differ |S1000 differ [differ|differ]^
form |S1000 form |S1000 form [form|form]^
differ |S1000 differ |S1000 differ [differ|differ]^
before |S1000 before |S1000 before [before|before]^
differ |S1000 differ |S1000 differ [differ|differ]^
much |S1000 much |S1000 much [much|much]^
differ |S1000 differ |S1000 differ [differ|differ]^
give |S1000 give |S1000 give [give|give]^
before |S1000 before |S1000 before [before|before]^
line |S1000 line |S1000 line [line|line]^
differ |S1000 differ |S1000 differ [differ|differ]^
cause |S1000 cause |S1000 cause [cause|cause]^
much |S1000 much |S1000 much [much|much]^
before |S1000 before |S1000 before [before|before]^
cause |S1000 cause |S1000 cause [cause|cause]^
great |S1000 great |S1000 great [great|great]^
differ |S1000 differ |S1000 differ [differ|differ]^
our |S1000 our |S1000 our [our|our]^
under |S1000 under |S1000 under [under|under]^
help |S1000 help |S1000 help [help|help]^
differ |S1000 differ |S1000 differ [differ|differ]^
say |S1000 say |S1000 say [say|say]^
differ |S1000 differ |S1000 differ [differ|differ]^
name |S1000 name |S1000 name [name|name]^
differ |S1000 differ |S1000 differ [differ|differ]^
same |S1000 same |S1000 same [same|same]^
differ |S1000 differ |S1000 differ [differ|differ]^
very |S1000 very |S1000 very [very|very]^
just |S1000 just |S1000 just [just|just]^
differ |S1000 differ |S1000 differ [differ|differ]^
through |S1000 through |S1000 through [through|through]^
line |S1000 line |S1000 line [line|line]^
low |S1000 low |S1000 low [low|low]^
just |S1000 just |S1000 just [just|just]^
very |S1000 very |S1000 very [very|very]^
just |S1000 just |S1000 just [just|just]^
say |S1000 say |S1000 say [say|say]^
differ |S1000 differ |S1000 differ [differ|differ]^
think |S1000 think |S1000 think [think|think]^
say |S1000 say |S1000 say [say|say]^
differ |S1000 differ |S1000 differ [differ|differ]^
our |S1000 our |S1000 our [our|our]^
differ |S1000 differ |S1000 differ [differ|differ]^
low |S1000 low |S1000 low [low|low]^
turn |S1000 turn |S1000 turn [turn|turn]^
differ |S1000 differ |S1000 differ [differ|differ]^
turn |S1000 turn |S1000 turn [turn|turn]^
say |S1000 say |S1000 say [say|say]^
differ |S1000 differ |S1000 differ [differ|differ]^
mean |S1000 mean |S1000 mean [mean|mean]^
differ |S1000 differ |S1000 differ [differ|differ]^
say |S1000 say |S1000 say [say|say]^
differ |S1000 differ |S1000 differ [differ|differ]^
good |S1000 good |S1000 good [good|good]^
cause |S1000 cause |S1000 cause [cause|cause]^
great |S1000 great |S1000 great [great|great]^
cause |S1000 cause |S1000 cause [cause|cause]^
very |S1000 very |S1000 very [very|very]^
differ |S1000 differ |S1000 differ [differ|differ]^
help |S1000 help |S1000 help [help|help]^
just |S1000 just |S1000 just [just|just]^
form |S1000 form |S1000 form [form|form]^
differ |S1000 differ |S1000 differ [differ|differ]^
line |S1000 line |S1000 line [line|line]^
help |S1000 help |S1000 help [help|help]^
say |S1000 say |S1000 say [say|say]^
cause |S1000 cause |S1000 cause [cause|cause]^
line |S1000 line |S1000 line [line|line]^
differ |S1000 differ |S1000 differ [differ|differ]^
name |S1000 name |S1000 name [name|name]^
just |S1000 just |S1000 just [just|just]^
differ |S1000 differ |S1000 differ [differ|differ]^
through |S1000 through |S1000 through [through|through]^
differ |S1000 differ |S1000 differ [differ|differ]^
form |S1000 form |S1000 form [form|form]^
name |S1000 name |S1000 name [name|name]^
differ |S1000 differ |S1000 differ [differ|differ]^
line |S1000 line |S1000 line [line|line]^
differ |S1000 differ |S1000 differ [differ|differ]^
think |S1000 think |S1000 think [think|think]^
help |S1000 help |S1000 help [help|help]^
differ |S1000 differ |S1000 differ [differ|differ]^
low |S1000 low |S1000 low [low|low]^
differ |S1000 differ |S1000 differ [differ|differ]^
mean |S1000 mean |S1000 mean [mean|mean]^
low |S1000 low |S1000 low [low|low]^
differ |S1000 differ |S1000 differ [differ|differ]^
before |S1000 before |S1000 before [before|before]^
our |S1000 our |S1000 our [our|our]^
differ |S1000 differ |S1000 differ [differ|differ]^
turn |S1000 turn |S1000 turn [turn|turn]^
differ |S1000 differ |S1000 differ [differ|differ]^
great |S1000 great |S1000 great [great|great]^
much |S1000 much |S1000 much [much|much]^
mean |S1000 mean |S1000 mean [mean|mean]^
great |S1000 great |S1000 great [great|great]^
differ |S1000 differ |S1000 differ [differ|differ]^
name |S1000 name |S1000 name [name|name]^
differ |S1000 differ |S1000 differ [differ|differ]^
name |S1000 name |S1000 name [name|name]^
differ |S1000 differ |S1000 differ [differ|differ]^
name |S1000 name |S1000 name [name|name]^
same |S1000 same |S1000 same [same|same]^
just |S1000 just |S1000 just [just|just]^
differ |S1000 differ |S1000 differ [differ|differ]^
name |S1000 name |S1000 name [name|name]^
differ |S1000 differ |S1000 differ [differ|differ]^
good |S1000 good |S1000 good [good|good]^
our |S1000 our |S1000 our [our|our]^
differ |S1000 differ |S1000 differ [differ|differ]^
turn |S1000 turn |S1000 turn [turn|turn]^
differ |S1000 differ |S1000 differ [differ|differ]^
before |S1000 before |S1000 before [before|before]^
differ |S1000 differ |S1000 differ [differ|differ]^
low |S1000 low |S1000 low [low|low]^
good |S1000 good |S1000 good [good|good]^
differ |S1000 differ |S1000 differ [differ|differ]^
under |S1000 under |S1000 under [under|under]^
line |S1000 line |S1000 line [line|line]^
differ |S1000 differ |S1000 differ [differ|differ]^
line |S1000 line |S1000 line [line|line]^
same |S1000 same |S1000 same [same|same]^
before |S1000 before |S1000 before [before|before]^
differ |S1000 differ |S1000 differ [differ|differ]^
under |S1000 under |S1000 under [under|under]^
help |S1000 help |S1000 help [help|help]^
differ |S1000 differ |S1000 differ [differ|differ]^
help |S1000 help |S1000 help [help|help]^
name |S1000 name |S1000 name [name|name]^
just |S1000 just |S1000 just [just|just]^
form |S1000 form |S1000 form [form|form]^
think |S1000 think |S1000 think [think|think]^
differ |S1000 differ |S1000 differ [differ|differ]^
give |S1000 give |S1000 give [give|give]^
differ |S1000 differ |S1000 differ [differ|differ]^
think |S1000 think |S1000 think [think|think]^
our |S1000 our |S1000 our [our|our]^
great |S1000 great |S1000 great [great|great]^
just |S1000 just |S1000 just [just|just]^
differ |S1000 differ |S1000 differ [differ|differ]^
help |S1000 help |S1000 help [help|help]^
differ |S1000 differ |S1000 differ [differ|differ]^
much |S1000 much |S1000 much [much|much]^
differ |S1000 differ |S1000 differ [differ|differ]^
under |S1000 under |S1000 under [under|under]^
differ |S1000 differ |S1000 differ [differ|differ]^
much |S1000 much |S1000 much [much|much]^
turn |S1000 turn |S1000 turn [turn|turn]^
differ |S1000 differ |S1000 differ [differ|differ]^
name |S1000 name |S1000 name [name|name]^
turn |S1000 turn |S1000 turn [turn|turn]^
form |S1000 form |S1000 form [form|form]^
before |S1000 before |S1000 before [before|before]^
turn |S1000 turn |S1000 turn [turn|turn]^
differ |S1000 differ |S1000 differ [differ|differ]^
line |S1000 line |S1000 line [line|line]^
differ |S1000 differ |S1000 differ [differ|differ]^
through |S1000 through |S1000 through [through|through]^
differ |S1000 differ |S1000 differ [differ|differ]^
great |S1000 great |S1000 great [great|great]^
differ |S1000 differ |S1000 differ [differ|differ]^
name |S1000 name |S1000 name [name|name]^
turn |S1000 turn |S1000 turn [turn|turn]^
differ |S1000 differ |S1000 differ [differ|differ]^
through |S1000 through |S1000 through [through|through]^
differ |S1000 differ |S1000 differ [differ|differ]^
give |S1000 give |S1000 give [give|give]^
differ |S1000 differ |S1000 differ [differ|differ]^
cause |S1000 cause |S1000 cause [cause|cause]^
differ |S1000 differ |S1000 differ [differ|differ]^
think |S1000 think |S1000 think [think|think]^
name |S1000 name |S1000 name [name|name]^
differ |S1000 differ |S1000 differ [differ|differ]^
through |S1000 through |S1000 through [through|through]^
very |S1000 very |S1000 very [very|very]^
differ |S1000 differ |S1000 differ [differ|differ]^
help |S1000 help |S1000 help [help|help]^
differ |S1000 differ |S1000 differ [differ|differ]^
before |S1000 before |S1000 before [before|before]^
turn |S1000 turn |S1000 turn [turn|turn]^
our |S1000 our |S1000 our [our|our]^
good |S1000 good |S1000 good [good|good]^
differ |S1000 differ |S1000 differ [differ|differ]^
much |S1000 much |S1000 much [much|much]^
very |S1000 very |S1000 very [very|very]^
differ |S1000 differ |S1000 differ [differ|differ]^
low |S1000 low |S1000 low [low|low]^
help |S1000 help |S1000 help [help|help]^
differ |S1000 differ |S1000 differ [differ|differ]^
say |S1000 say |S1000 say [say|say]^
differ |S1000 differ |S1000 differ [differ|differ]^
good |S1000 good |S1000 good [good|good]^
same |S1000 same |S1000 same [same|same]^
before |S1000 before |S1000 before [before|before]^
differ |S1000 differ |S1000 differ [differ|differ]^
very |S1000 very |S1000 very [very|very]^
differ |S1000 differ |S1000 differ [differ|differ]^
good |S1000 good |S1000 good [good|good]^
cause |S1000 cause |S1000 cause [cause|cause]^
through |S1000 through |S1000 through [through|through]^
great |S1000 great |S1000 great [great|great]^
name |S1000 name |S1000 name [name|name]^
differ |S1000 differ |S1000 differ [differ|differ]^
through |S1000 through |S1000 through [through|through]^
differ |S1000 differ |S1000 differ [differ|differ]^
our |S1000 our |S1000 our [our|our]^
before |S1000 before |S1000 before [before|before]^
differ |S1000 differ |S1000 differ [differ|differ]^
give |S1000 give |S1000 give [give|give]^
our |S1000 our |S1000 our [our|our]^
give |S1000 give |S1000 give [give|give]^
our |S1000 our |S1000 our [our|our]^
much |S1000 much |S1000 much [much|much]^
before |S1000 before |S1000 before [before|before]^
differ |S1000 differ |S1000 differ [differ|differ]^
much |S1000 much |S1000 much [much|much]^
differ |S1000 differ |S1000 differ [differ|differ]^
through |S1000 through |S1000 through [through|through]^
think |S1000 think |S1000 think [think|think]^
say |S1000 say |S1000 say [say|say]^
our |S1000 our |S1000 our [our|our]^
good |S1000 good |S1000 good [good|good]^
differ |S1000 differ |S1000 differ [differ|differ]^
mean |S1000 mean |S1000 mean [mean|mean]^
give |S1000 give |S1000 give [give|give]^
differ |S1000 differ |S1000 differ [differ|differ]^
before |S1000 before |S1000 before [before|before]^
much |S1000 much |S1000 much [much|much]^
differ |S1000 differ |S1000 differ [differ|differ]^
great |S1000 great |S1000 great [great|great]^
form |S1000 form |S1000 form [form|form]^
cause |S1000 cause |S1000 cause [cause|cause]^
same |S1000 same |S1000 same [same|same]^
cause |S1000 cause |S1000 cause [cause|cause]^
line |S1000 line |S1000 line [line|line]^
differ |S1000 differ |S1000 differ [differ|differ]^
good |S1000 good |S1000 good [good|good]^
help |S1000 help |S1000 help [help|help]^
our |S1000 our |S1000 our [our|our]^
great |S1000 great |S1000 great [great|great]^
differ |S1000 differ |S1000 differ [differ|differ]^
great |S1000 great |S1000 great [great|great]^
differ |S1000 differ |S1000 differ [differ|differ]^
low |S1000 low |S1000 low [low|low]^
differ |S1000 differ |S1000 differ [differ|differ]^
think |S1000 think |S1000 think [think|think]^
form |S1000 form |S1000 form [form|form]^
great |S1000 great |S1000 great [great|great]^
differ |S1000 differ |S1000 differ [differ|differ]^
same |S1000 same |S1000 same [same|same]^
differ |S1000 differ |S1000 differ [differ|differ]^
cause |S1000 cause |S1000 cause [cause|cause]^
say |S1000 say |S1000 say [say|say]^
differ |S1000 differ |S1000 differ [differ|differ]^
give |S1000 give |S1000 give [give|give]^
think |S1000 think |S1000 think [think|think]^
under |S1000 under |S1000 under [under|under]^
good |S1000 good |S1000 good [good|good]^
say |S1000 say |S1000 say [say|say]^
form |S1000 form |S1000 form [form|form]^
think |S1000 think |S1000 think [think|think]^
our |S1000 our |S1000 our [our|our]^
differ |S1000 differ |S1000 differ [differ|differ]^
just |S1000 just |S1000 just [just|just]^
before |S1000 before |S1000 before [before|before]^
differ |S1000 differ |S1000 differ [differ|differ]^
name |S1000 name |S1000 name [name|name]^
same |S1000 same |S1000 same [same|same]^
differ |S1000 differ |S1000 differ [differ|differ]^
help |S1000 help |S1000 help [help|help]^
good |S1000 good |S1000 good [good|good]^
differ |S1000 differ |S1000 differ [differ|differ]^
our |S1000 our |S1000 our [our|our]^
differ |S1000 differ |S1000 differ [differ|differ]^
good |S1000 good |S1000 good [good|good]^
differ |S1000 differ |S1000 differ [differ|differ]^
good |S1000 good |S1000 good [good|good]^
differ |S1000 differ |S1000 differ [differ|differ]^
cause |S1000 cause |S1000 cause [cause|cause]^
differ |S1000 differ |S1000 differ [differ|differ]^
turn |S1000 turn |S1000 turn [turn|turn]^
help |S1000 help |S1000 help [help|help]^
just |S1000 just |S1000 just [just|just]^
our |S1000 our |S1000 our [our|our]^
low |S1000 low |S1000 low [low|low]^
differ |S1000 differ |S1000 differ [differ|differ]^
say |S1000 say |S1000 say [say|say]^
differ |S1000 differ |S1000 differ [differ|differ]^
before |S1000 before |S1000 before [before|before]^
differ |S1000 differ |S1000 differ [differ|differ]^
turn |S1000 turn |S1000 turn [turn|turn]^
differ |S1000 differ |S1000 differ [differ|differ]^
through |S1000 through |S1000 through [through|through]^
think |S1000 think |S1000 think [think|think]^
mean |S1000 mean |S1000 mean [mean|mean]^
differ |S1000 differ |S1000 differ [differ|differ]^
very |S1000 very |S1000 very [very|very]^
much |S1000 much |S1000 much [much|much]^
under |S1000 under |S1000 under [under|under]^
differ |S1000 differ |S1000 differ [differ|differ]^
name |S1000 name |S1000 name [name|name]^
differ |S1000 differ |S1000 differ [differ|differ]^
give |S1000 give |S1000 give [give|give]^
very |S1000 very |S1000 very [very|very]^
say |S1000 say |S1000 say [say|say]^
same |S1000 same |S1000 same [same|same]^
differ |S1000 differ |S1000 differ [differ|differ]^
through |S1000 through |S1000 through [through|through]^
say |S1000 say |S1000 say [say|say]^
differ |S1000 differ |S1000 differ [differ|differ]^
very |S1000 very |S1000 very [very|very]^
same |S1000 same |S1000 same [same|same]^
name |S1000 name |S1000 name [name|name]^
cause |S1000 cause |S1000 cause [cause|cause]^
say |S1000 say |S1000 say [say|say]^
differ |S1000 differ |S1000 differ [differ|differ]^
before |S1000 before |S1000 before [before|before]^
differ |S1000 differ |S1000 differ [differ|differ]^
say |S1000 say |S1000 say [say|say]^
great |S1000 great |S1000 great [great|great]^
differ |S1000 differ |S1000 differ [differ|differ]^
great |S1000 great |S1000 great [great|great]^
differ |S1000 differ |S1000 differ [differ|differ]^
mean |S1000 mean |S1000 mean [mean|mean]^
differ |S1000 differ |S1000 differ [differ|differ]^
under |S1000 under |S1000 under [under|under]^
think |S1000 think |S1000 think [think|think]^
differ |S1000 differ |S1000 differ [differ|differ]^
under |S1000 under |S1000 under [under|under]^
differ |S1000 differ |S1000 differ [differ|differ]^
much |S1000 much |S1000 much [much|much]^
very |S1000 very |S1000 very [very|very]^
think |S1000 think |S1000 think [think|think]^
differ |S1000 differ |S1000 differ [differ|differ]^
form |S1000 form |S1000 form [form|form]^
differ |S1000 differ |S1000 differ [differ|differ]^
great |S1000 great |S1000 great [great|great]^
good |S1000 good |S1000 good [good|good]^
our |S1000 our |S1000 our [our|our]^
very |S1000 very |S1000 very [very|very]^
cause |S1000 cause |S1000 cause [cause|cause]^
through |S1000 through |S1000 through [through|through]^
differ |S1000 differ |S1000 differ [differ|differ]^
through |S1000 through |S1000 through [through|through]^
turn |S1000 turn |S1000 turn [turn|turn]^
say |S1000 say |S1000 say [say|say]^
form |S1000 form |S1000 form [form|form]^
give |S1000 give |S1000 give [give|give]^
line |S1000 line |S1000 line [line|line]^
our |S1000 our |S1000 our [our|our]^
differ |S1000 differ |S1000 differ [differ|differ]^
very |S1000 very |S1000 very [very|very]^
good |S1000 good |S1000 good [good|good]^
line |S1000 line |S1000 line [line|line]^
differ |S1000 differ |S1000 differ [differ|differ]^
very |S1000 very |S1000 very [very|very]^
differ |S1000 differ |S1000 differ [differ|differ]^
through |S1000 through |S1000 through [through|through]^
much |S1000 much |S1000 much [much|much]^
differ |S1000 differ |S1000 differ [differ|differ]^
same |S1000 same |S1000 same [same|same]^
differ |S1000 differ |S1000 differ [differ|differ]^
give |S1000 give |S1000 give [give|give]^
before |S1000 before |S1000 before [before|before]^
differ |S1000 differ |S1000 differ [differ|differ]^
our |S1000 our |S1000 our [our|our]^
differ |S1000 differ |S1000 differ [differ|differ]^
our |S1000 our |S1000 our [our|our]^
differ |S1000 differ |S1000 differ [differ|differ]^
just |S1000 just |S1000 just [just|just]^
much |S1000 much |S1000 much [much|much]^
differ |S1000 differ |S1000 differ [differ|differ]^
low |S1000 low |S1000 low [low|low]^
same |S1000 same |S1000 same [same|same]^
differ |S1000 differ |S1000 differ [differ|differ]^
before |S1000 before |S1000 before [before|before]^
think |S1000 think |S1000 think [think|think]^
under |S1000 under |S1000 under [under|under]^
cause |S1000 cause |S1000 cause [cause|cause]^
differ |S1000 differ |S1000 differ [differ|differ]^
say |S1000 say |S1000 say [say|say]^
differ |S1000 differ |S1000 differ [differ|differ]^
turn |S1000 turn |S1000 turn [turn|turn]^
differ |S1000 differ |S1000 differ [differ|differ]^
good |S1000 good |S1000 good [good|good]^
differ |S1000 differ |S1000 differ [differ|differ]^
say |S1000 say |S1000 say [say|say]^
much |S1000 much |S1000 much [much|much]^
differ |S1000 differ |S1000 differ [differ|differ]^
