does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
does |S1000 does |S1000 does [does|does]^
old |S1000 old |S1000 old [old|old]^
old |S1000 old |S1000 old [old|old]^
too |S1000 too |S1000 too [too|too]^
too |S1000 too |S1000 too [too|too]^
old |S1000 old |S1000 old [old|old]^
does |S1000 does |S1000 does [does|does]^
does |S1000 does |S1000 does [does|does]^
