4T56 [4, T, 5, 6] ^
1VTV [1, V, T, V] ^
D1EJ [D, 1, E, J] ^
1WTU [1, W, T, U] ^
UHSS [U, H, S, S] ^
4BJD [4, B, J, D] ^
H5UD [H, 5, U, D] ^
6H6D [6, H, 6, D] ^
5SSJ [5, S, S, J] ^
BSWT [B, S, W, T] ^
5TS4 [5, T, S, 4] ^
UHDV [U, H, D, V] ^
44D5 [4, 4, D, 5] ^
6U1H [6, U, 1, H] ^
WTWW [W, T, W, W] ^
1B6U [1, B, 6, U] ^
IB5H [I, B, 5, H] ^
1SIT [1, S, I, T] ^
VD5I [V, D, 5, I] ^
4BIE [4, B, I, E] ^
15W4 [1, 5, W, 4] ^
UDU6 [U, D, U, 6] ^
1HUW [1, H, U, W] ^
5DHB [5, D, H, B] ^
1HBU [1, H, B, U] ^
TVVH [T, V, V, H] ^
4WVE [4, W, V, E] ^
6516 [6, 5, 1, 6] ^
6WTD [6, W, T, D] ^
D55B [D, 5, 5, B] ^
6IUS [6, I, U, S] ^
HHHJ [H, H, H, J] ^
5WDB [5, W, D, B] ^
E5U5 [E, 5, U, 5] ^
5IU1 [5, I, U, 1] ^
46JE [4, 6, J, E] ^
ESWS [E, S, W, S] ^
5D6D [5, D, 6, D] ^
I6HW [I, 6, H, W] ^
4DUS [4, D, U, S] ^
1TVI [1, T, V, I] ^
I4ID [I, 4, I, D] ^
6DS6 [6, D, S, 6] ^
JBEJ [J, B, E, J] ^
5JD5 [5, J, D, 5] ^
E65H [E, 6, 5, H] ^
1SHI [1, S, H, I] ^
WB6T [W, B, 6, T] ^
1EJJ [1, E, J, J] ^
IB4H [I, B, 4, H] ^
1J6U [1, J, 6, U] ^
BHT5 [B, H, T, 5] ^
65UJ [6, 5, U, J] ^
HHBB [H, H, B, B] ^
615T [6, 1, 5, T] ^
D4BS [D, 4, B, S] ^
5T4T [5, T, 4, T] ^
TTUJ [T, T, U, J] ^
6IJB [6, I, J, B] ^
151B [1, 5, 1, B] ^
EITI [E, I, T, I] ^
4UIE [4, U, I, E] ^
BH6H [B, H, 6, H] ^
6IDJ [6, I, D, J] ^
1V1E [1, V, 1, E] ^
EBUT [E, B, U, T] ^
4BTD [4, B, T, D] ^
WW41 [W, W, 4, 1] ^
1U4I [1, U, 4, I] ^
U4EV [U, 4, E, V] ^
4BST [4, B, S, T] ^
B55H [B, 5, 5, H] ^
6TJH [6, T, J, H] ^
DU6U [D, U, 6, U] ^
165B [1, 6, 5, B] ^
V1SJ [V, 1, S, J] ^
66VJ [6, 6, V, J] ^
H11E [H, 1, 1, E] ^
55EJ [5, 5, E, J] ^
J64B [J, 6, 4, B] ^
4I6T [4, I, 6, T] ^
TBTJ [T, B, T, J] ^
51EI [5, 1, E, I] ^
4WBT [4, W, B, T] ^
EJ65 [E, J, 6, 5] ^
1VVS [1, V, V, S] ^
IUDT [I, U, D, T] ^
44DS [4, 4, D, S] ^
5USS [5, U, S, S] ^
ST5E [S, T, 5, E] ^
4H1D [4, H, 1, D] ^
WWU4 [W, W, U, 4] ^
4V6T [4, V, 6, T] ^
IEJJ [I, E, J, J] ^
1HU5 [1, H, U, 5] ^
SSB1 [S, S, B, 1] ^
4VUV [4, V, U, V] ^
EHBE [E, H, B, E] ^
5II6 [5, I, I, 6] ^
BUUH [B, U, U, H] ^
1U5H [1, U, 5, H] ^
4SEE [4, S, E, E] ^
6VJJ [6, V, J, J] ^
5JJE [5, J, J, E] ^
S64I [S, 6, 4, I] ^
6DD4 [6, D, D, 4] ^
IU1S [I, U, 1, S] ^
41HH [4, 1, H, H] ^
TJTU [T, J, T, U] ^
4DS5 [4, D, S, 5] ^
VT6U [V, T, 6, U] ^
6V4T [6, V, 4, T] ^
UV4U [U, V, 4, U] ^
4H4W [4, H, 4, W] ^
JTWW [J, T, W, W] ^
5T45 [5, T, 4, 5] ^
S6WV [S, 6, W, V] ^
4B1U [4, B, 1, U] ^
VVEJ [V, V, E, J] ^
1W6W [1, W, 6, W] ^
JIJD [J, I, J, D] ^
1DU4 [1, D, U, 4] ^
SSW4 [S, S, W, 4] ^
4U1V [4, U, 1, V] ^
1JD6 [1, J, D, 6] ^
4DVT [4, D, V, T] ^
56SW [5, 6, S, W] ^
EESV [E, E, S, V] ^
4V1I [4, V, 1, I] ^
THDU [T, H, D, U] ^
41TI [4, 1, T, I] ^
J4IU [J, 4, I, U] ^
4H5U [4, H, 5, U] ^
IHW5 [I, H, W, 5] ^
15B5 [1, 5, B, 5] ^
44JW [4, 4, J, W] ^
J11V [J, 1, 1, V] ^
54TE [5, 4, T, E] ^
EBEJ [E, B, E, J] ^
5SW6 [5, S, W, 6] ^
1UIB [1, U, I, B] ^
DI5H [D, I, 5, H] ^
4UES [4, U, E, S] ^
45BW [4, 5, B, W] ^
6TSH [6, T, S, H] ^
H4U5 [H, 4, U, 5] ^
1JSJ [1, J, S, J] ^
VUWU [V, U, W, U] ^
45HI [4, 5, H, I] ^
VD46 [V, D, 4, 6] ^
6BWD [6, B, W, D] ^
IBJJ [I, B, J, J] ^
6U4W [6, U, 4, W] ^
HEUH [H, E, U, H] ^
4455 [4, 4, 5, 5] ^
BBJU [B, B, J, U] ^
1ID6 [1, I, D, 6] ^
JUVB [J, U, V, B] ^
11B4 [1, 1, B, 4] ^
D11B [D, 1, 1, B] ^
11T4 [1, 1, T, 4] ^
B1ID [B, 1, I, D] ^
4H64 [4, H, 6, 4] ^
WDVE [W, D, V, E] ^
6EW6 [6, E, W, 6] ^
IV4S [I, V, 4, S] ^
6JT5 [6, J, T, 5] ^
T4DT [T, 4, D, T] ^
4VS5 [4, V, S, 5] ^
H6VB [H, 6, V, B] ^
5I4V [5, I, 4, V] ^
TB1B [T, B, 1, B] ^
5HSB [5, H, S, B] ^
4UV6 [4, U, V, 6] ^
HDBV [H, D, B, V] ^
6T6J [6, T, 6, J] ^
WV5T [W, V, 5, T] ^
1W6V [1, W, 6, V] ^
DEWS [D, E, W, S] ^
4U1B [4, U, 1, B] ^
ETSH [E, T, S, H] ^
44I4 [4, 4, I, 4] ^
SH1H [S, H, 1, H] ^
6UT6 [6, U, T, 6] ^
BVDD [B, V, D, D] ^
41EW [4, 1, E, W] ^
44ES [4, 4, E, S] ^
6IVH [6, I, V, H] ^
16JW [1, 6, J, W] ^
WWU6 [W, W, U, 6] ^
4SSD [4, S, S, D] ^
6IWH [6, I, W, H] ^
DHID [D, H, I, D] ^
1BIV [1, B, I, V] ^
HUB6 [H, U, B, 6] ^
6VUS [6, V, U, S] ^
6464 [6, 4, 6, 4] ^
W4ST [W, 4, S, T] ^
5EV5 [5, E, V, 5] ^
W1H1 [W, 1, H, 1] ^
64B4 [6, 4, B, 4] ^
JDWT [J, D, W, T] ^
4JVV [4, J, V, V] ^
EDUH [E, D, U, H] ^
646S [6, 4, 6, S] ^
TJ61 [T, J, 6, 1] ^
46VW [4, 6, V, W] ^
1UU4 [1, U, U, 4] ^
DVES [D, V, E, S] ^
66IB [6, 6, I, B] ^
WSJW [W, S, J, W] ^
1E5H [1, E, 5, H] ^
6J1S [6, J, 1, S] ^
VSE5 [V, S, E, 5] ^
5EVE [5, E, V, E] ^
6EVI [6, E, V, I] ^
4SVU [4, S, V, U] ^
HU5B [H, U, 5, B] ^
55BB [5, 5, B, B] ^
TEV6 [T, E, V, 6] ^
5IWJ [5, I, W, J] ^
IWIH [I, W, I, H] ^
6VEH [6, V, E, H] ^
41BD [4, 1, B, D] ^
1IBJ [1, I, B, J] ^
4UB6 [4, U, B, 6] ^
DUHW [D, U, H, W] ^
54B4 [5, 4, B, 4] ^
6SUW [6, S, U, W] ^
ETHE [E, T, H, E] ^
14IJ [1, 4, I, J] ^
B464 [B, 4, 6, 4] ^
5JWW [5, J, W, W] ^
UHUJ [U, H, U, J] ^
1D1D [1, D, 1, D] ^
I4TE [I, 4, T, E] ^
1I6W [1, I, 6, W] ^
HJBE [H, J, B, E] ^
4H14 [4, H, 1, 4] ^
IJE6 [I, J, E, 6] ^
5DH5 [5, D, H, 5] ^
SWE5 [S, W, E, 5] ^
65J4 [6, 5, J, 4] ^
H54W [H, 5, 4, W] ^
5TEV [5, T, E, V] ^
TIB5 [T, I, B, 5] ^
6BTW [6, B, T, W] ^
TVEJ [T, V, E, J] ^
4DBJ [4, D, B, J] ^
5SVH [5, S, V, H] ^
HEUW [H, E, U, W] ^
54EE [5, 4, E, E] ^
DH1B [D, H, 1, B] ^
6JTU [6, J, T, U] ^
HJ5I [H, J, 5, I] ^
41DV [4, 1, D, V] ^
H4UJ [H, 4, U, J] ^
46UI [4, 6, U, I] ^
4SB1 [4, S, B, 1] ^
5H51 [5, H, 5, 1] ^
66IE [6, 6, I, E] ^
BWVS [B, W, V, S] ^
4HWH [4, H, W, H] ^
TTSJ [T, T, S, J] ^
1ETT [1, E, T, T] ^
BWV4 [B, W, V, 4] ^
6BE4 [6, B, E, 4] ^
BJSE [B, J, S, E] ^
61UE [6, 1, U, E] ^
HDWW [H, D, W, W] ^
1EV5 [1, E, V, 5] ^
WEW1 [W, E, W, 1] ^
5JDE [5, J, D, E] ^
4T64 [4, T, 6, 4] ^
JWBW [J, W, B, W] ^
1145 [1, 1, 4, 5] ^
W1BS [W, 1, B, S] ^
5EBT [5, E, B, T] ^
J51T [J, 5, 1, T] ^
51WE [5, 1, W, E] ^
E4V5 [E, 4, V, 5] ^
5UVB [5, U, V, B] ^
E1IH [E, 1, I, H] ^
64BS [6, 4, B, S] ^
US4D [U, S, 4, D] ^
5SW6 [5, S, W, 6] ^
4W64 [4, W, 6, 4] ^
J1WW [J, 1, W, W] ^
1I6V [1, I, 6, V] ^
5V4U [5, V, 4, U] ^
TDH1 [T, D, H, 1] ^
51D5 [5, 1, D, 5] ^
EHJ5 [E, H, J, 5] ^
56U5 [5, 6, U, 5] ^
1WE6 [1, W, E, 6] ^
HUS1 [H, U, S, 1] ^
6EJ6 [6, E, J, 6] ^
IBDH [I, B, D, H] ^
1U54 [1, U, 5, 4] ^
S5WI [S, 5, W, I] ^
5H5H [5, H, 5, H] ^
J6W1 [J, 6, W, 1] ^
46WE [4, 6, W, E] ^
VIBI [V, I, B, I] ^
4ID1 [4, I, D, 1] ^
TV5B [T, V, 5, B] ^
54JE [5, 4, J, E] ^
JWW6 [J, W, W, 6] ^
1H4D [1, H, 4, D] ^
HJI4 [H, J, I, 4] ^
66EI [6, 6, E, I] ^
BSH1 [B, S, H, 1] ^
1HEE [1, H, E, E] ^
UBEH [U, B, E, H] ^
11V4 [1, 1, V, 4] ^
WVJV [W, V, J, V] ^
5IH6 [5, I, H, 6] ^
BEHI [B, E, H, I] ^
44EI [4, 4, E, I] ^
SVDB [S, V, D, B] ^
6WEW [6, W, E, W] ^
W1IV [W, 1, I, V] ^
4TDH [4, T, D, H] ^
6456 [6, 4, 5, 6] ^
TV5E [T, V, 5, E] ^
55WB [5, 5, W, B] ^
JJ1J [J, J, 1, J] ^
4HBE [4, H, B, E] ^
V5BU [V, 5, B, U] ^
4SW1 [4, S, W, 1] ^
EEDW [E, E, D, W] ^
4IH4 [4, I, H, 4] ^
U4V6 [U, 4, V, 6] ^
55UD [5, 5, U, D] ^
TJS6 [T, J, S, 6] ^
5HWU [5, H, W, U] ^
V4H4 [V, 4, H, 4] ^
5H6V [5, H, 6, V] ^
J1TD [J, 1, T, D] ^
6JBS [6, J, B, S] ^
VU16 [V, U, 1, 6] ^
65UI [6, 5, U, I] ^
IBBU [I, B, B, U] ^
4I5B [4, I, 5, B] ^
ES46 [E, S, 4, 6] ^
54JD [5, 4, J, D] ^
T1TJ [T, 1, T, J] ^
65IV [6, 5, I, V] ^
JE1H [J, E, 1, H] ^
1166 [1, 1, 6, 6] ^
IHJI [I, H, J, I] ^
6SVS [6, S, V, S] ^
TUEI [T, U, E, I] ^
5STS [5, S, T, S] ^
661E [6, 6, 1, E] ^
EDBJ [E, D, B, J] ^
6UU5 [6, U, U, 5] ^
T6IV [T, 6, I, V] ^
5HVB [5, H, V, B] ^
EVUS [E, V, U, S] ^
1DD6 [1, D, D, 6] ^
S1DV [S, 1, D, V] ^
5BWD [5, B, W, D] ^
66U1 [6, 6, U, 1] ^
VHIW [V, H, I, W] ^
4STW [4, S, T, W] ^
V5HI [V, 5, H, I] ^
4JW5 [4, J, W, 5] ^
DHT4 [D, H, T, 4] ^
4JJ5 [4, J, J, 5] ^
HIH5 [H, I, H, 5] ^
1V1H [1, V, 1, H] ^
EB6T [E, B, 6, T] ^
5UDJ [5, U, D, J] ^
H6B5 [H, 6, B, 5] ^
1UIE [1, U, I, E] ^
ES6J [E, S, 6, J] ^
6BI6 [6, B, I, 6] ^
BD6T [B, D, 6, T] ^
5HET [5, H, E, T] ^
6J45 [6, J, 4, 5] ^
U4HV [U, 4, H, V] ^
4II1 [4, I, I, 1] ^
IST6 [I, S, T, 6] ^
6JUD [6, J, U, D] ^
1D1S [1, D, 1, S] ^
6I14 [6, I, 1, 4] ^
IUHT [I, U, H, T] ^
46ES [4, 6, E, S] ^
D6DS [D, 6, D, S] ^
1UB4 [1, U, B, 4] ^
JBBH [J, B, B, H] ^
6SIT [6, S, I, T] ^
T4D4 [T, 4, D, 4] ^
6WDS [6, W, D, S] ^
TSJE [T, S, J, E] ^
54SJ [5, 4, S, J] ^
EUD5 [E, U, D, 5] ^
6UJW [6, U, J, W] ^
VVSV [V, V, S, V] ^
1BWW [1, B, W, W] ^
TU46 [T, U, 4, 6] ^
645D [6, 4, 5, D] ^
14DH [1, 4, D, H] ^
TWIW [T, W, I, W] ^
1H6T [1, H, 6, T] ^
B4SS [B, 4, S, S] ^
6BUW [6, B, U, W] ^
HWB6 [H, W, B, 6] ^
56T5 [5, 6, T, 5] ^
HSDS [H, S, D, S] ^
6U5U [6, U, 5, U] ^
BJ6S [B, J, 6, S] ^
1WSD [1, W, S, D] ^
HDBI [H, D, B, I] ^
65WD [6, 5, W, D] ^
E6D1 [E, 6, D, 1] ^
61ED [6, 1, E, D] ^
THIS [T, H, I, S] ^
5UHW [5, U, H, W] ^
4U65 [4, U, 6, 5] ^
VUSW [V, U, S, W] ^
16BJ [1, 6, B, J] ^
SVV6 [S, V, V, 6] ^
11HB [1, 1, H, B] ^
U4SU [U, 4, S, U] ^
4ITW [4, I, T, W] ^
SBTE [S, B, T, E] ^
1WUB [1, W, U, B] ^
EUT5 [E, U, T, 5] ^
646E [6, 4, 6, E] ^
H5ED [H, 5, E, D] ^
65DD [6, 5, D, D] ^
I6J6 [I, 6, J, 6] ^
1HUT [1, H, U, T] ^
TV5I [T, V, 5, I] ^
44EE [4, 4, E, E] ^
VD4T [V, D, 4, T] ^
4DJT [4, D, J, T] ^
5VDE [5, V, D, E] ^
JTJV [J, T, J, V] ^
4UUU [4, U, U, U] ^
HS61 [H, S, 6, 1] ^
166B [1, 6, 6, B] ^
5VST [5, V, S, T] ^
BWUW [B, W, U, W] ^
4W6W [4, W, 6, W] ^
B5EB [B, 5, E, B] ^
1SJ1 [1, S, J, 1] ^
15BW [1, 5, B, W] ^
U1H6 [U, 1, H, 6] ^
1VJJ [1, V, J, J] ^
6WTH [6, W, T, H] ^
EWIU [E, W, I, U] ^
6SD5 [6, S, D, 5] ^
BUBD [B, U, B, D] ^
66T5 [6, 6, T, 5] ^
1SJD [1, S, J, D] ^
TBHH [T, B, H, H] ^
4BUD [4, B, U, D] ^
JJTT [J, J, T, T] ^
4T1B [4, T, 1, B] ^
TJT1 [T, J, T, 1] ^
56DV [5, 6, D, V] ^
IDD1 [I, D, D, 1] ^
5DI5 [5, D, I, 5] ^
UBSH [U, B, S, H] ^
6U45 [6, U, 4, 5] ^
41DI [4, 1, D, I] ^
TJDV [T, J, D, V] ^
1JS6 [1, J, S, 6] ^
6UJU [6, U, J, U] ^
64VV [6, 4, V, V] ^
TJDV [T, J, D, V] ^
4WV1 [4, W, V, 1] ^
DUU4 [D, U, U, 4] ^
56TH [5, 6, T, H] ^
ISD6 [I, S, D, 6] ^
15TT [1, 5, T, T] ^
DJ44 [D, J, 4, 4] ^
4B4V [4, B, 4, V] ^
THI4 [T, H, I, 4] ^
15IJ [1, 5, I, J] ^
UETW [U, E, T, W] ^
1HIV [1, H, I, V] ^
IIIH [I, I, I, H] ^
6BEH [6, B, E, H] ^
4E5D [4, E, 5, D] ^
551D [5, 5, 1, D] ^
W5V4 [W, 5, V, 4] ^
45TS [4, 5, T, S] ^
1TBE [1, T, B, E] ^
5U1S [5, U, 1, S] ^
BV4B [B, V, 4, B] ^
166T [1, 6, 6, T] ^
6BII [6, B, I, I] ^
UUES [U, U, E, S] ^
1I1I [1, I, 1, I] ^
UDHT [U, D, H, T] ^
441V [4, 4, 1, V] ^
J1WJ [J, 1, W, J] ^
5DUT [5, D, U, T] ^
54WB [5, 4, W, B] ^
6ITH [6, I, T, H] ^
BIW6 [B, I, W, 6] ^
4UJJ [4, U, J, J] ^
E51V [E, 5, 1, V] ^
5US1 [5, U, S, 1] ^
HB1V [H, B, 1, V] ^
4541 [4, 5, 4, 1] ^
UVJE [U, V, J, E] ^
6514 [6, 5, 1, 4] ^
JWI5 [J, W, I, 5] ^
1THB [1, T, H, B] ^
JWJU [J, W, J, U] ^
66JB [6, 6, J, B] ^
1B11 [1, B, 1, 1] ^
HETI [H, E, T, I] ^
6BTS [6, B, T, S] ^
TI6S [T, I, 6, S] ^
45VS [4, 5, V, S] ^
EE4E [E, E, 4, E] ^
5STH [5, S, T, H] ^
UUU4 [U, U, U, 4] ^
451J [4, 5, 1, J] ^
TWHS [T, W, H, S] ^
465I [4, 6, 5, I] ^
6I11 [6, I, 1, 1] ^
T66B [T, 6, 6, B] ^
6JD1 [6, J, D, 1] ^
5W4S [5, W, 4, S] ^
E5HV [E, 5, H, V] ^
1WBU [1, W, B, U] ^
WTJT [W, T, J, T] ^
6I61 [6, I, 6, 1] ^
JI41 [J, I, 4, 1] ^
5S1D [5, S, 1, D] ^
ETBB [E, T, B, B] ^
14S5 [1, 4, S, 5] ^
D1ES [D, 1, E, S] ^
1VE6 [1, V, E, 6] ^
H6EB [H, 6, E, B] ^
4E4D [4, E, 4, D] ^
BIS4 [B, I, S, 4] ^
5HWI [5, H, W, I] ^
6UHU [6, U, H, U] ^
TU51 [T, U, 5, 1] ^
5I1H [5, I, 1, H] ^
4664 [4, 6, 6, 4] ^
TD5B [T, D, 5, B] ^
5BBV [5, B, B, V] ^
J4H4 [J, 4, H, 4] ^
565J [5, 6, 5, J] ^
6DSJ [6, D, S, J] ^
W44W [W, 4, 4, W] ^
1JE6 [1, J, E, 6] ^
I6J1 [I, 6, J, 1] ^
6TEJ [6, T, E, J] ^
EJD1 [E, J, D, 1] ^
44B5 [4, 4, B, 5] ^
EWBW [E, W, B, W] ^
46EE [4, 6, E, E] ^
IUW5 [I, U, W, 5] ^
55US [5, 5, U, S] ^
B6UV [B, 6, U, V] ^
4H1B [4, H, 1, B] ^
ETHB [E, T, H, B] ^
4HHH [4, H, H, H] ^
WJWU [W, J, W, U] ^
4JI5 [4, J, I, 5] ^
1WU4 [1, W, U, 4] ^
WHSJ [W, H, S, J] ^
1V64 [1, V, 6, 4] ^
DDIS [D, D, I, S] ^
4ESE [4, E, S, E] ^
64BD [6, 4, B, D] ^
5JHJ [5, J, H, J] ^
DDIW [D, D, I, W] ^
1VTH [1, V, T, H] ^
TVE5 [T, V, E, 5] ^
41D4 [4, 1, D, 4] ^
VHSI [V, H, S, I] ^
1SB1 [1, S, B, 1] ^
IB55 [I, B, 5, 5] ^
4JIS [4, J, I, S] ^
6J14 [6, J, 1, 4] ^
44HS [4, 4, H, S] ^
THD5 [T, H, D, 5] ^
5I1T [5, I, 1, T] ^
EWUE [E, W, U, E] ^
15UH [1, 5, U, H] ^
BUWH [B, U, W, H] ^
5JJV [5, J, J, V] ^
D45S [D, 4, 5, S] ^
1WS6 [1, W, S, 6] ^
J56V [J, 5, 6, V] ^
5B14 [5, B, 1, 4] ^
TTBU [T, T, B, U] ^
6HJJ [6, H, J, J] ^
S5EI [S, 5, E, I] ^
4ITS [4, I, T, S] ^
S1VU [S, 1, V, U] ^
54WB [5, 4, W, B] ^
BIS4 [B, I, S, 4] ^
5TS4 [5, T, S, 4] ^
WEUW [W, E, U, W] ^
4HH6 [4, H, H, 6] ^
D616 [D, 6, 1, 6] ^
1165 [1, 1, 6, 5] ^
E6UT [E, 6, U, T] ^
6BV4 [6, B, V, 4] ^
D4S1 [D, 4, S, 1] ^
6ET4 [6, E, T, 4] ^
5UHU [5, U, H, U] ^
I1EB [I, 1, E, B] ^
5DEI [5, D, E, I] ^
6DUT [6, D, U, T] ^
TEEB [T, E, E, B] ^
654H [6, 5, 4, H] ^
DE1J [D, E, 1, J] ^
1HEJ [1, H, E, J] ^
D51I [D, 5, 1, I] ^
16BV [1, 6, B, V] ^
6UV5 [6, U, V, 5] ^
16EU [1, 6, E, U] ^
VEVI [V, E, V, I] ^
4E55 [4, E, 5, 5] ^
4TWU [4, T, W, U] ^
1EJ5 [1, E, J, 5] ^
UH1W [U, H, 1, W] ^
1DDW [1, D, D, W] ^
E4VU [E, 4, V, U] ^
5EIJ [5, E, I, J] ^
B6EJ [B, 6, E, J] ^
16SV [1, 6, S, V] ^
TT6E [T, T, 6, E] ^
4UIW [4, U, I, W] ^
UVJ5 [U, V, J, 5] ^
4WB4 [4, W, B, 4] ^
I6TU [I, 6, T, U] ^
6H15 [6, H, 1, 5] ^
66JV [6, 6, J, V] ^
JE5U [J, E, 5, U] ^
6IJ4 [6, I, J, 4] ^
146H [1, 4, 6, H] ^
WD6V [W, D, 6, V] ^
1EW1 [1, E, W, 1] ^
64B6 [6, 4, B, 6] ^
46HT [4, 6, H, T] ^
T1SE [T, 1, S, E] ^
5BUJ [5, B, U, J] ^
VVST [V, V, S, T] ^
4H6D [4, H, 6, D] ^
VTHT [V, T, H, T] ^
1EDJ [1, E, D, J] ^
IHJT [I, H, J, T] ^
64TT [6, 4, T, T] ^
5TUH [5, T, U, H] ^
1EJS [1, E, J, S] ^
SS1I [S, S, 1, I] ^
4S15 [4, S, 1, 5] ^
D1IS [D, 1, I, S] ^
6WD6 [6, W, D, 6] ^
HSJ6 [H, S, J, 6] ^
4HDI [4, H, D, I] ^
UUJS [U, U, J, S] ^
411S [4, 1, 1, S] ^
4ST6 [4, S, T, 6] ^
UTVH [U, T, V, H] ^
45DW [4, 5, D, W] ^
SJH1 [S, J, H, 1] ^
65W4 [6, 5, W, 4] ^
S5BB [S, 5, B, B] ^
6SW5 [6, S, W, 5] ^
65HD [6, 5, H, D] ^
4D4E [4, D, 4, E] ^
6J1V [6, J, 1, V] ^
EJ1J [E, J, 1, J] ^
6SV4 [6, S, V, 4] ^
EEWV [E, E, W, V] ^
5ISB [5, I, S, B] ^
6W4V [6, W, 4, V] ^
