5NN HAS [5 N N, H A S, Hastings County]^
5NN BRA [5 N N, B R A, City of Brant]^
5NN MAN [5 N N, M A N, Manitoulin District]^
5NN WEL [5 N N, W E L, Wellington County]^
5NN PRU [5 N N, P R U, United Counties of Prescott & Russell]^
5NN LGR [5 N N, L G R, Leeds & Grenville United Counties]^
5NN RAI [5 N N, R A I, Rainy River District]^
5NN LAN [5 N N, L A N, Lanark County]^
5NN ESX [5 N N, E S X, Essex County]^
5NN PSD [5 N N, P S D, Parry Sound District]^
5NN ALG [5 N N, A L G, Algoma District]^
5NN TBY [5 N N, T B Y, Thunder Bay District]^
5NN HLB [5 N N, H L B, Haliburton County]^
5NN HTN [5 N N, H T N, Halton Regional Municipality]^
5NN PET [5 N N, P E T, Peterborough County]^
5NN NIA [5 N N, N I A, Niagara Regional Municipality]^
5NN LAM [5 N N, L A M, Lambton County]^
5NN COC [5 N N, C O C, Cochrane District]^
5NN PED [5 N N, P E D, City of Prince Edward]^
5NN PER [5 N N, P E R, Perth County]^
5NN DUR [5 N N, D U R, Durham Regional Municipality]^
5NN BRU [5 N N, B R U, Bruce County]^
5NN HAM [5 N N, H A M, City of Hamilton]^
5NN SUD [5 N N, S U D, Sudbury District]^
5NN HUR [5 N N, H U R, Huron County]^
5NN LXA [5 N N, L X A, Lennox-Addington County]^
5NN NOR [5 N N, N O R, Northumberland County]^
5NN DUF [5 N N, D U F, Dufferin County]^
5NN GRY [5 N N, G R Y, Grey County]^
5NN MUS [5 N N, M U S, Muskoka District]^
5NN TOR [5 N N, T O R, City of Toronto]^
5NN HAS [5 N N, H A S, Hastings County]^
5NN NFK [5 N N, N F K, Town of Norfolk]^
5NN FRO [5 N N, F R O, Frontenac County]^
5NN OXF [5 N N, O X F, Oxford County]^
5NN CHK [5 N N, C H K, City of Chatham-Kent]^
5NN BFD [5 N N, B F D, City of Brantford]^
5NN WAT [5 N N, W A T, Waterloo Regional Municipality]^
5NN SIM [5 N N, S I M, Simcoe County]^
5NN HAM [5 N N, H A M, City of Hamilton]^
5NN PED [5 N N, P E D, City of Prince Edward]^
5NN ESX [5 N N, E S X, Essex County]^
5NN LGR [5 N N, L G R, Leeds & Grenville United Counties]^
5NN GRY [5 N N, G R Y, Grey County]^
5NN SIM [5 N N, S I M, Simcoe County]^
5NN ELG [5 N N, E L G, Elgin County]^
5NN LAM [5 N N, L A M, Lambton County]^
5NN KEN [5 N N, K E N, Kenora District]^
5NN WAT [5 N N, W A T, Waterloo Regional Municipality]^
5NN ALG [5 N N, A L G, Algoma District]^
5NN DUF [5 N N, D U F, Dufferin County]^
5NN NFK [5 N N, N F K, Town of Norfolk]^
5NN BRU [5 N N, B R U, Bruce County]^
5NN COC [5 N N, C O C, Cochrane District]^
5NN PEL [5 N N, P E L, Peel Regional Municipality]^
5NN TOR [5 N N, T O R, City of Toronto]^
5NN WEL [5 N N, W E L, Wellington County]^
5NN MUS [5 N N, M U S, Muskoka District]^
5NN BRA [5 N N, B R A, City of Brant]^
5NN TIM [5 N N, T I M, Timiskaming District]^
5NN REN [5 N N, R E N, Renfrew County]^
5NN NIP [5 N N, N I P, Nipissing District]^
5NN SUD [5 N N, S U D, Sudbury District]^
5NN PSD [5 N N, P S D, Parry Sound District]^
5NN PET [5 N N, P E T, Peterborough County]^
5NN OTT [5 N N, O T T, City of Ottawa]^
5NN PER [5 N N, P E R, Perth County]^
5NN FRO [5 N N, F R O, Frontenac County]^
5NN NIA [5 N N, N I A, Niagara Regional Municipality]^
5NN RAI [5 N N, R A I, Rainy River District]^
5NN LXA [5 N N, L X A, Lennox-Addington County]^
5NN NOR [5 N N, N O R, Northumberland County]^
5NN OXF [5 N N, O X F, Oxford County]^
5NN PRU [5 N N, P R U, United Counties of Prescott & Russell]^
5NN HUR [5 N N, H U R, Huron County]^
5NN KAW [5 N N, K A W, City of Kawartha Lakes]^
5NN SDG [5 N N, S D G, United Counties of Stormont, Dundas, and Glengarry]^
5NN MAN [5 N N, M A N, Manitoulin District]^
5NN CHK [5 N N, C H K, City of Chatham-Kent]^
5NN TBY [5 N N, T B Y, Thunder Bay District]^
5NN BFD [5 N N, B F D, City of Brantford]^
5NN HAL [5 N N, H A L, Town of Haldimand]^
5NN MSX [5 N N, M S X, Middlesex County]^
5NN LAN [5 N N, L A N, Lanark County]^
5NN HAS [5 N N, H A S, Hastings County]^
5NN YRK [5 N N, Y R K, York Regional Municipality]^
5NN HLB [5 N N, H L B, Haliburton County]^
5NN DUR [5 N N, D U R, Durham Regional Municipality]^
5NN HTN [5 N N, H T N, Halton Regional Municipality]^
5NN GRY [5 N N, G R Y, Grey County]^
5NN PEL [5 N N, P E L, Peel Regional Municipality]^
5NN SIM [5 N N, S I M, Simcoe County]^
5NN HTN [5 N N, H T N, Halton Regional Municipality]^
5NN MSX [5 N N, M S X, Middlesex County]^
5NN DUR [5 N N, D U R, Durham Regional Municipality]^
5NN CHK [5 N N, C H K, City of Chatham-Kent]^
5NN NIA [5 N N, N I A, Niagara Regional Municipality]^
5NN HAM [5 N N, H A M, City of Hamilton]^
5NN NOR [5 N N, N O R, Northumberland County]^
5NN ESX [5 N N, E S X, Essex County]^
5NN OTT [5 N N, O T T, City of Ottawa]^
5NN HAL [5 N N, H A L, Town of Haldimand]^
5NN SDG [5 N N, S D G, United Counties of Stormont, Dundas, and Glengarry]^
5NN PER [5 N N, P E R, Perth County]^
5NN LXA [5 N N, L X A, Lennox-Addington County]^
5NN ELG [5 N N, E L G, Elgin County]^
5NN HUR [5 N N, H U R, Huron County]^
5NN RAI [5 N N, R A I, Rainy River District]^
5NN NIP [5 N N, N I P, Nipissing District]^
5NN YRK [5 N N, Y R K, York Regional Municipality]^
5NN PRU [5 N N, P R U, United Counties of Prescott & Russell]^
5NN LAM [5 N N, L A M, Lambton County]^
5NN TOR [5 N N, T O R, City of Toronto]^
5NN KEN [5 N N, K E N, Kenora District]^
5NN SUD [5 N N, S U D, Sudbury District]^
5NN KAW [5 N N, K A W, City of Kawartha Lakes]^
5NN TIM [5 N N, T I M, Timiskaming District]^
5NN OXF [5 N N, O X F, Oxford County]^
5NN COC [5 N N, C O C, Cochrane District]^
5NN REN [5 N N, R E N, Renfrew County]^
5NN DUF [5 N N, D U F, Dufferin County]^
5NN LGR [5 N N, L G R, Leeds & Grenville United Counties]^
5NN BRU [5 N N, B R U, Bruce County]^
5NN LAN [5 N N, L A N, Lanark County]^
5NN PED [5 N N, P E D, City of Prince Edward]^
5NN ALG [5 N N, A L G, Algoma District]^
5NN HLB [5 N N, H L B, Haliburton County]^
5NN BRA [5 N N, B R A, City of Brant]^
5NN WEL [5 N N, W E L, Wellington County]^
5NN WAT [5 N N, W A T, Waterloo Regional Municipality]^
5NN BFD [5 N N, B F D, City of Brantford]^
5NN TBY [5 N N, T B Y, Thunder Bay District]^
5NN MUS [5 N N, M U S, Muskoka District]^
5NN NFK [5 N N, N F K, Town of Norfolk]^
5NN PSD [5 N N, P S D, Parry Sound District]^
5NN FRO [5 N N, F R O, Frontenac County]^
5NN HAS [5 N N, H A S, Hastings County]^
5NN PET [5 N N, P E T, Peterborough County]^
5NN MAN [5 N N, M A N, Manitoulin District]^
5NN HUR [5 N N, H U R, Huron County]^
5NN HTN [5 N N, H T N, Halton Regional Municipality]^
5NN PED [5 N N, P E D, City of Prince Edward]^
5NN PET [5 N N, P E T, Peterborough County]^
5NN NIA [5 N N, N I A, Niagara Regional Municipality]^
5NN HAS [5 N N, H A S, Hastings County]^
5NN GRY [5 N N, G R Y, Grey County]^
5NN TOR [5 N N, T O R, City of Toronto]^
5NN DUF [5 N N, D U F, Dufferin County]^
5NN TBY [5 N N, T B Y, Thunder Bay District]^
5NN FRO [5 N N, F R O, Frontenac County]^
5NN LXA [5 N N, L X A, Lennox-Addington County]^
5NN WAT [5 N N, W A T, Waterloo Regional Municipality]^
5NN PSD [5 N N, P S D, Parry Sound District]^
5NN NIP [5 N N, N I P, Nipissing District]^
5NN REN [5 N N, R E N, Renfrew County]^
5NN BFD [5 N N, B F D, City of Brantford]^
5NN WEL [5 N N, W E L, Wellington County]^
5NN TIM [5 N N, T I M, Timiskaming District]^
5NN MSX [5 N N, M S X, Middlesex County]^
5NN HLB [5 N N, H L B, Haliburton County]^
5NN PEL [5 N N, P E L, Peel Regional Municipality]^
5NN HAL [5 N N, H A L, Town of Haldimand]^
5NN PER [5 N N, P E R, Perth County]^
5NN NFK [5 N N, N F K, Town of Norfolk]^
5NN SUD [5 N N, S U D, Sudbury District]^
5NN ALG [5 N N, A L G, Algoma District]^
5NN DUR [5 N N, D U R, Durham Regional Municipality]^
5NN MAN [5 N N, M A N, Manitoulin District]^
5NN BRA [5 N N, B R A, City of Brant]^
5NN PRU [5 N N, P R U, United Counties of Prescott & Russell]^
5NN SIM [5 N N, S I M, Simcoe County]^
5NN OTT [5 N N, O T T, City of Ottawa]^
5NN KAW [5 N N, K A W, City of Kawartha Lakes]^
5NN HAM [5 N N, H A M, City of Hamilton]^
5NN KEN [5 N N, K E N, Kenora District]^
5NN RAI [5 N N, R A I, Rainy River District]^
5NN LGR [5 N N, L G R, Leeds & Grenville United Counties]^
5NN ESX [5 N N, E S X, Essex County]^
5NN CHK [5 N N, C H K, City of Chatham-Kent]^
5NN LAN [5 N N, L A N, Lanark County]^
5NN BRU [5 N N, B R U, Bruce County]^
5NN NOR [5 N N, N O R, Northumberland County]^
5NN YRK [5 N N, Y R K, York Regional Municipality]^
5NN LAM [5 N N, L A M, Lambton County]^
5NN ELG [5 N N, E L G, Elgin County]^
5NN OXF [5 N N, O X F, Oxford County]^
5NN SDG [5 N N, S D G, United Counties of Stormont, Dundas, and Glengarry]^
5NN COC [5 N N, C O C, Cochrane District]^
5NN MUS [5 N N, M U S, Muskoka District]^
5NN DUR [5 N N, D U R, Durham Regional Municipality]^
5NN MUS [5 N N, M U S, Muskoka District]^
5NN PRU [5 N N, P R U, United Counties of Prescott & Russell]^
5NN BRA [5 N N, B R A, City of Brant]^
5NN PED [5 N N, P E D, City of Prince Edward]^
5NN TBY [5 N N, T B Y, Thunder Bay District]^
5NN CHK [5 N N, C H K, City of Chatham-Kent]^
5NN HAS [5 N N, H A S, Hastings County]^
5NN ELG [5 N N, E L G, Elgin County]^
5NN RAI [5 N N, R A I, Rainy River District]^
5NN LAN [5 N N, L A N, Lanark County]^
5NN WAT [5 N N, W A T, Waterloo Regional Municipality]^
5NN NIP [5 N N, N I P, Nipissing District]^
5NN HAM [5 N N, H A M, City of Hamilton]^
5NN NFK [5 N N, N F K, Town of Norfolk]^
5NN HTN [5 N N, H T N, Halton Regional Municipality]^
5NN NIA [5 N N, N I A, Niagara Regional Municipality]^
5NN COC [5 N N, C O C, Cochrane District]^
5NN FRO [5 N N, F R O, Frontenac County]^
5NN PSD [5 N N, P S D, Parry Sound District]^
5NN PET [5 N N, P E T, Peterborough County]^
5NN ESX [5 N N, E S X, Essex County]^
5NN HAL [5 N N, H A L, Town of Haldimand]^
5NN DUF [5 N N, D U F, Dufferin County]^
5NN SDG [5 N N, S D G, United Counties of Stormont, Dundas, and Glengarry]^
5NN SIM [5 N N, S I M, Simcoe County]^
5NN KEN [5 N N, K E N, Kenora District]^
5NN BRU [5 N N, B R U, Bruce County]^
5NN HLB [5 N N, H L B, Haliburton County]^
5NN HUR [5 N N, H U R, Huron County]^
5NN LAM [5 N N, L A M, Lambton County]^
5NN GRY [5 N N, G R Y, Grey County]^
5NN BFD [5 N N, B F D, City of Brantford]^
5NN PER [5 N N, P E R, Perth County]^
5NN TOR [5 N N, T O R, City of Toronto]^
5NN ALG [5 N N, A L G, Algoma District]^
5NN OTT [5 N N, O T T, City of Ottawa]^
5NN PEL [5 N N, P E L, Peel Regional Municipality]^
5NN KAW [5 N N, K A W, City of Kawartha Lakes]^
5NN REN [5 N N, R E N, Renfrew County]^
5NN SUD [5 N N, S U D, Sudbury District]^
5NN LXA [5 N N, L X A, Lennox-Addington County]^
5NN MAN [5 N N, M A N, Manitoulin District]^
5NN YRK [5 N N, Y R K, York Regional Municipality]^
5NN MSX [5 N N, M S X, Middlesex County]^
5NN LGR [5 N N, L G R, Leeds & Grenville United Counties]^
5NN NOR [5 N N, N O R, Northumberland County]^
5NN WEL [5 N N, W E L, Wellington County]^
5NN TIM [5 N N, T I M, Timiskaming District]^
5NN OXF [5 N N, O X F, Oxford County]^
5NN ELG [5 N N, E L G, Elgin County]^
5NN SDG [5 N N, S D G, United Counties of Stormont, Dundas, and Glengarry]^
5NN HLB [5 N N, H L B, Haliburton County]^
5NN DUF [5 N N, D U F, Dufferin County]^
5NN LAN [5 N N, L A N, Lanark County]^
5NN KEN [5 N N, K E N, Kenora District]^
5NN KAW [5 N N, K A W, City of Kawartha Lakes]^
5NN PSD [5 N N, P S D, Parry Sound District]^
5NN PET [5 N N, P E T, Peterborough County]^
5NN HAS [5 N N, H A S, Hastings County]^
5NN PER [5 N N, P E R, Perth County]^
5NN BRA [5 N N, B R A, City of Brant]^
5NN NOR [5 N N, N O R, Northumberland County]^
5NN GRY [5 N N, G R Y, Grey County]^
5NN YRK [5 N N, Y R K, York Regional Municipality]^
5NN ESX [5 N N, E S X, Essex County]^
5NN HAM [5 N N, H A M, City of Hamilton]^
5NN LGR [5 N N, L G R, Leeds & Grenville United Counties]^
5NN HTN [5 N N, H T N, Halton Regional Municipality]^
5NN PED [5 N N, P E D, City of Prince Edward]^
5NN LXA [5 N N, L X A, Lennox-Addington County]^
5NN CHK [5 N N, C H K, City of Chatham-Kent]^
5NN ALG [5 N N, A L G, Algoma District]^
5NN REN [5 N N, R E N, Renfrew County]^
5NN WEL [5 N N, W E L, Wellington County]^
5NN SUD [5 N N, S U D, Sudbury District]^
5NN TIM [5 N N, T I M, Timiskaming District]^
5NN HAL [5 N N, H A L, Town of Haldimand]^
5NN TOR [5 N N, T O R, City of Toronto]^
5NN PRU [5 N N, P R U, United Counties of Prescott & Russell]^
5NN COC [5 N N, C O C, Cochrane District]^
5NN NIA [5 N N, N I A, Niagara Regional Municipality]^
5NN FRO [5 N N, F R O, Frontenac County]^
5NN DUR [5 N N, D U R, Durham Regional Municipality]^
5NN OXF [5 N N, O X F, Oxford County]^
5NN HUR [5 N N, H U R, Huron County]^
5NN PEL [5 N N, P E L, Peel Regional Municipality]^
5NN NFK [5 N N, N F K, Town of Norfolk]^
5NN MSX [5 N N, M S X, Middlesex County]^
5NN MUS [5 N N, M U S, Muskoka District]^
5NN RAI [5 N N, R A I, Rainy River District]^
5NN BRU [5 N N, B R U, Bruce County]^
5NN BFD [5 N N, B F D, City of Brantford]^
5NN SIM [5 N N, S I M, Simcoe County]^
5NN WAT [5 N N, W A T, Waterloo Regional Municipality]^
5NN TBY [5 N N, T B Y, Thunder Bay District]^
5NN NIP [5 N N, N I P, Nipissing District]^
5NN LAM [5 N N, L A M, Lambton County]^
5NN MAN [5 N N, M A N, Manitoulin District]^
5NN OTT [5 N N, O T T, City of Ottawa]^
5NN MUS [5 N N, M U S, Muskoka District]^
5NN SIM [5 N N, S I M, Simcoe County]^
5NN HAS [5 N N, H A S, Hastings County]^
5NN BRU [5 N N, B R U, Bruce County]^
5NN PER [5 N N, P E R, Perth County]^
5NN PSD [5 N N, P S D, Parry Sound District]^
5NN ESX [5 N N, E S X, Essex County]^
5NN HAL [5 N N, H A L, Town of Haldimand]^
5NN ALG [5 N N, A L G, Algoma District]^
5NN COC [5 N N, C O C, Cochrane District]^
5NN PET [5 N N, P E T, Peterborough County]^
5NN WEL [5 N N, W E L, Wellington County]^
5NN NFK [5 N N, N F K, Town of Norfolk]^
5NN FRO [5 N N, F R O, Frontenac County]^
5NN SDG [5 N N, S D G, United Counties of Stormont, Dundas, and Glengarry]^
5NN SUD [5 N N, S U D, Sudbury District]^
5NN NIA [5 N N, N I A, Niagara Regional Municipality]^
5NN GRY [5 N N, G R Y, Grey County]^
5NN HLB [5 N N, H L B, Haliburton County]^
5NN TOR [5 N N, T O R, City of Toronto]^
5NN HTN [5 N N, H T N, Halton Regional Municipality]^
5NN LXA [5 N N, L X A, Lennox-Addington County]^
5NN TIM [5 N N, T I M, Timiskaming District]^
5NN DUR [5 N N, D U R, Durham Regional Municipality]^
5NN KAW [5 N N, K A W, City of Kawartha Lakes]^
5NN DUF [5 N N, D U F, Dufferin County]^
5NN ELG [5 N N, E L G, Elgin County]^
5NN HUR [5 N N, H U R, Huron County]^
5NN BRA [5 N N, B R A, City of Brant]^
5NN LGR [5 N N, L G R, Leeds & Grenville United Counties]^
5NN PRU [5 N N, P R U, United Counties of Prescott & Russell]^
5NN PEL [5 N N, P E L, Peel Regional Municipality]^
5NN NIP [5 N N, N I P, Nipissing District]^
5NN LAN [5 N N, L A N, Lanark County]^
5NN MAN [5 N N, M A N, Manitoulin District]^
5NN CHK [5 N N, C H K, City of Chatham-Kent]^
5NN OTT [5 N N, O T T, City of Ottawa]^
5NN MSX [5 N N, M S X, Middlesex County]^
5NN REN [5 N N, R E N, Renfrew County]^
5NN TBY [5 N N, T B Y, Thunder Bay District]^
5NN LAM [5 N N, L A M, Lambton County]^
5NN PED [5 N N, P E D, City of Prince Edward]^
5NN OXF [5 N N, O X F, Oxford County]^
5NN KEN [5 N N, K E N, Kenora District]^
5NN HAM [5 N N, H A M, City of Hamilton]^
5NN RAI [5 N N, R A I, Rainy River District]^
5NN YRK [5 N N, Y R K, York Regional Municipality]^
5NN WAT [5 N N, W A T, Waterloo Regional Municipality]^
5NN NOR [5 N N, N O R, Northumberland County]^
5NN BFD [5 N N, B F D, City of Brantford]^
5NN HAS [5 N N, H A S, Hastings County]^
5NN MSX [5 N N, M S X, Middlesex County]^
5NN REN [5 N N, R E N, Renfrew County]^
5NN YRK [5 N N, Y R K, York Regional Municipality]^
5NN SIM [5 N N, S I M, Simcoe County]^
5NN LAM [5 N N, L A M, Lambton County]^
5NN PER [5 N N, P E R, Perth County]^
5NN LGR [5 N N, L G R, Leeds & Grenville United Counties]^
5NN TOR [5 N N, T O R, City of Toronto]^
5NN TIM [5 N N, T I M, Timiskaming District]^
5NN PET [5 N N, P E T, Peterborough County]^
5NN HTN [5 N N, H T N, Halton Regional Municipality]^
5NN RAI [5 N N, R A I, Rainy River District]^
5NN MAN [5 N N, M A N, Manitoulin District]^
5NN BRA [5 N N, B R A, City of Brant]^
5NN WEL [5 N N, W E L, Wellington County]^
5NN TBY [5 N N, T B Y, Thunder Bay District]^
5NN KEN [5 N N, K E N, Kenora District]^
5NN NIA [5 N N, N I A, Niagara Regional Municipality]^
5NN HUR [5 N N, H U R, Huron County]^
5NN WAT [5 N N, W A T, Waterloo Regional Municipality]^
5NN PRU [5 N N, P R U, United Counties of Prescott & Russell]^
5NN BRU [5 N N, B R U, Bruce County]^
5NN DUF [5 N N, D U F, Dufferin County]^
5NN FRO [5 N N, F R O, Frontenac County]^
5NN PEL [5 N N, P E L, Peel Regional Municipality]^
5NN PED [5 N N, P E D, City of Prince Edward]^
5NN BFD [5 N N, B F D, City of Brantford]^
5NN HAL [5 N N, H A L, Town of Haldimand]^
5NN ELG [5 N N, E L G, Elgin County]^
5NN NFK [5 N N, N F K, Town of Norfolk]^
5NN GRY [5 N N, G R Y, Grey County]^
5NN DUR [5 N N, D U R, Durham Regional Municipality]^
5NN ALG [5 N N, A L G, Algoma District]^
5NN SDG [5 N N, S D G, United Counties of Stormont, Dundas, and Glengarry]^
5NN OXF [5 N N, O X F, Oxford County]^
5NN COC [5 N N, C O C, Cochrane District]^
5NN HAM [5 N N, H A M, City of Hamilton]^
5NN LXA [5 N N, L X A, Lennox-Addington County]^
5NN SUD [5 N N, S U D, Sudbury District]^
5NN CHK [5 N N, C H K, City of Chatham-Kent]^
5NN OTT [5 N N, O T T, City of Ottawa]^
5NN ESX [5 N N, E S X, Essex County]^
5NN HLB [5 N N, H L B, Haliburton County]^
5NN NIP [5 N N, N I P, Nipissing District]^
5NN KAW [5 N N, K A W, City of Kawartha Lakes]^
5NN PSD [5 N N, P S D, Parry Sound District]^
5NN LAN [5 N N, L A N, Lanark County]^
5NN NOR [5 N N, N O R, Northumberland County]^
5NN MUS [5 N N, M U S, Muskoka District]^
5NN ELG [5 N N, E L G, Elgin County]^
5NN FRO [5 N N, F R O, Frontenac County]^
5NN COC [5 N N, C O C, Cochrane District]^
5NN HAS [5 N N, H A S, Hastings County]^
5NN PRU [5 N N, P R U, United Counties of Prescott & Russell]^
5NN MSX [5 N N, M S X, Middlesex County]^
5NN BRU [5 N N, B R U, Bruce County]^
5NN DUR [5 N N, D U R, Durham Regional Municipality]^
5NN LGR [5 N N, L G R, Leeds & Grenville United Counties]^
5NN PEL [5 N N, P E L, Peel Regional Municipality]^
5NN HUR [5 N N, H U R, Huron County]^
5NN WEL [5 N N, W E L, Wellington County]^
5NN PED [5 N N, P E D, City of Prince Edward]^
5NN PER [5 N N, P E R, Perth County]^
5NN NOR [5 N N, N O R, Northumberland County]^
5NN NIP [5 N N, N I P, Nipissing District]^
5NN PSD [5 N N, P S D, Parry Sound District]^
5NN WAT [5 N N, W A T, Waterloo Regional Municipality]^
5NN LAN [5 N N, L A N, Lanark County]^
5NN MAN [5 N N, M A N, Manitoulin District]^
5NN SIM [5 N N, S I M, Simcoe County]^
5NN HAM [5 N N, H A M, City of Hamilton]^
5NN TBY [5 N N, T B Y, Thunder Bay District]^
5NN REN [5 N N, R E N, Renfrew County]^
5NN HAL [5 N N, H A L, Town of Haldimand]^
5NN YRK [5 N N, Y R K, York Regional Municipality]^
5NN SUD [5 N N, S U D, Sudbury District]^
5NN LXA [5 N N, L X A, Lennox-Addington County]^
5NN RAI [5 N N, R A I, Rainy River District]^
5NN GRY [5 N N, G R Y, Grey County]^
5NN PET [5 N N, P E T, Peterborough County]^
5NN OTT [5 N N, O T T, City of Ottawa]^
5NN TOR [5 N N, T O R, City of Toronto]^
5NN OXF [5 N N, O X F, Oxford County]^
5NN HLB [5 N N, H L B, Haliburton County]^
5NN ALG [5 N N, A L G, Algoma District]^
5NN ESX [5 N N, E S X, Essex County]^
5NN DUF [5 N N, D U F, Dufferin County]^
5NN KAW [5 N N, K A W, City of Kawartha Lakes]^
5NN NIA [5 N N, N I A, Niagara Regional Municipality]^
5NN SDG [5 N N, S D G, United Counties of Stormont, Dundas, and Glengarry]^
5NN KEN [5 N N, K E N, Kenora District]^
5NN MUS [5 N N, M U S, Muskoka District]^
5NN TIM [5 N N, T I M, Timiskaming District]^
5NN BRA [5 N N, B R A, City of Brant]^
5NN CHK [5 N N, C H K, City of Chatham-Kent]^
5NN NFK [5 N N, N F K, Town of Norfolk]^
5NN HTN [5 N N, H T N, Halton Regional Municipality]^
5NN BFD [5 N N, B F D, City of Brantford]^
5NN LAM [5 N N, L A M, Lambton County]^
5NN KEN [5 N N, K E N, Kenora District]^
5NN GRY [5 N N, G R Y, Grey County]^
5NN PER [5 N N, P E R, Perth County]^
5NN BRA [5 N N, B R A, City of Brant]^
5NN PSD [5 N N, P S D, Parry Sound District]^
5NN HUR [5 N N, H U R, Huron County]^
5NN NFK [5 N N, N F K, Town of Norfolk]^
5NN HAM [5 N N, H A M, City of Hamilton]^
5NN DUF [5 N N, D U F, Dufferin County]^
5NN BFD [5 N N, B F D, City of Brantford]^
5NN SIM [5 N N, S I M, Simcoe County]^
5NN REN [5 N N, R E N, Renfrew County]^
5NN MSX [5 N N, M S X, Middlesex County]^
5NN SUD [5 N N, S U D, Sudbury District]^
5NN PED [5 N N, P E D, City of Prince Edward]^
5NN FRO [5 N N, F R O, Frontenac County]^
5NN TOR [5 N N, T O R, City of Toronto]^
5NN PRU [5 N N, P R U, United Counties of Prescott & Russell]^
5NN TIM [5 N N, T I M, Timiskaming District]^
5NN LXA [5 N N, L X A, Lennox-Addington County]^
5NN KAW [5 N N, K A W, City of Kawartha Lakes]^
5NN NOR [5 N N, N O R, Northumberland County]^
5NN HAS [5 N N, H A S, Hastings County]^
5NN WAT [5 N N, W A T, Waterloo Regional Municipality]^
5NN CHK [5 N N, C H K, City of Chatham-Kent]^
5NN HAL [5 N N, H A L, Town of Haldimand]^
5NN MAN [5 N N, M A N, Manitoulin District]^
5NN SDG [5 N N, S D G, United Counties of Stormont, Dundas, and Glengarry]^
5NN MUS [5 N N, M U S, Muskoka District]^
5NN COC [5 N N, C O C, Cochrane District]^
5NN NIP [5 N N, N I P, Nipissing District]^
5NN HLB [5 N N, H L B, Haliburton County]^
5NN BRU [5 N N, B R U, Bruce County]^
