6UST6 [6, U, S, T, 6] ^
D5DDT [D, 5, D, D, T] ^
561BI [5, 6, 1, B, I] ^
USHJT [U, S, H, J, T] ^
6SDVD [6, S, D, V, D] ^
IUB6I [I, U, B, 6, I] ^
6DSET [6, D, S, E, T] ^
1WDVW [1, W, D, V, W] ^
J4DHD [J, 4, D, H, D] ^
5JJ45 [5, J, J, 4, 5] ^
WUIBH [W, U, I, B, H] ^
45JWB [4, 5, J, W, B] ^
S4UJS [S, 4, U, J, S] ^
54T65 [5, 4, T, 6, 5] ^
JITSD [J, I, T, S, D] ^
611B6 [6, 1, 1, B, 6] ^
BJWTV [B, J, W, T, V] ^
5465V [5, 4, 6, 5, V] ^
DWV5H [D, W, V, 5, H] ^
5UHSH [5, U, H, S, H] ^
D4H4W [D, 4, H, 4, W] ^
4T4EV [4, T, 4, E, V] ^
ST6IW [S, T, 6, I, W] ^
1DU6W [1, D, U, 6, W] ^
5JWV5 [5, J, W, V, 5] ^
1TWJV [1, T, W, J, V] ^
VJDUE [V, J, D, U, E] ^
15IVV [1, 5, I, V, V] ^
1I6J5 [1, I, 6, J, 5] ^
4EB66 [4, E, B, 6, 6] ^
HTJU6 [H, T, J, U, 6] ^
41DJ4 [4, 1, D, J, 4] ^
THJHW [T, H, J, H, W] ^
46JEE [4, 6, J, E, E] ^
5DVUB [5, D, V, U, B] ^
SESSI [S, E, S, S, I] ^
4D1E4 [4, D, 1, E, 4] ^
6VIBV [6, V, I, B, V] ^
45HSH [4, 5, H, S, H] ^
1JI5W [1, J, I, 5, W] ^
I4S4T [I, 4, S, 4, T] ^
4TDB6 [4, T, D, B, 6] ^
VIITS [V, I, I, T, S] ^
5U6DJ [5, U, 6, D, J] ^
UHH5U [U, H, H, 5, U] ^
66DTI [6, 6, D, T, I] ^
5HT5S [5, H, T, 5, S] ^
T6DET [T, 6, D, E, T] ^
45DSI [4, 5, D, S, I] ^
EWEII [E, W, E, I, I] ^
4VJEI [4, V, J, E, I] ^
5BT5B [5, B, T, 5, B] ^
1JBDU [1, J, B, D, U] ^
41566 [4, 1, 5, 6, 6] ^
SJBSD [S, J, B, S, D] ^
444IE [4, 4, 4, I, E] ^
SWB5D [S, W, B, 5, D] ^
144TJ [1, 4, 4, T, J] ^
WU55E [W, U, 5, 5, E] ^
1JUTS [1, J, U, T, S] ^
VSDIB [V, S, D, I, B] ^
5VTUB [5, V, T, U, B] ^
W656T [W, 6, 5, 6, T] ^
1UWDH [1, U, W, D, H] ^
VWD51 [V, W, D, 5, 1] ^
1WI5I [1, W, I, 5, I] ^
6BBUH [6, B, B, U, H] ^
JI56W [J, I, 5, 6, W] ^
1UE6W [1, U, E, 6, W] ^
J1IDH [J, 1, I, D, H] ^
6J6SH [6, J, 6, S, H] ^
E141V [E, 1, 4, 1, V] ^
6WIJB [6, W, I, J, B] ^
BSDH5 [B, S, D, H, 5] ^
651V1 [6, 5, 1, V, 1] ^
WVBDV [W, V, B, D, V] ^
54EHI [5, 4, E, H, I] ^
EHDB1 [E, H, D, B, 1] ^
56US6 [5, 6, U, S, 6] ^
HV54J [H, V, 5, 4, J] ^
6JS11 [6, J, S, 1, 1] ^
IEVEH [I, E, V, E, H] ^
64U4W [6, 4, U, 4, W] ^
DITWI [D, I, T, W, I] ^
44B54 [4, 4, B, 5, 4] ^
UWE16 [U, W, E, 1, 6] ^
16J4I [1, 6, J, 4, I] ^
TJUBW [T, J, U, B, W] ^
5I1U5 [5, I, 1, U, 5] ^
41UHE [4, 1, U, H, E] ^
JBWVV [J, B, W, V, V] ^
1WI6E [1, W, I, 6, E] ^
VHV11 [V, H, V, 1, 1] ^
66U6T [6, 6, U, 6, T] ^
W4DBI [W, 4, D, B, I] ^
4I54B [4, I, 5, 4, B] ^
6VID6 [6, V, I, D, 6] ^
EEUIW [E, E, U, I, W] ^
511I1 [5, 1, 1, I, 1] ^
EJDVH [E, J, D, V, H] ^
4S6BT [4, S, 6, B, T] ^
1W465 [1, W, 4, 6, 5] ^
VH4TB [V, H, 4, T, B] ^
4VHI1 [4, V, H, I, 1] ^
U15TI [U, 1, 5, T, I] ^
4D1TI [4, D, 1, T, I] ^
U16WH [U, 1, 6, W, H] ^
5JBSW [5, J, B, S, W] ^
UU16B [U, U, 1, 6, B] ^
4UBHU [4, U, B, H, U] ^
5SET5 [5, S, E, T, 5] ^
6HHI4 [6, H, H, I, 4] ^
WSVEB [W, S, V, E, B] ^
4BTIW [4, B, T, I, W] ^
BBWE6 [B, B, W, E, 6] ^
61IBT [6, 1, I, B, T] ^
JW14D [J, W, 1, 4, D] ^
41BTU [4, 1, B, T, U] ^
WW5UH [W, W, 5, U, H] ^
5TI5E [5, T, I, 5, E] ^
UT45I [U, T, 4, 5, I] ^
1VWEU [1, V, W, E, U] ^
EUUVJ [E, U, U, V, J] ^
5WUD6 [5, W, U, D, 6] ^
DHEJV [D, H, E, J, V] ^
1UIT6 [1, U, I, T, 6] ^
WJ6HE [W, J, 6, H, E] ^
1DEB1 [1, D, E, B, 1] ^
WEWSD [W, E, W, S, D] ^
64WDJ [6, 4, W, D, J] ^
1DBIB [1, D, B, I, B] ^
I64VW [I, 6, 4, V, W] ^
4VSWE [4, V, S, W, E] ^
41T6D [4, 1, T, 6, D] ^
UW55U [U, W, 5, 5, U] ^
6ITTW [6, I, T, T, W] ^
BUSJT [B, U, S, J, T] ^
56U61 [5, 6, U, 6, 1] ^
1T45S [1, T, 4, 5, S] ^
BWV41 [B, W, V, 4, 1] ^
61EHU [6, 1, E, H, U] ^
HSEJ5 [H, S, E, J, 5] ^
65W65 [6, 5, W, 6, 5] ^
IJUTJ [I, J, U, T, J] ^
5B41T [5, B, 4, 1, T] ^
D6466 [D, 6, 4, 6, 6] ^
16U1S [1, 6, U, 1, S] ^
TJS55 [T, J, S, 5, 5] ^
65V66 [6, 5, V, 6, 6] ^
IU6VI [I, U, 6, V, I] ^
6VSSE [6, V, S, S, E] ^
VU6H1 [V, U, 6, H, 1] ^
14T6D [1, 4, T, 6, D] ^
6USTB [6, U, S, T, B] ^
61JD1 [6, 1, J, D, 1] ^
TWB5H [T, W, B, 5, H] ^
5V6WV [5, V, 6, W, V] ^
HT5BH [H, T, 5, B, H] ^
4IJ4E [4, I, J, 4, E] ^
W6DDW [W, 6, D, D, W] ^
1J4EJ [1, J, 4, E, J] ^
55TS6 [5, 5, T, S, 6] ^
J6B51 [J, 6, B, 5, 1] ^
6JITJ [6, J, I, T, J] ^
W4JHI [W, 4, J, H, I] ^
1J6D1 [1, J, 6, D, 1] ^
SSSBS [S, S, S, B, S] ^
1B1VV [1, B, 1, V, V] ^
HTB4H [H, T, B, 4, H] ^
1BDHS [1, B, D, H, S] ^
S4T4W [S, 4, T, 4, W] ^
6HBE6 [6, H, B, E, 6] ^
JV5J1 [J, V, 5, J, 1] ^
4DWES [4, D, W, E, S] ^
5H44I [5, H, 4, 4, I] ^
TVUSU [T, V, U, S, U] ^
44HDE [4, 4, H, D, E] ^
E5S4S [E, 5, S, 4, S] ^
4TDUE [4, T, D, U, E] ^
ITHVS [I, T, H, V, S] ^
5JEIV [5, J, E, I, V] ^
6HIDH [6, H, I, D, H] ^
UIIHH [U, I, I, H, H] ^
1E5ET [1, E, 5, E, T] ^
ED6HB [E, D, 6, H, B] ^
66J6H [6, 6, J, 6, H] ^
DH65D [D, H, 6, 5, D] ^
55IE1 [5, 5, I, E, 1] ^
I611U [I, 6, 1, 1, U] ^
1WB16 [1, W, B, 1, 6] ^
H4D4T [H, 4, D, 4, T] ^
6VSTH [6, V, S, T, H] ^
I6UJU [I, 6, U, J, U] ^
6HDDT [6, H, D, D, T] ^
S5UV1 [S, 5, U, V, 1] ^
54W1T [5, 4, W, 1, T] ^
1U5VS [1, U, 5, V, S] ^
HUH6U [H, U, H, 6, U] ^
1EIS6 [1, E, I, S, 6] ^
UDW4W [U, D, W, 4, W] ^
1WI5D [1, W, I, 5, D] ^
ETTVD [E, T, T, V, D] ^
6E454 [6, E, 4, 5, 4] ^
4D6ED [4, D, 6, E, D] ^
5IWD6 [5, I, W, D, 6] ^
T6EVI [T, 6, E, V, I] ^
5SW65 [5, S, W, 6, 5] ^
61EVI [6, 1, E, V, I] ^
IBB1J [I, B, B, 1, J] ^
6WIIB [6, W, I, I, B] ^
ESV4E [E, S, V, 4, E] ^
5III5 [5, I, I, I, 5] ^
1DE55 [1, D, E, 5, 5] ^
6WTVS [6, W, T, V, S] ^
5HBB5 [5, H, B, B, 5] ^
STWV4 [S, T, W, V, 4] ^
45W4D [4, 5, W, 4, D] ^
5V546 [5, V, 5, 4, 6] ^
1VJ1B [1, V, J, 1, B] ^
4T5EV [4, T, 5, E, V] ^
J5THH [J, 5, T, H, H] ^
55H6E [5, 5, H, 6, E] ^
B6151 [B, 6, 1, 5, 1] ^
5TUSD [5, T, U, S, D] ^
V61E4 [V, 6, 1, E, 4] ^
44HEJ [4, 4, H, E, J] ^
BDDW5 [B, D, D, W, 5] ^
14BBU [1, 4, B, B, U] ^
VBSE6 [V, B, S, E, 6] ^
1THB4 [1, T, H, B, 4] ^
WBJST [W, B, J, S, T] ^
4JVEH [4, J, V, E, H] ^
U66VU [U, 6, 6, V, U] ^
4UD46 [4, U, D, 4, 6] ^
6TV4B [6, T, V, 4, B] ^
SHSJU [S, H, S, J, U] ^
5WHVS [5, W, H, V, S] ^
S5T1W [S, 5, T, 1, W] ^
6B6WU [6, B, 6, W, U] ^
UIHW5 [U, I, H, W, 5] ^
6TUVH [6, T, U, V, H] ^
H1SVJ [H, 1, S, V, J] ^
5SD54 [5, S, D, 5, 4] ^
4IWU6 [4, I, W, U, 6] ^
DW5DU [D, W, 5, D, U] ^
6B6WD [6, B, 6, W, D] ^
WEBEV [W, E, B, E, V] ^
5T1S4 [5, T, 1, S, 4] ^
BEEEB [B, E, E, E, B] ^
4UWDB [4, U, W, D, B] ^
WTEU5 [W, T, E, U, 5] ^
5V56W [5, V, 5, 6, W] ^
SE54I [S, E, 5, 4, I] ^
64IUE [6, 4, I, U, E] ^
U4SSJ [U, 4, S, S, J] ^
14SHW [1, 4, S, H, W] ^
TUVBT [T, U, V, B, T] ^
4ID4D [4, I, D, 4, D] ^
S55SJ [S, 5, 5, S, J] ^
41SWB [4, 1, S, W, B] ^
W64J1 [W, 6, 4, J, 1] ^
66EDU [6, 6, E, D, U] ^
65EVI [6, 5, E, V, I] ^
SB65D [S, B, 6, 5, D] ^
4B1IW [4, B, 1, I, W] ^
56BU4 [5, 6, B, U, 4] ^
1UUBS [1, U, U, B, S] ^
T1WV6 [T, 1, W, V, 6] ^
1TWWE [1, T, W, W, E] ^
TVV4W [T, V, V, 4, W] ^
4VH55 [4, V, H, 5, 5] ^
UTTD5 [U, T, T, D, 5] ^
6DBHV [6, D, B, H, V] ^
WT4U6 [W, T, 4, U, 6] ^
51DSI [5, 1, D, S, I] ^
5I1SV [5, I, 1, S, V] ^
6JVDB [6, J, V, D, B] ^
4WTT4 [4, W, T, T, 4] ^
1V1HW [1, V, 1, H, W] ^
4EI6I [4, E, I, 6, I] ^
BW4VU [B, W, 4, V, U] ^
5SDDI [5, S, D, D, I] ^
H6IE5 [H, 6, I, E, 5] ^
6DHTI [6, D, H, T, I] ^
UEWII [U, E, W, I, I] ^
4SUVT [4, S, U, V, T] ^
T4IHI [T, 4, I, H, I] ^
4H65U [4, H, 6, 5, U] ^
TDSID [T, D, S, I, D] ^
1JIIV [1, J, I, I, V] ^
SWJU4 [S, W, J, U, 4] ^
6SV1E [6, S, V, 1, E] ^
V14D5 [V, 1, 4, D, 5] ^
1HU61 [1, H, U, 6, 1] ^
541SW [5, 4, 1, S, W] ^
5UV5V [5, U, V, 5, V] ^
6DV1U [6, D, V, 1, U] ^
1HBB1 [1, H, B, B, 1] ^
IJU6T [I, J, U, 6, T] ^
55DDS [5, 5, D, D, S] ^
WEH1B [W, E, H, 1, B] ^
61USE [6, 1, U, S, E] ^
JTTEI [J, T, T, E, I] ^
54THU [5, 4, T, H, U] ^
E66DE [E, 6, 6, D, E] ^
44S6S [4, 4, S, 6, S] ^
1VJE6 [1, V, J, E, 6] ^
E46T4 [E, 4, 6, T, 4] ^
641HD [6, 4, 1, H, D] ^
IVTVH [I, V, T, V, H] ^
6TVI6 [6, T, V, I, 6] ^
11U6U [1, 1, U, 6, U] ^
EJ1DD [E, J, 1, D, D] ^
4TUSH [4, T, U, S, H] ^
DD6JU [D, D, 6, J, U] ^
1V1S4 [1, V, 1, S, 4] ^
4JBV6 [4, J, B, V, 6] ^
DWU6B [D, W, U, 6, B] ^
4B1WI [4, B, 1, W, I] ^
41BSU [4, 1, B, S, U] ^
4DSWB [4, D, S, W, B] ^
V41DH [V, 4, 1, D, H] ^
4WEVE [4, W, E, V, E] ^
IDW64 [I, D, W, 6, 4] ^
551V1 [5, 5, 1, V, 1] ^
W64WV [W, 6, 4, W, V] ^
6WJW5 [6, W, J, W, 5] ^
STIST [S, T, I, S, T] ^
6HEHI [6, H, E, H, I] ^
BD5E1 [B, D, 5, E, 1] ^
6BS5B [6, B, S, 5, B] ^
ETIHJ [E, T, I, H, J] ^
5VSSU [5, V, S, S, U] ^
6T1TT [6, T, 1, T, T] ^
1SE6E [1, S, E, 6, E] ^
ETTIB [E, T, T, I, B] ^
1EIIT [1, E, I, I, T] ^
T6JEI [T, 6, J, E, I] ^
1TS61 [1, T, S, 6, 1] ^
JVEBI [J, V, E, B, I] ^
6UD6I [6, U, D, 6, I] ^
HBDHH [H, B, D, H, H] ^
1SDSU [1, S, D, S, U] ^
S64E6 [S, 6, 4, E, 6] ^
646I6 [6, 4, 6, I, 6] ^
USS1T [U, S, S, 1, T] ^
1WE1B [1, W, E, 1, B] ^
THBUI [T, H, B, U, I] ^
1SVBD [1, S, V, B, D] ^
IBEJU [I, B, E, J, U] ^
65BEE [6, 5, B, E, E] ^
5E1W1 [5, E, 1, W, 1] ^
D5DHJ [D, 5, D, H, J] ^
144TH [1, 4, 4, T, H] ^
15WIH [1, 5, W, I, H] ^
WH5IU [W, H, 5, I, U] ^
5JDJ6 [5, J, D, J, 6] ^
4JDIJ [4, J, D, I, J] ^
55BD4 [5, 5, B, D, 4] ^
T4J14 [T, 4, J, 1, 4] ^
4UHJ4 [4, U, H, J, 4] ^
IE4DV [I, E, 4, D, V] ^
5JSVV [5, J, S, V, V] ^
SIHEU [S, I, H, E, U] ^
6SHWH [6, S, H, W, H] ^
HB5TB [H, B, 5, T, B] ^
6TDE6 [6, T, D, E, 6] ^
HSISH [H, S, I, S, H] ^
6DVVW [6, D, V, V, W] ^
JSVVU [J, S, V, V, U] ^
555IB [5, 5, 5, I, B] ^
E4H5B [E, 4, H, 5, B] ^
6ESUH [6, E, S, U, H] ^
4W6S6 [4, W, 6, S, 6] ^
B5BVB [B, 5, B, V, B] ^
6EUVB [6, E, U, V, B] ^
DIU1D [D, I, U, 1, D] ^
4BDT6 [4, B, D, T, 6] ^
JUJ4T [J, U, J, 4, T] ^
1TTUJ [1, T, T, U, J] ^
UV61S [U, V, 6, 1, S] ^
6IW6E [6, I, W, 6, E] ^
WT4UE [W, T, 4, U, E] ^
15BT4 [1, 5, B, T, 4] ^
UBDE6 [U, B, D, E, 6] ^
6VVTV [6, V, V, T, V] ^
HISBJ [H, I, S, B, J] ^
1J1ES [1, J, 1, E, S] ^
HII5B [H, I, I, 5, B] ^
4B5UB [4, B, 5, U, B] ^
D6SDT [D, 6, S, D, T] ^
1U1ED [1, U, 1, E, D] ^
UBSED [U, B, S, E, D] ^
6HU1U [6, H, U, 1, U] ^
I4WDH [I, 4, W, D, H] ^
6HUEV [6, H, U, E, V] ^
UT4E4 [U, T, 4, E, 4] ^
564VU [5, 6, 4, V, U] ^
UDTIW [U, D, T, I, W] ^
4D6VJ [4, D, 6, V, J] ^
HSHTV [H, S, H, T, V] ^
1IJDW [1, I, J, D, W] ^
E6UD6 [E, 6, U, D, 6] ^
1THWT [1, T, H, W, T] ^
JV5EE [J, V, 5, E, E] ^
6V5HJ [6, V, 5, H, J] ^
JWV44 [J, W, V, 4, 4] ^
4I6W5 [4, I, 6, W, 5] ^
66B4U [6, 6, B, 4, U] ^
WBTDE [W, B, T, D, E] ^
611DJ [6, 1, 1, D, J] ^
IE656 [I, E, 6, 5, 6] ^
6WV6J [6, W, V, 6, J] ^
V5T15 [V, 5, T, 1, 5] ^
4I4WE [4, I, 4, W, E] ^
5V66I [5, V, 6, 6, I] ^
BW6IW [B, W, 6, I, W] ^
15B11 [1, 5, B, 1, 1] ^
EJJJI [E, J, J, J, I] ^
4D5BV [4, D, 5, B, V] ^
SITU6 [S, I, T, U, 6] ^
1EJVW [1, E, J, V, W] ^
TEW4S [T, E, W, 4, S] ^
6VDU4 [6, V, D, U, 4] ^
DII41 [D, I, I, 4, 1] ^
456US [4, 5, 6, U, S] ^
JS5H6 [J, S, 5, H, 6] ^
6I5JB [6, I, 5, J, B] ^
DHWTB [D, H, W, T, B] ^
6IWB4 [6, I, W, B, 4] ^
EVUIJ [E, V, U, I, J] ^
44VH6 [4, 4, V, H, 6] ^
4DDUE [4, D, D, U, E] ^
VVTIU [V, V, T, I, U] ^
6IS4T [6, I, S, 4, T] ^
WWI4J [W, W, I, 4, J] ^
15IV5 [1, 5, I, V, 5] ^
45BEH [4, 5, B, E, H] ^
DET4T [D, E, T, 4, T] ^
5HIJ6 [5, H, I, J, 6] ^
VUHJH [V, U, H, J, H] ^
15H6I [1, 5, H, 6, I] ^
DDSIE [D, D, S, I, E] ^
4IVJV [4, I, V, J, V] ^
VTWD6 [V, T, W, D, 6] ^
5UW6S [5, U, W, 6, S] ^
U4UV6 [U, 4, U, V, 6] ^
5SJV6 [5, S, J, V, 6] ^
DS6DE [D, S, 6, D, E] ^
546JB [5, 4, 6, J, B] ^
V5EVJ [V, 5, E, V, J] ^
6I4SB [6, I, 4, S, B] ^
SIDS1 [S, I, D, S, 1] ^
6W5V6 [6, W, 5, V, 6] ^
DH4UV [D, H, 4, U, V] ^
1S4DS [1, S, 4, D, S] ^
I46TW [I, 4, 6, T, W] ^
6H41B [6, H, 4, 1, B] ^
56S1D [5, 6, S, 1, D] ^
WDI16 [W, D, I, 1, 6] ^
5SIHB [5, S, I, H, B] ^
V166H [V, 1, 6, 6, H] ^
1HV14 [1, H, V, 1, 4] ^
JTTJ1 [J, T, T, J, 1] ^
5IVHH [5, I, V, H, H] ^
EHBU1 [E, H, B, U, 1] ^
6664I [6, 6, 6, 4, I] ^
156JS [1, 5, 6, J, S] ^
SWWUT [S, W, W, U, T] ^
66BWH [6, 6, B, W, H] ^
4DEE1 [4, D, E, E, 1] ^
I6TD6 [I, 6, T, D, 6] ^
511JJ [5, 1, 1, J, J] ^
114IV [1, 1, 4, I, V] ^
6ET1T [6, E, T, 1, T] ^
BBIDU [B, B, I, D, U] ^
54H5H [5, 4, H, 5, H] ^
BDIT5 [B, D, I, T, 5] ^
5TE6W [5, T, E, 6, W] ^
E14HD [E, 1, 4, H, D] ^
5J66U [5, J, 6, 6, U] ^
D1H6D [D, 1, H, 6, D] ^
4VBIH [4, V, B, I, H] ^
SWI14 [S, W, I, 1, 4] ^
5IJ5V [5, I, J, 5, V] ^
1ED5J [1, E, D, 5, J] ^
VDIWS [V, D, I, W, S] ^
4TB56 [4, T, B, 5, 6] ^
WHVTB [W, H, V, T, B] ^
4DH4S [4, D, H, 4, S] ^
UVH4W [U, V, H, 4, W] ^
161S1 [1, 6, 1, S, 1] ^
6H1BI [6, H, 1, B, I] ^
B5UWV [B, 5, U, W, V] ^
151TS [1, 5, 1, T, S] ^
6W4E6 [6, W, 4, E, 6] ^
SUHB1 [S, U, H, B, 1] ^
5IWUH [5, I, W, U, H] ^
DSEHV [D, S, E, H, V] ^
4WDS6 [4, W, D, S, 6] ^
EI5WI [E, I, 5, W, I] ^
6EVDB [6, E, V, D, B] ^
S5UTW [S, 5, U, T, W] ^
4SVT4 [4, S, V, T, 4] ^
VTVBH [V, T, V, B, H] ^
5HEVE [5, H, E, V, E] ^
W1WVH [W, 1, W, V, H] ^
5SVVS [5, S, V, V, S] ^
ETTW5 [E, T, T, W, 5] ^
5WUV6 [5, W, U, V, 6] ^
ETTSB [E, T, T, S, B] ^
6SD1T [6, S, D, 1, T] ^
ITJ4B [I, T, J, 4, B] ^
5DUBJ [5, D, U, B, J] ^
HIWVT [H, I, W, V, T] ^
5W4JI [5, W, 4, J, I] ^
1DSTH [1, D, S, T, H] ^
EWV1E [E, W, V, 1, E] ^
6B6SE [6, B, 6, S, E] ^
BBI1U [B, B, I, 1, U] ^
5E1SB [5, E, 1, S, B] ^
1WSIS [1, W, S, I, S] ^
44TUB [4, 4, T, U, B] ^
UJVED [U, J, V, E, D] ^
4JVTT [4, J, V, T, T] ^
I1HVD [I, 1, H, V, D] ^
1IUII [1, I, U, I, I] ^
EJIEV [E, J, I, E, V] ^
5UIDJ [5, U, I, D, J] ^
ID6SW [I, D, 6, S, W] ^
5U6S5 [5, U, 6, S, 5] ^
55DTW [5, 5, D, T, W] ^
T4DU5 [T, 4, D, U, 5] ^
1J6HW [1, J, 6, H, W] ^
BW64V [B, W, 6, 4, V] ^
5JH6B [5, J, H, 6, B] ^
BEVW1 [B, E, V, W, 1] ^
4VBHW [4, V, B, H, W] ^
BDSSV [B, D, S, S, V] ^
5SSE4 [5, S, S, E, 4] ^
U1EIW [U, 1, E, I, W] ^
41JWJ [4, 1, J, W, J] ^
UW1V4 [U, W, 1, V, 4] ^
4ES4B [4, E, S, 4, B] ^
W64V6 [W, 6, 4, V, 6] ^
4BJDU [4, B, J, D, U] ^
BI5E6 [B, I, 5, E, 6] ^
1TSVI [1, T, S, V, I] ^
W45I5 [W, 4, 5, I, 5] ^
6HESV [6, H, E, S, V] ^
THISS [T, H, I, S, S] ^
1UTBD [1, U, T, B, D] ^
HIJVD [H, I, J, V, D] ^
5IBJD [5, I, B, J, D] ^
U1SVJ [U, 1, S, V, J] ^
5IB5T [5, I, B, 5, T] ^
EEI4D [E, E, I, 4, D] ^
6SBBV [6, S, B, B, V] ^
USV5U [U, S, V, 5, U] ^
6456U [6, 4, 5, 6, U] ^
JSHWT [J, S, H, W, T] ^
4IJWH [4, I, J, W, H] ^
1TDBW [1, T, D, B, W] ^
SE466 [S, E, 4, 6, 6] ^
5HHT6 [5, H, H, T, 6] ^
UTSUS [U, T, S, U, S] ^
111HE [1, 1, 1, H, E] ^
TB5DW [T, B, 5, D, W] ^
51DB4 [5, 1, D, B, 4] ^
DWUBV [D, W, U, B, V] ^
4E51S [4, E, 5, 1, S] ^
4BBSB [4, B, B, S, B] ^
DJ5TU [D, J, 5, T, U] ^
11HSE [1, 1, H, S, E] ^
1IU6J [1, I, U, 6, J] ^
DT46J [D, T, 4, 6, J] ^
1VES4 [1, V, E, S, 4] ^
JU14B [J, U, 1, 4, B] ^
14TJI [1, 4, T, J, I] ^
T5U4U [T, 5, U, 4, U] ^
55DDE [5, 5, D, D, E] ^
US55J [U, S, 5, 5, J] ^
5VSSJ [5, V, S, S, J] ^
HHESE [H, H, E, S, E] ^
6HBJ6 [6, H, B, J, 6] ^
EJIHE [E, J, I, H, E] ^
1SIH6 [1, S, I, H, 6] ^
IV4DH [I, V, 4, D, H] ^
15DUU [1, 5, D, U, U] ^
J6ITV [J, 6, I, T, V] ^
6EW5T [6, E, W, 5, T] ^
E5WJ5 [E, 5, W, J, 5] ^
5EDD4 [5, E, D, D, 4] ^
VT1JV [V, T, 1, J, V] ^
1DTSD [1, D, T, S, D] ^
4IUBT [4, I, U, B, T] ^
U5DJH [U, 5, D, J, H] ^
1TTWS [1, T, T, W, S] ^
VJ6B1 [V, J, 6, B, 1] ^
4HHVJ [4, H, H, V, J] ^
5TUHB [5, T, U, H, B] ^
ISET5 [I, S, E, T, 5] ^
6UETJ [6, U, E, T, J] ^
JDIB1 [J, D, I, B, 1] ^
1EHU4 [1, E, H, U, 4] ^
5ISV6 [5, I, S, V, 6] ^
SSTJS [S, S, T, J, S] ^
5SH11 [5, S, H, 1, 1] ^
EV4IW [E, V, 4, I, W] ^
661W4 [6, 6, 1, W, 4] ^
