6UI [6, U, I] ^
VJU [V, J, U] ^
4B4 [4, B, 4] ^
BEJ [B, E, J] ^
4D5 [4, D, 5] ^
6JB [6, J, B] ^
4SS [4, S, S] ^
HVD [H, V, D] ^
1TE [1, T, E] ^
4W6 [4, W, 6] ^
EJE [E, J, E] ^
6DD [6, D, D] ^
E5E [E, 5, E] ^
65D [6, 5, D] ^
BWW [B, W, W] ^
5WJ [5, W, J] ^
SDH [S, D, H] ^
5EI [5, E, I] ^
H11 [H, 1, 1] ^
56B [5, 6, B] ^
4B6 [4, B, 6] ^
VBW [V, B, W] ^
1B4 [1, B, 4] ^
ED5 [E, D, 5] ^
4SS [4, S, S] ^
JTW [J, T, W] ^
5VS [5, V, S] ^
V4E [V, 4, E] ^
5WT [5, W, T] ^
TW1 [T, W, 1] ^
1H1 [1, H, 1] ^
IIE [I, I, E] ^
4IU [4, I, U] ^
HBV [H, B, V] ^
645 [6, 4, 5] ^
SWB [S, W, B] ^
511 [5, 1, 1] ^
ITB [I, T, B] ^
6DJ [6, D, J] ^
B65 [B, 6, 5] ^
1H5 [1, H, 5] ^
5V6 [5, V, 6] ^
UVH [U, V, H] ^
6HV [6, H, V] ^
B1T [B, 1, T] ^
6H4 [6, H, 4] ^
W55 [W, 5, 5] ^
64I [6, 4, I] ^
BTV [B, T, V] ^
4TT [4, T, T] ^
W5J [W, 5, J] ^
6VS [6, V, S] ^
T14 [T, 1, 4] ^
4DV [4, D, V] ^
UHU [U, H, U] ^
4E5 [4, E, 5] ^
H6T [H, 6, T] ^
4DW [4, D, W] ^
BEB [B, E, B] ^
6DH [6, D, H] ^
S4E [S, 4, E] ^
616 [6, 1, 6] ^
TWB [T, W, B] ^
6ST [6, S, T] ^
IUE [I, U, E] ^
6HI [6, H, I] ^
1I5 [1, I, 5] ^
V4S [V, 4, S] ^
6T4 [6, T, 4] ^
4SV [4, S, V] ^
WJJ [W, J, J] ^
14S [1, 4, S] ^
1W4 [1, W, 4] ^
V16 [V, 1, 6] ^
4TV [4, T, V] ^
HS5 [H, S, 5] ^
1VT [1, V, T] ^
5E1 [5, E, 1] ^
JBV [J, B, V] ^
54J [5, 4, J] ^
14S [1, 4, S] ^
HS1 [H, S, 1] ^
6DI [6, D, I] ^
W56 [W, 5, 6] ^
1DJ [1, D, J] ^
DB6 [D, B, 6] ^
4IE [4, I, E] ^
EB5 [E, B, 5] ^
6BU [6, B, U] ^
DE4 [D, E, 4] ^
5BI [5, B, I] ^
VIU [V, I, U] ^
5W6 [5, W, 6] ^
UUI [U, U, I] ^
5BW [5, B, W] ^
VE1 [V, E, 1] ^
11T [1, 1, T] ^
T1I [T, 1, I] ^
4UB [4, U, B] ^
1WB [1, W, B] ^
S4S [S, 4, S] ^
1HH [1, H, H] ^
IW5 [I, W, 5] ^
5VU [5, V, U] ^
TBD [T, B, D] ^
1H1 [1, H, 1] ^
BW6 [B, W, 6] ^
41W [4, 1, W] ^
UVS [U, V, S] ^
1JH [1, J, H] ^
DSS [D, S, S] ^
1ES [1, E, S] ^
WHT [W, H, T] ^
1E5 [1, E, 5] ^
T4H [T, 4, H] ^
44T [4, 4, T] ^
5TV [5, T, V] ^
SJH [S, J, H] ^
5SE [5, S, E] ^
DD4 [D, D, 4] ^
6SW [6, S, W] ^
TWV [T, W, V] ^
5U6 [5, U, 6] ^
BDI [B, D, I] ^
5DS [5, D, S] ^
U1U [U, 1, U] ^
541 [5, 4, 1] ^
BE4 [B, E, 4] ^
4H4 [4, H, 4] ^
5D5 [5, D, 5] ^
646 [6, 4, 6] ^
65B [6, 5, B] ^
TWV [T, W, V] ^
61I [6, 1, I] ^
ED6 [E, D, 6] ^
4SI [4, S, I] ^
EWV [E, W, V] ^
1US [1, U, S] ^
U4U [U, 4, U] ^
4BU [4, B, U] ^
BTV [B, T, V] ^
1UE [1, U, E] ^
HJU [H, J, U] ^
5HH [5, H, H] ^
6I4 [6, I, 4] ^
S65 [S, 6, 5] ^
5T4 [5, T, 4] ^
TT1 [T, T, 1] ^
5ES [5, E, S] ^
144 [1, 4, 4] ^
WHS [W, H, S] ^
1W4 [1, W, 4] ^
6V4 [6, V, 4] ^
VDI [V, D, I] ^
61J [6, 1, J] ^
D65 [D, 6, 5] ^
4WI [4, W, I] ^
DSB [D, S, B] ^
61E [6, 1, E] ^
DDI [D, D, I] ^
46U [4, 6, U] ^
SWE [S, W, E] ^
6VI [6, V, I] ^
HS1 [H, S, 1] ^
5VJ [5, V, J] ^
566 [5, 6, 6] ^
1J4 [1, J, 4] ^
5WV [5, W, V] ^
SVB [S, V, B] ^
516 [5, 1, 6] ^
TW5 [T, W, 5] ^
5UU [5, U, U] ^
45H [4, 5, H] ^
DDD [D, D, D] ^
6DB [6, D, B] ^
IE1 [I, E, 1] ^
61D [6, 1, D] ^
EJS [E, J, S] ^
5UJ [5, U, J] ^
6H5 [6, H, 5] ^
HVD [H, V, D] ^
6H4 [6, H, 4] ^
HDJ [H, D, J] ^
4ES [4, E, S] ^
WTB [W, T, B] ^
6SE [6, S, E] ^
5IS [5, I, S] ^
JID [J, I, D] ^
654 [6, 5, 4] ^
BVD [B, V, D] ^
4SE [4, S, E] ^
U6J [U, 6, J] ^
6U1 [6, U, 1] ^
45I [4, 5, I] ^
4WE [4, W, E] ^
JT5 [J, T, 5] ^
5TI [5, T, I] ^
U54 [U, 5, 4] ^
64D [6, 4, D] ^
WBW [W, B, W] ^
41B [4, 1, B] ^
D6S [D, 6, S] ^
14I [1, 4, I] ^
DEV [D, E, V] ^
6WU [6, W, U] ^
B5D [B, 5, D] ^
14W [1, 4, W] ^
WDV [W, D, V] ^
1SI [1, S, I] ^
BVJ [B, V, J] ^
661 [6, 6, 1] ^
S5U [S, 5, U] ^
4W5 [4, W, 5] ^
SSI [S, S, I] ^
14S [1, 4, S] ^
J5E [J, 5, E] ^
6EI [6, E, I] ^
TIB [T, I, B] ^
4I4 [4, I, 4] ^
I1V [I, 1, V] ^
46J [4, 6, J] ^
565 [5, 6, 5] ^
6BW [6, B, W] ^
HI5 [H, I, 5] ^
4H6 [4, H, 6] ^
EJV [E, J, V] ^
1JB [1, J, B] ^
V44 [V, 4, 4] ^
11D [1, 1, D] ^
H6B [H, 6, B] ^
6TD [6, T, D] ^
5VD [5, V, D] ^
U1V [U, 1, V] ^
1I5 [1, I, 5] ^
WED [W, E, D] ^
1ED [1, E, D] ^
WHW [W, H, W] ^
6SW [6, S, W] ^
DES [D, E, S] ^
1TE [1, T, E] ^
61U [6, 1, U] ^
IDT [I, D, T] ^
6IS [6, I, S] ^
BEJ [B, E, J] ^
6BV [6, B, V] ^
D6V [D, 6, V] ^
6TU [6, T, U] ^
HDD [H, D, D] ^
5T1 [5, T, 1] ^
1S4 [1, S, 4] ^
DUB [D, U, B] ^
51I [5, 1, I] ^
JI1 [J, I, 1] ^
6IH [6, I, H] ^
1SE [1, S, E] ^
SJ5 [S, J, 5] ^
6DH [6, D, H] ^
1BE [1, B, E] ^
VHT [V, H, T] ^
5EU [5, E, U] ^
HJU [H, J, U] ^
456 [4, 5, 6] ^
U4U [U, 4, U] ^
1BT [1, B, T] ^
DHT [D, H, T] ^
1DD [1, D, D] ^
IDT [I, D, T] ^
615 [6, 1, 5] ^
55V [5, 5, V] ^
UWS [U, W, S] ^
6ID [6, I, D] ^
U4U [U, 4, U] ^
6HB [6, H, B] ^
V4T [V, 4, T] ^
4SS [4, S, S] ^
EWU [E, W, U] ^
4U4 [4, U, 4] ^
W4E [W, 4, E] ^
6B5 [6, B, 5] ^
11B [1, 1, B] ^
TVE [T, V, E] ^
5IU [5, I, U] ^
V4E [V, 4, E] ^
4IS [4, I, S] ^
DUE [D, U, E] ^
6VE [6, V, E] ^
T54 [T, 5, 4] ^
6B5 [6, B, 5] ^
HJI [H, J, I] ^
5E5 [5, E, 5] ^
H64 [H, 6, 4] ^
5W5 [5, W, 5] ^
I64 [I, 6, 4] ^
6H5 [6, H, 5] ^
UUU [U, U, U] ^
555 [5, 5, 5] ^
VHD [V, H, D] ^
1EE [1, E, E] ^
6EH [6, E, H] ^
EDU [E, D, U] ^
5BS [5, B, S] ^
HDT [H, D, T] ^
1UW [1, U, W] ^
IEI [I, E, I] ^
1DB [1, D, B] ^
BBU [B, B, U] ^
1EJ [1, E, J] ^
JV6 [J, V, 6] ^
54D [5, 4, D] ^
TSB [T, S, B] ^
5B5 [5, B, 5] ^
V61 [V, 6, 1] ^
4DI [4, D, I] ^
THJ [T, H, J] ^
1S6 [1, S, 6] ^
WUV [W, U, V] ^
6D1 [6, D, 1] ^
UHU [U, H, U] ^
6TJ [6, T, J] ^
D5B [D, 5, B] ^
5E4 [5, E, 4] ^
B5B [B, 5, B] ^
66B [6, 6, B] ^
6IW [6, I, W] ^
WD1 [W, D, 1] ^
6BJ [6, B, J] ^
1EE [1, E, E] ^
TDS [T, D, S] ^
4SI [4, S, I] ^
BB5 [B, B, 5] ^
5V5 [5, V, 5] ^
SVI [S, V, I] ^
61T [6, 1, T] ^
6VW [6, V, W] ^
BJ6 [B, J, 6] ^
54E [5, 4, E] ^
6D6 [6, D, 6] ^
HTE [H, T, E] ^
6EI [6, E, I] ^
EIT [E, I, T] ^
1BB [1, B, B] ^
JIU [J, I, U] ^
4W4 [4, W, 4] ^
EBJ [E, B, J] ^
4UT [4, U, T] ^
UWH [U, W, H] ^
1E1 [1, E, 1] ^
6U5 [6, U, 5] ^
HUV [H, U, V] ^
5TT [5, T, T] ^
4HW [4, H, W] ^
EB1 [E, B, 1] ^
15V [1, 5, V] ^
I6J [I, 6, J] ^
4HU [4, H, U] ^
UBU [U, B, U] ^
6H6 [6, H, 6] ^
ETE [E, T, E] ^
4E5 [4, E, 5] ^
1U5 [1, U, 5] ^
654 [6, 5, 4] ^
W5E [W, 5, E] ^
5EI [5, E, I] ^
IJE [I, J, E] ^
5W6 [5, W, 6] ^
VH1 [V, H, 1] ^
6SU [6, S, U] ^
U4B [U, 4, B] ^
4US [4, U, S] ^
JTI [J, T, I] ^
6DU [6, D, U] ^
TSI [T, S, I] ^
5IB [5, I, B] ^
4VB [4, V, B] ^
HDJ [H, D, J] ^
5JE [5, J, E] ^
46S [4, 6, S] ^
5HJ [5, H, J] ^
IWB [I, W, B] ^
461 [4, 6, 1] ^
4IS [4, I, S] ^
W1W [W, 1, W] ^
6HJ [6, H, J] ^
DWH [D, W, H] ^
4JU [4, J, U] ^
BW1 [B, W, 1] ^
5B4 [5, B, 4] ^
61I [6, 1, I] ^
16U [1, 6, U] ^
1IU [1, I, U] ^
6HE [6, H, E] ^
UU1 [U, U, 1] ^
16T [1, 6, T] ^
4JT [4, J, T] ^
TSJ [T, S, J] ^
45D [4, 5, D] ^
W45 [W, 4, 5] ^
6VJ [6, V, J] ^
VVD [V, V, D] ^
1TH [1, T, H] ^
V1W [V, 1, W] ^
565 [5, 6, 5] ^
55S [5, 5, S] ^
HEH [H, E, H] ^
1WU [1, W, U] ^
EWV [E, W, V] ^
6SW [6, S, W] ^
DBW [D, B, W] ^
65E [6, 5, E] ^
V6H [V, 6, H] ^
5E5 [5, E, 5] ^
D54 [D, 5, 4] ^
461 [4, 6, 1] ^
BB6 [B, B, 6] ^
4VJ [4, V, J] ^
DVI [D, V, I] ^
54I [5, 4, I] ^
HHV [H, H, V] ^
4UW [4, U, W] ^
64T [6, 4, T] ^
HTW [H, T, W] ^
56E [5, 6, E] ^
UUJ [U, U, J] ^
4JJ [4, J, J] ^
5HT [5, H, T] ^
44T [4, 4, T] ^
TBS [T, B, S] ^
4W1 [4, W, 1] ^
HDV [H, D, V] ^
1SD [1, S, D] ^
JDS [J, D, S] ^
1DB [1, D, B] ^
BSW [B, S, W] ^
4BV [4, B, V] ^
WIT [W, I, T] ^
516 [5, 1, 6] ^
VIE [V, I, E] ^
6TS [6, T, S] ^
4VU [4, V, U] ^
B4S [B, 4, S] ^
1EE [1, E, E] ^
DU6 [D, U, 6] ^
5U1 [5, U, 1] ^
WE5 [W, E, 5] ^
54I [5, 4, I] ^
6B1 [6, B, 1] ^
JBJ [J, B, J] ^
5IE [5, I, E] ^
W5S [W, 5, S] ^
1WJ [1, W, J] ^
I1H [I, 1, H] ^
4EH [4, E, H] ^
6V5 [6, V, 5] ^
IVB [I, V, B] ^
4BE [4, B, E] ^
I45 [I, 4, 5] ^
415 [4, 1, 5] ^
WVI [W, V, I] ^
516 [5, 1, 6] ^
IE4 [I, E, 4] ^
51T [5, 1, T] ^
BB5 [B, B, 5] ^
4US [4, U, S] ^
SWU [S, W, U] ^
464 [4, 6, 4] ^
4VS [4, V, S] ^
HES [H, E, S] ^
51T [5, 1, T] ^
TTU [T, T, U] ^
6JE [6, J, E] ^
ES1 [E, S, 1] ^
1JJ [1, J, J] ^
T6J [T, 6, J] ^
1E4 [1, E, 4] ^
I6W [I, 6, W] ^
1E1 [1, E, 1] ^
1E4 [1, E, 4] ^
W6V [W, 6, V] ^
551 [5, 5, 1] ^
JJD [J, J, D] ^
5T6 [5, T, 6] ^
1D5 [1, D, 5] ^
B1I [B, 1, I] ^
4TD [4, T, D] ^
1TU [1, T, U] ^
E4W [E, 4, W] ^
1EH [1, E, H] ^
VJ1 [V, J, 1] ^
1J4 [1, J, 4] ^
SU6 [S, U, 6] ^
64W [6, 4, W] ^
JVU [J, V, U] ^
6E5 [6, E, 5] ^
B6U [B, 6, U] ^
6W5 [6, W, 5] ^
51W [5, 1, W] ^
T6W [T, 6, W] ^
4DT [4, D, T] ^
S5V [S, 5, V] ^
1ED [1, E, D] ^
BHE [B, H, E] ^
15D [1, 5, D] ^
HSS [H, S, S] ^
6DI [6, D, I] ^
1HS [1, H, S] ^
E5V [E, 5, V] ^
666 [6, 6, 6] ^
VVB [V, V, B] ^
4WV [4, W, V] ^
DHH [D, H, H] ^
1JH [1, J, H] ^
5SW [5, S, W] ^
JEJ [J, E, J] ^
6J4 [6, J, 4] ^
1UI [1, U, I] ^
IST [I, S, T] ^
4JS [4, J, S] ^
HUB [H, U, B] ^
4D5 [4, D, 5] ^
6HT [6, H, T] ^
IW1 [I, W, 1] ^
4W6 [4, W, 6] ^
5S6 [5, S, 6] ^
ID1 [I, D, 1] ^
6UD [6, U, D] ^
BHE [B, H, E] ^
6W6 [6, W, 6] ^
VB1 [V, B, 1] ^
4E6 [4, E, 6] ^
1JT [1, J, T] ^
W4V [W, 4, V] ^
6II [6, I, I] ^
IWB [I, W, B] ^
5JD [5, J, D] ^
T4H [T, 4, H] ^
6HI [6, H, I] ^
DSS [D, S, S] ^
6TB [6, T, B] ^
JIS [J, I, S] ^
5VH [5, V, H] ^
UHU [U, H, U] ^
6DT [6, D, T] ^
4H6 [4, H, 6] ^
WSU [W, S, U] ^
5S6 [5, S, 6] ^
111 [1, 1, 1] ^
JDB [J, D, B] ^
146 [1, 4, 6] ^
SEV [S, E, V] ^
61T [6, 1, T] ^
UVI [U, V, I] ^
1TT [1, T, T] ^
T46 [T, 4, 6] ^
56I [5, 6, I] ^
JSH [J, S, H] ^
51U [5, 1, U] ^
TH6 [T, H, 6] ^
1BW [1, B, W] ^
4JH [4, J, H] ^
515 [5, 1, 5] ^
TJU [T, J, U] ^
611 [6, 1, 1] ^
1SJ [1, S, J] ^
JBT [J, B, T] ^
6TD [6, T, D] ^
DJJ [D, J, J] ^
5TJ [5, T, J] ^
4TV [4, T, V] ^
IW5 [I, W, 5] ^
614 [6, 1, 4] ^
SH6 [S, H, 6] ^
1S6 [1, S, 6] ^
BU5 [B, U, 5] ^
1W4 [1, W, 4] ^
H41 [H, 4, 1] ^
5UE [5, U, E] ^
SID [S, I, D] ^
6D5 [6, D, 5] ^
TE4 [T, E, 4] ^
6WW [6, W, W] ^
B1T [B, 1, T] ^
64J [6, 4, J] ^
ISV [I, S, V] ^
16H [1, 6, H] ^
IJ5 [I, J, 5] ^
11E [1, 1, E] ^
5U4 [5, U, 4] ^
DDI [D, D, I] ^
1JE [1, J, E] ^
ESD [E, S, D] ^
