e \? [e, question mark]^
c 7 [c,7]^
g r [g,r]^
y u [y,u]^
4 3 [4, 3]^
7 t [7,t]^
d e [d,e]^
s a [s,a]^
u g [u,g]^
7 s [7,s]^
g i [g,i]^
y m [y,m]^
w m [w,m]^
1 y [1,y]^
l 7 [l,7]^
\? 6 [ question mark ,6]^
a h [a,h]^
a n [a,n]^
5 2 [5, 2]^
\? f [ question mark ,f]^
u m [u,m]^
\? g [ question mark ,g]^
f a [f,a]^
w u [w,u]^
g n [g,n]^
6 7 [6, 7]^
2 4 [2, 4]^
o 5 [o,5]^
7 4 [7, 4]^
7 u [7,u]^
2 f [2,f]^
4 5 [4, 5]^
d 2 [d,2]^
7 h [7,h]^
4 7 [4, 7]^
p 7 [p,7]^
p 1 [p,1]^
n s [n,s]^
o \? [o, question mark]^
u 7 [u,7]^
3 u [3,u]^
l f [l,f]^
u h [u,h]^
7 g [7,g]^
e m [e,m]^
r 7 [r,7]^
u y [u,y]^
