TNX |S1000 BEAM [Thanks, Beam]^
HPE |S1000 FB [Hope, Fine business]^
SIG |S1000 DX [Signal, D X]^
CPY |S1000 SIG [Copy, Signal]^
DIPOLE |S1000 SRI [Dipole, Sorry]^
CUL |S1000 SIG [See you later, Signal]^
CPY |S1000 SIG [Copy, Signal]^
DX |S1000 QSB [D X, Q S B]^
SIG |S1000 QSB [Signal, Q S B]^
SIG |S1000 HW [Signal, How]^
CUL |S1000 HW [See you later, How]^
SIG |S1000 QRL [Signal, Q R L]^
QSB |S1000 BEAM [Q S B, Beam]^
CPY |S1000 DX [Copy, D X]^
CPY |S1000 SIG [Copy, Signal]^
HPE |S1000 QRL [Hope, Q R L]^
FB |S1000 SIG [Fine business, Signal]^
CPY |S1000 SIG [Copy, Signal]^
HW |S1000 CPI [How, Copy]^
CPY |S1000 SIG [Copy, Signal]^
TNX |S1000 BTU [Thanks, Back to you]^
SIG |S1000 DIPOLE [Signal, Dipole]^
CPY |S1000 SIG [Copy, Signal]^
QRL |S1000 FB [Q R L, Fine business]^
SIG |S1000 SRI [Signal, Sorry]^
CUL |S1000 BTU [See you later, Back to you]^
CPY |S1000 FB [Copy, Fine business]^
TNX |S1000 SIG [Thanks, Signal]^
QSB |S1000 SIG [Q S B, Signal]^
CUL |S1000 SIG [See you later, Signal]^
TNX |S1000 SIG [Thanks, Signal]^
SRI |S1000 SIG [Sorry, Signal]^
DX |S1000 CPI [D X, Copy]^
BTU |S1000 HW [Back to you, How]^
CPI |S1000 TNX [Copy, Thanks]^
SIG |S1000 QSB [Signal, Q S B]^
HW |S1000 DIPOLE [How, Dipole]^
CPI |S1000 QRL [Copy, Q R L]^
SIG |S1000 BTU [Signal, Back to you]^
SIG |S1000 CPI [Signal, Copy]^
SRI |S1000 SIG [Sorry, Signal]^
QRL |S1000 FB [Q R L, Fine business]^
SIG |S1000 CUL [Signal, See you later]^
HW |S1000 SRI [How, Sorry]^
TNX |S1000 CUL [Thanks, See you later]^
QRL |S1000 FB [Q R L, Fine business]^
SIG |S1000 BEAM [Signal, Beam]^
DIPOLE |S1000 SIG [Dipole, Signal]^
HPE |S1000 CPI [Hope, Copy]^
QRL |S1000 SIG [Q R L, Signal]^
QSB |S1000 CUL [Q S B, See you later]^
FB |S1000 DIPOLE [Fine business, Dipole]^
SIG |S1000 SRI [Signal, Sorry]^
SIG |S1000 BEAM [Signal, Beam]^
SRI |S1000 HW [Sorry, How]^
SRI |S1000 TNX [Sorry, Thanks]^
DIPOLE |S1000 SIG [Dipole, Signal]^
CUL |S1000 SIG [See you later, Signal]^
HW |S1000 DIPOLE [How, Dipole]^
CUL |S1000 CPI [See you later, Copy]^
BTU |S1000 SIG [Back to you, Signal]^
FB |S1000 QRL [Fine business, Q R L]^
SIG |S1000 CPI [Signal, Copy]^
SRI |S1000 TNX [Sorry, Thanks]^
SIG |S1000 DX [Signal, D X]^
SIG |S1000 DX [Signal, D X]^
BEAM |S1000 SIG [Beam, Signal]^
FB |S1000 DIPOLE [Fine business, Dipole]^
SIG |S1000 QRL [Signal, Q R L]^
SIG |S1000 QRL [Signal, Q R L]^
SIG |S1000 HPE [Signal, Hope]^
SIG |S1000 SRI [Signal, Sorry]^
SIG |S1000 HPE [Signal, Hope]^
SIG |S1000 FB [Signal, Fine business]^
SIG |S1000 BEAM [Signal, Beam]^
HW |S1000 QRL [How, Q R L]^
SIG |S1000 FB [Signal, Fine business]^
HW |S1000 SIG [How, Signal]^
FB |S1000 QSB [Fine business, Q S B]^
SIG |S1000 QSB [Signal, Q S B]^
DIPOLE |S1000 SIG [Dipole, Signal]^
BTU |S1000 SIG [Back to you, Signal]^
HPE |S1000 SIG [Hope, Signal]^
CUL |S1000 SIG [See you later, Signal]^
HPE |S1000 DX [Hope, D X]^
SIG |S1000 CPY [Signal, Copy]^
CPI |S1000 QSB [Copy, Q S B]^
FB |S1000 SIG [Fine business, Signal]^
QSB |S1000 BEAM [Q S B, Beam]^
SRI |S1000 QRL [Sorry, Q R L]^
SIG |S1000 CPI [Signal, Copy]^
SIG |S1000 QSB [Signal, Q S B]^
CPI |S1000 HPE [Copy, Hope]^
SIG |S1000 CUL [Signal, See you later]^
CPY |S1000 SIG [Copy, Signal]^
QRL |S1000 SIG [Q R L, Signal]^
DX |S1000 SIG [D X, Signal]^
FB |S1000 SIG [Fine business, Signal]^
DX |S1000 BEAM [D X, Beam]^
SIG |S1000 FB [Signal, Fine business]^
SIG |S1000 CPY [Signal, Copy]^
QSB |S1000 BEAM [Q S B, Beam]^
HPE |S1000 SRI [Hope, Sorry]^
SIG |S1000 HPE [Signal, Hope]^
TNX |S1000 SIG [Thanks, Signal]^
HW |S1000 DX [How, D X]^
QSB |S1000 TNX [Q S B, Thanks]^
QRL |S1000 SIG [Q R L, Signal]^
BTU |S1000 HW [Back to you, How]^
SRI |S1000 TNX [Sorry, Thanks]^
SIG |S1000 FB [Signal, Fine business]^
DX |S1000 CPY [D X, Copy]^
DX |S1000 SIG [D X, Signal]^
SRI |S1000 SIG [Sorry, Signal]^
QSB |S1000 CPI [Q S B, Copy]^
DX |S1000 QRL [D X, Q R L]^
SIG |S1000 DX [Signal, D X]^
SIG |S1000 HW [Signal, How]^
CPI |S1000 SIG [Copy, Signal]^
CUL |S1000 SIG [See you later, Signal]^
TNX |S1000 QRL [Thanks, Q R L]^
CPY |S1000 SIG [Copy, Signal]^
CPY |S1000 SIG [Copy, Signal]^
QRL |S1000 SIG [Q R L, Signal]^
HW |S1000 FB [How, Fine business]^
DX |S1000 CUL [D X, See you later]^
SRI |S1000 DX [Sorry, D X]^
SIG |S1000 FB [Signal, Fine business]^
TNX |S1000 SIG [Thanks, Signal]^
CPI |S1000 SIG [Copy, Signal]^
DIPOLE |S1000 SIG [Dipole, Signal]^
QSB |S1000 SIG [Q S B, Signal]^
QRL |S1000 HPE [Q R L, Hope]^
CPY |S1000 QSB [Copy, Q S B]^
SIG |S1000 DX [Signal, D X]^
CPY |S1000 DIPOLE [Copy, Dipole]^
SIG |S1000 FB [Signal, Fine business]^
CUL |S1000 BTU [See you later, Back to you]^
SIG |S1000 BEAM [Signal, Beam]^
HW |S1000 CUL [How, See you later]^
SIG |S1000 SRI [Signal, Sorry]^
SIG |S1000 CPI [Signal, Copy]^
SIG |S1000 QSB [Signal, Q S B]^
SIG |S1000 SRI [Signal, Sorry]^
HW |S1000 DIPOLE [How, Dipole]^
BEAM |S1000 DIPOLE [Beam, Dipole]^
SIG |S1000 CPI [Signal, Copy]^
TNX |S1000 CUL [Thanks, See you later]^
TNX |S1000 CPI [Thanks, Copy]^
HW |S1000 DX [How, D X]^
TNX |S1000 FB [Thanks, Fine business]^
SIG |S1000 DX [Signal, D X]^
HPE |S1000 SIG [Hope, Signal]^
DX |S1000 BTU [D X, Back to you]^
HPE |S1000 SIG [Hope, Signal]^
HPE |S1000 CPY [Hope, Copy]^
SIG |S1000 CUL [Signal, See you later]^
TNX |S1000 HPE [Thanks, Hope]^
DIPOLE |S1000 DX [Dipole, D X]^
SIG |S1000 CPI [Signal, Copy]^
QRL |S1000 DIPOLE [Q R L, Dipole]^
CUL |S1000 HW [See you later, How]^
SIG |S1000 BTU [Signal, Back to you]^
QSB |S1000 QRL [Q S B, Q R L]^
SIG |S1000 DX [Signal, D X]^
TNX |S1000 SIG [Thanks, Signal]^
TNX |S1000 SIG [Thanks, Signal]^
TNX |S1000 SIG [Thanks, Signal]^
SRI |S1000 BEAM [Sorry, Beam]^
SIG |S1000 DIPOLE [Signal, Dipole]^
SIG |S1000 HPE [Signal, Hope]^
DX |S1000 CPI [D X, Copy]^
SIG |S1000 DX [Signal, D X]^
SIG |S1000 DX [Signal, D X]^
QSB |S1000 SIG [Q S B, Signal]^
CUL |S1000 SIG [See you later, Signal]^
QRL |S1000 TNX [Q R L, Thanks]^
SIG |S1000 SRI [Signal, Sorry]^
SIG |S1000 CPI [Signal, Copy]^
SIG |S1000 QSB [Signal, Q S B]^
SIG |S1000 CUL [Signal, See you later]^
SIG |S1000 TNX [Signal, Thanks]^
BEAM |S1000 CUL [Beam, See you later]^
HW |S1000 SIG [How, Signal]^
QRL |S1000 SIG [Q R L, Signal]^
DIPOLE |S1000 HW [Dipole, How]^
DIPOLE |S1000 SIG [Dipole, Signal]^
BEAM |S1000 DIPOLE [Beam, Dipole]^
BEAM |S1000 SIG [Beam, Signal]^
QSB |S1000 BTU [Q S B, Back to you]^
HPE |S1000 FB [Hope, Fine business]^
SIG |S1000 QRL [Signal, Q R L]^
CPY |S1000 TNX [Copy, Thanks]^
HW |S1000 CPI [How, Copy]^
BEAM |S1000 SIG [Beam, Signal]^
CPI |S1000 DX [Copy, D X]^
QRL |S1000 CPI [Q R L, Copy]^
SIG |S1000 QSB [Signal, Q S B]^
QRL |S1000 SIG [Q R L, Signal]^
DIPOLE |S1000 SIG [Dipole, Signal]^
HPE |S1000 SIG [Hope, Signal]^
DX |S1000 CUL [D X, See you later]^
QSB |S1000 BEAM [Q S B, Beam]^
SIG |S1000 CUL [Signal, See you later]^
CPY |S1000 SIG [Copy, Signal]^
SRI |S1000 SIG [Sorry, Signal]^
SRI |S1000 QRL [Sorry, Q R L]^
SIG |S1000 HW [Signal, How]^
SIG |S1000 HPE [Signal, Hope]^
CPI |S1000 SIG [Copy, Signal]^
BTU |S1000 SIG [Back to you, Signal]^
CUL |S1000 SRI [See you later, Sorry]^
CPI |S1000 SIG [Copy, Signal]^
TNX |S1000 SRI [Thanks, Sorry]^
DX |S1000 SIG [D X, Signal]^
HW |S1000 SIG [How, Signal]^
DX |S1000 QRL [D X, Q R L]^
CPY |S1000 HW [Copy, How]^
SIG |S1000 TNX [Signal, Thanks]^
SIG |S1000 QRL [Signal, Q R L]^
SIG |S1000 HPE [Signal, Hope]^
SIG |S1000 FB [Signal, Fine business]^
TNX |S1000 SIG [Thanks, Signal]^
DIPOLE |S1000 SIG [Dipole, Signal]^
BEAM |S1000 QRL [Beam, Q R L]^
SIG |S1000 QRL [Signal, Q R L]^
DX |S1000 SIG [D X, Signal]^
CUL |S1000 SIG [See you later, Signal]^
QRL |S1000 SIG [Q R L, Signal]^
CPI |S1000 CUL [Copy, See you later]^
BEAM |S1000 HW [Beam, How]^
TNX |S1000 SIG [Thanks, Signal]^
FB |S1000 HPE [Fine business, Hope]^
BEAM |S1000 DX [Beam, D X]^
SIG |S1000 CUL [Signal, See you later]^
SIG |S1000 BTU [Signal, Back to you]^
SRI |S1000 TNX [Sorry, Thanks]^
HPE |S1000 SRI [Hope, Sorry]^
SIG |S1000 HW [Signal, How]^
DX |S1000 SIG [D X, Signal]^
FB |S1000 HPE [Fine business, Hope]^
DIPOLE |S1000 HPE [Dipole, Hope]^
SIG |S1000 FB [Signal, Fine business]^
SRI |S1000 CPY [Sorry, Copy]^
SIG |S1000 HPE [Signal, Hope]^
FB |S1000 DX [Fine business, D X]^
SIG |S1000 DIPOLE [Signal, Dipole]^
HPE |S1000 SIG [Hope, Signal]^
DIPOLE |S1000 SRI [Dipole, Sorry]^
SIG |S1000 CUL [Signal, See you later]^
SIG |S1000 DX [Signal, D X]^
QSB |S1000 HW [Q S B, How]^
CPY |S1000 SIG [Copy, Signal]^
HPE |S1000 SIG [Hope, Signal]^
CUL |S1000 BTU [See you later, Back to you]^
DX |S1000 FB [D X, Fine business]^
BEAM |S1000 DX [Beam, D X]^
SIG |S1000 DIPOLE [Signal, Dipole]^
SIG |S1000 CPI [Signal, Copy]^
SIG |S1000 BEAM [Signal, Beam]^
SIG |S1000 DX [Signal, D X]^
QSB |S1000 QRL [Q S B, Q R L]^
CPI |S1000 QSB [Copy, Q S B]^
DX |S1000 FB [D X, Fine business]^
CUL |S1000 CPY [See you later, Copy]^
BEAM |S1000 CUL [Beam, See you later]^
SIG |S1000 DIPOLE [Signal, Dipole]^
FB |S1000 HW [Fine business, How]^
TNX |S1000 SIG [Thanks, Signal]^
CPI |S1000 QRL [Copy, Q R L]^
DIPOLE |S1000 FB [Dipole, Fine business]^
QRL |S1000 BTU [Q R L, Back to you]^
CPY |S1000 BEAM [Copy, Beam]^
DX |S1000 SIG [D X, Signal]^
DX |S1000 CPI [D X, Copy]^
SIG |S1000 FB [Signal, Fine business]^
SIG |S1000 TNX [Signal, Thanks]^
CPY |S1000 SIG [Copy, Signal]^
CPI |S1000 SIG [Copy, Signal]^
CUL |S1000 SRI [See you later, Sorry]^
BEAM |S1000 HW [Beam, How]^
DX |S1000 SIG [D X, Signal]^
HW |S1000 FB [How, Fine business]^
TNX |S1000 SIG [Thanks, Signal]^
CPY |S1000 FB [Copy, Fine business]^
SIG |S1000 CPY [Signal, Copy]^
DX |S1000 HW [D X, How]^
DX |S1000 SIG [D X, Signal]^
CUL |S1000 SIG [See you later, Signal]^
SRI |S1000 FB [Sorry, Fine business]^
SIG |S1000 CUL [Signal, See you later]^
SIG |S1000 CPY [Signal, Copy]^
QSB |S1000 SIG [Q S B, Signal]^
BEAM |S1000 QRL [Beam, Q R L]^
CPI |S1000 SIG [Copy, Signal]^
CPY |S1000 SIG [Copy, Signal]^
QRL |S1000 QSB [Q R L, Q S B]^
HPE |S1000 BTU [Hope, Back to you]^
SIG |S1000 FB [Signal, Fine business]^
HW |S1000 DIPOLE [How, Dipole]^
DX |S1000 CPY [D X, Copy]^
QSB |S1000 SIG [Q S B, Signal]^
FB |S1000 SIG [Fine business, Signal]^
BTU |S1000 SIG [Back to you, Signal]^
BEAM |S1000 SIG [Beam, Signal]^
CUL |S1000 SIG [See you later, Signal]^
FB |S1000 QRL [Fine business, Q R L]^
SIG |S1000 FB [Signal, Fine business]^
TNX |S1000 SIG [Thanks, Signal]^
SRI |S1000 SIG [Sorry, Signal]^
CPY |S1000 BTU [Copy, Back to you]^
HPE |S1000 BEAM [Hope, Beam]^
FB |S1000 SIG [Fine business, Signal]^
BTU |S1000 BEAM [Back to you, Beam]^
CUL |S1000 DIPOLE [See you later, Dipole]^
QRL |S1000 BEAM [Q R L, Beam]^
DX |S1000 SIG [D X, Signal]^
CPY |S1000 DIPOLE [Copy, Dipole]^
SIG |S1000 QRL [Signal, Q R L]^
SIG |S1000 SRI [Signal, Sorry]^
SIG |S1000 SRI [Signal, Sorry]^
DX |S1000 SIG [D X, Signal]^
BEAM |S1000 TNX [Beam, Thanks]^
SIG |S1000 QRL [Signal, Q R L]^
TNX |S1000 HPE [Thanks, Hope]^
QRL |S1000 SIG [Q R L, Signal]^
QSB |S1000 FB [Q S B, Fine business]^
CPI |S1000 FB [Copy, Fine business]^
SIG |S1000 QRL [Signal, Q R L]^
SIG |S1000 DIPOLE [Signal, Dipole]^
BTU |S1000 SIG [Back to you, Signal]^
BTU |S1000 SIG [Back to you, Signal]^
QSB |S1000 FB [Q S B, Fine business]^
QRL |S1000 SRI [Q R L, Sorry]^
SIG |S1000 CPI [Signal, Copy]^
SIG |S1000 DIPOLE [Signal, Dipole]^
HPE |S1000 SRI [Hope, Sorry]^
SIG |S1000 CPI [Signal, Copy]^
SIG |S1000 QRL [Signal, Q R L]^
CUL |S1000 SRI [See you later, Sorry]^
QSB |S1000 SIG [Q S B, Signal]^
CPI |S1000 SIG [Copy, Signal]^
CUL |S1000 SIG [See you later, Signal]^
HPE |S1000 SIG [Hope, Signal]^
BEAM |S1000 HPE [Beam, Hope]^
BEAM |S1000 SIG [Beam, Signal]^
QRL |S1000 SIG [Q R L, Signal]^
HPE |S1000 FB [Hope, Fine business]^
BTU |S1000 SIG [Back to you, Signal]^
FB |S1000 SIG [Fine business, Signal]^
SRI |S1000 HW [Sorry, How]^
QSB |S1000 CPY [Q S B, Copy]^
SIG |S1000 HPE [Signal, Hope]^
SIG |S1000 TNX [Signal, Thanks]^
SIG |S1000 QRL [Signal, Q R L]^
DX |S1000 SIG [D X, Signal]^
BEAM |S1000 CUL [Beam, See you later]^
SIG |S1000 HPE [Signal, Hope]^
SIG |S1000 CPY [Signal, Copy]^
HW |S1000 SIG [How, Signal]^
TNX |S1000 SRI [Thanks, Sorry]^
QSB |S1000 HW [Q S B, How]^
DIPOLE |S1000 HPE [Dipole, Hope]^
QRL |S1000 DX [Q R L, D X]^
FB |S1000 SIG [Fine business, Signal]^
HPE |S1000 SIG [Hope, Signal]^
BTU |S1000 SIG [Back to you, Signal]^
CUL |S1000 DX [See you later, D X]^
SIG |S1000 FB [Signal, Fine business]^
CPI |S1000 HPE [Copy, Hope]^
TNX |S1000 SIG [Thanks, Signal]^
TNX |S1000 SIG [Thanks, Signal]^
CPY |S1000 SIG [Copy, Signal]^
BTU |S1000 SIG [Back to you, Signal]^
BEAM |S1000 DX [Beam, D X]^
BEAM |S1000 QSB [Beam, Q S B]^
TNX |S1000 FB [Thanks, Fine business]^
SIG |S1000 CPY [Signal, Copy]^
CPI |S1000 QRL [Copy, Q R L]^
SIG |S1000 DX [Signal, D X]^
SIG |S1000 CPY [Signal, Copy]^
SIG |S1000 TNX [Signal, Thanks]^
DX |S1000 QRL [D X, Q R L]^
SIG |S1000 BTU [Signal, Back to you]^
SIG |S1000 FB [Signal, Fine business]^
SRI |S1000 SIG [Sorry, Signal]^
DX |S1000 BTU [D X, Back to you]^
SIG |S1000 QSB [Signal, Q S B]^
TNX |S1000 HPE [Thanks, Hope]^
HW |S1000 CPY [How, Copy]^
FB |S1000 BEAM [Fine business, Beam]^
QSB |S1000 HPE [Q S B, Hope]^
BTU |S1000 SIG [Back to you, Signal]^
DX |S1000 SIG [D X, Signal]^
QRL |S1000 CUL [Q R L, See you later]^
SIG |S1000 CPY [Signal, Copy]^
SIG |S1000 QRL [Signal, Q R L]^
QSB |S1000 CPI [Q S B, Copy]^
SIG |S1000 SRI [Signal, Sorry]^
DIPOLE |S1000 QSB [Dipole, Q S B]^
FB |S1000 SIG [Fine business, Signal]^
SRI |S1000 FB [Sorry, Fine business]^
SRI |S1000 SIG [Sorry, Signal]^
BEAM |S1000 HW [Beam, How]^
HPE |S1000 DX [Hope, D X]^
CUL |S1000 SIG [See you later, Signal]^
HPE |S1000 BTU [Hope, Back to you]^
SIG |S1000 QSB [Signal, Q S B]^
SIG |S1000 CPY [Signal, Copy]^
QRL |S1000 CPI [Q R L, Copy]^
SIG |S1000 CPY [Signal, Copy]^
QRL |S1000 BEAM [Q R L, Beam]^
FB |S1000 DX [Fine business, D X]^
SIG |S1000 QSB [Signal, Q S B]^
SIG |S1000 HPE [Signal, Hope]^
DIPOLE |S1000 FB [Dipole, Fine business]^
SIG |S1000 BEAM [Signal, Beam]^
QSB |S1000 SIG [Q S B, Signal]^
FB |S1000 DX [Fine business, D X]^
HW |S1000 SIG [How, Signal]^
CUL |S1000 BEAM [See you later, Beam]^
CPI |S1000 SRI [Copy, Sorry]^
SIG |S1000 HW [Signal, How]^
SIG |S1000 CUL [Signal, See you later]^
SIG |S1000 QRL [Signal, Q R L]^
CPI |S1000 CPY [Copy, Copy]^
SIG |S1000 BTU [Signal, Back to you]^
CPI |S1000 SIG [Copy, Signal]^
QSB |S1000 CPI [Q S B, Copy]^
SIG |S1000 TNX [Signal, Thanks]^
HW |S1000 FB [How, Fine business]^
DIPOLE |S1000 SIG [Dipole, Signal]^
SRI |S1000 SIG [Sorry, Signal]^
QRL |S1000 SIG [Q R L, Signal]^
CUL |S1000 QSB [See you later, Q S B]^
CPY |S1000 BEAM [Copy, Beam]^
SIG |S1000 CPY [Signal, Copy]^
QSB |S1000 SRI [Q S B, Sorry]^
HW |S1000 SIG [How, Signal]^
QRL |S1000 SIG [Q R L, Signal]^
CPY |S1000 SIG [Copy, Signal]^
BTU |S1000 SIG [Back to you, Signal]^
SRI |S1000 SIG [Sorry, Signal]^
HW |S1000 QSB [How, Q S B]^
FB |S1000 CPI [Fine business, Copy]^
SIG |S1000 HW [Signal, How]^
QRL |S1000 BTU [Q R L, Back to you]^
SIG |S1000 QSB [Signal, Q S B]^
DIPOLE |S1000 SIG [Dipole, Signal]^
QRL |S1000 SIG [Q R L, Signal]^
CPI |S1000 BEAM [Copy, Beam]^
SIG |S1000 HPE [Signal, Hope]^
SIG |S1000 CPY [Signal, Copy]^
SIG |S1000 QSB [Signal, Q S B]^
CPY |S1000 CUL [Copy, See you later]^
CPY |S1000 DIPOLE [Copy, Dipole]^
SIG |S1000 HPE [Signal, Hope]^
QSB |S1000 FB [Q S B, Fine business]^
SRI |S1000 DIPOLE [Sorry, Dipole]^
CUL |S1000 SIG [See you later, Signal]^
CPY |S1000 DX [Copy, D X]^
SRI |S1000 TNX [Sorry, Thanks]^
SIG |S1000 CPY [Signal, Copy]^
TNX |S1000 SIG [Thanks, Signal]^
BTU |S1000 CPY [Back to you, Copy]^
SIG |S1000 TNX [Signal, Thanks]^
SIG |S1000 QRL [Signal, Q R L]^
SIG |S1000 CUL [Signal, See you later]^
SIG |S1000 CPY [Signal, Copy]^
SIG |S1000 QRL [Signal, Q R L]^
DIPOLE |S1000 SIG [Dipole, Signal]^
BTU |S1000 BEAM [Back to you, Beam]^
SIG |S1000 HPE [Signal, Hope]^
SIG |S1000 QRL [Signal, Q R L]^
HW |S1000 BEAM [How, Beam]^
BTU |S1000 SRI [Back to you, Sorry]^
CPY |S1000 BTU [Copy, Back to you]^
CPY |S1000 CPI [Copy, Copy]^
SIG |S1000 SRI [Signal, Sorry]^
FB |S1000 HPE [Fine business, Hope]^
DIPOLE |S1000 SIG [Dipole, Signal]^
QRL |S1000 SIG [Q R L, Signal]^
DX |S1000 CPI [D X, Copy]^
