YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
DR |S1000 DR |S1000 DR [Dear | DR]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QSY |S1000 QSY |S1000 QSY [Change frequency | QSY]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
OP |S1000 OP |S1000 OP [Operator | OP]^
FT |S1000 FT |S1000 FT [Feet | FT]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QSY |S1000 QSY |S1000 QSY [Change frequency | QSY]^
HR |S1000 HR |S1000 HR [Hear | HR]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
HR |S1000 HR |S1000 HR [Hear | HR]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QRP |S1000 QRP |S1000 QRP [Low power | QRP]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
DR |S1000 DR |S1000 DR [Dear | DR]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QRS |S1000 QRS |S1000 QRS [Slow speed | QRS]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QSL |S1000 QSL |S1000 QSL [Confirm | QSL]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QSL |S1000 QSL |S1000 QSL [Confirm | QSL]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
FT |S1000 FT |S1000 FT [Feet | FT]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QRP |S1000 QRP |S1000 QRP [Low power | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
EL |S1000 EL |S1000 EL [Element | EL]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
HR |S1000 HR |S1000 HR [Hear | HR]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
HR |S1000 HR |S1000 HR [Hear | HR]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
FT |S1000 FT |S1000 FT [Feet | FT]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
QRP |S1000 QRP |S1000 QRP [Low power | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
FT |S1000 FT |S1000 FT [Feet | FT]^
QRS |S1000 QRS |S1000 QRS [Slow speed | QRS]^
DR |S1000 DR |S1000 DR [Dear | DR]^
OP |S1000 OP |S1000 OP [Operator | OP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRS |S1000 QRS |S1000 QRS [Slow speed | QRS]^
EL |S1000 EL |S1000 EL [Element | EL]^
FT |S1000 FT |S1000 FT [Feet | FT]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
RX |S1000 RX |S1000 RX [Receive | RX]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QSL |S1000 QSL |S1000 QSL [Confirm | QSL]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QRQ |S1000 QRQ |S1000 QRQ [High speed | QRQ]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
OP |S1000 OP |S1000 OP [Operator | OP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QSL |S1000 QSL |S1000 QSL [Confirm | QSL]^
QSY |S1000 QSY |S1000 QSY [Change frequency | QSY]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
RX |S1000 RX |S1000 RX [Receive | RX]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QRP |S1000 QRP |S1000 QRP [Low power | QRP]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
FT |S1000 FT |S1000 FT [Feet | FT]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRP |S1000 QRP |S1000 QRP [Low power | QRP]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
RX |S1000 RX |S1000 RX [Receive | RX]^
FT |S1000 FT |S1000 FT [Feet | FT]^
OP |S1000 OP |S1000 OP [Operator | OP]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QSL |S1000 QSL |S1000 QSL [Confirm | QSL]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QRP |S1000 QRP |S1000 QRP [Low power | QRP]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QRS |S1000 QRS |S1000 QRS [Slow speed | QRS]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
HR |S1000 HR |S1000 HR [Hear | HR]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Low power | QRP]^
EL |S1000 EL |S1000 EL [Element | EL]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QSY |S1000 QSY |S1000 QSY [Change frequency | QSY]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
RX |S1000 RX |S1000 RX [Receive | RX]^
DR |S1000 DR |S1000 DR [Dear | DR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HR |S1000 HR |S1000 HR [Hear | HR]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
FT |S1000 FT |S1000 FT [Feet | FT]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
OP |S1000 OP |S1000 OP [Operator | OP]^
EL |S1000 EL |S1000 EL [Element | EL]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
FT |S1000 FT |S1000 FT [Feet | FT]^
HR |S1000 HR |S1000 HR [Hear | HR]^
EL |S1000 EL |S1000 EL [Element | EL]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRS |S1000 QRS |S1000 QRS [Slow speed | QRS]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
EL |S1000 EL |S1000 EL [Element | EL]^
QSY |S1000 QSY |S1000 QSY [Change frequency | QSY]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
RX |S1000 RX |S1000 RX [Receive | RX]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
DR |S1000 DR |S1000 DR [Dear | DR]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
OP |S1000 OP |S1000 OP [Operator | OP]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QRS |S1000 QRS |S1000 QRS [Slow speed | QRS]^
RX |S1000 RX |S1000 RX [Receive | RX]^
FT |S1000 FT |S1000 FT [Feet | FT]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QSL |S1000 QSL |S1000 QSL [Confirm | QSL]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QSL |S1000 QSL |S1000 QSL [Confirm | QSL]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QSY |S1000 QSY |S1000 QSY [Change frequency | QSY]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
DR |S1000 DR |S1000 DR [Dear | DR]^
OP |S1000 OP |S1000 OP [Operator | OP]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
HR |S1000 HR |S1000 HR [Hear | HR]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
RX |S1000 RX |S1000 RX [Receive | RX]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
DR |S1000 DR |S1000 DR [Dear | DR]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
HR |S1000 HR |S1000 HR [Hear | HR]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRQ |S1000 QRQ |S1000 QRQ [High speed | QRQ]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
EL |S1000 EL |S1000 EL [Element | EL]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
QRP |S1000 QRP |S1000 QRP [Low power | QRP]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
FT |S1000 FT |S1000 FT [Feet | FT]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QSL |S1000 QSL |S1000 QSL [Confirm | QSL]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
FT |S1000 FT |S1000 FT [Feet | FT]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
RX |S1000 RX |S1000 RX [Receive | RX]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
RX |S1000 RX |S1000 RX [Receive | RX]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
HR |S1000 HR |S1000 HR [Hear | HR]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
EL |S1000 EL |S1000 EL [Element | EL]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QSY |S1000 QSY |S1000 QSY [Change frequency | QSY]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
OP |S1000 OP |S1000 OP [Operator | OP]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QSL |S1000 QSL |S1000 QSL [Confirm | QSL]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
DR |S1000 DR |S1000 DR [Dear | DR]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QRP |S1000 QRP |S1000 QRP [Low power | QRP]^
DR |S1000 DR |S1000 DR [Dear | DR]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
DR |S1000 DR |S1000 DR [Dear | DR]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
DR |S1000 DR |S1000 DR [Dear | DR]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
OP |S1000 OP |S1000 OP [Operator | OP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRP |S1000 QRP |S1000 QRP [Low power | QRP]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
OP |S1000 OP |S1000 OP [Operator | OP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRQ |S1000 QRQ |S1000 QRQ [High speed | QRQ]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
EL |S1000 EL |S1000 EL [Element | EL]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
HR |S1000 HR |S1000 HR [Hear | HR]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
DR |S1000 DR |S1000 DR [Dear | DR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRS |S1000 QRS |S1000 QRS [Slow speed | QRS]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QRQ |S1000 QRQ |S1000 QRQ [High speed | QRQ]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QSL |S1000 QSL |S1000 QSL [Confirm | QSL]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
EL |S1000 EL |S1000 EL [Element | EL]^
QSY |S1000 QSY |S1000 QSY [Change frequency | QSY]^
FT |S1000 FT |S1000 FT [Feet | FT]^
QRQ |S1000 QRQ |S1000 QRQ [High speed | QRQ]^
QSY |S1000 QSY |S1000 QSY [Change frequency | QSY]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
RX |S1000 RX |S1000 RX [Receive | RX]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
OP |S1000 OP |S1000 OP [Operator | OP]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QRQ |S1000 QRQ |S1000 QRQ [High speed | QRQ]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRQ |S1000 QRQ |S1000 QRQ [High speed | QRQ]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
QRQ |S1000 QRQ |S1000 QRQ [High speed | QRQ]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QSL |S1000 QSL |S1000 QSL [Confirm | QSL]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QSY |S1000 QSY |S1000 QSY [Change frequency | QSY]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
RX |S1000 RX |S1000 RX [Receive | RX]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Low power | QRP]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
QSY |S1000 QSY |S1000 QSY [Change frequency | QSY]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRS |S1000 QRS |S1000 QRS [Slow speed | QRS]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QRS |S1000 QRS |S1000 QRS [Slow speed | QRS]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QRQ |S1000 QRQ |S1000 QRQ [High speed | QRQ]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
DR |S1000 DR |S1000 DR [Dear | DR]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
EL |S1000 EL |S1000 EL [Element | EL]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
FT |S1000 FT |S1000 FT [Feet | FT]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
QRQ |S1000 QRQ |S1000 QRQ [High speed | QRQ]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QRQ |S1000 QRQ |S1000 QRQ [High speed | QRQ]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QRQ |S1000 QRQ |S1000 QRQ [High speed | QRQ]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QRP |S1000 QRP |S1000 QRP [Low power | QRP]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QSL |S1000 QSL |S1000 QSL [Confirm | QSL]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QSL |S1000 QSL |S1000 QSL [Confirm | QSL]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
FT |S1000 FT |S1000 FT [Feet | FT]^
DR |S1000 DR |S1000 DR [Dear | DR]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
QSY |S1000 QSY |S1000 QSY [Change frequency | QSY]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
EL |S1000 EL |S1000 EL [Element | EL]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
EL |S1000 EL |S1000 EL [Element | EL]^
DR |S1000 DR |S1000 DR [Dear | DR]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRS |S1000 QRS |S1000 QRS [Slow speed | QRS]^
OP |S1000 OP |S1000 OP [Operator | OP]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Low power | QRP]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
RX |S1000 RX |S1000 RX [Receive | RX]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
DR |S1000 DR |S1000 DR [Dear | DR]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
HR |S1000 HR |S1000 HR [Hear | HR]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QSL |S1000 QSL |S1000 QSL [Confirm | QSL]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
RX |S1000 RX |S1000 RX [Receive | RX]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
FT |S1000 FT |S1000 FT [Feet | FT]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRQ |S1000 QRQ |S1000 QRQ [High speed | QRQ]^
RX |S1000 RX |S1000 RX [Receive | RX]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QSL |S1000 QSL |S1000 QSL [Confirm | QSL]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
OP |S1000 OP |S1000 OP [Operator | OP]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
RX |S1000 RX |S1000 RX [Receive | RX]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
YAGI |S1000 YAGI |S1000 YAGI [Yagi | YAGI]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
