FT |S1000 FT |S1000 FT [Feet | FT]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
FT |S1000 FT |S1000 FT [Feet | FT]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
OP |S1000 OP |S1000 OP [Operator | OP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
DR |S1000 DR |S1000 DR [Dear | DR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
OP |S1000 OP |S1000 OP [Operator | OP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
FT |S1000 FT |S1000 FT [Feet | FT]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
RX |S1000 RX |S1000 RX [Receive | RX]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
OP |S1000 OP |S1000 OP [Operator | OP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
EL |S1000 EL |S1000 EL [Element | EL]^
RX |S1000 RX |S1000 RX [Receive | RX]^
FT |S1000 FT |S1000 FT [Feet | FT]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
RX |S1000 RX |S1000 RX [Receive | RX]^
DR |S1000 DR |S1000 DR [Dear | DR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HR |S1000 HR |S1000 HR [Hear | HR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
FT |S1000 FT |S1000 FT [Feet | FT]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
FT |S1000 FT |S1000 FT [Feet | FT]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
OP |S1000 OP |S1000 OP [Operator | OP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
DR |S1000 DR |S1000 DR [Dear | DR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
DR |S1000 DR |S1000 DR [Dear | DR]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
DR |S1000 DR |S1000 DR [Dear | DR]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
OP |S1000 OP |S1000 OP [Operator | OP]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
RX |S1000 RX |S1000 RX [Receive | RX]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HR |S1000 HR |S1000 HR [Hear | HR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
RX |S1000 RX |S1000 RX [Receive | RX]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
OP |S1000 OP |S1000 OP [Operator | OP]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
FT |S1000 FT |S1000 FT [Feet | FT]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
FT |S1000 FT |S1000 FT [Feet | FT]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
EL |S1000 EL |S1000 EL [Element | EL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
EL |S1000 EL |S1000 EL [Element | EL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
RX |S1000 RX |S1000 RX [Receive | RX]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
FT |S1000 FT |S1000 FT [Feet | FT]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
RX |S1000 RX |S1000 RX [Receive | RX]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
OP |S1000 OP |S1000 OP [Operator | OP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
FT |S1000 FT |S1000 FT [Feet | FT]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
RX |S1000 RX |S1000 RX [Receive | RX]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
DR |S1000 DR |S1000 DR [Dear | DR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HR |S1000 HR |S1000 HR [Hear | HR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HR |S1000 HR |S1000 HR [Hear | HR]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
OP |S1000 OP |S1000 OP [Operator | OP]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
DR |S1000 DR |S1000 DR [Dear | DR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HR |S1000 HR |S1000 HR [Hear | HR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
OP |S1000 OP |S1000 OP [Operator | OP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
DR |S1000 DR |S1000 DR [Dear | DR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
EL |S1000 EL |S1000 EL [Element | EL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
RX |S1000 RX |S1000 RX [Receive | RX]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
RX |S1000 RX |S1000 RX [Receive | RX]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
DR |S1000 DR |S1000 DR [Dear | DR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
FT |S1000 FT |S1000 FT [Feet | FT]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
EL |S1000 EL |S1000 EL [Element | EL]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
HR |S1000 HR |S1000 HR [Hear | HR]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HR |S1000 HR |S1000 HR [Hear | HR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
EL |S1000 EL |S1000 EL [Element | EL]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
FT |S1000 FT |S1000 FT [Feet | FT]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HR |S1000 HR |S1000 HR [Hear | HR]^
EL |S1000 EL |S1000 EL [Element | EL]^
FT |S1000 FT |S1000 FT [Feet | FT]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
OP |S1000 OP |S1000 OP [Operator | OP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
EL |S1000 EL |S1000 EL [Element | EL]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
FT |S1000 FT |S1000 FT [Feet | FT]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
OP |S1000 OP |S1000 OP [Operator | OP]^
FT |S1000 FT |S1000 FT [Feet | FT]^
RX |S1000 RX |S1000 RX [Receive | RX]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
OP |S1000 OP |S1000 OP [Operator | OP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
EL |S1000 EL |S1000 EL [Element | EL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
HR |S1000 HR |S1000 HR [Hear | HR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
OP |S1000 OP |S1000 OP [Operator | OP]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
EFHW |S1000 EFHW |S1000 EFHW [End fed, half-wave | EFHW]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
EL |S1000 EL |S1000 EL [Element | EL]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
HR |S1000 HR |S1000 HR [Hear | HR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
RX |S1000 RX |S1000 RX [Receive | RX]^
DR |S1000 DR |S1000 DR [Dear | DR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
DR |S1000 DR |S1000 DR [Dear | DR]^
OP |S1000 OP |S1000 OP [Operator | OP]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
DR |S1000 DR |S1000 DR [Dear | DR]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
VERT |S1000 VERT |S1000 VERT [Vertical | VERT]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
FT |S1000 FT |S1000 FT [Feet | FT]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
