HR |S1000 HR |S1000 HR [Hear | HR]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
DR |S1000 DR |S1000 DR [Dear | DR]^
HR |S1000 HR |S1000 HR [Hear | HR]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
HR |S1000 HR |S1000 HR [Hear | HR]^
DR |S1000 DR |S1000 DR [Dear | DR]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
DR |S1000 DR |S1000 DR [Dear | DR]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
DR |S1000 DR |S1000 DR [Dear | DR]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
DR |S1000 DR |S1000 DR [Dear | DR]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
RX |S1000 RX |S1000 RX [Receive | RX]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
OP |S1000 OP |S1000 OP [Operator | OP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
HR |S1000 HR |S1000 HR [Hear | HR]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
OP |S1000 OP |S1000 OP [Operator | OP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
RX |S1000 RX |S1000 RX [Receive | RX]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
DR |S1000 DR |S1000 DR [Dear | DR]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
DR |S1000 DR |S1000 DR [Dear | DR]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
DR |S1000 DR |S1000 DR [Dear | DR]^
HR |S1000 HR |S1000 HR [Hear | HR]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
RX |S1000 RX |S1000 RX [Receive | RX]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
HR |S1000 HR |S1000 HR [Hear | HR]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
OP |S1000 OP |S1000 OP [Operator | OP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
RX |S1000 RX |S1000 RX [Receive | RX]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
OP |S1000 OP |S1000 OP [Operator | OP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
DR |S1000 DR |S1000 DR [Dear | DR]^
OP |S1000 OP |S1000 OP [Operator | OP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
OP |S1000 OP |S1000 OP [Operator | OP]^
DR |S1000 DR |S1000 DR [Dear | DR]^
OP |S1000 OP |S1000 OP [Operator | OP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
DR |S1000 DR |S1000 DR [Dear | DR]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
HR |S1000 HR |S1000 HR [Hear | HR]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
OP |S1000 OP |S1000 OP [Operator | OP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
HR |S1000 HR |S1000 HR [Hear | HR]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
RX |S1000 RX |S1000 RX [Receive | RX]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
DR |S1000 DR |S1000 DR [Dear | DR]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
RX |S1000 RX |S1000 RX [Receive | RX]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
HR |S1000 HR |S1000 HR [Hear | HR]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
OP |S1000 OP |S1000 OP [Operator | OP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
HR |S1000 HR |S1000 HR [Hear | HR]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
