HW |S1000 HW |S1000 HW [How | HW]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
DX |S1000 DX |S1000 DX [D X | DX]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
DX |S1000 DX |S1000 DX [D X | DX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
HW |S1000 HW |S1000 HW [How | HW]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
DX |S1000 DX |S1000 DX [D X | DX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DX |S1000 DX |S1000 DX [D X | DX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
DX |S1000 DX |S1000 DX [D X | DX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DX |S1000 DX |S1000 DX [D X | DX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DX |S1000 DX |S1000 DX [D X | DX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
HW |S1000 HW |S1000 HW [How | HW]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
DX |S1000 DX |S1000 DX [D X | DX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
HW |S1000 HW |S1000 HW [How | HW]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
OM |S1000 OM |S1000 OM [Old man | OM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
DX |S1000 DX |S1000 DX [D X | DX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
HW |S1000 HW |S1000 HW [How | HW]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DX |S1000 DX |S1000 DX [D X | DX]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
OM |S1000 OM |S1000 OM [Old man | OM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
OM |S1000 OM |S1000 OM [Old man | OM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
DX |S1000 DX |S1000 DX [D X | DX]^
OM |S1000 OM |S1000 OM [Old man | OM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
HW |S1000 HW |S1000 HW [How | HW]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
DX |S1000 DX |S1000 DX [D X | DX]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
DX |S1000 DX |S1000 DX [D X | DX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DX |S1000 DX |S1000 DX [D X | DX]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DX |S1000 DX |S1000 DX [D X | DX]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
HW |S1000 HW |S1000 HW [How | HW]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
HW |S1000 HW |S1000 HW [How | HW]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DX |S1000 DX |S1000 DX [D X | DX]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DX |S1000 DX |S1000 DX [D X | DX]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DX |S1000 DX |S1000 DX [D X | DX]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
HW |S1000 HW |S1000 HW [How | HW]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DX |S1000 DX |S1000 DX [D X | DX]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DX |S1000 DX |S1000 DX [D X | DX]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
OM |S1000 OM |S1000 OM [Old man | OM]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
DX |S1000 DX |S1000 DX [D X | DX]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
