PSE |S1000 QRQ [Please, Q R Q]^
PLS |S1000 CFM [Please, Confirm]^
QSY |S1000 EL [Q S Y, Element]^
RX |S1000 PLS [Receive, Please]^
EL |S1000 OP [Element, Operator]^
EL |S1000 YL [Element, Young lady]^
HR |S1000 RX [Hear, Receive]^
EL |S1000 DR [Element, Dear]^
EL |S1000 OP [Element, Operator]^
TX |S1000 EL [Transmit, Element]^
TX |S1000 YL [Transmit, Young lady]^
HR |S1000 EL [Hear, Element]^
HR |S1000 EL [Hear, Element]^
MNI |S1000 QSY [Many, Q S Y]^
FT |S1000 EL [Feet, Element]^
QRQ |S1000 HR [Q R Q, Hear]^
EL |S1000 BURO [Element, bureau]^
EL |S1000 QRP [Element, Q R P]^
QRS |S1000 PLS [Q R S, Please]^
EL |S1000 TX [Element, Transmit]^
DR |S1000 EL [Dear, Element]^
CFM |S1000 PLS [Confirm, Please]^
QRQ |S1000 EL [Q R Q, Element]^
PSE |S1000 PLS [Please, Please]^
HW\? |S1000 QSL [How copy\?, Q S L]^
EL |S1000 BCNU [Element, Be seeing you]^
EL |S1000 BURO [Element, bureau]^
QSY |S1000 EL [Q S Y, Element]^
QSL |S1000 QRP [Q S L, Q R P]^
HR |S1000 EL [Hear, Element]^
PLS |S1000 EL [Please, Element]^
BURO |S1000 EL [bureau, Element]^
FT |S1000 EL [Feet, Element]^
QRP |S1000 YL [Q R P, Young lady]^
PSE |S1000 EL [Please, Element]^
QSL |S1000 QSY [Q S L, Q S Y]^
EL |S1000 PLS [Element, Please]^
BURO |S1000 EL [bureau, Element]^
PSE |S1000 HR [Please, Hear]^
QRP |S1000 RX [Q R P, Receive]^
EL |S1000 BCNU [Element, Be seeing you]^
DR |S1000 EL [Dear, Element]^
QRP |S1000 EL [Q R P, Element]^
QRP |S1000 OP [Q R P, Operator]^
BCNU |S1000 RX [Be seeing you, Receive]^
EL |S1000 PSE [Element, Please]^
QRQ |S1000 EL [Q R Q, Element]^
HW\? |S1000 EL [How copy\?, Element]^
YL |S1000 EL [Young lady, Element]^
YL |S1000 HW\? [Young lady, How copy\?]^
BURO |S1000 EL [bureau, Element]^
OP |S1000 BCNU [Operator, Be seeing you]^
QRQ |S1000 CFM [Q R Q, Confirm]^
RX |S1000 BCNU [Receive, Be seeing you]^
HR |S1000 EL [Hear, Element]^
BURO |S1000 EL [bureau, Element]^
QRQ |S1000 EL [Q R Q, Element]^
QSY |S1000 QSL [Q S Y, Q S L]^
EL |S1000 QRP [Element, Q R P]^
MNI |S1000 EL [Many, Element]^
MNI |S1000 EL [Many, Element]^
CFM |S1000 RX [Confirm, Receive]^
TX |S1000 YL [Transmit, Young lady]^
EL |S1000 QSL [Element, Q S L]^
DR |S1000 EL [Dear, Element]^
TX |S1000 EL [Transmit, Element]^
QRS |S1000 EL [Q R S, Element]^
BCNU |S1000 HR [Be seeing you, Hear]^
DR |S1000 EL [Dear, Element]^
MNI |S1000 EL [Many, Element]^
PLS |S1000 TX [Please, Transmit]^
YL |S1000 FT [Young lady, Feet]^
EL |S1000 QRS [Element, Q R S]^
EL |S1000 DR [Element, Dear]^
EL |S1000 HR [Element, Hear]^
EL |S1000 MNI [Element, Many]^
HR |S1000 EL [Hear, Element]^
YL |S1000 EL [Young lady, Element]^
HR |S1000 BCNU [Hear, Be seeing you]^
PSE |S1000 EL [Please, Element]^
PSE |S1000 HW\? [Please, How copy\?]^
YL |S1000 EL [Young lady, Element]^
QSL |S1000 YL [Q S L, Young lady]^
EL |S1000 QRS [Element, Q R S]^
FT |S1000 CFM [Feet, Confirm]^
EL |S1000 QRP [Element, Q R P]^
EL |S1000 QRP [Element, Q R P]^
QRQ |S1000 QSL [Q R Q, Q S L]^
PSE |S1000 EL [Please, Element]^
CFM |S1000 EL [Confirm, Element]^
PSE |S1000 EL [Please, Element]^
QSL |S1000 YL [Q S L, Young lady]^
EL |S1000 HW\? [Element, How copy\?]^
EL |S1000 RX [Element, Receive]^
BURO |S1000 EL [bureau, Element]^
BCNU |S1000 HR [Be seeing you, Hear]^
OP |S1000 EL [Operator, Element]^
QRP |S1000 BURO [Q R P, bureau]^
EL |S1000 FT [Element, Feet]^
EL |S1000 CFM [Element, Confirm]^
EL |S1000 BURO [Element, bureau]^
EL |S1000 QRQ [Element, Q R Q]^
EL |S1000 QRQ [Element, Q R Q]^
EL |S1000 QRS [Element, Q R S]^
EL |S1000 RX [Element, Receive]^
EL |S1000 HR [Element, Hear]^
DR |S1000 QSY [Dear, Q S Y]^
EL |S1000 RX [Element, Receive]^
EL |S1000 QRQ [Element, Q R Q]^
MNI |S1000 TX [Many, Transmit]^
EL |S1000 QRS [Element, Q R S]^
EL |S1000 PLS [Element, Please]^
FT |S1000 EL [Feet, Element]^
PSE |S1000 EL [Please, Element]^
RX |S1000 CFM [Receive, Confirm]^
PLS |S1000 EL [Please, Element]^
QSL |S1000 QSY [Q S L, Q S Y]^
EL |S1000 QRS [Element, Q R S]^
QSY |S1000 OP [Q S Y, Operator]^
QRP |S1000 EL [Q R P, Element]^
TX |S1000 QSY [Transmit, Q S Y]^
EL |S1000 TX [Element, Transmit]^
DR |S1000 EL [Dear, Element]^
TX |S1000 EL [Transmit, Element]^
QRP |S1000 OP [Q R P, Operator]^
EL |S1000 BCNU [Element, Be seeing you]^
CFM |S1000 DR [Confirm, Dear]^
FT |S1000 EL [Feet, Element]^
QSL |S1000 EL [Q S L, Element]^
HR |S1000 EL [Hear, Element]^
YL |S1000 BCNU [Young lady, Be seeing you]^
EL |S1000 HR [Element, Hear]^
EL |S1000 CFM [Element, Confirm]^
EL |S1000 RX [Element, Receive]^
EL |S1000 QRP [Element, Q R P]^
PLS |S1000 YL [Please, Young lady]^
EL |S1000 DR [Element, Dear]^
RX |S1000 EL [Receive, Element]^
QSL |S1000 EL [Q S L, Element]^
BURO |S1000 EL [bureau, Element]^
RX |S1000 BCNU [Receive, Be seeing you]^
EL |S1000 YL [Element, Young lady]^
EL |S1000 TX [Element, Transmit]^
EL |S1000 MNI [Element, Many]^
QSY |S1000 QRP [Q S Y, Q R P]^
BURO |S1000 QSY [bureau, Q S Y]^
EL |S1000 OP [Element, Operator]^
BCNU |S1000 EL [Be seeing you, Element]^
YL |S1000 QRS [Young lady, Q R S]^
HR |S1000 QSL [Hear, Q S L]^
EL |S1000 HW\? [Element, How copy\?]^
QSY |S1000 QRS [Q S Y, Q R S]^
EL |S1000 DR [Element, Dear]^
QSY |S1000 EL [Q S Y, Element]^
TX |S1000 BURO [Transmit, bureau]^
EL |S1000 OP [Element, Operator]^
PLS |S1000 RX [Please, Receive]^
HR |S1000 EL [Hear, Element]^
QRQ |S1000 EL [Q R Q, Element]^
OP |S1000 EL [Operator, Element]^
PLS |S1000 EL [Please, Element]^
QSL |S1000 PLS [Q S L, Please]^
QRP |S1000 HR [Q R P, Hear]^
QRQ |S1000 BURO [Q R Q, bureau]^
PLS |S1000 EL [Please, Element]^
TX |S1000 HW\? [Transmit, How copy\?]^
EL |S1000 FT [Element, Feet]^
PLS |S1000 QRS [Please, Q R S]^
QRP |S1000 EL [Q R P, Element]^
PLS |S1000 EL [Please, Element]^
OP |S1000 BURO [Operator, bureau]^
QRQ |S1000 QRS [Q R Q, Q R S]^
BURO |S1000 EL [bureau, Element]^
QSY |S1000 EL [Q S Y, Element]^
PLS |S1000 CFM [Please, Confirm]^
EL |S1000 DR [Element, Dear]^
EL |S1000 PSE [Element, Please]^
DR |S1000 EL [Dear, Element]^
OP |S1000 EL [Operator, Element]^
PLS |S1000 EL [Please, Element]^
BURO |S1000 EL [bureau, Element]^
MNI |S1000 OP [Many, Operator]^
EL |S1000 PSE [Element, Please]^
QSY |S1000 QRQ [Q S Y, Q R Q]^
QSL |S1000 FT [Q S L, Feet]^
EL |S1000 BURO [Element, bureau]^
QRP |S1000 EL [Q R P, Element]^
QRQ |S1000 TX [Q R Q, Transmit]^
EL |S1000 QSY [Element, Q S Y]^
RX |S1000 EL [Receive, Element]^
PSE |S1000 TX [Please, Transmit]^
QSL |S1000 EL [Q S L, Element]^
MNI |S1000 PLS [Many, Please]^
EL |S1000 PLS [Element, Please]^
DR |S1000 EL [Dear, Element]^
QRP |S1000 EL [Q R P, Element]^
QSY |S1000 QSL [Q S Y, Q S L]^
BURO |S1000 EL [bureau, Element]^
DR |S1000 QRQ [Dear, Q R Q]^
MNI |S1000 QRP [Many, Q R P]^
EL |S1000 FT [Element, Feet]^
EL |S1000 QSL [Element, Q S L]^
FT |S1000 PSE [Feet, Please]^
EL |S1000 TX [Element, Transmit]^
QRP |S1000 PLS [Q R P, Please]^
PSE |S1000 EL [Please, Element]^
YL |S1000 DR [Young lady, Dear]^
QRS |S1000 HW\? [Q R S, How copy\?]^
EL |S1000 DR [Element, Dear]^
EL |S1000 BCNU [Element, Be seeing you]^
EL |S1000 FT [Element, Feet]^
OP |S1000 EL [Operator, Element]^
PLS |S1000 EL [Please, Element]^
QSY |S1000 PSE [Q S Y, Please]^
OP |S1000 CFM [Operator, Confirm]^
DR |S1000 EL [Dear, Element]^
OP |S1000 EL [Operator, Element]^
BURO |S1000 EL [bureau, Element]^
CFM |S1000 QSY [Confirm, Q S Y]^
EL |S1000 PLS [Element, Please]^
EL |S1000 MNI [Element, Many]^
FT |S1000 YL [Feet, Young lady]^
EL |S1000 QRS [Element, Q R S]^
HW\? |S1000 PLS [How copy\?, Please]^
EL |S1000 YL [Element, Young lady]^
DR |S1000 EL [Dear, Element]^
QRP |S1000 EL [Q R P, Element]^
CFM |S1000 EL [Confirm, Element]^
HW\? |S1000 EL [How copy\?, Element]^
QSL |S1000 EL [Q S L, Element]^
DR |S1000 QRQ [Dear, Q R Q]^
PSE |S1000 BCNU [Please, Be seeing you]^
QRP |S1000 OP [Q R P, Operator]^
EL |S1000 YL [Element, Young lady]^
MNI |S1000 EL [Many, Element]^
TX |S1000 OP [Transmit, Operator]^
EL |S1000 YL [Element, Young lady]^
EL |S1000 RX [Element, Receive]^
CFM |S1000 EL [Confirm, Element]^
HW\? |S1000 QRS [How copy\?, Q R S]^
BCNU |S1000 EL [Be seeing you, Element]^
OP |S1000 BCNU [Operator, Be seeing you]^
YL |S1000 EL [Young lady, Element]^
QSL |S1000 EL [Q S L, Element]^
CFM |S1000 EL [Confirm, Element]^
QRQ |S1000 EL [Q R Q, Element]^
PLS |S1000 EL [Please, Element]^
YL |S1000 QRP [Young lady, Q R P]^
YL |S1000 EL [Young lady, Element]^
YL |S1000 EL [Young lady, Element]^
MNI |S1000 OP [Many, Operator]^
HW\? |S1000 MNI [How copy\?, Many]^
FT |S1000 EL [Feet, Element]^
MNI |S1000 EL [Many, Element]^
QSL |S1000 EL [Q S L, Element]^
BURO |S1000 EL [bureau, Element]^
TX |S1000 EL [Transmit, Element]^
BCNU |S1000 EL [Be seeing you, Element]^
OP |S1000 YL [Operator, Young lady]^
HW\? |S1000 FT [How copy\?, Feet]^
HR |S1000 QSL [Hear, Q S L]^
FT |S1000 OP [Feet, Operator]^
EL |S1000 MNI [Element, Many]^
QRP |S1000 PSE [Q R P, Please]^
BURO |S1000 FT [bureau, Feet]^
EL |S1000 QRS [Element, Q R S]^
BCNU |S1000 QRP [Be seeing you, Q R P]^
RX |S1000 PLS [Receive, Please]^
YL |S1000 QRQ [Young lady, Q R Q]^
QRP |S1000 DR [Q R P, Dear]^
EL |S1000 QRS [Element, Q R S]^
QRQ |S1000 DR [Q R Q, Dear]^
EL |S1000 PLS [Element, Please]^
QSY |S1000 PLS [Q S Y, Please]^
HR |S1000 EL [Hear, Element]^
YL |S1000 BCNU [Young lady, Be seeing you]^
EL |S1000 PLS [Element, Please]^
EL |S1000 QRQ [Element, Q R Q]^
EL |S1000 QRQ [Element, Q R Q]^
TX |S1000 BCNU [Transmit, Be seeing you]^
EL |S1000 PLS [Element, Please]^
CFM |S1000 EL [Confirm, Element]^
MNI |S1000 OP [Many, Operator]^
PLS |S1000 EL [Please, Element]^
QSL |S1000 EL [Q S L, Element]^
PLS |S1000 YL [Please, Young lady]^
MNI |S1000 OP [Many, Operator]^
HR |S1000 OP [Hear, Operator]^
EL |S1000 PLS [Element, Please]^
QRP |S1000 EL [Q R P, Element]^
CFM |S1000 YL [Confirm, Young lady]^
EL |S1000 FT [Element, Feet]^
CFM |S1000 EL [Confirm, Element]^
BCNU |S1000 EL [Be seeing you, Element]^
CFM |S1000 FT [Confirm, Feet]^
EL |S1000 TX [Element, Transmit]^
EL |S1000 FT [Element, Feet]^
HW\? |S1000 MNI [How copy\?, Many]^
HR |S1000 HW\? [Hear, How copy\?]^
PLS |S1000 EL [Please, Element]^
FT |S1000 PSE [Feet, Please]^
BURO |S1000 EL [bureau, Element]^
RX |S1000 DR [Receive, Dear]^
PSE |S1000 CFM [Please, Confirm]^
TX |S1000 BCNU [Transmit, Be seeing you]^
QRQ |S1000 OP [Q R Q, Operator]^
EL |S1000 RX [Element, Receive]^
MNI |S1000 OP [Many, Operator]^
QSL |S1000 EL [Q S L, Element]^
FT |S1000 BCNU [Feet, Be seeing you]^
TX |S1000 EL [Transmit, Element]^
RX |S1000 BCNU [Receive, Be seeing you]^
EL |S1000 OP [Element, Operator]^
EL |S1000 QSY [Element, Q S Y]^
FT |S1000 EL [Feet, Element]^
BCNU |S1000 EL [Be seeing you, Element]^
CFM |S1000 DR [Confirm, Dear]^
OP |S1000 EL [Operator, Element]^
HW\? |S1000 PSE [How copy\?, Please]^
EL |S1000 PSE [Element, Please]^
EL |S1000 FT [Element, Feet]^
YL |S1000 MNI [Young lady, Many]^
EL |S1000 PLS [Element, Please]^
EL |S1000 PSE [Element, Please]^
RX |S1000 BURO [Receive, bureau]^
EL |S1000 OP [Element, Operator]^
YL |S1000 EL [Young lady, Element]^
PSE |S1000 EL [Please, Element]^
QSL |S1000 HW\? [Q S L, How copy\?]^
EL |S1000 MNI [Element, Many]^
HW\? |S1000 CFM [How copy\?, Confirm]^
EL |S1000 PSE [Element, Please]^
QRP |S1000 CFM [Q R P, Confirm]^
QSY |S1000 EL [Q S Y, Element]^
QSY |S1000 EL [Q S Y, Element]^
PLS |S1000 PSE [Please, Please]^
YL |S1000 QSL [Young lady, Q S L]^
MNI |S1000 EL [Many, Element]^
MNI |S1000 QRP [Many, Q R P]^
YL |S1000 EL [Young lady, Element]^
FT |S1000 EL [Feet, Element]^
PLS |S1000 QRP [Please, Q R P]^
EL |S1000 CFM [Element, Confirm]^
EL |S1000 RX [Element, Receive]^
EL |S1000 FT [Element, Feet]^
HR |S1000 QRP [Hear, Q R P]^
EL |S1000 FT [Element, Feet]^
BCNU |S1000 EL [Be seeing you, Element]^
BCNU |S1000 EL [Be seeing you, Element]^
QRS |S1000 EL [Q R S, Element]^
HR |S1000 QRS [Hear, Q R S]^
EL |S1000 YL [Element, Young lady]^
EL |S1000 PLS [Element, Please]^
PSE |S1000 QRP [Please, Q R P]^
EL |S1000 PLS [Element, Please]^
OP |S1000 EL [Operator, Element]^
QSL |S1000 QSY [Q S L, Q S Y]^
EL |S1000 OP [Element, Operator]^
BURO |S1000 YL [bureau, Young lady]^
EL |S1000 RX [Element, Receive]^
EL |S1000 FT [Element, Feet]^
QRQ |S1000 PSE [Q R Q, Please]^
OP |S1000 EL [Operator, Element]^
HR |S1000 QSL [Hear, Q S L]^
QRQ |S1000 BURO [Q R Q, bureau]^
QSL |S1000 EL [Q S L, Element]^
QRP |S1000 YL [Q R P, Young lady]^
BURO |S1000 EL [bureau, Element]^
BCNU |S1000 CFM [Be seeing you, Confirm]^
QRQ |S1000 EL [Q R Q, Element]^
QSL |S1000 EL [Q S L, Element]^
HR |S1000 PLS [Hear, Please]^
YL |S1000 BCNU [Young lady, Be seeing you]^
EL |S1000 OP [Element, Operator]^
EL |S1000 BCNU [Element, Be seeing you]^
MNI |S1000 EL [Many, Element]^
YL |S1000 QRS [Young lady, Q R S]^
QRP |S1000 EL [Q R P, Element]^
RX |S1000 DR [Receive, Dear]^
CFM |S1000 HW\? [Confirm, How copy\?]^
YL |S1000 OP [Young lady, Operator]^
BURO |S1000 TX [bureau, Transmit]^
MNI |S1000 FT [Many, Feet]^
EL |S1000 FT [Element, Feet]^
OP |S1000 EL [Operator, Element]^
BCNU |S1000 EL [Be seeing you, Element]^
QRP |S1000 EL [Q R P, Element]^
HW\? |S1000 QRP [How copy\?, Q R P]^
EL |S1000 CFM [Element, Confirm]^
HW\? |S1000 EL [How copy\?, Element]^
OP |S1000 EL [Operator, Element]^
HR |S1000 EL [Hear, Element]^
OP |S1000 YL [Operator, Young lady]^
BURO |S1000 EL [bureau, Element]^
TX |S1000 EL [Transmit, Element]^
TX |S1000 EL [Transmit, Element]^
QRQ |S1000 FT [Q R Q, Feet]^
EL |S1000 QRP [Element, Q R P]^
EL |S1000 HR [Element, Hear]^
YL |S1000 BURO [Young lady, bureau]^
QSY |S1000 EL [Q S Y, Element]^
HR |S1000 EL [Hear, Element]^
MNI |S1000 QSY [Many, Q S Y]^
HW\? |S1000 YL [How copy\?, Young lady]^
EL |S1000 HR [Element, Hear]^
RX |S1000 TX [Receive, Transmit]^
QRQ |S1000 QSL [Q R Q, Q S L]^
EL |S1000 HR [Element, Hear]^
YL |S1000 MNI [Young lady, Many]^
EL |S1000 BCNU [Element, Be seeing you]^
QSY |S1000 QRQ [Q S Y, Q R Q]^
PLS |S1000 EL [Please, Element]^
OP |S1000 HR [Operator, Hear]^
QRQ |S1000 FT [Q R Q, Feet]^
YL |S1000 EL [Young lady, Element]^
QRP |S1000 EL [Q R P, Element]^
QRS |S1000 EL [Q R S, Element]^
BURO |S1000 EL [bureau, Element]^
YL |S1000 OP [Young lady, Operator]^
EL |S1000 PSE [Element, Please]^
QRP |S1000 RX [Q R P, Receive]^
EL |S1000 PSE [Element, Please]^
EL |S1000 OP [Element, Operator]^
EL |S1000 PSE [Element, Please]^
TX |S1000 EL [Transmit, Element]^
TX |S1000 EL [Transmit, Element]^
PSE |S1000 EL [Please, Element]^
OP |S1000 EL [Operator, Element]^
QRS |S1000 CFM [Q R S, Confirm]^
EL |S1000 CFM [Element, Confirm]^
QSL |S1000 EL [Q S L, Element]^
BCNU |S1000 BURO [Be seeing you, bureau]^
YL |S1000 HR [Young lady, Hear]^
BCNU |S1000 CFM [Be seeing you, Confirm]^
EL |S1000 PLS [Element, Please]^
EL |S1000 QRP [Element, Q R P]^
EL |S1000 QRS [Element, Q R S]^
HR |S1000 EL [Hear, Element]^
FT |S1000 OP [Feet, Operator]^
EL |S1000 QSY [Element, Q S Y]^
EL |S1000 MNI [Element, Many]^
EL |S1000 MNI [Element, Many]^
EL |S1000 PSE [Element, Please]^
EL |S1000 CFM [Element, Confirm]^
EL |S1000 HR [Element, Hear]^
FT |S1000 QRS [Feet, Q R S]^
QSL |S1000 EL [Q S L, Element]^
QRQ |S1000 QRS [Q R Q, Q R S]^
BURO |S1000 MNI [bureau, Many]^
EL |S1000 YL [Element, Young lady]^
EL |S1000 RX [Element, Receive]^
EL |S1000 PLS [Element, Please]^
HR |S1000 BURO [Hear, bureau]^
YL |S1000 EL [Young lady, Element]^
QRQ |S1000 FT [Q R Q, Feet]^
EL |S1000 QRS [Element, Q R S]^
EL |S1000 QRQ [Element, Q R Q]^
EL |S1000 PLS [Element, Please]^
HR |S1000 EL [Hear, Element]^
QRQ |S1000 QRS [Q R Q, Q R S]^
YL |S1000 EL [Young lady, Element]^
QSL |S1000 DR [Q S L, Dear]^
QSY |S1000 EL [Q S Y, Element]^
HW\? |S1000 BURO [How copy\?, bureau]^
EL |S1000 HW\? [Element, How copy\?]^
HR |S1000 QRS [Hear, Q R S]^
EL |S1000 RX [Element, Receive]^
EL |S1000 BURO [Element, bureau]^
EL |S1000 OP [Element, Operator]^
DR |S1000 EL [Dear, Element]^
QRS |S1000 EL [Q R S, Element]^
PLS |S1000 EL [Please, Element]^
QRP |S1000 YL [Q R P, Young lady]^
BCNU |S1000 QSY [Be seeing you, Q S Y]^
EL |S1000 PSE [Element, Please]^
QSY |S1000 QSL [Q S Y, Q S L]^
QRS |S1000 EL [Q R S, Element]^
DR |S1000 EL [Dear, Element]^
FT |S1000 EL [Feet, Element]^
YL |S1000 PSE [Young lady, Please]^
CFM |S1000 TX [Confirm, Transmit]^
EL |S1000 QRP [Element, Q R P]^
CFM |S1000 EL [Confirm, Element]^
MNI |S1000 FT [Many, Feet]^
DR |S1000 EL [Dear, Element]^
HW\? |S1000 TX [How copy\?, Transmit]^
YL |S1000 QSL [Young lady, Q S L]^
EL |S1000 MNI [Element, Many]^
CFM |S1000 PLS [Confirm, Please]^
QSL |S1000 EL [Q S L, Element]^
MNI |S1000 PLS [Many, Please]^
EL |S1000 QRP [Element, Q R P]^
EL |S1000 QRP [Element, Q R P]^
PSE |S1000 EL [Please, Element]^
YL |S1000 QRP [Young lady, Q R P]^
HW\? |S1000 MNI [How copy\?, Many]^
EL |S1000 BURO [Element, bureau]^
EL |S1000 QSL [Element, Q S L]^
EL |S1000 QRQ [Element, Q R Q]^
EL |S1000 CFM [Element, Confirm]^
EL |S1000 DR [Element, Dear]^
EL |S1000 BURO [Element, bureau]^
OP |S1000 EL [Operator, Element]^
FT |S1000 EL [Feet, Element]^
DR |S1000 EL [Dear, Element]^
DR |S1000 BURO [Dear, bureau]^
EL |S1000 HR [Element, Hear]^
QSL |S1000 EL [Q S L, Element]^
BURO |S1000 EL [bureau, Element]^
TX |S1000 HW\? [Transmit, How copy\?]^
DR |S1000 EL [Dear, Element]^
MNI |S1000 QSY [Many, Q S Y]^
TX |S1000 HW\? [Transmit, How copy\?]^
EL |S1000 QSY [Element, Q S Y]^
BURO |S1000 EL [bureau, Element]^
QRS |S1000 EL [Q R S, Element]^
BURO |S1000 OP [bureau, Operator]^
QRQ |S1000 HR [Q R Q, Hear]^
EL |S1000 RX [Element, Receive]^
QSY |S1000 EL [Q S Y, Element]^
BCNU |S1000 EL [Be seeing you, Element]^
HR |S1000 EL [Hear, Element]^
BURO |S1000 BCNU [bureau, Be seeing you]^
QSY |S1000 EL [Q S Y, Element]^
YL |S1000 HW\? [Young lady, How copy\?]^
EL |S1000 OP [Element, Operator]^
EL |S1000 CFM [Element, Confirm]^
EL |S1000 HR [Element, Hear]^
DR |S1000 EL [Dear, Element]^
MNI |S1000 YL [Many, Young lady]^
EL |S1000 FT [Element, Feet]^
HR |S1000 QRQ [Hear, Q R Q]^
EL |S1000 PLS [Element, Please]^
OP |S1000 EL [Operator, Element]^
QSL |S1000 CFM [Q S L, Confirm]^
