PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
DR |S1000 DR |S1000 DR [Dear | DR]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HR |S1000 HR |S1000 HR [Hear | HR]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
OP |S1000 OP |S1000 OP [Operator | OP]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
HR |S1000 HR |S1000 HR [Hear | HR]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
OP |S1000 OP |S1000 OP [Operator | OP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HR |S1000 HR |S1000 HR [Hear | HR]^
RX |S1000 RX |S1000 RX [Receive | RX]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
DR |S1000 DR |S1000 DR [Dear | DR]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
DR |S1000 DR |S1000 DR [Dear | DR]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
HR |S1000 HR |S1000 HR [Hear | HR]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
OP |S1000 OP |S1000 OP [Operator | OP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HR |S1000 HR |S1000 HR [Hear | HR]^
OP |S1000 OP |S1000 OP [Operator | OP]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
DR |S1000 DR |S1000 DR [Dear | DR]^
RX |S1000 RX |S1000 RX [Receive | RX]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
OP |S1000 OP |S1000 OP [Operator | OP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
RX |S1000 RX |S1000 RX [Receive | RX]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HR |S1000 HR |S1000 HR [Hear | HR]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
DR |S1000 DR |S1000 DR [Dear | DR]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
RX |S1000 RX |S1000 RX [Receive | RX]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
RX |S1000 RX |S1000 RX [Receive | RX]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
DR |S1000 DR |S1000 DR [Dear | DR]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
RX |S1000 RX |S1000 RX [Receive | RX]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
HR |S1000 HR |S1000 HR [Hear | HR]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
OP |S1000 OP |S1000 OP [Operator | OP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
DR |S1000 DR |S1000 DR [Dear | DR]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
OP |S1000 OP |S1000 OP [Operator | OP]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
RX |S1000 RX |S1000 RX [Receive | RX]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
RX |S1000 RX |S1000 RX [Receive | RX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
RX |S1000 RX |S1000 RX [Receive | RX]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
HR |S1000 HR |S1000 HR [Hear | HR]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
OP |S1000 OP |S1000 OP [Operator | OP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
OP |S1000 OP |S1000 OP [Operator | OP]^
DR |S1000 DR |S1000 DR [Dear | DR]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
HR |S1000 HR |S1000 HR [Hear | HR]^
