GB |S1000 GB |S1000 GB [Goodbye | GB]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
72 |S1000 72 |S1000 72 [72 | 72]^
GD |S1000 GD |S1000 GD [Good | GD]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
NW |S1000 NW |S1000 NW [Now | NW]^
GD |S1000 GD |S1000 GD [Good | GD]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GD |S1000 GD |S1000 GD [Good | GD]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
GD |S1000 GD |S1000 GD [Good | GD]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
88 |S1000 88 |S1000 88 [88 | 88]^
NW |S1000 NW |S1000 NW [Now | NW]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
72 |S1000 72 |S1000 72 [72 | 72]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
72 |S1000 72 |S1000 72 [72 | 72]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
NW |S1000 NW |S1000 NW [Now | NW]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
GD |S1000 GD |S1000 GD [Good | GD]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
NW |S1000 NW |S1000 NW [Now | NW]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
CW |S1000 CW |S1000 CW [C W | CW]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
NW |S1000 NW |S1000 NW [Now | NW]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
GD |S1000 GD |S1000 GD [Good | GD]^
72 |S1000 72 |S1000 72 [72 | 72]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
NW |S1000 NW |S1000 NW [Now | NW]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
72 |S1000 72 |S1000 72 [72 | 72]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
GN |S1000 GN |S1000 GN [Good night | GN]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GN |S1000 GN |S1000 GN [Good night | GN]^
88 |S1000 88 |S1000 88 [88 | 88]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
72 |S1000 72 |S1000 72 [72 | 72]^
88 |S1000 88 |S1000 88 [88 | 88]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
GN |S1000 GN |S1000 GN [Good night | GN]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
CW |S1000 CW |S1000 CW [C W | CW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
72 |S1000 72 |S1000 72 [72 | 72]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
72 |S1000 72 |S1000 72 [72 | 72]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
NW |S1000 NW |S1000 NW [Now | NW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
GN |S1000 GN |S1000 GN [Good night | GN]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
72 |S1000 72 |S1000 72 [72 | 72]^
88 |S1000 88 |S1000 88 [88 | 88]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
