QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
FT |S1000 FT |S1000 FT [Feet | FT]^
HR |S1000 HR |S1000 HR [Hear | HR]^
EL |S1000 EL |S1000 EL [Element | EL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
EL |S1000 EL |S1000 EL [Element | EL]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
FT |S1000 FT |S1000 FT [Feet | FT]^
EL |S1000 EL |S1000 EL [Element | EL]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
EL |S1000 EL |S1000 EL [Element | EL]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
EL |S1000 EL |S1000 EL [Element | EL]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
EL |S1000 EL |S1000 EL [Element | EL]^
HR |S1000 HR |S1000 HR [Hear | HR]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
EL |S1000 EL |S1000 EL [Element | EL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
EL |S1000 EL |S1000 EL [Element | EL]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
EL |S1000 EL |S1000 EL [Element | EL]^
HR |S1000 HR |S1000 HR [Hear | HR]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
EL |S1000 EL |S1000 EL [Element | EL]^
FT |S1000 FT |S1000 FT [Feet | FT]^
EL |S1000 EL |S1000 EL [Element | EL]^
DR |S1000 DR |S1000 DR [Dear | DR]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
EL |S1000 EL |S1000 EL [Element | EL]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
OP |S1000 OP |S1000 OP [Operator | OP]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
OP |S1000 OP |S1000 OP [Operator | OP]^
FT |S1000 FT |S1000 FT [Feet | FT]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
DR |S1000 DR |S1000 DR [Dear | DR]^
HR |S1000 HR |S1000 HR [Hear | HR]^
DR |S1000 DR |S1000 DR [Dear | DR]^
EL |S1000 EL |S1000 EL [Element | EL]^
HR |S1000 HR |S1000 HR [Hear | HR]^
OP |S1000 OP |S1000 OP [Operator | OP]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
DR |S1000 DR |S1000 DR [Dear | DR]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
OP |S1000 OP |S1000 OP [Operator | OP]^
EL |S1000 EL |S1000 EL [Element | EL]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
EL |S1000 EL |S1000 EL [Element | EL]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
EL |S1000 EL |S1000 EL [Element | EL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
OP |S1000 OP |S1000 OP [Operator | OP]^
EL |S1000 EL |S1000 EL [Element | EL]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
EL |S1000 EL |S1000 EL [Element | EL]^
RX |S1000 RX |S1000 RX [Receive | RX]^
EL |S1000 EL |S1000 EL [Element | EL]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
HR |S1000 HR |S1000 HR [Hear | HR]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
RX |S1000 RX |S1000 RX [Receive | RX]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
EL |S1000 EL |S1000 EL [Element | EL]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
EL |S1000 EL |S1000 EL [Element | EL]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
EL |S1000 EL |S1000 EL [Element | EL]^
DR |S1000 DR |S1000 DR [Dear | DR]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
EL |S1000 EL |S1000 EL [Element | EL]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
EL |S1000 EL |S1000 EL [Element | EL]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
EL |S1000 EL |S1000 EL [Element | EL]^
DR |S1000 DR |S1000 DR [Dear | DR]^
EL |S1000 EL |S1000 EL [Element | EL]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
EL |S1000 EL |S1000 EL [Element | EL]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
RX |S1000 RX |S1000 RX [Receive | RX]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
EL |S1000 EL |S1000 EL [Element | EL]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
EL |S1000 EL |S1000 EL [Element | EL]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
FT |S1000 FT |S1000 FT [Feet | FT]^
EL |S1000 EL |S1000 EL [Element | EL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
EL |S1000 EL |S1000 EL [Element | EL]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
RX |S1000 RX |S1000 RX [Receive | RX]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
RX |S1000 RX |S1000 RX [Receive | RX]^
EL |S1000 EL |S1000 EL [Element | EL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
RX |S1000 RX |S1000 RX [Receive | RX]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
RX |S1000 RX |S1000 RX [Receive | RX]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
EL |S1000 EL |S1000 EL [Element | EL]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
EL |S1000 EL |S1000 EL [Element | EL]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
EL |S1000 EL |S1000 EL [Element | EL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
EL |S1000 EL |S1000 EL [Element | EL]^
DR |S1000 DR |S1000 DR [Dear | DR]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
EL |S1000 EL |S1000 EL [Element | EL]^
DR |S1000 DR |S1000 DR [Dear | DR]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
EL |S1000 EL |S1000 EL [Element | EL]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
EL |S1000 EL |S1000 EL [Element | EL]^
HR |S1000 HR |S1000 HR [Hear | HR]^
EL |S1000 EL |S1000 EL [Element | EL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
EL |S1000 EL |S1000 EL [Element | EL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
EL |S1000 EL |S1000 EL [Element | EL]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
EL |S1000 EL |S1000 EL [Element | EL]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
EL |S1000 EL |S1000 EL [Element | EL]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
EL |S1000 EL |S1000 EL [Element | EL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
EL |S1000 EL |S1000 EL [Element | EL]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
EL |S1000 EL |S1000 EL [Element | EL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
EL |S1000 EL |S1000 EL [Element | EL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
EL |S1000 EL |S1000 EL [Element | EL]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
EL |S1000 EL |S1000 EL [Element | EL]^
HR |S1000 HR |S1000 HR [Hear | HR]^
EL |S1000 EL |S1000 EL [Element | EL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
EL |S1000 EL |S1000 EL [Element | EL]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
EL |S1000 EL |S1000 EL [Element | EL]^
FT |S1000 FT |S1000 FT [Feet | FT]^
EL |S1000 EL |S1000 EL [Element | EL]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
EL |S1000 EL |S1000 EL [Element | EL]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
DR |S1000 DR |S1000 DR [Dear | DR]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
EL |S1000 EL |S1000 EL [Element | EL]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
EL |S1000 EL |S1000 EL [Element | EL]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
EL |S1000 EL |S1000 EL [Element | EL]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
EL |S1000 EL |S1000 EL [Element | EL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
EL |S1000 EL |S1000 EL [Element | EL]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
EL |S1000 EL |S1000 EL [Element | EL]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
EL |S1000 EL |S1000 EL [Element | EL]^
OP |S1000 OP |S1000 OP [Operator | OP]^
EL |S1000 EL |S1000 EL [Element | EL]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
EL |S1000 EL |S1000 EL [Element | EL]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
EL |S1000 EL |S1000 EL [Element | EL]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
EL |S1000 EL |S1000 EL [Element | EL]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
DR |S1000 DR |S1000 DR [Dear | DR]^
EL |S1000 EL |S1000 EL [Element | EL]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
EL |S1000 EL |S1000 EL [Element | EL]^
HR |S1000 HR |S1000 HR [Hear | HR]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
OP |S1000 OP |S1000 OP [Operator | OP]^
FT |S1000 FT |S1000 FT [Feet | FT]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
EL |S1000 EL |S1000 EL [Element | EL]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
OP |S1000 OP |S1000 OP [Operator | OP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
DR |S1000 DR |S1000 DR [Dear | DR]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
EL |S1000 EL |S1000 EL [Element | EL]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
EL |S1000 EL |S1000 EL [Element | EL]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
EL |S1000 EL |S1000 EL [Element | EL]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
EL |S1000 EL |S1000 EL [Element | EL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
EL |S1000 EL |S1000 EL [Element | EL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
EL |S1000 EL |S1000 EL [Element | EL]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
EL |S1000 EL |S1000 EL [Element | EL]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
OP |S1000 OP |S1000 OP [Operator | OP]^
EL |S1000 EL |S1000 EL [Element | EL]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
EL |S1000 EL |S1000 EL [Element | EL]^
OP |S1000 OP |S1000 OP [Operator | OP]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
FT |S1000 FT |S1000 FT [Feet | FT]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
EL |S1000 EL |S1000 EL [Element | EL]^
RX |S1000 RX |S1000 RX [Receive | RX]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
EL |S1000 EL |S1000 EL [Element | EL]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
EL |S1000 EL |S1000 EL [Element | EL]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
RX |S1000 RX |S1000 RX [Receive | RX]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
EL |S1000 EL |S1000 EL [Element | EL]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
EL |S1000 EL |S1000 EL [Element | EL]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
EL |S1000 EL |S1000 EL [Element | EL]^
HR |S1000 HR |S1000 HR [Hear | HR]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
EL |S1000 EL |S1000 EL [Element | EL]^
HR |S1000 HR |S1000 HR [Hear | HR]^
EL |S1000 EL |S1000 EL [Element | EL]^
HR |S1000 HR |S1000 HR [Hear | HR]^
OP |S1000 OP |S1000 OP [Operator | OP]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
EL |S1000 EL |S1000 EL [Element | EL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
EL |S1000 EL |S1000 EL [Element | EL]^
OP |S1000 OP |S1000 OP [Operator | OP]^
EL |S1000 EL |S1000 EL [Element | EL]^
DR |S1000 DR |S1000 DR [Dear | DR]^
EL |S1000 EL |S1000 EL [Element | EL]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
EL |S1000 EL |S1000 EL [Element | EL]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
HR |S1000 HR |S1000 HR [Hear | HR]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
YL |S1000 YL |S1000 YL [Young lady | YL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
EL |S1000 EL |S1000 EL [Element | EL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
EL |S1000 EL |S1000 EL [Element | EL]^
HR |S1000 HR |S1000 HR [Hear | HR]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
EL |S1000 EL |S1000 EL [Element | EL]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
EL |S1000 EL |S1000 EL [Element | EL]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
EL |S1000 EL |S1000 EL [Element | EL]^
MNI |S1000 MNI |S1000 MNI [Many | MNI]^
EL |S1000 EL |S1000 EL [Element | EL]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
EL |S1000 EL |S1000 EL [Element | EL]^
DR |S1000 DR |S1000 DR [Dear | DR]^
EL |S1000 EL |S1000 EL [Element | EL]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
EL |S1000 EL |S1000 EL [Element | EL]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
EL |S1000 EL |S1000 EL [Element | EL]^
FT |S1000 FT |S1000 FT [Feet | FT]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
EL |S1000 EL |S1000 EL [Element | EL]^
HR |S1000 HR |S1000 HR [Hear | HR]^
EL |S1000 EL |S1000 EL [Element | EL]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
EL |S1000 EL |S1000 EL [Element | EL]^
DR |S1000 DR |S1000 DR [Dear | DR]^
OP |S1000 OP |S1000 OP [Operator | OP]^
EL |S1000 EL |S1000 EL [Element | EL]^
CFM |S1000 CFM |S1000 CFM [Confirm | CFM]^
EL |S1000 EL |S1000 EL [Element | EL]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
EL |S1000 EL |S1000 EL [Element | EL]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
FT |S1000 FT |S1000 FT [Feet | FT]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRP |S1000 QRP |S1000 QRP [Q R P | QRP]^
EL |S1000 EL |S1000 EL [Element | EL]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
EL |S1000 EL |S1000 EL [Element | EL]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
EL |S1000 EL |S1000 EL [Element | EL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
HW\? |S1000 HW\? |S1000 HW\? [How copy\? | HW\?]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
EL |S1000 EL |S1000 EL [Element | EL]^
QSY |S1000 QSY |S1000 QSY [Q S Y | QSY]^
PLS |S1000 PLS |S1000 PLS [Please | PLS]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
BURO |S1000 BURO |S1000 BURO [bureau | BURO]^
HR |S1000 HR |S1000 HR [Hear | HR]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
EL |S1000 EL |S1000 EL [Element | EL]^
OP |S1000 OP |S1000 OP [Operator | OP]^
HR |S1000 HR |S1000 HR [Hear | HR]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
EL |S1000 EL |S1000 EL [Element | EL]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
QSL |S1000 QSL |S1000 QSL [Q S L | QSL]^
EL |S1000 EL |S1000 EL [Element | EL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
EL |S1000 EL |S1000 EL [Element | EL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
QRS |S1000 QRS |S1000 QRS [Q R S | QRS]^
EL |S1000 EL |S1000 EL [Element | EL]^
TX |S1000 TX |S1000 TX [Transmit | TX]^
EL |S1000 EL |S1000 EL [Element | EL]^
PSE |S1000 PSE |S1000 PSE [Please | PSE]^
EL |S1000 EL |S1000 EL [Element | EL]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
HR |S1000 HR |S1000 HR [Hear | HR]^
BCNU |S1000 BCNU |S1000 BCNU [Be seeing you | BCNU]^
QRQ |S1000 QRQ |S1000 QRQ [Q R Q | QRQ]^
