VERT |S1000 QRQ [Vertical, High speed]^
VERT |S1000 HR [Vertical, Hear]^
DR |S1000 FT [Dear, Feet]^
QRQ |S1000 FT [High speed, Feet]^
QSY |S1000 YAGI [Change frequency, Yagi]^
PLS |S1000 VERT [Please, Vertical]^
PLS |S1000 YAGI [Please, Yagi]^
QRP |S1000 YAGI [Low power, Yagi]^
QRP |S1000 QRS [Low power, Slow speed]^
YAGI |S1000 HW\? [Yagi, How copy\?]^
YAGI |S1000 PLS [Yagi, Please]^
YAGI |S1000 DR [Yagi, Dear]^
BCNU |S1000 FT [Be seeing you, Feet]^
QRS |S1000 VERT [Slow speed, Vertical]^
YAGI |S1000 QSY [Yagi, Change frequency]^
YL |S1000 HW\? [Young lady, How copy\?]^
YAGI |S1000 YL [Yagi, Young lady]^
QSL |S1000 YAGI [Confirm, Yagi]^
EL |S1000 YAGI [Element, Yagi]^
OP |S1000 YL [Operator, Young lady]^
EL |S1000 QRP [Element, Low power]^
YAGI |S1000 PSE [Yagi, Please]^
YAGI |S1000 OP [Yagi, Operator]^
YAGI |S1000 TX [Yagi, Transmit]^
BCNU |S1000 YAGI [Be seeing you, Yagi]^
DR |S1000 YAGI [Dear, Yagi]^
HW\? |S1000 YAGI [How copy\?, Yagi]^
YL |S1000 YAGI [Young lady, Yagi]^
QRS |S1000 YAGI [Slow speed, Yagi]^
HW\? |S1000 YL [How copy\?, Young lady]^
YAGI |S1000 EL [Yagi, Element]^
QRS |S1000 YAGI [Slow speed, Yagi]^
RX |S1000 OP [Receive, Operator]^
QRQ |S1000 BCNU [High speed, Be seeing you]^
YAGI |S1000 QRS [Yagi, Slow speed]^
QRP |S1000 YAGI [Low power, Yagi]^
PLS |S1000 TX [Please, Transmit]^
RX |S1000 YAGI [Receive, Yagi]^
DR |S1000 YAGI [Dear, Yagi]^
TX |S1000 VERT [Transmit, Vertical]^
QRS |S1000 EL [Slow speed, Element]^
HW\? |S1000 RX [How copy\?, Receive]^
PSE |S1000 YAGI [Please, Yagi]^
MNI |S1000 YAGI [Many, Yagi]^
DR |S1000 QRP [Dear, Low power]^
YAGI |S1000 RX [Yagi, Receive]^
YAGI |S1000 EFHW [Yagi, End fed, half-wave]^
TX |S1000 RX [Transmit, Receive]^
YAGI |S1000 QSY [Yagi, Change frequency]^
MNI |S1000 QSL [Many, Confirm]^
YAGI |S1000 DR [Yagi, Dear]^
YAGI |S1000 EL [Yagi, Element]^
CFM |S1000 MNI [Confirm, Many]^
YAGI |S1000 EFHW [Yagi, End fed, half-wave]^
TX |S1000 PSE [Transmit, Please]^
BURO |S1000 YAGI [bureau, Yagi]^
VERT |S1000 YAGI [Vertical, Yagi]^
QRP |S1000 EL [Low power, Element]^
RX |S1000 YAGI [Receive, Yagi]^
VERT |S1000 QRS [Vertical, Slow speed]^
YAGI |S1000 QRS [Yagi, Slow speed]^
CFM |S1000 RX [Confirm, Receive]^
FT |S1000 QRP [Feet, Low power]^
YAGI |S1000 QRS [Yagi, Slow speed]^
MNI |S1000 QSL [Many, Confirm]^
YAGI |S1000 YL [Yagi, Young lady]^
YAGI |S1000 QSL [Yagi, Confirm]^
YAGI |S1000 EL [Yagi, Element]^
YL |S1000 YAGI [Young lady, Yagi]^
YL |S1000 YAGI [Young lady, Yagi]^
QRP |S1000 DR [Low power, Dear]^
YAGI |S1000 QRP [Yagi, Low power]^
EL |S1000 YAGI [Element, Yagi]^
QRQ |S1000 FT [High speed, Feet]^
YAGI |S1000 PLS [Yagi, Please]^
VERT |S1000 TX [Vertical, Transmit]^
EL |S1000 YAGI [Element, Yagi]^
EFHW |S1000 YAGI [End fed, half-wave, Yagi]^
QRP |S1000 YAGI [Low power, Yagi]^
RX |S1000 OP [Receive, Operator]^
YAGI |S1000 DR [Yagi, Dear]^
BURO |S1000 HR [bureau, Hear]^
MNI |S1000 CFM [Many, Confirm]^
YL |S1000 QSL [Young lady, Confirm]^
YAGI |S1000 EL [Yagi, Element]^
FT |S1000 PLS [Feet, Please]^
VERT |S1000 YAGI [Vertical, Yagi]^
QRP |S1000 FT [Low power, Feet]^
CFM |S1000 YAGI [Confirm, Yagi]^
HW\? |S1000 YAGI [How copy\?, Yagi]^
DR |S1000 YAGI [Dear, Yagi]^
QRQ |S1000 QRP [High speed, Low power]^
YAGI |S1000 MNI [Yagi, Many]^
YAGI |S1000 CFM [Yagi, Confirm]^
MNI |S1000 BURO [Many, bureau]^
FT |S1000 TX [Feet, Transmit]^
MNI |S1000 YAGI [Many, Yagi]^
HW\? |S1000 YAGI [How copy\?, Yagi]^
EL |S1000 YAGI [Element, Yagi]^
YL |S1000 YAGI [Young lady, Yagi]^
PLS |S1000 CFM [Please, Confirm]^
YAGI |S1000 MNI [Yagi, Many]^
YAGI |S1000 BURO [Yagi, bureau]^
YAGI |S1000 EL [Yagi, Element]^
YAGI |S1000 PSE [Yagi, Please]^
YAGI |S1000 BURO [Yagi, bureau]^
QRS |S1000 OP [Slow speed, Operator]^
EL |S1000 PLS [Element, Please]^
FT |S1000 HW\? [Feet, How copy\?]^
YAGI |S1000 HR [Yagi, Hear]^
BURO |S1000 YAGI [bureau, Yagi]^
RX |S1000 YAGI [Receive, Yagi]^
EL |S1000 YAGI [Element, Yagi]^
QSY |S1000 QRP [Change frequency, Low power]^
VERT |S1000 YAGI [Vertical, Yagi]^
PSE |S1000 EFHW [Please, End fed, half-wave]^
BCNU |S1000 YAGI [Be seeing you, Yagi]^
HW\? |S1000 YAGI [How copy\?, Yagi]^
BCNU |S1000 YAGI [Be seeing you, Yagi]^
QRS |S1000 YAGI [Slow speed, Yagi]^
QSL |S1000 HW\? [Confirm, How copy\?]^
RX |S1000 YAGI [Receive, Yagi]^
QSY |S1000 QRQ [Change frequency, High speed]^
YAGI |S1000 HR [Yagi, Hear]^
QRS |S1000 OP [Slow speed, Operator]^
YAGI |S1000 CFM [Yagi, Confirm]^
YAGI |S1000 QRP [Yagi, Low power]^
PLS |S1000 EFHW [Please, End fed, half-wave]^
QRP |S1000 EFHW [Low power, End fed, half-wave]^
PLS |S1000 YAGI [Please, Yagi]^
HW\? |S1000 YAGI [How copy\?, Yagi]^
PSE |S1000 YAGI [Please, Yagi]^
EL |S1000 YAGI [Element, Yagi]^
EFHW |S1000 QRQ [End fed, half-wave, High speed]^
BCNU |S1000 EFHW [Be seeing you, End fed, half-wave]^
PLS |S1000 TX [Please, Transmit]^
YAGI |S1000 BURO [Yagi, bureau]^
YAGI |S1000 EL [Yagi, Element]^
YAGI |S1000 EL [Yagi, Element]^
DR |S1000 YAGI [Dear, Yagi]^
RX |S1000 YAGI [Receive, Yagi]^
VERT |S1000 YAGI [Vertical, Yagi]^
HW\? |S1000 QRQ [How copy\?, High speed]^
HR |S1000 MNI [Hear, Many]^
DR |S1000 FT [Dear, Feet]^
PLS |S1000 YAGI [Please, Yagi]^
HR |S1000 YAGI [Hear, Yagi]^
HR |S1000 YAGI [Hear, Yagi]^
QRS |S1000 YAGI [Slow speed, Yagi]^
DR |S1000 YL [Dear, Young lady]^
YAGI |S1000 PLS [Yagi, Please]^
YAGI |S1000 RX [Yagi, Receive]^
BCNU |S1000 OP [Be seeing you, Operator]^
QSY |S1000 CFM [Change frequency, Confirm]^
TX |S1000 QRS [Transmit, Slow speed]^
YAGI |S1000 QSY [Yagi, Change frequency]^
QSL |S1000 YAGI [Confirm, Yagi]^
CFM |S1000 VERT [Confirm, Vertical]^
PSE |S1000 QRS [Please, Slow speed]^
YAGI |S1000 MNI [Yagi, Many]^
YAGI |S1000 MNI [Yagi, Many]^
CFM |S1000 TX [Confirm, Transmit]^
PSE |S1000 BURO [Please, bureau]^
DR |S1000 HR [Dear, Hear]^
YAGI |S1000 QRS [Yagi, Slow speed]^
EL |S1000 TX [Element, Transmit]^
QRS |S1000 YAGI [Slow speed, Yagi]^
YL |S1000 YAGI [Young lady, Yagi]^
QRS |S1000 YAGI [Slow speed, Yagi]^
EL |S1000 YAGI [Element, Yagi]^
QSY |S1000 YAGI [Change frequency, Yagi]^
MNI |S1000 YAGI [Many, Yagi]^
FT |S1000 YAGI [Feet, Yagi]^
EFHW |S1000 YAGI [End fed, half-wave, Yagi]^
EFHW |S1000 VERT [End fed, half-wave, Vertical]^
EL |S1000 YAGI [Element, Yagi]^
QRQ |S1000 QSL [High speed, Confirm]^
QRQ |S1000 QRP [High speed, Low power]^
YAGI |S1000 QRP [Yagi, Low power]^
CFM |S1000 YAGI [Confirm, Yagi]^
QSL |S1000 YAGI [Confirm, Yagi]^
OP |S1000 QRQ [Operator, High speed]^
RX |S1000 YAGI [Receive, Yagi]^
QSY |S1000 TX [Change frequency, Transmit]^
YAGI |S1000 PLS [Yagi, Please]^
DR |S1000 FT [Dear, Feet]^
QSL |S1000 PLS [Confirm, Please]^
YAGI |S1000 CFM [Yagi, Confirm]^
HR |S1000 YAGI [Hear, Yagi]^
BURO |S1000 QRS [bureau, Slow speed]^
QRP |S1000 YAGI [Low power, Yagi]^
MNI |S1000 RX [Many, Receive]^
YAGI |S1000 OP [Yagi, Operator]^
QSY |S1000 EFHW [Change frequency, End fed, half-wave]^
CFM |S1000 YAGI [Confirm, Yagi]^
QSY |S1000 YAGI [Change frequency, Yagi]^
EL |S1000 QRP [Element, Low power]^
PLS |S1000 TX [Please, Transmit]^
DR |S1000 HR [Dear, Hear]^
EFHW |S1000 YAGI [End fed, half-wave, Yagi]^
TX |S1000 PLS [Transmit, Please]^
HR |S1000 FT [Hear, Feet]^
BCNU |S1000 YAGI [Be seeing you, Yagi]^
FT |S1000 YAGI [Feet, Yagi]^
VERT |S1000 YAGI [Vertical, Yagi]^
QRP |S1000 QRQ [Low power, High speed]^
YAGI |S1000 QSL [Yagi, Confirm]^
PSE |S1000 YAGI [Please, Yagi]^
RX |S1000 YAGI [Receive, Yagi]^
QRQ |S1000 EL [High speed, Element]^
YAGI |S1000 TX [Yagi, Transmit]^
YAGI |S1000 QSY [Yagi, Change frequency]^
OP |S1000 RX [Operator, Receive]^
YAGI |S1000 BCNU [Yagi, Be seeing you]^
YAGI |S1000 QSY [Yagi, Change frequency]^
VERT |S1000 YAGI [Vertical, Yagi]^
VERT |S1000 QSY [Vertical, Change frequency]^
QSL |S1000 YAGI [Confirm, Yagi]^
YL |S1000 YAGI [Young lady, Yagi]^
QSL |S1000 YL [Confirm, Young lady]^
YAGI |S1000 QSL [Yagi, Confirm]^
YAGI |S1000 FT [Yagi, Feet]^
YAGI |S1000 YL [Yagi, Young lady]^
RX |S1000 HR [Receive, Hear]^
YAGI |S1000 EL [Yagi, Element]^
YL |S1000 QSL [Young lady, Confirm]^
EFHW |S1000 QSL [End fed, half-wave, Confirm]^
YAGI |S1000 BCNU [Yagi, Be seeing you]^
CFM |S1000 YAGI [Confirm, Yagi]^
PLS |S1000 HR [Please, Hear]^
YAGI |S1000 QRQ [Yagi, High speed]^
RX |S1000 YAGI [Receive, Yagi]^
QSL |S1000 RX [Confirm, Receive]^
YAGI |S1000 MNI [Yagi, Many]^
YAGI |S1000 HW\? [Yagi, How copy\?]^
QRS |S1000 YAGI [Slow speed, Yagi]^
EFHW |S1000 PSE [End fed, half-wave, Please]^
YL |S1000 FT [Young lady, Feet]^
QRQ |S1000 YAGI [High speed, Yagi]^
PLS |S1000 HR [Please, Hear]^
YAGI |S1000 DR [Yagi, Dear]^
YAGI |S1000 BURO [Yagi, bureau]^
YAGI |S1000 VERT [Yagi, Vertical]^
YAGI |S1000 TX [Yagi, Transmit]^
YAGI |S1000 EL [Yagi, Element]^
YL |S1000 PLS [Young lady, Please]^
RX |S1000 YL [Receive, Young lady]^
DR |S1000 QSY [Dear, Change frequency]^
HW\? |S1000 YAGI [How copy\?, Yagi]^
BURO |S1000 VERT [bureau, Vertical]^
YAGI |S1000 QSL [Yagi, Confirm]^
TX |S1000 YAGI [Transmit, Yagi]^
QRP |S1000 FT [Low power, Feet]^
BCNU |S1000 YAGI [Be seeing you, Yagi]^
MNI |S1000 YAGI [Many, Yagi]^
PSE |S1000 MNI [Please, Many]^
YAGI |S1000 QSY [Yagi, Change frequency]^
YAGI |S1000 HW\? [Yagi, How copy\?]^
YAGI |S1000 OP [Yagi, Operator]^
QSL |S1000 CFM [Confirm, Confirm]^
YAGI |S1000 YL [Yagi, Young lady]^
YAGI |S1000 OP [Yagi, Operator]^
BCNU |S1000 YAGI [Be seeing you, Yagi]^
BURO |S1000 YAGI [bureau, Yagi]^
QSY |S1000 YL [Change frequency, Young lady]^
BURO |S1000 HW\? [bureau, How copy\?]^
YAGI |S1000 QSL [Yagi, Confirm]^
MNI |S1000 TX [Many, Transmit]^
OP |S1000 YAGI [Operator, Yagi]^
QSL |S1000 YAGI [Confirm, Yagi]^
QRP |S1000 HR [Low power, Hear]^
QSY |S1000 RX [Change frequency, Receive]^
HR |S1000 YAGI [Hear, Yagi]^
EFHW |S1000 OP [End fed, half-wave, Operator]^
VERT |S1000 RX [Vertical, Receive]^
QRS |S1000 YAGI [Slow speed, Yagi]^
QRQ |S1000 YAGI [High speed, Yagi]^
QRS |S1000 DR [Slow speed, Dear]^
QRQ |S1000 QSL [High speed, Confirm]^
TX |S1000 BCNU [Transmit, Be seeing you]^
VERT |S1000 EFHW [Vertical, End fed, half-wave]^
YL |S1000 VERT [Young lady, Vertical]^
EFHW |S1000 YAGI [End fed, half-wave, Yagi]^
PSE |S1000 YAGI [Please, Yagi]^
HW\? |S1000 YAGI [How copy\?, Yagi]^
TX |S1000 YAGI [Transmit, Yagi]^
DR |S1000 QSY [Dear, Change frequency]^
YAGI |S1000 QSL [Yagi, Confirm]^
YAGI |S1000 OP [Yagi, Operator]^
QRS |S1000 YAGI [Slow speed, Yagi]^
RX |S1000 HR [Receive, Hear]^
YAGI |S1000 QSL [Yagi, Confirm]^
OP |S1000 EL [Operator, Element]^
YAGI |S1000 CFM [Yagi, Confirm]^
OP |S1000 TX [Operator, Transmit]^
RX |S1000 YAGI [Receive, Yagi]^
QRQ |S1000 PLS [High speed, Please]^
YAGI |S1000 QSL [Yagi, Confirm]^
YAGI |S1000 MNI [Yagi, Many]^
BCNU |S1000 MNI [Be seeing you, Many]^
BURO |S1000 YAGI [bureau, Yagi]^
EFHW |S1000 YAGI [End fed, half-wave, Yagi]^
QRS |S1000 YAGI [Slow speed, Yagi]^
BCNU |S1000 DR [Be seeing you, Dear]^
QRQ |S1000 MNI [High speed, Many]^
EFHW |S1000 CFM [End fed, half-wave, Confirm]^
QRQ |S1000 TX [High speed, Transmit]^
QSL |S1000 DR [Confirm, Dear]^
YAGI |S1000 HR [Yagi, Hear]^
DR |S1000 YAGI [Dear, Yagi]^
QRS |S1000 YAGI [Slow speed, Yagi]^
BCNU |S1000 FT [Be seeing you, Feet]^
EFHW |S1000 FT [End fed, half-wave, Feet]^
EFHW |S1000 HW\? [End fed, half-wave, How copy\?]^
BURO |S1000 YAGI [bureau, Yagi]^
MNI |S1000 BCNU [Many, Be seeing you]^
MNI |S1000 YL [Many, Young lady]^
RX |S1000 YAGI [Receive, Yagi]^
HR |S1000 YAGI [Hear, Yagi]^
FT |S1000 TX [Feet, Transmit]^
YAGI |S1000 HR [Yagi, Hear]^
OP |S1000 MNI [Operator, Many]^
HW\? |S1000 EFHW [How copy\?, End fed, half-wave]^
BURO |S1000 YAGI [bureau, Yagi]^
PSE |S1000 YAGI [Please, Yagi]^
PSE |S1000 CFM [Please, Confirm]^
YAGI |S1000 OP [Yagi, Operator]^
HR |S1000 DR [Hear, Dear]^
HW\? |S1000 BCNU [How copy\?, Be seeing you]^
YAGI |S1000 BURO [Yagi, bureau]^
QSY |S1000 CFM [Change frequency, Confirm]^
YL |S1000 OP [Young lady, Operator]^
QRS |S1000 MNI [Slow speed, Many]^
FT |S1000 TX [Feet, Transmit]^
QSL |S1000 BCNU [Confirm, Be seeing you]^
YAGI |S1000 TX [Yagi, Transmit]^
QSL |S1000 YAGI [Confirm, Yagi]^
PLS |S1000 QRQ [Please, High speed]^
BURO |S1000 BCNU [bureau, Be seeing you]^
EFHW |S1000 YAGI [End fed, half-wave, Yagi]^
BURO |S1000 YL [bureau, Young lady]^
YAGI |S1000 VERT [Yagi, Vertical]^
QRS |S1000 BCNU [Slow speed, Be seeing you]^
BURO |S1000 YAGI [bureau, Yagi]^
BURO |S1000 HR [bureau, Hear]^
QRP |S1000 YAGI [Low power, Yagi]^
QRP |S1000 MNI [Low power, Many]^
HW\? |S1000 YAGI [How copy\?, Yagi]^
BURO |S1000 YL [bureau, Young lady]^
YAGI |S1000 QSY [Yagi, Change frequency]^
YAGI |S1000 OP [Yagi, Operator]^
VERT |S1000 PLS [Vertical, Please]^
YAGI |S1000 VERT [Yagi, Vertical]^
YAGI |S1000 MNI [Yagi, Many]^
CFM |S1000 YAGI [Confirm, Yagi]^
EL |S1000 DR [Element, Dear]^
YAGI |S1000 BCNU [Yagi, Be seeing you]^
YAGI |S1000 HR [Yagi, Hear]^
QRP |S1000 YAGI [Low power, Yagi]^
OP |S1000 YAGI [Operator, Yagi]^
QSY |S1000 YAGI [Change frequency, Yagi]^
BCNU |S1000 YAGI [Be seeing you, Yagi]^
YL |S1000 BURO [Young lady, bureau]^
PSE |S1000 YAGI [Please, Yagi]^
RX |S1000 MNI [Receive, Many]^
YAGI |S1000 FT [Yagi, Feet]^
EFHW |S1000 PLS [End fed, half-wave, Please]^
VERT |S1000 FT [Vertical, Feet]^
QRP |S1000 DR [Low power, Dear]^
YAGI |S1000 VERT [Yagi, Vertical]^
YAGI |S1000 QSL [Yagi, Confirm]^
OP |S1000 PLS [Operator, Please]^
YAGI |S1000 BCNU [Yagi, Be seeing you]^
TX |S1000 YAGI [Transmit, Yagi]^
PLS |S1000 YAGI [Please, Yagi]^
CFM |S1000 HW\? [Confirm, How copy\?]^
YL |S1000 YAGI [Young lady, Yagi]^
BCNU |S1000 YAGI [Be seeing you, Yagi]^
MNI |S1000 RX [Many, Receive]^
HW\? |S1000 YAGI [How copy\?, Yagi]^
DR |S1000 YAGI [Dear, Yagi]^
CFM |S1000 YAGI [Confirm, Yagi]^
EFHW |S1000 QRP [End fed, half-wave, Low power]^
YAGI |S1000 CFM [Yagi, Confirm]^
YAGI |S1000 QSY [Yagi, Change frequency]^
QRS |S1000 YAGI [Slow speed, Yagi]^
QSL |S1000 QRQ [Confirm, High speed]^
YAGI |S1000 QSY [Yagi, Change frequency]^
HW\? |S1000 HR [How copy\?, Hear]^
FT |S1000 EL [Feet, Element]^
OP |S1000 BCNU [Operator, Be seeing you]^
YAGI |S1000 OP [Yagi, Operator]^
BCNU |S1000 RX [Be seeing you, Receive]^
FT |S1000 QSY [Feet, Change frequency]^
CFM |S1000 YL [Confirm, Young lady]^
QRS |S1000 QRQ [Slow speed, High speed]^
YAGI |S1000 HR [Yagi, Hear]^
YAGI |S1000 QRP [Yagi, Low power]^
EFHW |S1000 YL [End fed, half-wave, Young lady]^
YAGI |S1000 YL [Yagi, Young lady]^
RX |S1000 YAGI [Receive, Yagi]^
EL |S1000 YAGI [Element, Yagi]^
MNI |S1000 QSY [Many, Change frequency]^
HR |S1000 YAGI [Hear, Yagi]^
TX |S1000 QRS [Transmit, Slow speed]^
YAGI |S1000 DR [Yagi, Dear]^
EFHW |S1000 YL [End fed, half-wave, Young lady]^
QRS |S1000 BURO [Slow speed, bureau]^
YAGI |S1000 EFHW [Yagi, End fed, half-wave]^
YAGI |S1000 BCNU [Yagi, Be seeing you]^
YAGI |S1000 OP [Yagi, Operator]^
YAGI |S1000 QRP [Yagi, Low power]^
YAGI |S1000 BURO [Yagi, bureau]^
YAGI |S1000 PSE [Yagi, Please]^
QSY |S1000 BCNU [Change frequency, Be seeing you]^
PLS |S1000 QRS [Please, Slow speed]^
BCNU |S1000 YAGI [Be seeing you, Yagi]^
EL |S1000 RX [Element, Receive]^
YAGI |S1000 QRP [Yagi, Low power]^
BURO |S1000 EFHW [bureau, End fed, half-wave]^
DR |S1000 YAGI [Dear, Yagi]^
EFHW |S1000 QRS [End fed, half-wave, Slow speed]^
YAGI |S1000 HR [Yagi, Hear]^
YAGI |S1000 TX [Yagi, Transmit]^
HW\? |S1000 YAGI [How copy\?, Yagi]^
EFHW |S1000 QRP [End fed, half-wave, Low power]^
FT |S1000 QRP [Feet, Low power]^
HR |S1000 QSL [Hear, Confirm]^
YAGI |S1000 YL [Yagi, Young lady]^
YAGI |S1000 QSL [Yagi, Confirm]^
BCNU |S1000 YAGI [Be seeing you, Yagi]^
QRP |S1000 QSL [Low power, Confirm]^
RX |S1000 YAGI [Receive, Yagi]^
PSE |S1000 BURO [Please, bureau]^
QRP |S1000 CFM [Low power, Confirm]^
YAGI |S1000 VERT [Yagi, Vertical]^
TX |S1000 YAGI [Transmit, Yagi]^
BCNU |S1000 QRS [Be seeing you, Slow speed]^
YL |S1000 PSE [Young lady, Please]^
QRS |S1000 OP [Slow speed, Operator]^
YAGI |S1000 YL [Yagi, Young lady]^
HR |S1000 HW\? [Hear, How copy\?]^
YAGI |S1000 BURO [Yagi, bureau]^
DR |S1000 YAGI [Dear, Yagi]^
TX |S1000 YAGI [Transmit, Yagi]^
OP |S1000 HW\? [Operator, How copy\?]^
OP |S1000 YAGI [Operator, Yagi]^
RX |S1000 EL [Receive, Element]^
YAGI |S1000 HW\? [Yagi, How copy\?]^
QRQ |S1000 YAGI [High speed, Yagi]^
DR |S1000 YAGI [Dear, Yagi]^
EL |S1000 YAGI [Element, Yagi]^
OP |S1000 BCNU [Operator, Be seeing you]^
YAGI |S1000 HR [Yagi, Hear]^
DR |S1000 YAGI [Dear, Yagi]^
QRP |S1000 YAGI [Low power, Yagi]^
CFM |S1000 PSE [Confirm, Please]^
YAGI |S1000 PLS [Yagi, Please]^
QRQ |S1000 YAGI [High speed, Yagi]^
BCNU |S1000 RX [Be seeing you, Receive]^
YAGI |S1000 TX [Yagi, Transmit]^
RX |S1000 QSY [Receive, Change frequency]^
EFHW |S1000 QSY [End fed, half-wave, Change frequency]^
HR |S1000 MNI [Hear, Many]^
YAGI |S1000 PLS [Yagi, Please]^
YAGI |S1000 QRQ [Yagi, High speed]^
YAGI |S1000 QSY [Yagi, Change frequency]^
YAGI |S1000 QSL [Yagi, Confirm]^
YAGI |S1000 QSY [Yagi, Change frequency]^
YAGI |S1000 HR [Yagi, Hear]^
BCNU |S1000 FT [Be seeing you, Feet]^
YAGI |S1000 PLS [Yagi, Please]^
YAGI |S1000 QSL [Yagi, Confirm]^
YAGI |S1000 QRQ [Yagi, High speed]^
YAGI |S1000 HW\? [Yagi, How copy\?]^
EFHW |S1000 QSL [End fed, half-wave, Confirm]^
VERT |S1000 PLS [Vertical, Please]^
TX |S1000 QSL [Transmit, Confirm]^
MNI |S1000 YAGI [Many, Yagi]^
QRQ |S1000 EL [High speed, Element]^
YAGI |S1000 BCNU [Yagi, Be seeing you]^
YL |S1000 YAGI [Young lady, Yagi]^
