HW |S1000 HW |S1000 HW [How | HW]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
OM |S1000 OM |S1000 OM [Old man | OM]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
OM |S1000 OM |S1000 OM [Old man | OM]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
HW |S1000 HW |S1000 HW [How | HW]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
OM |S1000 OM |S1000 OM [Old man | OM]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
HW |S1000 HW |S1000 HW [How | HW]^
OM |S1000 OM |S1000 OM [Old man | OM]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
OM |S1000 OM |S1000 OM [Old man | OM]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
DX |S1000 DX |S1000 DX [D X | DX]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
DX |S1000 DX |S1000 DX [D X | DX]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
OM |S1000 OM |S1000 OM [Old man | OM]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
OM |S1000 OM |S1000 OM [Old man | OM]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
OM |S1000 OM |S1000 OM [Old man | OM]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
DX |S1000 DX |S1000 DX [D X | DX]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
OM |S1000 OM |S1000 OM [Old man | OM]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HW |S1000 HW |S1000 HW [How | HW]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
OM |S1000 OM |S1000 OM [Old man | OM]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
OM |S1000 OM |S1000 OM [Old man | OM]^
DX |S1000 DX |S1000 DX [D X | DX]^
OM |S1000 OM |S1000 OM [Old man | OM]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HW |S1000 HW |S1000 HW [How | HW]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HW |S1000 HW |S1000 HW [How | HW]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
OM |S1000 OM |S1000 OM [Old man | OM]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HW |S1000 HW |S1000 HW [How | HW]^
OM |S1000 OM |S1000 OM [Old man | OM]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
HW |S1000 HW |S1000 HW [How | HW]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
OM |S1000 OM |S1000 OM [Old man | OM]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
HW |S1000 HW |S1000 HW [How | HW]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
OM |S1000 OM |S1000 OM [Old man | OM]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
OM |S1000 OM |S1000 OM [Old man | OM]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
HW |S1000 HW |S1000 HW [How | HW]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
DX |S1000 DX |S1000 DX [D X | DX]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HW |S1000 HW |S1000 HW [How | HW]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
DX |S1000 DX |S1000 DX [D X | DX]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
DX |S1000 DX |S1000 DX [D X | DX]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
OM |S1000 OM |S1000 OM [Old man | OM]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
OM |S1000 OM |S1000 OM [Old man | OM]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
OM |S1000 OM |S1000 OM [Old man | OM]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
DX |S1000 DX |S1000 DX [D X | DX]^
OM |S1000 OM |S1000 OM [Old man | OM]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
HW |S1000 HW |S1000 HW [How | HW]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
OM |S1000 OM |S1000 OM [Old man | OM]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HW |S1000 HW |S1000 HW [How | HW]^
OM |S1000 OM |S1000 OM [Old man | OM]^
DX |S1000 DX |S1000 DX [D X | DX]^
OM |S1000 OM |S1000 OM [Old man | OM]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
