TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
OM |S1000 OM |S1000 OM [Old man | OM]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
HW |S1000 HW |S1000 HW [How | HW]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
HW |S1000 HW |S1000 HW [How | HW]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
HW |S1000 HW |S1000 HW [How | HW]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
OM |S1000 OM |S1000 OM [Old man | OM]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
DX |S1000 DX |S1000 DX [D X | DX]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
HW |S1000 HW |S1000 HW [How | HW]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
HW |S1000 HW |S1000 HW [How | HW]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
OM |S1000 OM |S1000 OM [Old man | OM]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
DX |S1000 DX |S1000 DX [D X | DX]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
DX |S1000 DX |S1000 DX [D X | DX]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
DX |S1000 DX |S1000 DX [D X | DX]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
DX |S1000 DX |S1000 DX [D X | DX]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
OM |S1000 OM |S1000 OM [Old man | OM]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
QRN |S1000 QRN |S1000 QRN [Noise | QRN]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
HW |S1000 HW |S1000 HW [How | HW]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
OM |S1000 OM |S1000 OM [Old man | OM]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
HW |S1000 HW |S1000 HW [How | HW]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
OM |S1000 OM |S1000 OM [Old man | OM]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
OM |S1000 OM |S1000 OM [Old man | OM]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
DX |S1000 DX |S1000 DX [D X | DX]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
HPE |S1000 HPE |S1000 HPE [Hope | HPE]^
ANT |S1000 ANT |S1000 ANT [Antenna | ANT]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
QRL |S1000 QRL |S1000 QRL [Q R L | QRL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
OM |S1000 OM |S1000 OM [Old man | OM]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
TNX |S1000 TNX |S1000 TNX [Thanks | TNX]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
DX |S1000 DX |S1000 DX [D X | DX]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
DIPOLE |S1000 DIPOLE |S1000 DIPOLE [Dipole | DIPOLE]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
GL |S1000 GL |S1000 GL [Good luck | GL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
HW |S1000 HW |S1000 HW [How | HW]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
SIG |S1000 SIG |S1000 SIG [Signal | SIG]^
SRI |S1000 SRI |S1000 SRI [Sorry | SRI]^
BEAM |S1000 BEAM |S1000 BEAM [Beam | BEAM]^
XYL |S1000 XYL |S1000 XYL [Wife | XYL]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
HW |S1000 HW |S1000 HW [How | HW]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
CPI |S1000 CPI |S1000 CPI [Copy | CPI]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
FB |S1000 FB |S1000 FB [Fine business | FB]^
PWR |S1000 PWR |S1000 PWR [Power | PWR]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
OM |S1000 OM |S1000 OM [Old man | OM]^
CPY |S1000 CPY |S1000 CPY [Copy | CPY]^
RIG |S1000 RIG |S1000 RIG [Rig | RIG]^
BTU |S1000 BTU |S1000 BTU [Back to you | BTU]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
QSB |S1000 QSB |S1000 QSB [Q S B | QSB]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
HW |S1000 HW |S1000 HW [How | HW]^
CUL |S1000 CUL |S1000 CUL [See you later | CUL]^
TEMP |S1000 TEMP |S1000 TEMP [Temperature | TEMP]^
DX |S1000 DX |S1000 DX [D X | DX]^
