WIRE |S1000 WATT [Wire, Watt]^
579 |S1000 359 [5 7 9, 3 5 9]^
SSB |S1000 WATT [Single Side Band, Watt]^
579 |S1000 SSB [5 7 9, Single Side Band]^
CW |S1000 579 [C W, 5 7 9]^
WATT |S1000 579 [Watt, 5 7 9]^
SSB |S1000 579 [Single Side Band, 5 7 9]^
INFO |S1000 1TT [Information, 100]^
WIRE |S1000 579 [Wire, 5 7 9]^
OCF |S1000 SWR [Off-center fed dipole, S W R]^
579 |S1000 WIRE [5 7 9, Wire]^
88 |S1000 579 [88, 5 7 9]^
88 |S1000 SSB [88, Single Side Band]^
GD |S1000 579 [Good, 5 7 9]^
359 |S1000 WIRE [3 5 9, Wire]^
579 |S1000 NW [5 7 9, Now]^
INFO |S1000 1TT [Information, 100]^
OCF |S1000 GD [Off-center fed dipole, Good]^
OCF |S1000 359 [Off-center fed dipole, 3 5 9]^
579 |S1000 479 [5 7 9, 4 7 9]^
579 |S1000 OCF [5 7 9, Off-center fed dipole]^
479 |S1000 SSB [4 7 9, Single Side Band]^
579 |S1000 72 [5 7 9, 72]^
579 |S1000 GB [5 7 9, Goodbye]^
489 |S1000 579 [4 8 9, 5 7 9]^
GN |S1000 579 [Good night, 5 7 9]^
WATT |S1000 LOOP [Watt, Loop]^
579 |S1000 489 [5 7 9, 4 8 9]^
GD |S1000 489 [Good, 4 8 9]^
GD |S1000 72 [Good, 72]^
1TT |S1000 WIRE [100, Wire]^
NW |S1000 GB [Now, Goodbye]^
579 |S1000 72 [5 7 9, 72]^
WATT |S1000 579 [Watt, 5 7 9]^
GB |S1000 1TT [Goodbye, 100]^
479 |S1000 SSB [4 7 9, Single Side Band]^
579 |S1000 GN [5 7 9, Good night]^
579 |S1000 479 [5 7 9, 4 7 9]^
GD |S1000 88 [Good, 88]^
579 |S1000 WATT [5 7 9, Watt]^
GD |S1000 88 [Good, 88]^
579 |S1000 GD [5 7 9, Good]^
NW |S1000 579 [Now, 5 7 9]^
88 |S1000 WIRE [88, Wire]^
GN |S1000 1TT [Good night, 100]^
479 |S1000 88 [4 7 9, 88]^
579 |S1000 489 [5 7 9, 4 8 9]^
LOOP |S1000 359 [Loop, 3 5 9]^
CW |S1000 579 [C W, 5 7 9]^
1TT |S1000 LOOP [100, Loop]^
579 |S1000 GB [5 7 9, Goodbye]^
579 |S1000 489 [5 7 9, 4 8 9]^
579 |S1000 359 [5 7 9, 3 5 9]^
579 |S1000 88 [5 7 9, 88]^
579 |S1000 1TT [5 7 9, 100]^
72 |S1000 579 [72, 5 7 9]^
479 |S1000 SSB [4 7 9, Single Side Band]^
72 |S1000 579 [72, 5 7 9]^
INFO |S1000 CW [Information, C W]^
88 |S1000 579 [88, 5 7 9]^
WATT |S1000 479 [Watt, 4 7 9]^
579 |S1000 479 [5 7 9, 4 7 9]^
GN |S1000 579 [Good night, 5 7 9]^
GD |S1000 579 [Good, 5 7 9]^
GB |S1000 GN [Goodbye, Good night]^
CW |S1000 1TT [C W, 100]^
579 |S1000 INFO [5 7 9, Information]^
579 |S1000 LOOP [5 7 9, Loop]^
SSB |S1000 579 [Single Side Band, 5 7 9]^
GB |S1000 359 [Goodbye, 3 5 9]^
SWR |S1000 479 [S W R, 4 7 9]^
489 |S1000 GD [4 8 9, Good]^
359 |S1000 579 [3 5 9, 5 7 9]^
GB |S1000 NW [Goodbye, Now]^
72 |S1000 INFO [72, Information]^
GD |S1000 NW [Good, Now]^
INFO |S1000 579 [Information, 5 7 9]^
SWR |S1000 579 [S W R, 5 7 9]^
NW |S1000 579 [Now, 5 7 9]^
1TT |S1000 489 [100, 4 8 9]^
579 |S1000 WATT [5 7 9, Watt]^
579 |S1000 489 [5 7 9, 4 8 9]^
NW |S1000 579 [Now, 5 7 9]^
489 |S1000 OCF [4 8 9, Off-center fed dipole]^
SWR |S1000 579 [S W R, 5 7 9]^
479 |S1000 579 [4 7 9, 5 7 9]^
GD |S1000 579 [Good, 5 7 9]^
CW |S1000 SSB [C W, Single Side Band]^
579 |S1000 NW [5 7 9, Now]^
GB |S1000 GD [Goodbye, Good]^
LOOP |S1000 479 [Loop, 4 7 9]^
579 |S1000 359 [5 7 9, 3 5 9]^
GB |S1000 579 [Goodbye, 5 7 9]^
LOOP |S1000 479 [Loop, 4 7 9]^
489 |S1000 579 [4 8 9, 5 7 9]^
SSB |S1000 LOOP [Single Side Band, Loop]^
NW |S1000 359 [Now, 3 5 9]^
SSB |S1000 579 [Single Side Band, 5 7 9]^
OCF |S1000 GD [Off-center fed dipole, Good]^
579 |S1000 1TT [5 7 9, 100]^
579 |S1000 OCF [5 7 9, Off-center fed dipole]^
579 |S1000 SWR [5 7 9, S W R]^
579 |S1000 SSB [5 7 9, Single Side Band]^
INFO |S1000 GN [Information, Good night]^
489 |S1000 579 [4 8 9, 5 7 9]^
359 |S1000 SSB [3 5 9, Single Side Band]^
579 |S1000 WATT [5 7 9, Watt]^
GN |S1000 579 [Good night, 5 7 9]^
SSB |S1000 SWR [Single Side Band, S W R]^
88 |S1000 WIRE [88, Wire]^
SSB |S1000 1TT [Single Side Band, 100]^
579 |S1000 88 [5 7 9, 88]^
479 |S1000 72 [4 7 9, 72]^
579 |S1000 OCF [5 7 9, Off-center fed dipole]^
GB |S1000 GD [Goodbye, Good]^
INFO |S1000 579 [Information, 5 7 9]^
SSB |S1000 579 [Single Side Band, 5 7 9]^
OCF |S1000 579 [Off-center fed dipole, 5 7 9]^
CW |S1000 GN [C W, Good night]^
LOOP |S1000 579 [Loop, 5 7 9]^
GN |S1000 579 [Good night, 5 7 9]^
NW |S1000 579 [Now, 5 7 9]^
WIRE |S1000 72 [Wire, 72]^
OCF |S1000 72 [Off-center fed dipole, 72]^
1TT |S1000 579 [100, 5 7 9]^
INFO |S1000 GD [Information, Good]^
479 |S1000 359 [4 7 9, 3 5 9]^
579 |S1000 489 [5 7 9, 4 8 9]^
72 |S1000 579 [72, 5 7 9]^
GD |S1000 72 [Good, 72]^
579 |S1000 GD [5 7 9, Good]^
579 |S1000 SSB [5 7 9, Single Side Band]^
CW |S1000 579 [C W, 5 7 9]^
OCF |S1000 SSB [Off-center fed dipole, Single Side Band]^
INFO |S1000 579 [Information, 5 7 9]^
NW |S1000 579 [Now, 5 7 9]^
489 |S1000 579 [4 8 9, 5 7 9]^
SSB |S1000 GN [Single Side Band, Good night]^
GB |S1000 72 [Goodbye, 72]^
GB |S1000 579 [Goodbye, 5 7 9]^
OCF |S1000 WIRE [Off-center fed dipole, Wire]^
CW |S1000 SSB [C W, Single Side Band]^
359 |S1000 GD [3 5 9, Good]^
579 |S1000 CW [5 7 9, C W]^
SWR |S1000 OCF [S W R, Off-center fed dipole]^
GN |S1000 GD [Good night, Good]^
489 |S1000 GB [4 8 9, Goodbye]^
579 |S1000 489 [5 7 9, 4 8 9]^
579 |S1000 1TT [5 7 9, 100]^
SWR |S1000 72 [S W R, 72]^
579 |S1000 GN [5 7 9, Good night]^
579 |S1000 GN [5 7 9, Good night]^
489 |S1000 NW [4 8 9, Now]^
72 |S1000 579 [72, 5 7 9]^
WIRE |S1000 579 [Wire, 5 7 9]^
88 |S1000 579 [88, 5 7 9]^
1TT |S1000 WATT [100, Watt]^
LOOP |S1000 579 [Loop, 5 7 9]^
LOOP |S1000 INFO [Loop, Information]^
SSB |S1000 WATT [Single Side Band, Watt]^
NW |S1000 OCF [Now, Off-center fed dipole]^
359 |S1000 579 [3 5 9, 5 7 9]^
WATT |S1000 72 [Watt, 72]^
WATT |S1000 579 [Watt, 5 7 9]^
NW |S1000 WATT [Now, Watt]^
OCF |S1000 579 [Off-center fed dipole, 5 7 9]^
INFO |S1000 579 [Information, 5 7 9]^
GD |S1000 88 [Good, 88]^
WATT |S1000 CW [Watt, C W]^
GN |S1000 579 [Good night, 5 7 9]^
OCF |S1000 LOOP [Off-center fed dipole, Loop]^
579 |S1000 NW [5 7 9, Now]^
579 |S1000 INFO [5 7 9, Information]^
WIRE |S1000 1TT [Wire, 100]^
579 |S1000 WIRE [5 7 9, Wire]^
579 |S1000 489 [5 7 9, 4 8 9]^
579 |S1000 1TT [5 7 9, 100]^
579 |S1000 GB [5 7 9, Goodbye]^
579 |S1000 WATT [5 7 9, Watt]^
579 |S1000 72 [5 7 9, 72]^
SWR |S1000 479 [S W R, 4 7 9]^
WIRE |S1000 GN [Wire, Good night]^
579 |S1000 359 [5 7 9, 3 5 9]^
579 |S1000 LOOP [5 7 9, Loop]^
579 |S1000 72 [5 7 9, 72]^
579 |S1000 GB [5 7 9, Goodbye]^
579 |S1000 GB [5 7 9, Goodbye]^
579 |S1000 GN [5 7 9, Good night]^
579 |S1000 479 [5 7 9, 4 7 9]^
359 |S1000 579 [3 5 9, 5 7 9]^
72 |S1000 579 [72, 5 7 9]^
INFO |S1000 579 [Information, 5 7 9]^
LOOP |S1000 WATT [Loop, Watt]^
SSB |S1000 NW [Single Side Band, Now]^
579 |S1000 72 [5 7 9, 72]^
OCF |S1000 NW [Off-center fed dipole, Now]^
579 |S1000 WIRE [5 7 9, Wire]^
GD |S1000 579 [Good, 5 7 9]^
72 |S1000 LOOP [72, Loop]^
579 |S1000 359 [5 7 9, 3 5 9]^
579 |S1000 1TT [5 7 9, 100]^
579 |S1000 479 [5 7 9, 4 7 9]^
CW |S1000 GN [C W, Good night]^
489 |S1000 579 [4 8 9, 5 7 9]^
SSB |S1000 OCF [Single Side Band, Off-center fed dipole]^
579 |S1000 1TT [5 7 9, 100]^
WIRE |S1000 579 [Wire, 5 7 9]^
WATT |S1000 SWR [Watt, S W R]^
489 |S1000 72 [4 8 9, 72]^
579 |S1000 LOOP [5 7 9, Loop]^
WATT |S1000 579 [Watt, 5 7 9]^
WATT |S1000 579 [Watt, 5 7 9]^
OCF |S1000 579 [Off-center fed dipole, 5 7 9]^
88 |S1000 579 [88, 5 7 9]^
72 |S1000 OCF [72, Off-center fed dipole]^
579 |S1000 GD [5 7 9, Good]^
359 |S1000 NW [3 5 9, Now]^
GN |S1000 SWR [Good night, S W R]^
NW |S1000 WIRE [Now, Wire]^
LOOP |S1000 579 [Loop, 5 7 9]^
LOOP |S1000 WATT [Loop, Watt]^
OCF |S1000 SWR [Off-center fed dipole, S W R]^
WIRE |S1000 1TT [Wire, 100]^
489 |S1000 359 [4 8 9, 3 5 9]^
579 |S1000 LOOP [5 7 9, Loop]^
479 |S1000 LOOP [4 7 9, Loop]^
479 |S1000 579 [4 7 9, 5 7 9]^
489 |S1000 579 [4 8 9, 5 7 9]^
479 |S1000 SWR [4 7 9, S W R]^
579 |S1000 GD [5 7 9, Good]^
579 |S1000 72 [5 7 9, 72]^
579 |S1000 LOOP [5 7 9, Loop]^
579 |S1000 INFO [5 7 9, Information]^
1TT |S1000 WATT [100, Watt]^
SSB |S1000 579 [Single Side Band, 5 7 9]^
88 |S1000 579 [88, 5 7 9]^
NW |S1000 CW [Now, C W]^
579 |S1000 GB [5 7 9, Goodbye]^
WATT |S1000 GN [Watt, Good night]^
579 |S1000 LOOP [5 7 9, Loop]^
579 |S1000 88 [5 7 9, 88]^
INFO |S1000 SWR [Information, S W R]^
CW |S1000 WIRE [C W, Wire]^
579 |S1000 GB [5 7 9, Goodbye]^
579 |S1000 SSB [5 7 9, Single Side Band]^
SWR |S1000 579 [S W R, 5 7 9]^
WIRE |S1000 359 [Wire, 3 5 9]^
579 |S1000 1TT [5 7 9, 100]^
OCF |S1000 579 [Off-center fed dipole, 5 7 9]^
GN |S1000 88 [Good night, 88]^
NW |S1000 GD [Now, Good]^
579 |S1000 489 [5 7 9, 4 8 9]^
579 |S1000 GN [5 7 9, Good night]^
LOOP |S1000 579 [Loop, 5 7 9]^
359 |S1000 579 [3 5 9, 5 7 9]^
GD |S1000 579 [Good, 5 7 9]^
489 |S1000 WATT [4 8 9, Watt]^
579 |S1000 GN [5 7 9, Good night]^
579 |S1000 NW [5 7 9, Now]^
579 |S1000 479 [5 7 9, 4 7 9]^
NW |S1000 CW [Now, C W]^
579 |S1000 WATT [5 7 9, Watt]^
579 |S1000 LOOP [5 7 9, Loop]^
579 |S1000 1TT [5 7 9, 100]^
GN |S1000 72 [Good night, 72]^
WIRE |S1000 72 [Wire, 72]^
579 |S1000 INFO [5 7 9, Information]^
88 |S1000 GN [88, Good night]^
479 |S1000 579 [4 7 9, 5 7 9]^
GN |S1000 579 [Good night, 5 7 9]^
479 |S1000 GB [4 7 9, Goodbye]^
479 |S1000 NW [4 7 9, Now]^
489 |S1000 579 [4 8 9, 5 7 9]^
GD |S1000 NW [Good, Now]^
579 |S1000 OCF [5 7 9, Off-center fed dipole]^
CW |S1000 GB [C W, Goodbye]^
479 |S1000 579 [4 7 9, 5 7 9]^
359 |S1000 GB [3 5 9, Goodbye]^
579 |S1000 OCF [5 7 9, Off-center fed dipole]^
GD |S1000 SWR [Good, S W R]^
489 |S1000 WATT [4 8 9, Watt]^
579 |S1000 359 [5 7 9, 3 5 9]^
489 |S1000 OCF [4 8 9, Off-center fed dipole]^
579 |S1000 GD [5 7 9, Good]^
CW |S1000 579 [C W, 5 7 9]^
479 |S1000 INFO [4 7 9, Information]^
579 |S1000 GN [5 7 9, Good night]^
SSB |S1000 579 [Single Side Band, 5 7 9]^
WIRE |S1000 579 [Wire, 5 7 9]^
OCF |S1000 INFO [Off-center fed dipole, Information]^
SWR |S1000 WATT [S W R, Watt]^
579 |S1000 SSB [5 7 9, Single Side Band]^
72 |S1000 GD [72, Good]^
WIRE |S1000 OCF [Wire, Off-center fed dipole]^
579 |S1000 LOOP [5 7 9, Loop]^
WATT |S1000 1TT [Watt, 100]^
489 |S1000 88 [4 8 9, 88]^
579 |S1000 GB [5 7 9, Goodbye]^
SWR |S1000 GB [S W R, Goodbye]^
579 |S1000 OCF [5 7 9, Off-center fed dipole]^
579 |S1000 489 [5 7 9, 4 8 9]^
LOOP |S1000 WATT [Loop, Watt]^
SWR |S1000 WATT [S W R, Watt]^
579 |S1000 359 [5 7 9, 3 5 9]^
SWR |S1000 GB [S W R, Goodbye]^
359 |S1000 SWR [3 5 9, S W R]^
359 |S1000 489 [3 5 9, 4 8 9]^
88 |S1000 SSB [88, Single Side Band]^
LOOP |S1000 479 [Loop, 4 7 9]^
WATT |S1000 579 [Watt, 5 7 9]^
CW |S1000 579 [C W, 5 7 9]^
1TT |S1000 579 [100, 5 7 9]^
CW |S1000 GB [C W, Goodbye]^
579 |S1000 72 [5 7 9, 72]^
WIRE |S1000 579 [Wire, 5 7 9]^
479 |S1000 579 [4 7 9, 5 7 9]^
479 |S1000 579 [4 7 9, 5 7 9]^
LOOP |S1000 489 [Loop, 4 8 9]^
579 |S1000 NW [5 7 9, Now]^
WATT |S1000 88 [Watt, 88]^
479 |S1000 579 [4 7 9, 5 7 9]^
NW |S1000 SWR [Now, S W R]^
579 |S1000 88 [5 7 9, 88]^
GD |S1000 579 [Good, 5 7 9]^
NW |S1000 579 [Now, 5 7 9]^
88 |S1000 579 [88, 5 7 9]^
OCF |S1000 1TT [Off-center fed dipole, 100]^
SSB |S1000 NW [Single Side Band, Now]^
1TT |S1000 WATT [100, Watt]^
INFO |S1000 579 [Information, 5 7 9]^
GD |S1000 1TT [Good, 100]^
579 |S1000 LOOP [5 7 9, Loop]^
359 |S1000 579 [3 5 9, 5 7 9]^
GB |S1000 579 [Goodbye, 5 7 9]^
GD |S1000 SSB [Good, Single Side Band]^
579 |S1000 GD [5 7 9, Good]^
579 |S1000 489 [5 7 9, 4 8 9]^
GB |S1000 GN [Goodbye, Good night]^
579 |S1000 LOOP [5 7 9, Loop]^
359 |S1000 SSB [3 5 9, Single Side Band]^
88 |S1000 72 [88, 72]^
INFO |S1000 GB [Information, Goodbye]^
579 |S1000 GN [5 7 9, Good night]^
WATT |S1000 579 [Watt, 5 7 9]^
GD |S1000 WATT [Good, Watt]^
579 |S1000 NW [5 7 9, Now]^
579 |S1000 SSB [5 7 9, Single Side Band]^
GB |S1000 88 [Goodbye, 88]^
579 |S1000 OCF [5 7 9, Off-center fed dipole]^
579 |S1000 GB [5 7 9, Goodbye]^
LOOP |S1000 WIRE [Loop, Wire]^
489 |S1000 359 [4 8 9, 3 5 9]^
OCF |S1000 579 [Off-center fed dipole, 5 7 9]^
WIRE |S1000 GN [Wire, Good night]^
SWR |S1000 GB [S W R, Goodbye]^
579 |S1000 72 [5 7 9, 72]^
NW |S1000 489 [Now, 4 8 9]^
1TT |S1000 579 [100, 5 7 9]^
479 |S1000 579 [4 7 9, 5 7 9]^
88 |S1000 579 [88, 5 7 9]^
GN |S1000 INFO [Good night, Information]^
SWR |S1000 WIRE [S W R, Wire]^
72 |S1000 579 [72, 5 7 9]^
479 |S1000 1TT [4 7 9, 100]^
579 |S1000 479 [5 7 9, 4 7 9]^
579 |S1000 72 [5 7 9, 72]^
579 |S1000 NW [5 7 9, Now]^
SWR |S1000 GB [S W R, Goodbye]^
LOOP |S1000 NW [Loop, Now]^
579 |S1000 GB [5 7 9, Goodbye]^
OCF |S1000 579 [Off-center fed dipole, 5 7 9]^
72 |S1000 1TT [72, 100]^
WIRE |S1000 579 [Wire, 5 7 9]^
1TT |S1000 CW [100, C W]^
579 |S1000 WATT [5 7 9, Watt]^
579 |S1000 WATT [5 7 9, Watt]^
579 |S1000 GD [5 7 9, Good]^
1TT |S1000 579 [100, 5 7 9]^
CW |S1000 579 [C W, 5 7 9]^
NW |S1000 WATT [Now, Watt]^
GD |S1000 SSB [Good, Single Side Band]^
NW |S1000 72 [Now, 72]^
579 |S1000 SWR [5 7 9, S W R]^
579 |S1000 72 [5 7 9, 72]^
NW |S1000 579 [Now, 5 7 9]^
CW |S1000 579 [C W, 5 7 9]^
72 |S1000 579 [72, 5 7 9]^
LOOP |S1000 WIRE [Loop, Wire]^
579 |S1000 1TT [5 7 9, 100]^
579 |S1000 489 [5 7 9, 4 8 9]^
579 |S1000 NW [5 7 9, Now]^
CW |S1000 579 [C W, 5 7 9]^
OCF |S1000 GD [Off-center fed dipole, Good]^
INFO |S1000 579 [Information, 5 7 9]^
SWR |S1000 GD [S W R, Good]^
1TT |S1000 WATT [100, Watt]^
SSB |S1000 579 [Single Side Band, 5 7 9]^
1TT |S1000 WATT [100, Watt]^
579 |S1000 OCF [5 7 9, Off-center fed dipole]^
579 |S1000 WIRE [5 7 9, Wire]^
WATT |S1000 INFO [Watt, Information]^
1TT |S1000 88 [100, 88]^
SSB |S1000 INFO [Single Side Band, Information]^
OCF |S1000 579 [Off-center fed dipole, 5 7 9]^
359 |S1000 579 [3 5 9, 5 7 9]^
CW |S1000 579 [C W, 5 7 9]^
WIRE |S1000 489 [Wire, 4 8 9]^
579 |S1000 479 [5 7 9, 4 7 9]^
88 |S1000 579 [88, 5 7 9]^
WIRE |S1000 LOOP [Wire, Loop]^
579 |S1000 LOOP [5 7 9, Loop]^
INFO |S1000 479 [Information, 4 7 9]^
GD |S1000 OCF [Good, Off-center fed dipole]^
579 |S1000 WATT [5 7 9, Watt]^
CW |S1000 WIRE [C W, Wire]^
GD |S1000 579 [Good, 5 7 9]^
479 |S1000 359 [4 7 9, 3 5 9]^
GN |S1000 SWR [Good night, S W R]^
GB |S1000 579 [Goodbye, 5 7 9]^
479 |S1000 579 [4 7 9, 5 7 9]^
INFO |S1000 579 [Information, 5 7 9]^
359 |S1000 CW [3 5 9, C W]^
SWR |S1000 579 [S W R, 5 7 9]^
SSB |S1000 OCF [Single Side Band, Off-center fed dipole]^
INFO |S1000 579 [Information, 5 7 9]^
SSB |S1000 72 [Single Side Band, 72]^
579 |S1000 CW [5 7 9, C W]^
579 |S1000 SSB [5 7 9, Single Side Band]^
579 |S1000 OCF [5 7 9, Off-center fed dipole]^
CW |S1000 579 [C W, 5 7 9]^
WATT |S1000 359 [Watt, 3 5 9]^
GN |S1000 LOOP [Good night, Loop]^
OCF |S1000 579 [Off-center fed dipole, 5 7 9]^
479 |S1000 INFO [4 7 9, Information]^
579 |S1000 72 [5 7 9, 72]^
1TT |S1000 579 [100, 5 7 9]^
489 |S1000 479 [4 8 9, 4 7 9]^
LOOP |S1000 579 [Loop, 5 7 9]^
1TT |S1000 CW [100, C W]^
72 |S1000 WATT [72, Watt]^
579 |S1000 88 [5 7 9, 88]^
579 |S1000 OCF [5 7 9, Off-center fed dipole]^
WIRE |S1000 579 [Wire, 5 7 9]^
CW |S1000 WATT [C W, Watt]^
579 |S1000 359 [5 7 9, 3 5 9]^
579 |S1000 WATT [5 7 9, Watt]^
SSB |S1000 579 [Single Side Band, 5 7 9]^
1TT |S1000 579 [100, 5 7 9]^
359 |S1000 579 [3 5 9, 5 7 9]^
GN |S1000 WIRE [Good night, Wire]^
88 |S1000 579 [88, 5 7 9]^
SSB |S1000 LOOP [Single Side Band, Loop]^
579 |S1000 GB [5 7 9, Goodbye]^
88 |S1000 579 [88, 5 7 9]^
359 |S1000 579 [3 5 9, 5 7 9]^
479 |S1000 579 [4 7 9, 5 7 9]^
WIRE |S1000 SWR [Wire, S W R]^
GN |S1000 NW [Good night, Now]^
579 |S1000 GD [5 7 9, Good]^
579 |S1000 1TT [5 7 9, 100]^
579 |S1000 SSB [5 7 9, Single Side Band]^
WATT |S1000 GN [Watt, Good night]^
CW |S1000 LOOP [C W, Loop]^
579 |S1000 GB [5 7 9, Goodbye]^
579 |S1000 LOOP [5 7 9, Loop]^
CW |S1000 479 [C W, 4 7 9]^
SWR |S1000 1TT [S W R, 100]^
WIRE |S1000 SSB [Wire, Single Side Band]^
88 |S1000 489 [88, 4 8 9]^
88 |S1000 1TT [88, 100]^
479 |S1000 SWR [4 7 9, S W R]^
579 |S1000 CW [5 7 9, C W]^
579 |S1000 88 [5 7 9, 88]^
INFO |S1000 579 [Information, 5 7 9]^
GD |S1000 1TT [Good, 100]^
579 |S1000 LOOP [5 7 9, Loop]^
88 |S1000 579 [88, 5 7 9]^
489 |S1000 OCF [4 8 9, Off-center fed dipole]^
GD |S1000 NW [Good, Now]^
579 |S1000 479 [5 7 9, 4 7 9]^
CW |S1000 SSB [C W, Single Side Band]^
579 |S1000 CW [5 7 9, C W]^
72 |S1000 479 [72, 4 7 9]^
LOOP |S1000 GB [Loop, Goodbye]^
88 |S1000 579 [88, 5 7 9]^
479 |S1000 GB [4 7 9, Goodbye]^
579 |S1000 INFO [5 7 9, Information]^
GN |S1000 CW [Good night, C W]^
479 |S1000 GN [4 7 9, Good night]^
LOOP |S1000 579 [Loop, 5 7 9]^
WIRE |S1000 CW [Wire, C W]^
579 |S1000 GD [5 7 9, Good]^
GB |S1000 579 [Goodbye, 5 7 9]^
GD |S1000 GN [Good, Good night]^
579 |S1000 CW [5 7 9, C W]^
SWR |S1000 579 [S W R, 5 7 9]^
1TT |S1000 579 [100, 5 7 9]^
OCF |S1000 NW [Off-center fed dipole, Now]^
579 |S1000 NW [5 7 9, Now]^
88 |S1000 GN [88, Good night]^
579 |S1000 SSB [5 7 9, Single Side Band]^
579 |S1000 GB [5 7 9, Goodbye]^
LOOP |S1000 1TT [Loop, 100]^
579 |S1000 GN [5 7 9, Good night]^
579 |S1000 489 [5 7 9, 4 8 9]^
WATT |S1000 579 [Watt, 5 7 9]^
GN |S1000 579 [Good night, 5 7 9]^
489 |S1000 579 [4 8 9, 5 7 9]^
489 |S1000 579 [4 8 9, 5 7 9]^
SSB |S1000 579 [Single Side Band, 5 7 9]^
359 |S1000 579 [3 5 9, 5 7 9]^
WATT |S1000 LOOP [Watt, Loop]^
579 |S1000 CW [5 7 9, C W]^
SWR |S1000 GN [S W R, Good night]^
1TT |S1000 579 [100, 5 7 9]^
GD |S1000 NW [Good, Now]^
579 |S1000 489 [5 7 9, 4 8 9]^
579 |S1000 72 [5 7 9, 72]^
88 |S1000 579 [88, 5 7 9]^
1TT |S1000 LOOP [100, Loop]^
579 |S1000 359 [5 7 9, 3 5 9]^
72 |S1000 WIRE [72, Wire]^
579 |S1000 489 [5 7 9, 4 8 9]^
579 |S1000 1TT [5 7 9, 100]^
LOOP |S1000 579 [Loop, 5 7 9]^
LOOP |S1000 579 [Loop, 5 7 9]^
88 |S1000 WIRE [88, Wire]^
GN |S1000 INFO [Good night, Information]^
579 |S1000 CW [5 7 9, C W]^
NW |S1000 579 [Now, 5 7 9]^
GN |S1000 579 [Good night, 5 7 9]^
479 |S1000 359 [4 7 9, 3 5 9]^
579 |S1000 NW [5 7 9, Now]^
479 |S1000 LOOP [4 7 9, Loop]^
359 |S1000 579 [3 5 9, 5 7 9]^
WIRE |S1000 579 [Wire, 5 7 9]^
