359 |S1000 359 |S1000 359 [3 5 9 | 359]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
CW |S1000 CW |S1000 CW [C W | CW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
GD |S1000 GD |S1000 GD [Good | GD]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GN |S1000 GN |S1000 GN [Good night | GN]^
GD |S1000 GD |S1000 GD [Good | GD]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
NW |S1000 NW |S1000 NW [Now | NW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
72 |S1000 72 |S1000 72 [72 | 72]^
GN |S1000 GN |S1000 GN [Good night | GN]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
NW |S1000 NW |S1000 NW [Now | NW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
GD |S1000 GD |S1000 GD [Good | GD]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
CW |S1000 CW |S1000 CW [C W | CW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
GD |S1000 GD |S1000 GD [Good | GD]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
CW |S1000 CW |S1000 CW [C W | CW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
NW |S1000 NW |S1000 NW [Now | NW]^
GN |S1000 GN |S1000 GN [Good night | GN]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
GD |S1000 GD |S1000 GD [Good | GD]^
NW |S1000 NW |S1000 NW [Now | NW]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
88 |S1000 88 |S1000 88 [88 | 88]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
72 |S1000 72 |S1000 72 [72 | 72]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
88 |S1000 88 |S1000 88 [88 | 88]^
GD |S1000 GD |S1000 GD [Good | GD]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
CW |S1000 CW |S1000 CW [C W | CW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
CW |S1000 CW |S1000 CW [C W | CW]^
GD |S1000 GD |S1000 GD [Good | GD]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
GN |S1000 GN |S1000 GN [Good night | GN]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
72 |S1000 72 |S1000 72 [72 | 72]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
72 |S1000 72 |S1000 72 [72 | 72]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
GD |S1000 GD |S1000 GD [Good | GD]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
CW |S1000 CW |S1000 CW [C W | CW]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
NW |S1000 NW |S1000 NW [Now | NW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
72 |S1000 72 |S1000 72 [72 | 72]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GD |S1000 GD |S1000 GD [Good | GD]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GD |S1000 GD |S1000 GD [Good | GD]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
NW |S1000 NW |S1000 NW [Now | NW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GN |S1000 GN |S1000 GN [Good night | GN]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
72 |S1000 72 |S1000 72 [72 | 72]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
GN |S1000 GN |S1000 GN [Good night | GN]^
NW |S1000 NW |S1000 NW [Now | NW]^
GN |S1000 GN |S1000 GN [Good night | GN]^
GD |S1000 GD |S1000 GD [Good | GD]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GD |S1000 GD |S1000 GD [Good | GD]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
NW |S1000 NW |S1000 NW [Now | NW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
88 |S1000 88 |S1000 88 [88 | 88]^
GN |S1000 GN |S1000 GN [Good night | GN]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
CW |S1000 CW |S1000 CW [C W | CW]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GD |S1000 GD |S1000 GD [Good | GD]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GD |S1000 GD |S1000 GD [Good | GD]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GN |S1000 GN |S1000 GN [Good night | GN]^
72 |S1000 72 |S1000 72 [72 | 72]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GD |S1000 GD |S1000 GD [Good | GD]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GD |S1000 GD |S1000 GD [Good | GD]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GN |S1000 GN |S1000 GN [Good night | GN]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
72 |S1000 72 |S1000 72 [72 | 72]^
CW |S1000 CW |S1000 CW [C W | CW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
72 |S1000 72 |S1000 72 [72 | 72]^
NW |S1000 NW |S1000 NW [Now | NW]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
CW |S1000 CW |S1000 CW [C W | CW]^
72 |S1000 72 |S1000 72 [72 | 72]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
88 |S1000 88 |S1000 88 [88 | 88]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GN |S1000 GN |S1000 GN [Good night | GN]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
72 |S1000 72 |S1000 72 [72 | 72]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
72 |S1000 72 |S1000 72 [72 | 72]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
GD |S1000 GD |S1000 GD [Good | GD]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
CW |S1000 CW |S1000 CW [C W | CW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
CW |S1000 CW |S1000 CW [C W | CW]^
72 |S1000 72 |S1000 72 [72 | 72]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
NW |S1000 NW |S1000 NW [Now | NW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
88 |S1000 88 |S1000 88 [88 | 88]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
GD |S1000 GD |S1000 GD [Good | GD]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GD |S1000 GD |S1000 GD [Good | GD]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
CW |S1000 CW |S1000 CW [C W | CW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
CW |S1000 CW |S1000 CW [C W | CW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
NW |S1000 NW |S1000 NW [Now | NW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GD |S1000 GD |S1000 GD [Good | GD]^
CW |S1000 CW |S1000 CW [C W | CW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
NW |S1000 NW |S1000 NW [Now | NW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
NW |S1000 NW |S1000 NW [Now | NW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
CW |S1000 CW |S1000 CW [C W | CW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GN |S1000 GN |S1000 GN [Good night | GN]^
NW |S1000 NW |S1000 NW [Now | NW]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
NW |S1000 NW |S1000 NW [Now | NW]^
CW |S1000 CW |S1000 CW [C W | CW]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
CW |S1000 CW |S1000 CW [C W | CW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GD |S1000 GD |S1000 GD [Good | GD]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
72 |S1000 72 |S1000 72 [72 | 72]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
88 |S1000 88 |S1000 88 [88 | 88]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
88 |S1000 88 |S1000 88 [88 | 88]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
NW |S1000 NW |S1000 NW [Now | NW]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
CW |S1000 CW |S1000 CW [C W | CW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
88 |S1000 88 |S1000 88 [88 | 88]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
72 |S1000 72 |S1000 72 [72 | 72]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
GN |S1000 GN |S1000 GN [Good night | GN]^
CW |S1000 CW |S1000 CW [C W | CW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
NW |S1000 NW |S1000 NW [Now | NW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
GD |S1000 GD |S1000 GD [Good | GD]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
GN |S1000 GN |S1000 GN [Good night | GN]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
72 |S1000 72 |S1000 72 [72 | 72]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GN |S1000 GN |S1000 GN [Good night | GN]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
72 |S1000 72 |S1000 72 [72 | 72]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
88 |S1000 88 |S1000 88 [88 | 88]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
72 |S1000 72 |S1000 72 [72 | 72]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GN |S1000 GN |S1000 GN [Good night | GN]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
