489 |S1000 489 |S1000 489 [4 8 9 | 489]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
NW |S1000 NW |S1000 NW [Now | NW]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
CW |S1000 CW |S1000 CW [C W | CW]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
NW |S1000 NW |S1000 NW [Now | NW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
88 |S1000 88 |S1000 88 [88 | 88]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
CW |S1000 CW |S1000 CW [C W | CW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
NW |S1000 NW |S1000 NW [Now | NW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GD |S1000 GD |S1000 GD [Good | GD]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
72 |S1000 72 |S1000 72 [72 | 72]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
NW |S1000 NW |S1000 NW [Now | NW]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
72 |S1000 72 |S1000 72 [72 | 72]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GN |S1000 GN |S1000 GN [Good night | GN]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
NW |S1000 NW |S1000 NW [Now | NW]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GD |S1000 GD |S1000 GD [Good | GD]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
NW |S1000 NW |S1000 NW [Now | NW]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GN |S1000 GN |S1000 GN [Good night | GN]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
72 |S1000 72 |S1000 72 [72 | 72]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
88 |S1000 88 |S1000 88 [88 | 88]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GD |S1000 GD |S1000 GD [Good | GD]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GN |S1000 GN |S1000 GN [Good night | GN]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
88 |S1000 88 |S1000 88 [88 | 88]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
CW |S1000 CW |S1000 CW [C W | CW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GD |S1000 GD |S1000 GD [Good | GD]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GN |S1000 GN |S1000 GN [Good night | GN]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
CW |S1000 CW |S1000 CW [C W | CW]^
NW |S1000 NW |S1000 NW [Now | NW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
72 |S1000 72 |S1000 72 [72 | 72]^
CW |S1000 CW |S1000 CW [C W | CW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GD |S1000 GD |S1000 GD [Good | GD]^
CW |S1000 CW |S1000 CW [C W | CW]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
NW |S1000 NW |S1000 NW [Now | NW]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
NW |S1000 NW |S1000 NW [Now | NW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
88 |S1000 88 |S1000 88 [88 | 88]^
GN |S1000 GN |S1000 GN [Good night | GN]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
88 |S1000 88 |S1000 88 [88 | 88]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GN |S1000 GN |S1000 GN [Good night | GN]^
GD |S1000 GD |S1000 GD [Good | GD]^
CW |S1000 CW |S1000 CW [C W | CW]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
CW |S1000 CW |S1000 CW [C W | CW]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
72 |S1000 72 |S1000 72 [72 | 72]^
NW |S1000 NW |S1000 NW [Now | NW]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
88 |S1000 88 |S1000 88 [88 | 88]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GD |S1000 GD |S1000 GD [Good | GD]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
72 |S1000 72 |S1000 72 [72 | 72]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
NW |S1000 NW |S1000 NW [Now | NW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
88 |S1000 88 |S1000 88 [88 | 88]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
72 |S1000 72 |S1000 72 [72 | 72]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
CW |S1000 CW |S1000 CW [C W | CW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
88 |S1000 88 |S1000 88 [88 | 88]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
CW |S1000 CW |S1000 CW [C W | CW]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
GN |S1000 GN |S1000 GN [Good night | GN]^
NW |S1000 NW |S1000 NW [Now | NW]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
NW |S1000 NW |S1000 NW [Now | NW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
NW |S1000 NW |S1000 NW [Now | NW]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
88 |S1000 88 |S1000 88 [88 | 88]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
88 |S1000 88 |S1000 88 [88 | 88]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
NW |S1000 NW |S1000 NW [Now | NW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
72 |S1000 72 |S1000 72 [72 | 72]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GD |S1000 GD |S1000 GD [Good | GD]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
CW |S1000 CW |S1000 CW [C W | CW]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
72 |S1000 72 |S1000 72 [72 | 72]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
GN |S1000 GN |S1000 GN [Good night | GN]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
CW |S1000 CW |S1000 CW [C W | CW]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GD |S1000 GD |S1000 GD [Good | GD]^
CW |S1000 CW |S1000 CW [C W | CW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
72 |S1000 72 |S1000 72 [72 | 72]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GD |S1000 GD |S1000 GD [Good | GD]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GN |S1000 GN |S1000 GN [Good night | GN]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GN |S1000 GN |S1000 GN [Good night | GN]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
72 |S1000 72 |S1000 72 [72 | 72]^
CW |S1000 CW |S1000 CW [C W | CW]^
NW |S1000 NW |S1000 NW [Now | NW]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
72 |S1000 72 |S1000 72 [72 | 72]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GD |S1000 GD |S1000 GD [Good | GD]^
NW |S1000 NW |S1000 NW [Now | NW]^
GN |S1000 GN |S1000 GN [Good night | GN]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
NW |S1000 NW |S1000 NW [Now | NW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
88 |S1000 88 |S1000 88 [88 | 88]^
72 |S1000 72 |S1000 72 [72 | 72]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GN |S1000 GN |S1000 GN [Good night | GN]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
NW |S1000 NW |S1000 NW [Now | NW]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
88 |S1000 88 |S1000 88 [88 | 88]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
88 |S1000 88 |S1000 88 [88 | 88]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
GN |S1000 GN |S1000 GN [Good night | GN]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
NW |S1000 NW |S1000 NW [Now | NW]^
GN |S1000 GN |S1000 GN [Good night | GN]^
72 |S1000 72 |S1000 72 [72 | 72]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
GD |S1000 GD |S1000 GD [Good | GD]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
GN |S1000 GN |S1000 GN [Good night | GN]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GN |S1000 GN |S1000 GN [Good night | GN]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
72 |S1000 72 |S1000 72 [72 | 72]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
NW |S1000 NW |S1000 NW [Now | NW]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
GD |S1000 GD |S1000 GD [Good | GD]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
72 |S1000 72 |S1000 72 [72 | 72]^
CW |S1000 CW |S1000 CW [C W | CW]^
GD |S1000 GD |S1000 GD [Good | GD]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
88 |S1000 88 |S1000 88 [88 | 88]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
88 |S1000 88 |S1000 88 [88 | 88]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
88 |S1000 88 |S1000 88 [88 | 88]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GD |S1000 GD |S1000 GD [Good | GD]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GN |S1000 GN |S1000 GN [Good night | GN]^
88 |S1000 88 |S1000 88 [88 | 88]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
