579 |S1000 579 |S1000 579 [5 7 9 | 579]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GN |S1000 GN |S1000 GN [Good night | GN]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
CW |S1000 CW |S1000 CW [C W | CW]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
CW |S1000 CW |S1000 CW [C W | CW]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GD |S1000 GD |S1000 GD [Good | GD]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
NW |S1000 NW |S1000 NW [Now | NW]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
CW |S1000 CW |S1000 CW [C W | CW]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
88 |S1000 88 |S1000 88 [88 | 88]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GN |S1000 GN |S1000 GN [Good night | GN]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
CW |S1000 CW |S1000 CW [C W | CW]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
CW |S1000 CW |S1000 CW [C W | CW]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
88 |S1000 88 |S1000 88 [88 | 88]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
NW |S1000 NW |S1000 NW [Now | NW]^
GD |S1000 GD |S1000 GD [Good | GD]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
CW |S1000 CW |S1000 CW [C W | CW]^
88 |S1000 88 |S1000 88 [88 | 88]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
88 |S1000 88 |S1000 88 [88 | 88]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GN |S1000 GN |S1000 GN [Good night | GN]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
72 |S1000 72 |S1000 72 [72 | 72]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
CW |S1000 CW |S1000 CW [C W | CW]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
NW |S1000 NW |S1000 NW [Now | NW]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
GD |S1000 GD |S1000 GD [Good | GD]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
72 |S1000 72 |S1000 72 [72 | 72]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
72 |S1000 72 |S1000 72 [72 | 72]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
CW |S1000 CW |S1000 CW [C W | CW]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GN |S1000 GN |S1000 GN [Good night | GN]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
88 |S1000 88 |S1000 88 [88 | 88]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
CW |S1000 CW |S1000 CW [C W | CW]^
GD |S1000 GD |S1000 GD [Good | GD]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GD |S1000 GD |S1000 GD [Good | GD]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
88 |S1000 88 |S1000 88 [88 | 88]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
72 |S1000 72 |S1000 72 [72 | 72]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
72 |S1000 72 |S1000 72 [72 | 72]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
72 |S1000 72 |S1000 72 [72 | 72]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
CW |S1000 CW |S1000 CW [C W | CW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
CW |S1000 CW |S1000 CW [C W | CW]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GN |S1000 GN |S1000 GN [Good night | GN]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
GN |S1000 GN |S1000 GN [Good night | GN]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
NW |S1000 NW |S1000 NW [Now | NW]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
GN |S1000 GN |S1000 GN [Good night | GN]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
GN |S1000 GN |S1000 GN [Good night | GN]^
72 |S1000 72 |S1000 72 [72 | 72]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
NW |S1000 NW |S1000 NW [Now | NW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
72 |S1000 72 |S1000 72 [72 | 72]^
GN |S1000 GN |S1000 GN [Good night | GN]^
72 |S1000 72 |S1000 72 [72 | 72]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
88 |S1000 88 |S1000 88 [88 | 88]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
GN |S1000 GN |S1000 GN [Good night | GN]^
NW |S1000 NW |S1000 NW [Now | NW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GN |S1000 GN |S1000 GN [Good night | GN]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
CW |S1000 CW |S1000 CW [C W | CW]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GN |S1000 GN |S1000 GN [Good night | GN]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
CW |S1000 CW |S1000 CW [C W | CW]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
CW |S1000 CW |S1000 CW [C W | CW]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
88 |S1000 88 |S1000 88 [88 | 88]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GD |S1000 GD |S1000 GD [Good | GD]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
CW |S1000 CW |S1000 CW [C W | CW]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
GN |S1000 GN |S1000 GN [Good night | GN]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
NW |S1000 NW |S1000 NW [Now | NW]^
GN |S1000 GN |S1000 GN [Good night | GN]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
NW |S1000 NW |S1000 NW [Now | NW]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
