479 |S1000 479 |S1000 479 [4 7 9 | 479]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
NW |S1000 NW |S1000 NW [Now | NW]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
88 |S1000 88 |S1000 88 [88 | 88]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GN |S1000 GN |S1000 GN [Good night | GN]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GD |S1000 GD |S1000 GD [Good | GD]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
CW |S1000 CW |S1000 CW [C W | CW]^
NW |S1000 NW |S1000 NW [Now | NW]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GD |S1000 GD |S1000 GD [Good | GD]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
GD |S1000 GD |S1000 GD [Good | GD]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
72 |S1000 72 |S1000 72 [72 | 72]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
CW |S1000 CW |S1000 CW [C W | CW]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GN |S1000 GN |S1000 GN [Good night | GN]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
88 |S1000 88 |S1000 88 [88 | 88]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GN |S1000 GN |S1000 GN [Good night | GN]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
72 |S1000 72 |S1000 72 [72 | 72]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
NW |S1000 NW |S1000 NW [Now | NW]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
88 |S1000 88 |S1000 88 [88 | 88]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GN |S1000 GN |S1000 GN [Good night | GN]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
NW |S1000 NW |S1000 NW [Now | NW]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
NW |S1000 NW |S1000 NW [Now | NW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
NW |S1000 NW |S1000 NW [Now | NW]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
72 |S1000 72 |S1000 72 [72 | 72]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
CW |S1000 CW |S1000 CW [C W | CW]^
72 |S1000 72 |S1000 72 [72 | 72]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
72 |S1000 72 |S1000 72 [72 | 72]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
NW |S1000 NW |S1000 NW [Now | NW]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
GD |S1000 GD |S1000 GD [Good | GD]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
CW |S1000 CW |S1000 CW [C W | CW]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
CW |S1000 CW |S1000 CW [C W | CW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GD |S1000 GD |S1000 GD [Good | GD]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
88 |S1000 88 |S1000 88 [88 | 88]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
GD |S1000 GD |S1000 GD [Good | GD]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
CW |S1000 CW |S1000 CW [C W | CW]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GD |S1000 GD |S1000 GD [Good | GD]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GN |S1000 GN |S1000 GN [Good night | GN]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
72 |S1000 72 |S1000 72 [72 | 72]^
GN |S1000 GN |S1000 GN [Good night | GN]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
72 |S1000 72 |S1000 72 [72 | 72]^
CW |S1000 CW |S1000 CW [C W | CW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
NW |S1000 NW |S1000 NW [Now | NW]^
CW |S1000 CW |S1000 CW [C W | CW]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
GD |S1000 GD |S1000 GD [Good | GD]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
GD |S1000 GD |S1000 GD [Good | GD]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
88 |S1000 88 |S1000 88 [88 | 88]^
GD |S1000 GD |S1000 GD [Good | GD]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
72 |S1000 72 |S1000 72 [72 | 72]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GD |S1000 GD |S1000 GD [Good | GD]^
GN |S1000 GN |S1000 GN [Good night | GN]^
NW |S1000 NW |S1000 NW [Now | NW]^
GN |S1000 GN |S1000 GN [Good night | GN]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
88 |S1000 88 |S1000 88 [88 | 88]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
CW |S1000 CW |S1000 CW [C W | CW]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GD |S1000 GD |S1000 GD [Good | GD]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
88 |S1000 88 |S1000 88 [88 | 88]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
CW |S1000 CW |S1000 CW [C W | CW]^
NW |S1000 NW |S1000 NW [Now | NW]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
CW |S1000 CW |S1000 CW [C W | CW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
88 |S1000 88 |S1000 88 [88 | 88]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GD |S1000 GD |S1000 GD [Good | GD]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
CW |S1000 CW |S1000 CW [C W | CW]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
CW |S1000 CW |S1000 CW [C W | CW]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
CW |S1000 CW |S1000 CW [C W | CW]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
GN |S1000 GN |S1000 GN [Good night | GN]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
72 |S1000 72 |S1000 72 [72 | 72]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
GD |S1000 GD |S1000 GD [Good | GD]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GD |S1000 GD |S1000 GD [Good | GD]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
88 |S1000 88 |S1000 88 [88 | 88]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
NW |S1000 NW |S1000 NW [Now | NW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
88 |S1000 88 |S1000 88 [88 | 88]^
GD |S1000 GD |S1000 GD [Good | GD]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
GD |S1000 GD |S1000 GD [Good | GD]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
CW |S1000 CW |S1000 CW [C W | CW]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
88 |S1000 88 |S1000 88 [88 | 88]^
NW |S1000 NW |S1000 NW [Now | NW]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
CW |S1000 CW |S1000 CW [C W | CW]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GN |S1000 GN |S1000 GN [Good night | GN]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GD |S1000 GD |S1000 GD [Good | GD]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
QRX |S1000 QRX |S1000 QRX [Q R X | QRX]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
72 |S1000 72 |S1000 72 [72 | 72]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
GD |S1000 GD |S1000 GD [Good | GD]^
GN |S1000 GN |S1000 GN [Good night | GN]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
72 |S1000 72 |S1000 72 [72 | 72]^
88 |S1000 88 |S1000 88 [88 | 88]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GD |S1000 GD |S1000 GD [Good | GD]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
72 |S1000 72 |S1000 72 [72 | 72]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRT |S1000 QRT |S1000 QRT [Q R T | QRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
72 |S1000 72 |S1000 72 [72 | 72]^
GN |S1000 GN |S1000 GN [Good night | GN]^
NW |S1000 NW |S1000 NW [Now | NW]^
GN |S1000 GN |S1000 GN [Good night | GN]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
GN |S1000 GN |S1000 GN [Good night | GN]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
AGE |S1000 AGE |S1000 AGE [Age | AGE]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
88 |S1000 88 |S1000 88 [88 | 88]^
72 |S1000 72 |S1000 72 [72 | 72]^
GD |S1000 GD |S1000 GD [Good | GD]^
CW |S1000 CW |S1000 CW [C W | CW]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
CW |S1000 CW |S1000 CW [C W | CW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPT |S1000 RPT |S1000 RPT [Report | RPT]^
