88 |S1000 88 |S1000 88 [88 | 88]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
GD |S1000 GD |S1000 GD [Good | GD]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
72 |S1000 72 |S1000 72 [72 | 72]^
GD |S1000 GD |S1000 GD [Good | GD]^
NW |S1000 NW |S1000 NW [Now | NW]^
GN |S1000 GN |S1000 GN [Good night | GN]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
88 |S1000 88 |S1000 88 [88 | 88]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
72 |S1000 72 |S1000 72 [72 | 72]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GD |S1000 GD |S1000 GD [Good | GD]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
CW |S1000 CW |S1000 CW [C W | CW]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
GD |S1000 GD |S1000 GD [Good | GD]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
GN |S1000 GN |S1000 GN [Good night | GN]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
GD |S1000 GD |S1000 GD [Good | GD]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
CW |S1000 CW |S1000 CW [C W | CW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
88 |S1000 88 |S1000 88 [88 | 88]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
88 |S1000 88 |S1000 88 [88 | 88]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
72 |S1000 72 |S1000 72 [72 | 72]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
GD |S1000 GD |S1000 GD [Good | GD]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
72 |S1000 72 |S1000 72 [72 | 72]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
CW |S1000 CW |S1000 CW [C W | CW]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
88 |S1000 88 |S1000 88 [88 | 88]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
CW |S1000 CW |S1000 CW [C W | CW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
GN |S1000 GN |S1000 GN [Good night | GN]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GN |S1000 GN |S1000 GN [Good night | GN]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
GN |S1000 GN |S1000 GN [Good night | GN]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
88 |S1000 88 |S1000 88 [88 | 88]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
72 |S1000 72 |S1000 72 [72 | 72]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
CW |S1000 CW |S1000 CW [C W | CW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
CW |S1000 CW |S1000 CW [C W | CW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
NW |S1000 NW |S1000 NW [Now | NW]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GN |S1000 GN |S1000 GN [Good night | GN]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
NW |S1000 NW |S1000 NW [Now | NW]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
88 |S1000 88 |S1000 88 [88 | 88]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
NW |S1000 NW |S1000 NW [Now | NW]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
GN |S1000 GN |S1000 GN [Good night | GN]^
GD |S1000 GD |S1000 GD [Good | GD]^
CW |S1000 CW |S1000 CW [C W | CW]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
GN |S1000 GN |S1000 GN [Good night | GN]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GD |S1000 GD |S1000 GD [Good | GD]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GD |S1000 GD |S1000 GD [Good | GD]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
88 |S1000 88 |S1000 88 [88 | 88]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
72 |S1000 72 |S1000 72 [72 | 72]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
72 |S1000 72 |S1000 72 [72 | 72]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
