QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
599 |S1000 599 |S1000 599 [5 9 9 | 599]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
WX |S1000 WX |S1000 WX [Weather | WX]^
DE |S1000 DE |S1000 DE [From | DE]^
FER |S1000 FER |S1000 FER [For | FER]^
RST |S1000 RST |S1000 RST [R S T | RST]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
GM |S1000 GM |S1000 GM [Good morning | GM]^
FER |S1000 FER |S1000 FER [For | FER]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
599 |S1000 599 |S1000 599 [5 9 9 | 599]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
GM |S1000 GM |S1000 GM [Good morning | GM]^
NR |S1000 NR |S1000 NR [Number | NR]^
599 |S1000 599 |S1000 599 [5 9 9 | 599]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
GM |S1000 GM |S1000 GM [Good morning | GM]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
WX |S1000 WX |S1000 WX [Weather | WX]^
559 |S1000 559 |S1000 559 [5 5 9 | 559]^
UP |S1000 UP |S1000 UP [Up | UP]^
VY |S1000 VY |S1000 VY [Very | VY]^
TEST |S1000 TEST |S1000 TEST [Contest | TEST]^
GM |S1000 GM |S1000 GM [Good morning | GM]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
VY |S1000 VY |S1000 VY [Very | VY]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
ES |S1000 ES |S1000 ES [And | ES]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
599 |S1000 599 |S1000 599 [5 9 9 | 599]^
UP |S1000 UP |S1000 UP [Up | UP]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
RST |S1000 RST |S1000 RST [R S T | RST]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
FER |S1000 FER |S1000 FER [For | FER]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
ES |S1000 ES |S1000 ES [And | ES]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
559 |S1000 559 |S1000 559 [5 5 9 | 559]^
DE |S1000 DE |S1000 DE [From | DE]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
FER |S1000 FER |S1000 FER [For | FER]^
UR |S1000 UR |S1000 UR [Your | UR]^
FER |S1000 FER |S1000 FER [For | FER]^
UP |S1000 UP |S1000 UP [Up | UP]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
FER |S1000 FER |S1000 FER [For | FER]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
GE |S1000 GE |S1000 GE [Good evening | GE]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
VY |S1000 VY |S1000 VY [Very | VY]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
UP |S1000 UP |S1000 UP [Up | UP]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
NR |S1000 NR |S1000 NR [Number | NR]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
GA |S1000 GA |S1000 GA [Good afternoon | GA]^
GM |S1000 GM |S1000 GM [Good morning | GM]^
599 |S1000 599 |S1000 599 [5 9 9 | 599]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
559 |S1000 559 |S1000 559 [5 5 9 | 559]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
UP |S1000 UP |S1000 UP [Up | UP]^
NR |S1000 NR |S1000 NR [Number | NR]^
ES |S1000 ES |S1000 ES [And | ES]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
559 |S1000 559 |S1000 559 [5 5 9 | 559]^
UR |S1000 UR |S1000 UR [Your | UR]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
73 |S1000 73 |S1000 73 [73 | 73]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
VY |S1000 VY |S1000 VY [Very | VY]^
WX |S1000 WX |S1000 WX [Weather | WX]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
73 |S1000 73 |S1000 73 [73 | 73]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
GE |S1000 GE |S1000 GE [Good evening | GE]^
559 |S1000 559 |S1000 559 [5 5 9 | 559]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
FER |S1000 FER |S1000 FER [For | FER]^
TEST |S1000 TEST |S1000 TEST [Contest | TEST]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
DE |S1000 DE |S1000 DE [From | DE]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
GM |S1000 GM |S1000 GM [Good morning | GM]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
TEST |S1000 TEST |S1000 TEST [Contest | TEST]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
NR |S1000 NR |S1000 NR [Number | NR]^
GA |S1000 GA |S1000 GA [Good afternoon | GA]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
DE |S1000 DE |S1000 DE [From | DE]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
ES |S1000 ES |S1000 ES [And | ES]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
UR |S1000 UR |S1000 UR [Your | UR]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
DE |S1000 DE |S1000 DE [From | DE]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
RST |S1000 RST |S1000 RST [R S T | RST]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
VY |S1000 VY |S1000 VY [Very | VY]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
UR |S1000 UR |S1000 UR [Your | UR]^
VY |S1000 VY |S1000 VY [Very | VY]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
WX |S1000 WX |S1000 WX [Weather | WX]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
UP |S1000 UP |S1000 UP [Up | UP]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
VY |S1000 VY |S1000 VY [Very | VY]^
UR |S1000 UR |S1000 UR [Your | UR]^
DE |S1000 DE |S1000 DE [From | DE]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
WX |S1000 WX |S1000 WX [Weather | WX]^
UR |S1000 UR |S1000 UR [Your | UR]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
UR |S1000 UR |S1000 UR [Your | UR]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
UP |S1000 UP |S1000 UP [Up | UP]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
559 |S1000 559 |S1000 559 [5 5 9 | 559]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
FER |S1000 FER |S1000 FER [For | FER]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
UR |S1000 UR |S1000 UR [Your | UR]^
UP |S1000 UP |S1000 UP [Up | UP]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
DE |S1000 DE |S1000 DE [From | DE]^
73 |S1000 73 |S1000 73 [73 | 73]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
599 |S1000 599 |S1000 599 [5 9 9 | 599]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
TEST |S1000 TEST |S1000 TEST [Contest | TEST]^
GE |S1000 GE |S1000 GE [Good evening | GE]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
FER |S1000 FER |S1000 FER [For | FER]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
DE |S1000 DE |S1000 DE [From | DE]^
RST |S1000 RST |S1000 RST [R S T | RST]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
GM |S1000 GM |S1000 GM [Good morning | GM]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
TEST |S1000 TEST |S1000 TEST [Contest | TEST]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
73 |S1000 73 |S1000 73 [73 | 73]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
GM |S1000 GM |S1000 GM [Good morning | GM]^
RST |S1000 RST |S1000 RST [R S T | RST]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
VY |S1000 VY |S1000 VY [Very | VY]^
73 |S1000 73 |S1000 73 [73 | 73]^
UR |S1000 UR |S1000 UR [Your | UR]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
VY |S1000 VY |S1000 VY [Very | VY]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
DE |S1000 DE |S1000 DE [From | DE]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
599 |S1000 599 |S1000 599 [5 9 9 | 599]^
UP |S1000 UP |S1000 UP [Up | UP]^
GA |S1000 GA |S1000 GA [Good afternoon | GA]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
UR |S1000 UR |S1000 UR [Your | UR]^
ES |S1000 ES |S1000 ES [And | ES]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
NR |S1000 NR |S1000 NR [Number | NR]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
TEST |S1000 TEST |S1000 TEST [Contest | TEST]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
DE |S1000 DE |S1000 DE [From | DE]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
DE |S1000 DE |S1000 DE [From | DE]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
RST |S1000 RST |S1000 RST [R S T | RST]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
ES |S1000 ES |S1000 ES [And | ES]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
WX |S1000 WX |S1000 WX [Weather | WX]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
VY |S1000 VY |S1000 VY [Very | VY]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
559 |S1000 559 |S1000 559 [5 5 9 | 559]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
GM |S1000 GM |S1000 GM [Good morning | GM]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
73 |S1000 73 |S1000 73 [73 | 73]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
DE |S1000 DE |S1000 DE [From | DE]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
WX |S1000 WX |S1000 WX [Weather | WX]^
RST |S1000 RST |S1000 RST [R S T | RST]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
UR |S1000 UR |S1000 UR [Your | UR]^
ES |S1000 ES |S1000 ES [And | ES]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
CQ |S1000 CQ |S1000 CQ [C Q | CQ]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
WX |S1000 WX |S1000 WX [Weather | WX]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
73 |S1000 73 |S1000 73 [73 | 73]^
RST |S1000 RST |S1000 RST [R S T | RST]^
VY |S1000 VY |S1000 VY [Very | VY]^
TEST |S1000 TEST |S1000 TEST [Contest | TEST]^
GA |S1000 GA |S1000 GA [Good afternoon | GA]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
GM |S1000 GM |S1000 GM [Good morning | GM]^
DE |S1000 DE |S1000 DE [From | DE]^
VY |S1000 VY |S1000 VY [Very | VY]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
73 |S1000 73 |S1000 73 [73 | 73]^
VY |S1000 VY |S1000 VY [Very | VY]^
UP |S1000 UP |S1000 UP [Up | UP]^
QRZ |S1000 QRZ |S1000 QRZ [Q R Zed | QRZ]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
5NN |S1000 5NN |S1000 5NN [5 N N | 5NN]^
GM |S1000 GM |S1000 GM [Good morning | GM]^
73 |S1000 73 |S1000 73 [73 | 73]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
NR |S1000 NR |S1000 NR [Number | NR]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
WX |S1000 WX |S1000 WX [Weather | WX]^
QRM |S1000 QRM |S1000 QRM [Interference | QRM]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
RST |S1000 RST |S1000 RST [R S T | RST]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
WX |S1000 WX |S1000 WX [Weather | WX]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
NAME |S1000 NAME |S1000 NAME [Name | NAME]^
TU |S1000 TU |S1000 TU [Thank you | TU]^
AGN |S1000 AGN |S1000 AGN [Again | AGN]^
73 |S1000 73 |S1000 73 [73 | 73]^
NR |S1000 NR |S1000 NR [Number | NR]^
DE |S1000 DE |S1000 DE [From | DE]^
