OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
CW |S1000 CW |S1000 CW [C W | CW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
NW |S1000 NW |S1000 NW [Now | NW]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
88 |S1000 88 |S1000 88 [88 | 88]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
CW |S1000 CW |S1000 CW [C W | CW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
72 |S1000 72 |S1000 72 [72 | 72]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
GN |S1000 GN |S1000 GN [Good night | GN]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
88 |S1000 88 |S1000 88 [88 | 88]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
88 |S1000 88 |S1000 88 [88 | 88]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
NW |S1000 NW |S1000 NW [Now | NW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
CW |S1000 CW |S1000 CW [C W | CW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
CW |S1000 CW |S1000 CW [C W | CW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
88 |S1000 88 |S1000 88 [88 | 88]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
72 |S1000 72 |S1000 72 [72 | 72]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
NW |S1000 NW |S1000 NW [Now | NW]^
GN |S1000 GN |S1000 GN [Good night | GN]^
NW |S1000 NW |S1000 NW [Now | NW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GD |S1000 GD |S1000 GD [Good | GD]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
CW |S1000 CW |S1000 CW [C W | CW]^
NW |S1000 NW |S1000 NW [Now | NW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
CW |S1000 CW |S1000 CW [C W | CW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GD |S1000 GD |S1000 GD [Good | GD]^
NW |S1000 NW |S1000 NW [Now | NW]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GD |S1000 GD |S1000 GD [Good | GD]^
CW |S1000 CW |S1000 CW [C W | CW]^
88 |S1000 88 |S1000 88 [88 | 88]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
NW |S1000 NW |S1000 NW [Now | NW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
88 |S1000 88 |S1000 88 [88 | 88]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
72 |S1000 72 |S1000 72 [72 | 72]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GD |S1000 GD |S1000 GD [Good | GD]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
NW |S1000 NW |S1000 NW [Now | NW]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
GN |S1000 GN |S1000 GN [Good night | GN]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
72 |S1000 72 |S1000 72 [72 | 72]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
CW |S1000 CW |S1000 CW [C W | CW]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
72 |S1000 72 |S1000 72 [72 | 72]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
RPRT |S1000 RPRT |S1000 RPRT [Report | RPRT]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
