BTU |S1000 QSB [Back to you, Q S B]^
QSB |S1000 XYL [Q S B, Wife]^
TNX |S1000 DX [Thanks, D X]^
XYL |S1000 HW [Wife, How]^
XYL |S1000 HPE [Wife, Hope]^
CPI |S1000 QRN [Copy, Noise]^
HW |S1000 XYL [How, Wife]^
CUL |S1000 CPI [See you later, Copy]^
XYL |S1000 OM [Wife, Old man]^
QSB |S1000 GL [Q S B, Good luck]^
XYL |S1000 QSB [Wife, Q S B]^
BTU |S1000 XYL [Back to you, Wife]^
GL |S1000 XYL [Good luck, Wife]^
DX |S1000 QRL [D X, Q R L]^
OM |S1000 XYL [Old man, Wife]^
DIPOLE |S1000 HPE [Dipole, Hope]^
BEAM |S1000 XYL [Beam, Wife]^
DX |S1000 XYL [D X, Wife]^
HW |S1000 XYL [How, Wife]^
SRI |S1000 XYL [Sorry, Wife]^
ANT |S1000 TNX [Antenna, Thanks]^
XYL |S1000 DX [Wife, D X]^
OM |S1000 XYL [Old man, Wife]^
HPE |S1000 OM [Hope, Old man]^
XYL |S1000 DX [Wife, D X]^
CPI |S1000 BTU [Copy, Back to you]^
XYL |S1000 SIG [Wife, Signal]^
DX |S1000 XYL [D X, Wife]^
CUL |S1000 FB [See you later, Fine business]^
GL |S1000 XYL [Good luck, Wife]^
QRN |S1000 BEAM [Noise, Beam]^
XYL |S1000 SRI [Wife, Sorry]^
HPE |S1000 XYL [Hope, Wife]^
SRI |S1000 CPI [Sorry, Copy]^
BEAM |S1000 XYL [Beam, Wife]^
CPI |S1000 CPY [Copy, Copy]^
XYL |S1000 QSB [Wife, Q S B]^
XYL |S1000 CPI [Wife, Copy]^
OM |S1000 GL [Old man, Good luck]^
QRL |S1000 XYL [Q R L, Wife]^
CPY |S1000 CUL [Copy, See you later]^
BEAM |S1000 XYL [Beam, Wife]^
QRL |S1000 CUL [Q R L, See you later]^
HW |S1000 BEAM [How, Beam]^
XYL |S1000 DIPOLE [Wife, Dipole]^
GL |S1000 HPE [Good luck, Hope]^
SRI |S1000 HW [Sorry, How]^
XYL |S1000 BTU [Wife, Back to you]^
XYL |S1000 CPI [Wife, Copy]^
CUL |S1000 XYL [See you later, Wife]^
DX |S1000 XYL [D X, Wife]^
CUL |S1000 QRN [See you later, Noise]^
XYL |S1000 TNX [Wife, Thanks]^
BTU |S1000 XYL [Back to you, Wife]^
FB |S1000 OM [Fine business, Old man]^
XYL |S1000 BTU [Wife, Back to you]^
SRI |S1000 FB [Sorry, Fine business]^
CPI |S1000 XYL [Copy, Wife]^
QRL |S1000 QSB [Q R L, Q S B]^
XYL |S1000 SIG [Wife, Signal]^
XYL |S1000 BEAM [Wife, Beam]^
XYL |S1000 GL [Wife, Good luck]^
XYL |S1000 FB [Wife, Fine business]^
XYL |S1000 CPY [Wife, Copy]^
XYL |S1000 CPY [Wife, Copy]^
XYL |S1000 SRI [Wife, Sorry]^
CPY |S1000 SRI [Copy, Sorry]^
OM |S1000 DX [Old man, D X]^
XYL |S1000 QSB [Wife, Q S B]^
FB |S1000 BEAM [Fine business, Beam]^
XYL |S1000 OM [Wife, Old man]^
BEAM |S1000 XYL [Beam, Wife]^
OM |S1000 CPI [Old man, Copy]^
XYL |S1000 CPY [Wife, Copy]^
XYL |S1000 QSB [Wife, Q S B]^
FB |S1000 SRI [Fine business, Sorry]^
XYL |S1000 SRI [Wife, Sorry]^
XYL |S1000 QRL [Wife, Q R L]^
DIPOLE |S1000 XYL [Dipole, Wife]^
QRL |S1000 FB [Q R L, Fine business]^
BEAM |S1000 DX [Beam, D X]^
XYL |S1000 DX [Wife, D X]^
BTU |S1000 GL [Back to you, Good luck]^
XYL |S1000 CPI [Wife, Copy]^
ANT |S1000 XYL [Antenna, Wife]^
DIPOLE |S1000 XYL [Dipole, Wife]^
DX |S1000 XYL [D X, Wife]^
CPY |S1000 XYL [Copy, Wife]^
BEAM |S1000 QRL [Beam, Q R L]^
XYL |S1000 OM [Wife, Old man]^
XYL |S1000 OM [Wife, Old man]^
XYL |S1000 BEAM [Wife, Beam]^
XYL |S1000 QRN [Wife, Noise]^
XYL |S1000 FB [Wife, Fine business]^
XYL |S1000 BTU [Wife, Back to you]^
TNX |S1000 XYL [Thanks, Wife]^
HPE |S1000 CPI [Hope, Copy]^
CUL |S1000 QRL [See you later, Q R L]^
XYL |S1000 CPY [Wife, Copy]^
XYL |S1000 QRN [Wife, Noise]^
QRL |S1000 XYL [Q R L, Wife]^
CUL |S1000 XYL [See you later, Wife]^
QRN |S1000 XYL [Noise, Wife]^
QRN |S1000 GL [Noise, Good luck]^
XYL |S1000 BTU [Wife, Back to you]^
XYL |S1000 QRN [Wife, Noise]^
CUL |S1000 QSB [See you later, Q S B]^
XYL |S1000 DIPOLE [Wife, Dipole]^
SRI |S1000 XYL [Sorry, Wife]^
CPI |S1000 HPE [Copy, Hope]^
XYL |S1000 QRN [Wife, Noise]^
SRI |S1000 XYL [Sorry, Wife]^
QSB |S1000 CPI [Q S B, Copy]^
OM |S1000 XYL [Old man, Wife]^
DIPOLE |S1000 XYL [Dipole, Wife]^
QSB |S1000 XYL [Q S B, Wife]^
CPI |S1000 DX [Copy, D X]^
OM |S1000 QRL [Old man, Q R L]^
XYL |S1000 HW [Wife, How]^
QRL |S1000 SRI [Q R L, Sorry]^
XYL |S1000 CPY [Wife, Copy]^
ANT |S1000 CPY [Antenna, Copy]^
XYL |S1000 QRN [Wife, Noise]^
HW |S1000 XYL [How, Wife]^
ANT |S1000 HW [Antenna, How]^
XYL |S1000 HPE [Wife, Hope]^
XYL |S1000 GL [Wife, Good luck]^
XYL |S1000 SRI [Wife, Sorry]^
HPE |S1000 XYL [Hope, Wife]^
QRN |S1000 XYL [Noise, Wife]^
TNX |S1000 BTU [Thanks, Back to you]^
HW |S1000 TNX [How, Thanks]^
DX |S1000 QRL [D X, Q R L]^
GL |S1000 FB [Good luck, Fine business]^
XYL |S1000 TNX [Wife, Thanks]^
XYL |S1000 GL [Wife, Good luck]^
FB |S1000 OM [Fine business, Old man]^
QRL |S1000 HPE [Q R L, Hope]^
DX |S1000 XYL [D X, Wife]^
FB |S1000 XYL [Fine business, Wife]^
QRL |S1000 FB [Q R L, Fine business]^
XYL |S1000 FB [Wife, Fine business]^
SIG |S1000 XYL [Signal, Wife]^
CPI |S1000 ANT [Copy, Antenna]^
CPY |S1000 XYL [Copy, Wife]^
QRL |S1000 XYL [Q R L, Wife]^
DIPOLE |S1000 ANT [Dipole, Antenna]^
CPY |S1000 SIG [Copy, Signal]^
QRL |S1000 XYL [Q R L, Wife]^
CPY |S1000 QSB [Copy, Q S B]^
BEAM |S1000 DX [Beam, D X]^
OM |S1000 XYL [Old man, Wife]^
DX |S1000 QSB [D X, Q S B]^
SRI |S1000 CPY [Sorry, Copy]^
XYL |S1000 QRN [Wife, Noise]^
QSB |S1000 XYL [Q S B, Wife]^
CUL |S1000 TNX [See you later, Thanks]^
XYL |S1000 DX [Wife, D X]^
CPY |S1000 QSB [Copy, Q S B]^
XYL |S1000 QSB [Wife, Q S B]^
HPE |S1000 SIG [Hope, Signal]^
DIPOLE |S1000 HW [Dipole, How]^
QRL |S1000 XYL [Q R L, Wife]^
SIG |S1000 XYL [Signal, Wife]^
QRN |S1000 CUL [Noise, See you later]^
HW |S1000 XYL [How, Wife]^
TNX |S1000 QRL [Thanks, Q R L]^
XYL |S1000 FB [Wife, Fine business]^
TNX |S1000 XYL [Thanks, Wife]^
CPI |S1000 XYL [Copy, Wife]^
OM |S1000 QRN [Old man, Noise]^
HW |S1000 HPE [How, Hope]^
XYL |S1000 SRI [Wife, Sorry]^
QRL |S1000 GL [Q R L, Good luck]^
QRL |S1000 CPI [Q R L, Copy]^
XYL |S1000 CUL [Wife, See you later]^
QRN |S1000 GL [Noise, Good luck]^
XYL |S1000 OM [Wife, Old man]^
XYL |S1000 HPE [Wife, Hope]^
QRN |S1000 GL [Noise, Good luck]^
CPY |S1000 BEAM [Copy, Beam]^
HW |S1000 XYL [How, Wife]^
QSB |S1000 XYL [Q S B, Wife]^
SIG |S1000 GL [Signal, Good luck]^
XYL |S1000 SRI [Wife, Sorry]^
ANT |S1000 CUL [Antenna, See you later]^
QRL |S1000 GL [Q R L, Good luck]^
XYL |S1000 SIG [Wife, Signal]^
XYL |S1000 ANT [Wife, Antenna]^
OM |S1000 BEAM [Old man, Beam]^
DIPOLE |S1000 GL [Dipole, Good luck]^
XYL |S1000 ANT [Wife, Antenna]^
SRI |S1000 BEAM [Sorry, Beam]^
XYL |S1000 HW [Wife, How]^
XYL |S1000 QRN [Wife, Noise]^
HW |S1000 XYL [How, Wife]^
QRN |S1000 XYL [Noise, Wife]^
BEAM |S1000 SRI [Beam, Sorry]^
XYL |S1000 CPY [Wife, Copy]^
XYL |S1000 GL [Wife, Good luck]^
OM |S1000 HPE [Old man, Hope]^
XYL |S1000 QSB [Wife, Q S B]^
DX |S1000 OM [D X, Old man]^
XYL |S1000 CUL [Wife, See you later]^
DX |S1000 DIPOLE [D X, Dipole]^
XYL |S1000 BTU [Wife, Back to you]^
GL |S1000 XYL [Good luck, Wife]^
DIPOLE |S1000 OM [Dipole, Old man]^
GL |S1000 QRL [Good luck, Q R L]^
XYL |S1000 CUL [Wife, See you later]^
XYL |S1000 ANT [Wife, Antenna]^
BEAM |S1000 CPY [Beam, Copy]^
QRL |S1000 QRN [Q R L, Noise]^
XYL |S1000 BEAM [Wife, Beam]^
CUL |S1000 OM [See you later, Old man]^
XYL |S1000 CUL [Wife, See you later]^
XYL |S1000 GL [Wife, Good luck]^
CPY |S1000 GL [Copy, Good luck]^
XYL |S1000 DX [Wife, D X]^
QRL |S1000 XYL [Q R L, Wife]^
GL |S1000 FB [Good luck, Fine business]^
QRN |S1000 XYL [Noise, Wife]^
CPY |S1000 QRN [Copy, Noise]^
QRL |S1000 XYL [Q R L, Wife]^
FB |S1000 CPI [Fine business, Copy]^
TNX |S1000 XYL [Thanks, Wife]^
CPI |S1000 XYL [Copy, Wife]^
OM |S1000 FB [Old man, Fine business]^
CPI |S1000 HPE [Copy, Hope]^
XYL |S1000 QRL [Wife, Q R L]^
FB |S1000 GL [Fine business, Good luck]^
QRL |S1000 XYL [Q R L, Wife]^
TNX |S1000 GL [Thanks, Good luck]^
XYL |S1000 CUL [Wife, See you later]^
SRI |S1000 CPY [Sorry, Copy]^
HW |S1000 XYL [How, Wife]^
BTU |S1000 CPY [Back to you, Copy]^
XYL |S1000 CPY [Wife, Copy]^
BEAM |S1000 QRN [Beam, Noise]^
CPI |S1000 XYL [Copy, Wife]^
CUL |S1000 XYL [See you later, Wife]^
CUL |S1000 XYL [See you later, Wife]^
TNX |S1000 XYL [Thanks, Wife]^
QSB |S1000 QRL [Q S B, Q R L]^
DIPOLE |S1000 XYL [Dipole, Wife]^
FB |S1000 XYL [Fine business, Wife]^
BEAM |S1000 XYL [Beam, Wife]^
QRL |S1000 XYL [Q R L, Wife]^
ANT |S1000 CUL [Antenna, See you later]^
BEAM |S1000 QRN [Beam, Noise]^
XYL |S1000 OM [Wife, Old man]^
XYL |S1000 QSB [Wife, Q S B]^
XYL |S1000 DIPOLE [Wife, Dipole]^
XYL |S1000 DIPOLE [Wife, Dipole]^
SIG |S1000 XYL [Signal, Wife]^
SRI |S1000 XYL [Sorry, Wife]^
QSB |S1000 CPY [Q S B, Copy]^
XYL |S1000 OM [Wife, Old man]^
XYL |S1000 CPY [Wife, Copy]^
XYL |S1000 HW [Wife, How]^
XYL |S1000 HPE [Wife, Hope]^
FB |S1000 BTU [Fine business, Back to you]^
GL |S1000 XYL [Good luck, Wife]^
TNX |S1000 XYL [Thanks, Wife]^
BEAM |S1000 SRI [Beam, Sorry]^
XYL |S1000 OM [Wife, Old man]^
XYL |S1000 FB [Wife, Fine business]^
XYL |S1000 BEAM [Wife, Beam]^
CPY |S1000 SIG [Copy, Signal]^
XYL |S1000 QSB [Wife, Q S B]^
XYL |S1000 HW [Wife, How]^
XYL |S1000 QRN [Wife, Noise]^
HW |S1000 TNX [How, Thanks]^
XYL |S1000 BEAM [Wife, Beam]^
XYL |S1000 BEAM [Wife, Beam]^
SRI |S1000 XYL [Sorry, Wife]^
QSB |S1000 BEAM [Q S B, Beam]^
XYL |S1000 CPI [Wife, Copy]^
XYL |S1000 BTU [Wife, Back to you]^
DIPOLE |S1000 SIG [Dipole, Signal]^
HW |S1000 DIPOLE [How, Dipole]^
CPI |S1000 XYL [Copy, Wife]^
TNX |S1000 BEAM [Thanks, Beam]^
HW |S1000 QRL [How, Q R L]^
CPY |S1000 XYL [Copy, Wife]^
SIG |S1000 DIPOLE [Signal, Dipole]^
DX |S1000 HPE [D X, Hope]^
XYL |S1000 TNX [Wife, Thanks]^
BTU |S1000 BEAM [Back to you, Beam]^
XYL |S1000 BTU [Wife, Back to you]^
FB |S1000 BTU [Fine business, Back to you]^
DIPOLE |S1000 GL [Dipole, Good luck]^
XYL |S1000 CUL [Wife, See you later]^
XYL |S1000 DX [Wife, D X]^
XYL |S1000 BTU [Wife, Back to you]^
XYL |S1000 HW [Wife, How]^
XYL |S1000 BEAM [Wife, Beam]^
QRN |S1000 XYL [Noise, Wife]^
GL |S1000 XYL [Good luck, Wife]^
CPY |S1000 SRI [Copy, Sorry]^
DX |S1000 OM [D X, Old man]^
SIG |S1000 ANT [Signal, Antenna]^
DIPOLE |S1000 QRN [Dipole, Noise]^
CPI |S1000 QRN [Copy, Noise]^
GL |S1000 QRN [Good luck, Noise]^
CUL |S1000 DIPOLE [See you later, Dipole]^
XYL |S1000 BTU [Wife, Back to you]^
XYL |S1000 HPE [Wife, Hope]^
FB |S1000 XYL [Fine business, Wife]^
DIPOLE |S1000 QRL [Dipole, Q R L]^
XYL |S1000 CPY [Wife, Copy]^
XYL |S1000 HW [Wife, How]^
ANT |S1000 XYL [Antenna, Wife]^
FB |S1000 TNX [Fine business, Thanks]^
CUL |S1000 QSB [See you later, Q S B]^
SIG |S1000 QRN [Signal, Noise]^
XYL |S1000 CPY [Wife, Copy]^
HPE |S1000 CUL [Hope, See you later]^
BEAM |S1000 DIPOLE [Beam, Dipole]^
CUL |S1000 DIPOLE [See you later, Dipole]^
XYL |S1000 HW [Wife, How]^
HPE |S1000 CUL [Hope, See you later]^
XYL |S1000 SRI [Wife, Sorry]^
XYL |S1000 HW [Wife, How]^
XYL |S1000 SRI [Wife, Sorry]^
ANT |S1000 XYL [Antenna, Wife]^
OM |S1000 XYL [Old man, Wife]^
SRI |S1000 XYL [Sorry, Wife]^
BEAM |S1000 XYL [Beam, Wife]^
CUL |S1000 DX [See you later, D X]^
XYL |S1000 TNX [Wife, Thanks]^
XYL |S1000 CPY [Wife, Copy]^
DIPOLE |S1000 QRN [Dipole, Noise]^
QSB |S1000 BEAM [Q S B, Beam]^
FB |S1000 DX [Fine business, D X]^
CUL |S1000 CPI [See you later, Copy]^
XYL |S1000 QRN [Wife, Noise]^
HW |S1000 XYL [How, Wife]^
HW |S1000 CPY [How, Copy]^
XYL |S1000 GL [Wife, Good luck]^
CPI |S1000 CUL [Copy, See you later]^
XYL |S1000 QRL [Wife, Q R L]^
CPY |S1000 CPI [Copy, Copy]^
BEAM |S1000 SIG [Beam, Signal]^
CUL |S1000 HPE [See you later, Hope]^
QRN |S1000 XYL [Noise, Wife]^
QSB |S1000 OM [Q S B, Old man]^
BTU |S1000 BEAM [Back to you, Beam]^
ANT |S1000 BTU [Antenna, Back to you]^
SIG |S1000 QSB [Signal, Q S B]^
DIPOLE |S1000 XYL [Dipole, Wife]^
