579 |S1000 CW [5 7 9, C W]^
589 |S1000 GB [5 8 9, Goodbye]^
NW |S1000 589 [Now, 5 8 9]^
88 |S1000 SWR [88, S W R]^
589 |S1000 WIRE [5 8 9, Wire]^
GD |S1000 1TT [Good, 100]^
589 |S1000 WATT [5 8 9, Watt]^
OCF |S1000 589 [Off-center fed dipole, 5 8 9]^
SSB |S1000 589 [Single Side Band, 5 8 9]^
NW |S1000 GN [Now, Good night]^
WIRE |S1000 589 [Wire, 5 8 9]^
72 |S1000 1TT [72, 100]^
589 |S1000 OCF [5 8 9, Off-center fed dipole]^
SWR |S1000 589 [S W R, 5 8 9]^
LOOP |S1000 589 [Loop, 5 8 9]^
479 |S1000 72 [4 7 9, 72]^
589 |S1000 SWR [5 8 9, S W R]^
479 |S1000 359 [4 7 9, 3 5 9]^
72 |S1000 479 [72, 4 7 9]^
589 |S1000 CW [5 8 9, C W]^
589 |S1000 WATT [5 8 9, Watt]^
589 |S1000 479 [5 8 9, 4 7 9]^
GN |S1000 589 [Good night, 5 8 9]^
INFO |S1000 589 [Information, 5 8 9]^
1TT |S1000 589 [100, 5 8 9]^
GN |S1000 OCF [Good night, Off-center fed dipole]^
SWR |S1000 WATT [S W R, Watt]^
579 |S1000 359 [5 7 9, 3 5 9]^
589 |S1000 72 [5 8 9, 72]^
NW |S1000 INFO [Now, Information]^
589 |S1000 NW [5 8 9, Now]^
88 |S1000 589 [88, 5 8 9]^
GB |S1000 CW [Goodbye, C W]^
OCF |S1000 GN [Off-center fed dipole, Good night]^
88 |S1000 GB [88, Goodbye]^
589 |S1000 OCF [5 8 9, Off-center fed dipole]^
1TT |S1000 LOOP [100, Loop]^
GB |S1000 589 [Goodbye, 5 8 9]^
479 |S1000 589 [4 7 9, 5 8 9]^
72 |S1000 589 [72, 5 8 9]^
579 |S1000 GD [5 7 9, Good]^
WIRE |S1000 589 [Wire, 5 8 9]^
88 |S1000 INFO [88, Information]^
WATT |S1000 589 [Watt, 5 8 9]^
579 |S1000 589 [5 7 9, 5 8 9]^
GD |S1000 INFO [Good, Information]^
589 |S1000 WIRE [5 8 9, Wire]^
489 |S1000 LOOP [4 8 9, Loop]^
WATT |S1000 489 [Watt, 4 8 9]^
589 |S1000 LOOP [5 8 9, Loop]^
72 |S1000 589 [72, 5 8 9]^
489 |S1000 72 [4 8 9, 72]^
589 |S1000 72 [5 8 9, 72]^
589 |S1000 WIRE [5 8 9, Wire]^
589 |S1000 479 [5 8 9, 4 7 9]^
579 |S1000 WATT [5 7 9, Watt]^
LOOP |S1000 GD [Loop, Good]^
589 |S1000 88 [5 8 9, 88]^
589 |S1000 WATT [5 8 9, Watt]^
589 |S1000 479 [5 8 9, 4 7 9]^
589 |S1000 88 [5 8 9, 88]^
589 |S1000 NW [5 8 9, Now]^
589 |S1000 72 [5 8 9, 72]^
589 |S1000 INFO [5 8 9, Information]^
589 |S1000 NW [5 8 9, Now]^
589 |S1000 479 [5 8 9, 4 7 9]^
GB |S1000 589 [Goodbye, 5 8 9]^
SWR |S1000 579 [S W R, 5 7 9]^
589 |S1000 NW [5 8 9, Now]^
GD |S1000 489 [Good, 4 8 9]^
GD |S1000 1TT [Good, 100]^
OCF |S1000 GN [Off-center fed dipole, Good night]^
SWR |S1000 589 [S W R, 5 8 9]^
NW |S1000 589 [Now, 5 8 9]^
SWR |S1000 CW [S W R, C W]^
OCF |S1000 589 [Off-center fed dipole, 5 8 9]^
LOOP |S1000 SSB [Loop, Single Side Band]^
589 |S1000 SSB [5 8 9, Single Side Band]^
INFO |S1000 589 [Information, 5 8 9]^
SWR |S1000 NW [S W R, Now]^
479 |S1000 589 [4 7 9, 5 8 9]^
1TT |S1000 589 [100, 5 8 9]^
359 |S1000 72 [3 5 9, 72]^
1TT |S1000 589 [100, 5 8 9]^
1TT |S1000 CW [100, C W]^
SSB |S1000 NW [Single Side Band, Now]^
1TT |S1000 589 [100, 5 8 9]^
479 |S1000 589 [4 7 9, 5 8 9]^
88 |S1000 589 [88, 5 8 9]^
GD |S1000 589 [Good, 5 8 9]^
LOOP |S1000 589 [Loop, 5 8 9]^
479 |S1000 589 [4 7 9, 5 8 9]^
88 |S1000 589 [88, 5 8 9]^
SWR |S1000 72 [S W R, 72]^
GN |S1000 589 [Good night, 5 8 9]^
72 |S1000 INFO [72, Information]^
589 |S1000 359 [5 8 9, 3 5 9]^
NW |S1000 WIRE [Now, Wire]^
72 |S1000 589 [72, 5 8 9]^
CW |S1000 589 [C W, 5 8 9]^
SSB |S1000 OCF [Single Side Band, Off-center fed dipole]^
589 |S1000 WIRE [5 8 9, Wire]^
589 |S1000 NW [5 8 9, Now]^
589 |S1000 INFO [5 8 9, Information]^
579 |S1000 589 [5 7 9, 5 8 9]^
SSB |S1000 INFO [Single Side Band, Information]^
88 |S1000 589 [88, 5 8 9]^
WATT |S1000 GN [Watt, Good night]^
WATT |S1000 SWR [Watt, S W R]^
589 |S1000 489 [5 8 9, 4 8 9]^
589 |S1000 INFO [5 8 9, Information]^
72 |S1000 489 [72, 4 8 9]^
GD |S1000 589 [Good, 5 8 9]^
INFO |S1000 LOOP [Information, Loop]^
589 |S1000 SWR [5 8 9, S W R]^
589 |S1000 479 [5 8 9, 4 7 9]^
589 |S1000 OCF [5 8 9, Off-center fed dipole]^
GD |S1000 589 [Good, 5 8 9]^
489 |S1000 SWR [4 8 9, S W R]^
1TT |S1000 589 [100, 5 8 9]^
359 |S1000 NW [3 5 9, Now]^
589 |S1000 GB [5 8 9, Goodbye]^
88 |S1000 589 [88, 5 8 9]^
489 |S1000 359 [4 8 9, 3 5 9]^
CW |S1000 1TT [C W, 100]^
GN |S1000 88 [Good night, 88]^
589 |S1000 489 [5 8 9, 4 8 9]^
INFO |S1000 589 [Information, 5 8 9]^
72 |S1000 359 [72, 3 5 9]^
SWR |S1000 589 [S W R, 5 8 9]^
359 |S1000 589 [3 5 9, 5 8 9]^
SWR |S1000 489 [S W R, 4 8 9]^
579 |S1000 479 [5 7 9, 4 7 9]^
589 |S1000 SSB [5 8 9, Single Side Band]^
589 |S1000 WIRE [5 8 9, Wire]^
SWR |S1000 CW [S W R, C W]^
589 |S1000 579 [5 8 9, 5 7 9]^
589 |S1000 NW [5 8 9, Now]^
589 |S1000 359 [5 8 9, 3 5 9]^
NW |S1000 1TT [Now, 100]^
479 |S1000 NW [4 7 9, Now]^
589 |S1000 489 [5 8 9, 4 8 9]^
WIRE |S1000 88 [Wire, 88]^
589 |S1000 489 [5 8 9, 4 8 9]^
SSB |S1000 589 [Single Side Band, 5 8 9]^
SSB |S1000 589 [Single Side Band, 5 8 9]^
359 |S1000 WATT [3 5 9, Watt]^
359 |S1000 NW [3 5 9, Now]^
359 |S1000 88 [3 5 9, 88]^
479 |S1000 SSB [4 7 9, Single Side Band]^
WIRE |S1000 589 [Wire, 5 8 9]^
GB |S1000 SWR [Goodbye, S W R]^
OCF |S1000 LOOP [Off-center fed dipole, Loop]^
CW |S1000 LOOP [C W, Loop]^
INFO |S1000 589 [Information, 5 8 9]^
359 |S1000 489 [3 5 9, 4 8 9]^
589 |S1000 SSB [5 8 9, Single Side Band]^
589 |S1000 72 [5 8 9, 72]^
589 |S1000 LOOP [5 8 9, Loop]^
479 |S1000 589 [4 7 9, 5 8 9]^
88 |S1000 359 [88, 3 5 9]^
72 |S1000 OCF [72, Off-center fed dipole]^
88 |S1000 359 [88, 3 5 9]^
INFO |S1000 LOOP [Information, Loop]^
589 |S1000 489 [5 8 9, 4 8 9]^
589 |S1000 GB [5 8 9, Goodbye]^
589 |S1000 SWR [5 8 9, S W R]^
88 |S1000 589 [88, 5 8 9]^
OCF |S1000 GN [Off-center fed dipole, Good night]^
589 |S1000 479 [5 8 9, 4 7 9]^
589 |S1000 SSB [5 8 9, Single Side Band]^
OCF |S1000 88 [Off-center fed dipole, 88]^
OCF |S1000 INFO [Off-center fed dipole, Information]^
GB |S1000 359 [Goodbye, 3 5 9]^
589 |S1000 LOOP [5 8 9, Loop]^
589 |S1000 SWR [5 8 9, S W R]^
GN |S1000 589 [Good night, 5 8 9]^
WATT |S1000 589 [Watt, 5 8 9]^
CW |S1000 589 [C W, 5 8 9]^
WATT |S1000 489 [Watt, 4 8 9]^
GN |S1000 579 [Good night, 5 7 9]^
GN |S1000 WIRE [Good night, Wire]^
GD |S1000 589 [Good, 5 8 9]^
489 |S1000 589 [4 8 9, 5 8 9]^
NW |S1000 589 [Now, 5 8 9]^
SWR |S1000 589 [S W R, 5 8 9]^
INFO |S1000 GD [Information, Good]^
SSB |S1000 CW [Single Side Band, C W]^
GN |S1000 1TT [Good night, 100]^
589 |S1000 1TT [5 8 9, 100]^
589 |S1000 88 [5 8 9, 88]^
GD |S1000 589 [Good, 5 8 9]^
GB |S1000 GN [Goodbye, Good night]^
359 |S1000 GN [3 5 9, Good night]^
589 |S1000 SSB [5 8 9, Single Side Band]^
SWR |S1000 GN [S W R, Good night]^
WIRE |S1000 589 [Wire, 5 8 9]^
GD |S1000 OCF [Good, Off-center fed dipole]^
589 |S1000 479 [5 8 9, 4 7 9]^
72 |S1000 1TT [72, 100]^
NW |S1000 589 [Now, 5 8 9]^
GD |S1000 359 [Good, 3 5 9]^
589 |S1000 GB [5 8 9, Goodbye]^
589 |S1000 GN [5 8 9, Good night]^
72 |S1000 GD [72, Good]^
589 |S1000 CW [5 8 9, C W]^
589 |S1000 GB [5 8 9, Goodbye]^
589 |S1000 479 [5 8 9, 4 7 9]^
589 |S1000 CW [5 8 9, C W]^
589 |S1000 72 [5 8 9, 72]^
GB |S1000 589 [Goodbye, 5 8 9]^
GB |S1000 479 [Goodbye, 4 7 9]^
589 |S1000 88 [5 8 9, 88]^
589 |S1000 1TT [5 8 9, 100]^
SWR |S1000 88 [S W R, 88]^
589 |S1000 1TT [5 8 9, 100]^
OCF |S1000 589 [Off-center fed dipole, 5 8 9]^
72 |S1000 359 [72, 3 5 9]^
1TT |S1000 489 [100, 4 8 9]^
SWR |S1000 WATT [S W R, Watt]^
OCF |S1000 579 [Off-center fed dipole, 5 7 9]^
WATT |S1000 589 [Watt, 5 8 9]^
1TT |S1000 WATT [100, Watt]^
GD |S1000 LOOP [Good, Loop]^
NW |S1000 579 [Now, 5 7 9]^
489 |S1000 LOOP [4 8 9, Loop]^
579 |S1000 WIRE [5 7 9, Wire]^
GN |S1000 589 [Good night, 5 8 9]^
359 |S1000 579 [3 5 9, 5 7 9]^
589 |S1000 479 [5 8 9, 4 7 9]^
GB |S1000 GD [Goodbye, Good]^
GN |S1000 GB [Good night, Goodbye]^
589 |S1000 88 [5 8 9, 88]^
OCF |S1000 SSB [Off-center fed dipole, Single Side Band]^
WIRE |S1000 589 [Wire, 5 8 9]^
INFO |S1000 NW [Information, Now]^
489 |S1000 OCF [4 8 9, Off-center fed dipole]^
WIRE |S1000 72 [Wire, 72]^
LOOP |S1000 INFO [Loop, Information]^
589 |S1000 GB [5 8 9, Goodbye]^
589 |S1000 LOOP [5 8 9, Loop]^
NW |S1000 589 [Now, 5 8 9]^
489 |S1000 88 [4 8 9, 88]^
589 |S1000 479 [5 8 9, 4 7 9]^
LOOP |S1000 589 [Loop, 5 8 9]^
489 |S1000 1TT [4 8 9, 100]^
589 |S1000 359 [5 8 9, 3 5 9]^
72 |S1000 NW [72, Now]^
589 |S1000 479 [5 8 9, 4 7 9]^
CW |S1000 589 [C W, 5 8 9]^
GD |S1000 589 [Good, 5 8 9]^
489 |S1000 1TT [4 8 9, 100]^
589 |S1000 88 [5 8 9, 88]^
589 |S1000 88 [5 8 9, 88]^
589 |S1000 WIRE [5 8 9, Wire]^
589 |S1000 88 [5 8 9, 88]^
589 |S1000 OCF [5 8 9, Off-center fed dipole]^
589 |S1000 WATT [5 8 9, Watt]^
479 |S1000 LOOP [4 7 9, Loop]^
NW |S1000 SWR [Now, S W R]^
589 |S1000 WIRE [5 8 9, Wire]^
359 |S1000 72 [3 5 9, 72]^
CW |S1000 589 [C W, 5 8 9]^
SWR |S1000 1TT [S W R, 100]^
72 |S1000 589 [72, 5 8 9]^
GD |S1000 359 [Good, 3 5 9]^
589 |S1000 SWR [5 8 9, S W R]^
WIRE |S1000 SWR [Wire, S W R]^
589 |S1000 359 [5 8 9, 3 5 9]^
479 |S1000 589 [4 7 9, 5 8 9]^
479 |S1000 WATT [4 7 9, Watt]^
CW |S1000 589 [C W, 5 8 9]^
LOOP |S1000 589 [Loop, 5 8 9]^
359 |S1000 589 [3 5 9, 5 8 9]^
INFO |S1000 OCF [Information, Off-center fed dipole]^
72 |S1000 589 [72, 5 8 9]^
WIRE |S1000 589 [Wire, 5 8 9]^
SSB |S1000 589 [Single Side Band, 5 8 9]^
88 |S1000 1TT [88, 100]^
589 |S1000 72 [5 8 9, 72]^
WATT |S1000 GB [Watt, Goodbye]^
WATT |S1000 589 [Watt, 5 8 9]^
WIRE |S1000 359 [Wire, 3 5 9]^
589 |S1000 1TT [5 8 9, 100]^
589 |S1000 579 [5 8 9, 5 7 9]^
589 |S1000 479 [5 8 9, 4 7 9]^
589 |S1000 1TT [5 8 9, 100]^
CW |S1000 589 [C W, 5 8 9]^
579 |S1000 589 [5 7 9, 5 8 9]^
OCF |S1000 SWR [Off-center fed dipole, S W R]^
LOOP |S1000 GD [Loop, Good]^
589 |S1000 GB [5 8 9, Goodbye]^
WATT |S1000 88 [Watt, 88]^
NW |S1000 GD [Now, Good]^
579 |S1000 589 [5 7 9, 5 8 9]^
GB |S1000 579 [Goodbye, 5 7 9]^
LOOP |S1000 579 [Loop, 5 7 9]^
589 |S1000 72 [5 8 9, 72]^
589 |S1000 NW [5 8 9, Now]^
SSB |S1000 589 [Single Side Band, 5 8 9]^
SWR |S1000 589 [S W R, 5 8 9]^
INFO |S1000 589 [Information, 5 8 9]^
CW |S1000 GN [C W, Good night]^
589 |S1000 359 [5 8 9, 3 5 9]^
579 |S1000 OCF [5 7 9, Off-center fed dipole]^
INFO |S1000 589 [Information, 5 8 9]^
WIRE |S1000 1TT [Wire, 100]^
GD |S1000 589 [Good, 5 8 9]^
GN |S1000 589 [Good night, 5 8 9]^
1TT |S1000 479 [100, 4 7 9]^
SWR |S1000 589 [S W R, 5 8 9]^
479 |S1000 589 [4 7 9, 5 8 9]^
GN |S1000 72 [Good night, 72]^
579 |S1000 479 [5 7 9, 4 7 9]^
589 |S1000 72 [5 8 9, 72]^
589 |S1000 SWR [5 8 9, S W R]^
1TT |S1000 479 [100, 4 7 9]^
WATT |S1000 NW [Watt, Now]^
489 |S1000 589 [4 8 9, 5 8 9]^
GB |S1000 NW [Goodbye, Now]^
88 |S1000 LOOP [88, Loop]^
359 |S1000 GB [3 5 9, Goodbye]^
589 |S1000 SWR [5 8 9, S W R]^
589 |S1000 479 [5 8 9, 4 7 9]^
GB |S1000 GN [Goodbye, Good night]^
OCF |S1000 GN [Off-center fed dipole, Good night]^
NW |S1000 589 [Now, 5 8 9]^
LOOP |S1000 SWR [Loop, S W R]^
CW |S1000 SWR [C W, S W R]^
589 |S1000 489 [5 8 9, 4 8 9]^
589 |S1000 SSB [5 8 9, Single Side Band]^
WIRE |S1000 589 [Wire, 5 8 9]^
OCF |S1000 GN [Off-center fed dipole, Good night]^
LOOP |S1000 589 [Loop, 5 8 9]^
579 |S1000 OCF [5 7 9, Off-center fed dipole]^
589 |S1000 GD [5 8 9, Good]^
589 |S1000 SSB [5 8 9, Single Side Band]^
WATT |S1000 589 [Watt, 5 8 9]^
WATT |S1000 NW [Watt, Now]^
88 |S1000 WATT [88, Watt]^
NW |S1000 WATT [Now, Watt]^
589 |S1000 LOOP [5 8 9, Loop]^
359 |S1000 LOOP [3 5 9, Loop]^
589 |S1000 NW [5 8 9, Now]^
589 |S1000 1TT [5 8 9, 100]^
589 |S1000 579 [5 8 9, 5 7 9]^
589 |S1000 359 [5 8 9, 3 5 9]^
GD |S1000 359 [Good, 3 5 9]^
589 |S1000 GN [5 8 9, Good night]^
NW |S1000 579 [Now, 5 7 9]^
479 |S1000 72 [4 7 9, 72]^
589 |S1000 1TT [5 8 9, 100]^
GN |S1000 589 [Good night, 5 8 9]^
579 |S1000 GD [5 7 9, Good]^
1TT |S1000 NW [100, Now]^
359 |S1000 1TT [3 5 9, 100]^
579 |S1000 589 [5 7 9, 5 8 9]^
579 |S1000 589 [5 7 9, 5 8 9]^
LOOP |S1000 589 [Loop, 5 8 9]^
CW |S1000 489 [C W, 4 8 9]^
589 |S1000 SSB [5 8 9, Single Side Band]^
589 |S1000 359 [5 8 9, 3 5 9]^
479 |S1000 CW [4 7 9, C W]^
359 |S1000 88 [3 5 9, 88]^
GD |S1000 479 [Good, 4 7 9]^
OCF |S1000 72 [Off-center fed dipole, 72]^
479 |S1000 489 [4 7 9, 4 8 9]^
GD |S1000 589 [Good, 5 8 9]^
88 |S1000 GD [88, Good]^
LOOP |S1000 1TT [Loop, 100]^
589 |S1000 INFO [5 8 9, Information]^
589 |S1000 WATT [5 8 9, Watt]^
479 |S1000 CW [4 7 9, C W]^
589 |S1000 489 [5 8 9, 4 8 9]^
579 |S1000 OCF [5 7 9, Off-center fed dipole]^
589 |S1000 579 [5 8 9, 5 7 9]^
589 |S1000 NW [5 8 9, Now]^
479 |S1000 489 [4 7 9, 4 8 9]^
SSB |S1000 NW [Single Side Band, Now]^
359 |S1000 589 [3 5 9, 5 8 9]^
GD |S1000 SSB [Good, Single Side Band]^
SWR |S1000 GB [S W R, Goodbye]^
OCF |S1000 589 [Off-center fed dipole, 5 8 9]^
WIRE |S1000 579 [Wire, 5 7 9]^
LOOP |S1000 72 [Loop, 72]^
589 |S1000 OCF [5 8 9, Off-center fed dipole]^
589 |S1000 GN [5 8 9, Good night]^
NW |S1000 88 [Now, 88]^
589 |S1000 LOOP [5 8 9, Loop]^
589 |S1000 WATT [5 8 9, Watt]^
1TT |S1000 INFO [100, Information]^
589 |S1000 SSB [5 8 9, Single Side Band]^
479 |S1000 INFO [4 7 9, Information]^
72 |S1000 589 [72, 5 8 9]^
479 |S1000 589 [4 7 9, 5 8 9]^
SSB |S1000 589 [Single Side Band, 5 8 9]^
WIRE |S1000 589 [Wire, 5 8 9]^
359 |S1000 589 [3 5 9, 5 8 9]^
489 |S1000 589 [4 8 9, 5 8 9]^
479 |S1000 SSB [4 7 9, Single Side Band]^
589 |S1000 SWR [5 8 9, S W R]^
589 |S1000 SWR [5 8 9, S W R]^
OCF |S1000 589 [Off-center fed dipole, 5 8 9]^
GB |S1000 SSB [Goodbye, Single Side Band]^
72 |S1000 GN [72, Good night]^
589 |S1000 WIRE [5 8 9, Wire]^
INFO |S1000 479 [Information, 4 7 9]^
589 |S1000 WATT [5 8 9, Watt]^
CW |S1000 589 [C W, 5 8 9]^
NW |S1000 CW [Now, C W]^
579 |S1000 WIRE [5 7 9, Wire]^
OCF |S1000 CW [Off-center fed dipole, C W]^
72 |S1000 SWR [72, S W R]^
479 |S1000 589 [4 7 9, 5 8 9]^
579 |S1000 CW [5 7 9, C W]^
589 |S1000 WATT [5 8 9, Watt]^
589 |S1000 489 [5 8 9, 4 8 9]^
589 |S1000 88 [5 8 9, 88]^
589 |S1000 359 [5 8 9, 3 5 9]^
589 |S1000 INFO [5 8 9, Information]^
WATT |S1000 589 [Watt, 5 8 9]^
INFO |S1000 GN [Information, Good night]^
WATT |S1000 CW [Watt, C W]^
NW |S1000 589 [Now, 5 8 9]^
INFO |S1000 489 [Information, 4 8 9]^
589 |S1000 359 [5 8 9, 3 5 9]^
NW |S1000 589 [Now, 5 8 9]^
359 |S1000 OCF [3 5 9, Off-center fed dipole]^
1TT |S1000 589 [100, 5 8 9]^
72 |S1000 SWR [72, S W R]^
589 |S1000 SWR [5 8 9, S W R]^
589 |S1000 OCF [5 8 9, Off-center fed dipole]^
589 |S1000 OCF [5 8 9, Off-center fed dipole]^
589 |S1000 NW [5 8 9, Now]^
SSB |S1000 579 [Single Side Band, 5 7 9]^
489 |S1000 SSB [4 8 9, Single Side Band]^
SWR |S1000 589 [S W R, 5 8 9]^
479 |S1000 CW [4 7 9, C W]^
LOOP |S1000 589 [Loop, 5 8 9]^
489 |S1000 589 [4 8 9, 5 8 9]^
72 |S1000 88 [72, 88]^
589 |S1000 OCF [5 8 9, Off-center fed dipole]^
CW |S1000 1TT [C W, 100]^
72 |S1000 NW [72, Now]^
589 |S1000 579 [5 8 9, 5 7 9]^
589 |S1000 489 [5 8 9, 4 8 9]^
SSB |S1000 589 [Single Side Band, 5 8 9]^
NW |S1000 589 [Now, 5 8 9]^
NW |S1000 GD [Now, Good]^
589 |S1000 LOOP [5 8 9, Loop]^
1TT |S1000 579 [100, 5 7 9]^
589 |S1000 SWR [5 8 9, S W R]^
589 |S1000 LOOP [5 8 9, Loop]^
589 |S1000 88 [5 8 9, 88]^
589 |S1000 88 [5 8 9, 88]^
589 |S1000 489 [5 8 9, 4 8 9]^
359 |S1000 NW [3 5 9, Now]^
589 |S1000 88 [5 8 9, 88]^
589 |S1000 GD [5 8 9, Good]^
SSB |S1000 589 [Single Side Band, 5 8 9]^
WATT |S1000 OCF [Watt, Off-center fed dipole]^
589 |S1000 SSB [5 8 9, Single Side Band]^
GB |S1000 589 [Goodbye, 5 8 9]^
INFO |S1000 589 [Information, 5 8 9]^
GN |S1000 589 [Good night, 5 8 9]^
NW |S1000 589 [Now, 5 8 9]^
72 |S1000 489 [72, 4 8 9]^
WIRE |S1000 589 [Wire, 5 8 9]^
489 |S1000 WIRE [4 8 9, Wire]^
LOOP |S1000 SWR [Loop, S W R]^
589 |S1000 479 [5 8 9, 4 7 9]^
489 |S1000 589 [4 8 9, 5 8 9]^
GB |S1000 LOOP [Goodbye, Loop]^
489 |S1000 589 [4 8 9, 5 8 9]^
489 |S1000 72 [4 8 9, 72]^
589 |S1000 1TT [5 8 9, 100]^
589 |S1000 NW [5 8 9, Now]^
INFO |S1000 589 [Information, 5 8 9]^
479 |S1000 CW [4 7 9, C W]^
1TT |S1000 GB [100, Goodbye]^
88 |S1000 NW [88, Now]^
OCF |S1000 479 [Off-center fed dipole, 4 7 9]^
589 |S1000 72 [5 8 9, 72]^
589 |S1000 88 [5 8 9, 88]^
589 |S1000 88 [5 8 9, 88]^
OCF |S1000 359 [Off-center fed dipole, 3 5 9]^
589 |S1000 72 [5 8 9, 72]^
359 |S1000 589 [3 5 9, 5 8 9]^
88 |S1000 589 [88, 5 8 9]^
WIRE |S1000 589 [Wire, 5 8 9]^
CW |S1000 589 [C W, 5 8 9]^
479 |S1000 WATT [4 7 9, Watt]^
489 |S1000 589 [4 8 9, 5 8 9]^
GN |S1000 1TT [Good night, 100]^
GD |S1000 589 [Good, 5 8 9]^
SSB |S1000 WIRE [Single Side Band, Wire]^
589 |S1000 INFO [5 8 9, Information]^
589 |S1000 1TT [5 8 9, 100]^
GB |S1000 479 [Goodbye, 4 7 9]^
589 |S1000 WATT [5 8 9, Watt]^
579 |S1000 589 [5 7 9, 5 8 9]^
OCF |S1000 GN [Off-center fed dipole, Good night]^
589 |S1000 72 [5 8 9, 72]^
589 |S1000 GB [5 8 9, Goodbye]^
88 |S1000 589 [88, 5 8 9]^
SWR |S1000 589 [S W R, 5 8 9]^
SSB |S1000 589 [Single Side Band, 5 8 9]^
NW |S1000 CW [Now, C W]^
359 |S1000 LOOP [3 5 9, Loop]^
88 |S1000 NW [88, Now]^
589 |S1000 WIRE [5 8 9, Wire]^
589 |S1000 WATT [5 8 9, Watt]^
589 |S1000 GD [5 8 9, Good]^
GN |S1000 359 [Good night, 3 5 9]^
589 |S1000 NW [5 8 9, Now]^
LOOP |S1000 WIRE [Loop, Wire]^
SWR |S1000 NW [S W R, Now]^
589 |S1000 GD [5 8 9, Good]^
359 |S1000 589 [3 5 9, 5 8 9]^
NW |S1000 LOOP [Now, Loop]^
589 |S1000 OCF [5 8 9, Off-center fed dipole]^
589 |S1000 GD [5 8 9, Good]^
WATT |S1000 WIRE [Watt, Wire]^
589 |S1000 OCF [5 8 9, Off-center fed dipole]^
INFO |S1000 GD [Information, Good]^
WIRE |S1000 589 [Wire, 5 8 9]^
