QRZ |S1000 SIG [Q R Zed, Signal]^
ABT |S1000 599 [About, 5 9 9]^
ES |S1000 QRM [And, Interference]^
RST |S1000 VY [R S T, Very]^
CUL |S1000 UP [See you later, Up]^
TEST |S1000 QRN [Contest, Noise]^
ABT |S1000 XYL [About, Wife]^
GA |S1000 QTH [Good afternoon, Q T H]^
TU |S1000 QTH [Thank you, Q T H]^
GL |S1000 QRZ [Good luck, Q R Zed]^
GE |S1000 FER [Good evening, For]^
SRI |S1000 HV [Sorry, Have]^
CQ |S1000 UR [C Q, Your]^
PWR |S1000 TU [Power, Thank you]^
TNX |S1000 HPE [Thanks, Hope]^
WX |S1000 ES [Weather, And]^
CPY |S1000 QTH [Copy, Q T H]^
ABT |S1000 GE [About, Good evening]^
HV |S1000 UP [Have, Up]^
559 |S1000 SIG [5 5 9, Signal]^
WX |S1000 DE [Weather, From]^
GE |S1000 NAME [Good evening, Name]^
QRL |S1000 SIG [Q R L, Signal]^
GL |S1000 WX [Good luck, Weather]^
QRM |S1000 QTH [Interference, Q T H]^
FER |S1000 73 [For, 73]^
GA |S1000 CPI [Good afternoon, Copy]^
QTH |S1000 DIPOLE [Q T H, Dipole]^
TEST |S1000 GL [Contest, Good luck]^
BEAM |S1000 ANT [Beam, Antenna]^
RST |S1000 5NN [R S T, 5 N N]^
DE |S1000 ES [From, And]^
UR |S1000 CQ [Your, C Q]^
5NN |S1000 QRZ [5 N N, Q R Zed]^
TNX |S1000 DIPOLE [Thanks, Dipole]^
WX |S1000 HW [Weather, How]^
XYL |S1000 CUL [Wife, See you later]^
NAME |S1000 ES [Name, And]^
5NN |S1000 DE [5 N N, From]^
AGN |S1000 VY [Again, Very]^
UP |S1000 FER [Up, For]^
BTU |S1000 TNX [Back to you, Thanks]^
QRM |S1000 QSB [Interference, Q S B]^
QRL |S1000 GA [Q R L, Good afternoon]^
DE |S1000 HI HI [From, laughing]^
QSB |S1000 RIG [Q S B, Rig]^
QRN |S1000 QRM [Noise, Interference]^
CPY |S1000 599 [Copy, 5 9 9]^
CPY |S1000 NR [Copy, Number]^
559 |S1000 QTH [5 5 9, Q T H]^
73 |S1000 UP [73, Up]^
GE |S1000 GL [Good evening, Good luck]^
CQ |S1000 NR [C Q, Number]^
AGN |S1000 CQ [Again, C Q]^
599 |S1000 DE [5 9 9, From]^
RST |S1000 VY [R S T, Very]^
QRN |S1000 ABT [Noise, About]^
DE |S1000 CQ [From, C Q]^
ES |S1000 WX [And, Weather]^
559 |S1000 QTH [5 5 9, Q T H]^
QRL |S1000 SIG [Q R L, Signal]^
559 |S1000 DIPOLE [5 5 9, Dipole]^
QSB |S1000 5NN [Q S B, 5 N N]^
QTH |S1000 NR [Q T H, Number]^
TU |S1000 GM [Thank you, Good morning]^
QRN |S1000 BEAM [Noise, Beam]^
ES |S1000 NR [And, Number]^
RST |S1000 HV [R S T, Have]^
ES |S1000 AGN [And, Again]^
TNX |S1000 OM [Thanks, Old man]^
BEAM |S1000 GA [Beam, Good afternoon]^
RIG |S1000 73 [Rig, 73]^
5NN |S1000 CQ [5 N N, C Q]^
RST |S1000 CQ [R S T, C Q]^
UR |S1000 QTH [Your, Q T H]^
RST |S1000 HPE [R S T, Hope]^
QRN |S1000 BEAM [Noise, Beam]^
TU |S1000 AGN [Thank you, Again]^
NAME |S1000 SIG [Name, Signal]^
559 |S1000 NR [5 5 9, Number]^
HW |S1000 ES [How, And]^
BTU |S1000 QSB [Back to you, Q S B]^
UP |S1000 NR [Up, Number]^
NAME |S1000 VY [Name, Very]^
CUL |S1000 TU [See you later, Thank you]^
AGN |S1000 5NN [Again, 5 N N]^
BTU |S1000 599 [Back to you, 5 9 9]^
QTH |S1000 ES [Q T H, And]^
PWR |S1000 VY [Power, Very]^
GL |S1000 FER [Good luck, For]^
QSB |S1000 ES [Q S B, And]^
HI HI |S1000 GA [laughing, Good afternoon]^
TEMP |S1000 NR [Temperature, Number]^
GE |S1000 TEMP [Good evening, Temperature]^
QSB |S1000 BTU [Q S B, Back to you]^
AGN |S1000 BEAM [Again, Beam]^
FER |S1000 RIG [For, Rig]^
CUL |S1000 FER [See you later, For]^
HPE |S1000 UP [Hope, Up]^
QRM |S1000 ES [Interference, And]^
5NN |S1000 UP [5 N N, Up]^
CUL |S1000 VY [See you later, Very]^
QRZ |S1000 NR [Q R Zed, Number]^
TU |S1000 QRN [Thank you, Noise]^
ANT |S1000 OM [Antenna, Old man]^
PWR |S1000 TU [Power, Thank you]^
HI HI |S1000 559 [laughing, 5 5 9]^
QRL |S1000 UR [Q R L, Your]^
OM |S1000 ES [Old man, And]^
599 |S1000 DE [5 9 9, From]^
CQ |S1000 QSB [C Q, Q S B]^
HI HI |S1000 DX [laughing, D X]^
NAME |S1000 VY [Name, Very]^
UR |S1000 NAME [Your, Name]^
559 |S1000 5NN [5 5 9, 5 N N]^
TEST |S1000 QRM [Contest, Interference]^
QRZ |S1000 UR [Q R Zed, Your]^
WX |S1000 5NN [Weather, 5 N N]^
TU |S1000 UR [Thank you, Your]^
ES |S1000 BTU [And, Back to you]^
NR |S1000 CUL [Number, See you later]^
NAME |S1000 559 [Name, 5 5 9]^
RST |S1000 ABT [R S T, About]^
QTH |S1000 VY [Q T H, Very]^
SIG |S1000 SRI [Signal, Sorry]^
TEMP |S1000 UP [Temperature, Up]^
QRZ |S1000 FER [Q R Zed, For]^
BEAM |S1000 73 [Beam, 73]^
UP |S1000 QRN [Up, Noise]^
FB |S1000 DX [Fine business, D X]^
NAME |S1000 5NN [Name, 5 N N]^
AGN |S1000 QRN [Again, Noise]^
5NN |S1000 AGN [5 N N, Again]^
TEST |S1000 ES [Contest, And]^
CQ |S1000 QTH [C Q, Q T H]^
HW |S1000 TU [How, Thank you]^
UP |S1000 TEMP [Up, Temperature]^
TEST |S1000 TU [Contest, Thank you]^
73 |S1000 GE [73, Good evening]^
VY |S1000 RST [Very, R S T]^
ABT |S1000 QRM [About, Interference]^
GA |S1000 BTU [Good afternoon, Back to you]^
CUL |S1000 UR [See you later, Your]^
QRM |S1000 HPE [Interference, Hope]^
QRL |S1000 ANT [Q R L, Antenna]^
CPI |S1000 VY [Copy, Very]^
FER |S1000 CQ [For, C Q]^
RST |S1000 QTH [R S T, Q T H]^
TEST |S1000 FB [Contest, Fine business]^
TEST |S1000 CUL [Contest, See you later]^
UR |S1000 HW [Your, How]^
RST |S1000 559 [R S T, 5 5 9]^
HV |S1000 QSB [Have, Q S B]^
HI HI |S1000 GM [laughing, Good morning]^
AGN |S1000 599 [Again, 5 9 9]^
GM |S1000 QTH [Good morning, Q T H]^
PWR |S1000 NAME [Power, Name]^
559 |S1000 CPI [5 5 9, Copy]^
VY |S1000 599 [Very, 5 9 9]^
DE |S1000 QTH [From, Q T H]^
QRZ |S1000 ES [Q R Zed, And]^
599 |S1000 GE [5 9 9, Good evening]^
QTH |S1000 RIG [Q T H, Rig]^
QSB |S1000 QRL [Q S B, Q R L]^
TEMP |S1000 599 [Temperature, 5 9 9]^
QRL |S1000 VY [Q R L, Very]^
OM |S1000 UR [Old man, Your]^
AGN |S1000 NAME [Again, Name]^
GM |S1000 QRL [Good morning, Q R L]^
VY |S1000 ES [Very, And]^
NR |S1000 FB [Number, Fine business]^
559 |S1000 VY [5 5 9, Very]^
UP |S1000 HW [Up, How]^
DIPOLE |S1000 599 [Dipole, 5 9 9]^
TU |S1000 BEAM [Thank you, Beam]^
NAME |S1000 599 [Name, 5 9 9]^
GA |S1000 599 [Good afternoon, 5 9 9]^
HV |S1000 PWR [Have, Power]^
HI HI |S1000 CPY [laughing, Copy]^
RST |S1000 ABT [R S T, About]^
QRN |S1000 GM [Noise, Good morning]^
TEMP |S1000 TEST [Temperature, Contest]^
TEMP |S1000 NR [Temperature, Number]^
SIG |S1000 QRZ [Signal, Q R Zed]^
WX |S1000 NAME [Weather, Name]^
QRN |S1000 73 [Noise, 73]^
ANT |S1000 NAME [Antenna, Name]^
XYL |S1000 NR [Wife, Number]^
GM |S1000 73 [Good morning, 73]^
QTH |S1000 BEAM [Q T H, Beam]^
ANT |S1000 WX [Antenna, Weather]^
RST |S1000 FER [R S T, For]^
HW |S1000 RIG [How, Rig]^
UP |S1000 DX [Up, D X]^
QTH |S1000 DIPOLE [Q T H, Dipole]^
QRZ |S1000 599 [Q R Zed, 5 9 9]^
GA |S1000 SRI [Good afternoon, Sorry]^
ANT |S1000 HI HI [Antenna, laughing]^
HPE |S1000 PWR [Hope, Power]^
UP |S1000 559 [Up, 5 5 9]^
GA |S1000 NR [Good afternoon, Number]^
GL |S1000 VY [Good luck, Very]^
WX |S1000 VY [Weather, Very]^
CQ |S1000 HW [C Q, How]^
BEAM |S1000 WX [Beam, Weather]^
HI HI |S1000 UR [laughing, Your]^
TU |S1000 HV [Thank you, Have]^
QTH |S1000 RIG [Q T H, Rig]^
TU |S1000 QTH [Thank you, Q T H]^
QRZ |S1000 NAME [Q R Zed, Name]^
599 |S1000 5NN [5 9 9, 5 N N]^
NAME |S1000 RST [Name, R S T]^
GE |S1000 GA [Good evening, Good afternoon]^
NR |S1000 73 [Number, 73]^
CPI |S1000 GM [Copy, Good morning]^
OM |S1000 QRM [Old man, Interference]^
73 |S1000 599 [73, 5 9 9]^
TEST |S1000 NAME [Contest, Name]^
RST |S1000 CQ [R S T, C Q]^
DE |S1000 RIG [From, Rig]^
VY |S1000 QRM [Very, Interference]^
5NN |S1000 DE [5 N N, From]^
QRZ |S1000 GL [Q R Zed, Good luck]^
ABT |S1000 DE [About, From]^
TU |S1000 QRM [Thank you, Interference]^
599 |S1000 CUL [5 9 9, See you later]^
CQ |S1000 PWR [C Q, Power]^
BEAM |S1000 RIG [Beam, Rig]^
HI HI |S1000 559 [laughing, 5 5 9]^
SRI |S1000 WX [Sorry, Weather]^
RIG |S1000 NR [Rig, Number]^
VY |S1000 ANT [Very, Antenna]^
GM |S1000 HPE [Good morning, Hope]^
73 |S1000 DE [73, From]^
UP |S1000 BTU [Up, Back to you]^
ANT |S1000 5NN [Antenna, 5 N N]^
CQ |S1000 TU [C Q, Thank you]^
GL |S1000 FER [Good luck, For]^
SIG |S1000 BEAM [Signal, Beam]^
GE |S1000 BEAM [Good evening, Beam]^
599 |S1000 ES [5 9 9, And]^
QRM |S1000 NAME [Interference, Name]^
559 |S1000 GM [5 5 9, Good morning]^
CPY |S1000 WX [Copy, Weather]^
NAME |S1000 TEST [Name, Contest]^
QRZ |S1000 BTU [Q R Zed, Back to you]^
NAME |S1000 QRZ [Name, Q R Zed]^
VY |S1000 GM [Very, Good morning]^
CPI |S1000 73 [Copy, 73]^
ABT |S1000 SRI [About, Sorry]^
FER |S1000 UP [For, Up]^
5NN |S1000 TEMP [5 N N, Temperature]^
FER |S1000 QRN [For, Noise]^
TEMP |S1000 RST [Temperature, R S T]^
DE |S1000 ES [From, And]^
QRL |S1000 VY [Q R L, Very]^
CQ |S1000 GA [C Q, Good afternoon]^
HV |S1000 5NN [Have, 5 N N]^
WX |S1000 BEAM [Weather, Beam]^
HV |S1000 NAME [Have, Name]^
559 |S1000 NAME [5 5 9, Name]^
UR |S1000 UP [Your, Up]^
