DE |S1000 QRZ [From, Q R Zed]^
FER |S1000 559 [For, 5 5 9]^
AGN |S1000 FER [Again, For]^
UP |S1000 FER [Up, For]^
QRZ |S1000 NAME [Q R Zed, Name]^
ES |S1000 GE [And, Good evening]^
FER |S1000 73 [For, 73]^
CQ |S1000 GE [C Q, Good evening]^
FER |S1000 UR [For, Your]^
CQ |S1000 NR [C Q, Number]^
FER |S1000 GA [For, Good afternoon]^
AGN |S1000 FER [Again, For]^
73 |S1000 FER [73, For]^
GM |S1000 FER [Good morning, For]^
CQ |S1000 QRZ [C Q, Q R Zed]^
5NN |S1000 GE [5 N N, Good evening]^
FER |S1000 RST [For, R S T]^
FER |S1000 TEST [For, Contest]^
FER |S1000 UR [For, Your]^
UP |S1000 FER [Up, For]^
AGN |S1000 VY [Again, Very]^
TEST |S1000 FER [Contest, For]^
559 |S1000 FER [5 5 9, For]^
VY |S1000 TEST [Very, Contest]^
5NN |S1000 FER [5 N N, For]^
VY |S1000 FER [Very, For]^
RST |S1000 GE [R S T, Good evening]^
WX |S1000 UP [Weather, Up]^
NAME |S1000 NR [Name, Number]^
FER |S1000 GM [For, Good morning]^
FER |S1000 UR [For, Your]^
FER |S1000 73 [For, 73]^
FER |S1000 UP [For, Up]^
RST |S1000 FER [R S T, For]^
CQ |S1000 FER [C Q, For]^
CQ |S1000 DE [C Q, From]^
73 |S1000 CQ [73, C Q]^
NAME |S1000 FER [Name, For]^
5NN |S1000 FER [5 N N, For]^
559 |S1000 RST [5 5 9, R S T]^
FER |S1000 WX [For, Weather]^
FER |S1000 VY [For, Very]^
73 |S1000 FER [73, For]^
QRM |S1000 FER [Interference, For]^
CQ |S1000 FER [C Q, For]^
UP |S1000 NR [Up, Number]^
VY |S1000 73 [Very, 73]^
FER |S1000 GM [For, Good morning]^
GE |S1000 DE [Good evening, From]^
FER |S1000 NAME [For, Name]^
FER |S1000 AGN [For, Again]^
FER |S1000 559 [For, 5 5 9]^
FER |S1000 CQ [For, C Q]^
UR |S1000 FER [Your, For]^
GA |S1000 FER [Good afternoon, For]^
NR |S1000 FER [Number, For]^
DE |S1000 FER [From, For]^
GE |S1000 NAME [Good evening, Name]^
FER |S1000 559 [For, 5 5 9]^
FER |S1000 QRZ [For, Q R Zed]^
FER |S1000 5NN [For, 5 N N]^
599 |S1000 GE [5 9 9, Good evening]^
NR |S1000 QRM [Number, Interference]^
CQ |S1000 UP [C Q, Up]^
ES |S1000 FER [And, For]^
DE |S1000 599 [From, 5 9 9]^
FER |S1000 ES [For, And]^
FER |S1000 GE [For, Good evening]^
QRZ |S1000 TEST [Q R Zed, Contest]^
FER |S1000 WX [For, Weather]^
FER |S1000 WX [For, Weather]^
GE |S1000 GA [Good evening, Good afternoon]^
UP |S1000 FER [Up, For]^
ES |S1000 QRM [And, Interference]^
FER |S1000 GM [For, Good morning]^
ES |S1000 TEST [And, Contest]^
FER |S1000 WX [For, Weather]^
FER |S1000 UR [For, Your]^
FER |S1000 NR [For, Number]^
GA |S1000 NR [Good afternoon, Number]^
GA |S1000 FER [Good afternoon, For]^
TEST |S1000 FER [Contest, For]^
559 |S1000 RST [5 5 9, R S T]^
FER |S1000 NR [For, Number]^
UR |S1000 FER [Your, For]^
73 |S1000 FER [73, For]^
GM |S1000 FER [Good morning, For]^
GA |S1000 FER [Good afternoon, For]^
NR |S1000 FER [Number, For]^
ES |S1000 WX [And, Weather]^
FER |S1000 QRM [For, Interference]^
5NN |S1000 599 [5 N N, 5 9 9]^
FER |S1000 5NN [For, 5 N N]^
VY |S1000 QRM [Very, Interference]^
FER |S1000 TEST [For, Contest]^
UP |S1000 GM [Up, Good morning]^
FER |S1000 CQ [For, C Q]^
FER |S1000 NR [For, Number]^
AGN |S1000 QRM [Again, Interference]^
FER |S1000 TEST [For, Contest]^
5NN |S1000 ES [5 N N, And]^
GE |S1000 WX [Good evening, Weather]^
TEST |S1000 CQ [Contest, C Q]^
NAME |S1000 WX [Name, Weather]^
FER |S1000 GE [For, Good evening]^
FER |S1000 GE [For, Good evening]^
FER |S1000 VY [For, Very]^
GA |S1000 FER [Good afternoon, For]^
TEST |S1000 FER [Contest, For]^
73 |S1000 TEST [73, Contest]^
FER |S1000 RST [For, R S T]^
FER |S1000 RST [For, R S T]^
FER |S1000 73 [For, 73]^
GM |S1000 5NN [Good morning, 5 N N]^
ES |S1000 VY [And, Very]^
FER |S1000 RST [For, R S T]^
FER |S1000 VY [For, Very]^
FER |S1000 ES [For, And]^
RST |S1000 FER [R S T, For]^
WX |S1000 GA [Weather, Good afternoon]^
FER |S1000 VY [For, Very]^
GE |S1000 559 [Good evening, 5 5 9]^
WX |S1000 FER [Weather, For]^
UR |S1000 AGN [Your, Again]^
WX |S1000 559 [Weather, 5 5 9]^
FER |S1000 NAME [For, Name]^
FER |S1000 ES [For, And]^
DE |S1000 FER [From, For]^
73 |S1000 FER [73, For]^
VY |S1000 599 [Very, 5 9 9]^
GA |S1000 5NN [Good afternoon, 5 N N]^
ES |S1000 FER [And, For]^
5NN |S1000 QRZ [5 N N, Q R Zed]^
VY |S1000 FER [Very, For]^
CQ |S1000 73 [C Q, 73]^
NAME |S1000 559 [Name, 5 5 9]^
AGN |S1000 GM [Again, Good morning]^
FER |S1000 WX [For, Weather]^
FER |S1000 GA [For, Good afternoon]^
FER |S1000 599 [For, 5 9 9]^
CQ |S1000 FER [C Q, For]^
5NN |S1000 VY [5 N N, Very]^
FER |S1000 ES [For, And]^
FER |S1000 CQ [For, C Q]^
GM |S1000 73 [Good morning, 73]^
QRM |S1000 GM [Interference, Good morning]^
FER |S1000 73 [For, 73]^
FER |S1000 599 [For, 5 9 9]^
GE |S1000 QRZ [Good evening, Q R Zed]^
FER |S1000 559 [For, 5 5 9]^
NAME |S1000 FER [Name, For]^
AGN |S1000 NR [Again, Number]^
UP |S1000 GM [Up, Good morning]^
FER |S1000 599 [For, 5 9 9]^
73 |S1000 559 [73, 5 5 9]^
5NN |S1000 QRZ [5 N N, Q R Zed]^
FER |S1000 WX [For, Weather]^
CQ |S1000 QRM [C Q, Interference]^
FER |S1000 QRM [For, Interference]^
FER |S1000 559 [For, 5 5 9]^
FER |S1000 GM [For, Good morning]^
FER |S1000 QRM [For, Interference]^
FER |S1000 5NN [For, 5 N N]^
TEST |S1000 WX [Contest, Weather]^
RST |S1000 FER [R S T, For]^
NAME |S1000 FER [Name, For]^
RST |S1000 QRM [R S T, Interference]^
WX |S1000 FER [Weather, For]^
AGN |S1000 QRM [Again, Interference]^
FER |S1000 599 [For, 5 9 9]^
559 |S1000 FER [5 5 9, For]^
NAME |S1000 FER [Name, For]^
GM |S1000 73 [Good morning, 73]^
GE |S1000 UP [Good evening, Up]^
TEST |S1000 5NN [Contest, 5 N N]^
559 |S1000 FER [5 5 9, For]^
VY |S1000 QRZ [Very, Q R Zed]^
FER |S1000 GA [For, Good afternoon]^
FER |S1000 599 [For, 5 9 9]^
UR |S1000 QRZ [Your, Q R Zed]^
NR |S1000 FER [Number, For]^
GE |S1000 AGN [Good evening, Again]^
FER |S1000 RST [For, R S T]^
UP |S1000 GM [Up, Good morning]^
QRZ |S1000 73 [Q R Zed, 73]^
FER |S1000 UR [For, Your]^
FER |S1000 UR [For, Your]^
AGN |S1000 DE [Again, From]^
FER |S1000 QRZ [For, Q R Zed]^
FER |S1000 QRM [For, Interference]^
GE |S1000 NR [Good evening, Number]^
FER |S1000 CQ [For, C Q]^
RST |S1000 FER [R S T, For]^
QRZ |S1000 GA [Q R Zed, Good afternoon]^
73 |S1000 DE [73, From]^
FER |S1000 QRZ [For, Q R Zed]^
WX |S1000 CQ [Weather, C Q]^
FER |S1000 CQ [For, C Q]^
FER |S1000 AGN [For, Again]^
FER |S1000 AGN [For, Again]^
FER |S1000 ES [For, And]^
NR |S1000 UP [Number, Up]^
QRM |S1000 DE [Interference, From]^
73 |S1000 FER [73, For]^
QRM |S1000 FER [Interference, For]^
RST |S1000 FER [R S T, For]^
QRM |S1000 DE [Interference, From]^
TEST |S1000 FER [Contest, For]^
DE |S1000 FER [From, For]^
GA |S1000 FER [Good afternoon, For]^
DE |S1000 TEST [From, Contest]^
NAME |S1000 599 [Name, 5 9 9]^
FER |S1000 NAME [For, Name]^
QRZ |S1000 FER [Q R Zed, For]^
DE |S1000 ES [From, And]^
FER |S1000 UP [For, Up]^
FER |S1000 NAME [For, Name]^
FER |S1000 QRM [For, Interference]^
ES |S1000 WX [And, Weather]^
TEST |S1000 UP [Contest, Up]^
5NN |S1000 UR [5 N N, Your]^
559 |S1000 GM [5 5 9, Good morning]^
WX |S1000 FER [Weather, For]^
TEST |S1000 RST [Contest, R S T]^
FER |S1000 559 [For, 5 5 9]^
FER |S1000 GA [For, Good afternoon]^
FER |S1000 UP [For, Up]^
FER |S1000 UR [For, Your]^
NAME |S1000 GM [Name, Good morning]^
FER |S1000 TEST [For, Contest]^
GE |S1000 FER [Good evening, For]^
QRZ |S1000 FER [Q R Zed, For]^
73 |S1000 FER [73, For]^
GM |S1000 FER [Good morning, For]^
73 |S1000 559 [73, 5 5 9]^
FER |S1000 ES [For, And]^
FER |S1000 ES [For, And]^
FER |S1000 ES [For, And]^
DE |S1000 FER [From, For]^
TEST |S1000 FER [Contest, For]^
559 |S1000 FER [5 5 9, For]^
TEST |S1000 FER [Contest, For]^
UP |S1000 599 [Up, 5 9 9]^
FER |S1000 599 [For, 5 9 9]^
FER |S1000 GM [For, Good morning]^
559 |S1000 TEST [5 5 9, Contest]^
GA |S1000 QRM [Good afternoon, Interference]^
NR |S1000 FER [Number, For]^
VY |S1000 TEST [Very, Contest]^
FER |S1000 5NN [For, 5 N N]^
FER |S1000 QRM [For, Interference]^
FER |S1000 UR [For, Your]^
FER |S1000 QRM [For, Interference]^
VY |S1000 FER [Very, For]^
QRM |S1000 GE [Interference, Good evening]^
FER |S1000 NAME [For, Name]^
FER |S1000 WX [For, Weather]^
5NN |S1000 FER [5 N N, For]^
RST |S1000 FER [R S T, For]^
AGN |S1000 559 [Again, 5 5 9]^
FER |S1000 QRM [For, Interference]^
GA |S1000 NR [Good afternoon, Number]^
UR |S1000 FER [Your, For]^
CQ |S1000 GM [C Q, Good morning]^
FER |S1000 GA [For, Good afternoon]^
FER |S1000 599 [For, 5 9 9]^
VY |S1000 FER [Very, For]^
WX |S1000 FER [Weather, For]^
5NN |S1000 TEST [5 N N, Contest]^
GA |S1000 FER [Good afternoon, For]^
VY |S1000 GA [Very, Good afternoon]^
RST |S1000 TEST [R S T, Contest]^
NR |S1000 FER [Number, For]^
AGN |S1000 559 [Again, 5 5 9]^
FER |S1000 AGN [For, Again]^
FER |S1000 ES [For, And]^
VY |S1000 WX [Very, Weather]^
GE |S1000 UR [Good evening, Your]^
FER |S1000 ES [For, And]^
FER |S1000 CQ [For, C Q]^
FER |S1000 599 [For, 5 9 9]^
NAME |S1000 GM [Name, Good morning]^
FER |S1000 WX [For, Weather]^
FER |S1000 NAME [For, Name]^
GE |S1000 NR [Good evening, Number]^
DE |S1000 FER [From, For]^
DE |S1000 FER [From, For]^
TEST |S1000 GA [Contest, Good afternoon]^
FER |S1000 GM [For, Good morning]^
FER |S1000 QRZ [For, Q R Zed]^
73 |S1000 FER [73, For]^
VY |S1000 GE [Very, Good evening]^
QRM |S1000 CQ [Interference, C Q]^
AGN |S1000 FER [Again, For]^
DE |S1000 VY [From, Very]^
5NN |S1000 RST [5 N N, R S T]^
NAME |S1000 UP [Name, Up]^
WX |S1000 GA [Weather, Good afternoon]^
RST |S1000 AGN [R S T, Again]^
5NN |S1000 GA [5 N N, Good afternoon]^
TEST |S1000 RST [Contest, R S T]^
FER |S1000 GM [For, Good morning]^
NR |S1000 5NN [Number, 5 N N]^
FER |S1000 599 [For, 5 9 9]^
WX |S1000 TEST [Weather, Contest]^
FER |S1000 73 [For, 73]^
FER |S1000 GA [For, Good afternoon]^
FER |S1000 QRZ [For, Q R Zed]^
FER |S1000 GA [For, Good afternoon]^
GE |S1000 GM [Good evening, Good morning]^
QRM |S1000 FER [Interference, For]^
5NN |S1000 ES [5 N N, And]^
UP |S1000 599 [Up, 5 9 9]^
FER |S1000 AGN [For, Again]^
FER |S1000 AGN [For, Again]^
RST |S1000 599 [R S T, 5 9 9]^
ES |S1000 VY [And, Very]^
CQ |S1000 UP [C Q, Up]^
GM |S1000 VY [Good morning, Very]^
NR |S1000 FER [Number, For]^
5NN |S1000 FER [5 N N, For]^
ES |S1000 FER [And, For]^
599 |S1000 FER [5 9 9, For]^
NR |S1000 GE [Number, Good evening]^
559 |S1000 UR [5 5 9, Your]^
UP |S1000 GA [Up, Good afternoon]^
5NN |S1000 UR [5 N N, Your]^
FER |S1000 599 [For, 5 9 9]^
GM |S1000 FER [Good morning, For]^
559 |S1000 TEST [5 5 9, Contest]^
UR |S1000 WX [Your, Weather]^
599 |S1000 FER [5 9 9, For]^
DE |S1000 FER [From, For]^
QRZ |S1000 FER [Q R Zed, For]^
5NN |S1000 GA [5 N N, Good afternoon]^
FER |S1000 WX [For, Weather]^
CQ |S1000 FER [C Q, For]^
WX |S1000 559 [Weather, 5 5 9]^
FER |S1000 RST [For, R S T]^
GE |S1000 DE [Good evening, From]^
UR |S1000 FER [Your, For]^
QRM |S1000 FER [Interference, For]^
NR |S1000 GE [Number, Good evening]^
FER |S1000 AGN [For, Again]^
ES |S1000 QRM [And, Interference]^
FER |S1000 NAME [For, Name]^
FER |S1000 VY [For, Very]^
ES |S1000 599 [And, 5 9 9]^
WX |S1000 599 [Weather, 5 9 9]^
FER |S1000 5NN [For, 5 N N]^
UP |S1000 FER [Up, For]^
NAME |S1000 FER [Name, For]^
599 |S1000 QRZ [5 9 9, Q R Zed]^
GE |S1000 ES [Good evening, And]^
NR |S1000 FER [Number, For]^
QRZ |S1000 ES [Q R Zed, And]^
GE |S1000 RST [Good evening, R S T]^
FER |S1000 GE [For, Good evening]^
TEST |S1000 FER [Contest, For]^
QRM |S1000 FER [Interference, For]^
GA |S1000 599 [Good afternoon, 5 9 9]^
UP |S1000 WX [Up, Weather]^
QRZ |S1000 599 [Q R Zed, 5 9 9]^
5NN |S1000 FER [5 N N, For]^
NAME |S1000 FER [Name, For]^
DE |S1000 ES [From, And]^
UR |S1000 QRM [Your, Interference]^
559 |S1000 GM [5 5 9, Good morning]^
QRZ |S1000 FER [Q R Zed, For]^
QRM |S1000 VY [Interference, Very]^
ES |S1000 RST [And, R S T]^
FER |S1000 599 [For, 5 9 9]^
FER |S1000 599 [For, 5 9 9]^
VY |S1000 FER [Very, For]^
QRM |S1000 AGN [Interference, Again]^
GE |S1000 FER [Good evening, For]^
AGN |S1000 FER [Again, For]^
599 |S1000 GA [5 9 9, Good afternoon]^
NAME |S1000 559 [Name, 5 5 9]^
FER |S1000 GM [For, Good morning]^
FER |S1000 CQ [For, C Q]^
FER |S1000 AGN [For, Again]^
599 |S1000 5NN [5 9 9, 5 N N]^
GM |S1000 FER [Good morning, For]^
GM |S1000 WX [Good morning, Weather]^
FER |S1000 DE [For, From]^
UP |S1000 FER [Up, For]^
TEST |S1000 FER [Contest, For]^
WX |S1000 RST [Weather, R S T]^
FER |S1000 UP [For, Up]^
FER |S1000 599 [For, 5 9 9]^
FER |S1000 QRZ [For, Q R Zed]^
CQ |S1000 FER [C Q, For]^
TEST |S1000 FER [Contest, For]^
5NN |S1000 FER [5 N N, For]^
GM |S1000 AGN [Good morning, Again]^
FER |S1000 NR [For, Number]^
UR |S1000 FER [Your, For]^
CQ |S1000 5NN [C Q, 5 N N]^
GE |S1000 NAME [Good evening, Name]^
FER |S1000 UP [For, Up]^
ES |S1000 FER [And, For]^
NR |S1000 NAME [Number, Name]^
TEST |S1000 FER [Contest, For]^
GE |S1000 FER [Good evening, For]^
GE |S1000 FER [Good evening, For]^
TEST |S1000 ES [Contest, And]^
DE |S1000 ES [From, And]^
FER |S1000 GA [For, Good afternoon]^
559 |S1000 DE [5 5 9, From]^
VY |S1000 FER [Very, For]^
UP |S1000 FER [Up, For]^
CQ |S1000 FER [C Q, For]^
599 |S1000 FER [5 9 9, For]^
RST |S1000 GA [R S T, Good afternoon]^
559 |S1000 WX [5 5 9, Weather]^
DE |S1000 FER [From, For]^
NR |S1000 FER [Number, For]^
559 |S1000 AGN [5 5 9, Again]^
FER |S1000 ES [For, And]^
GA |S1000 559 [Good afternoon, 5 5 9]^
FER |S1000 NAME [For, Name]^
NR |S1000 RST [Number, R S T]^
QRZ |S1000 FER [Q R Zed, For]^
CQ |S1000 FER [C Q, For]^
WX |S1000 NR [Weather, Number]^
FER |S1000 WX [For, Weather]^
FER |S1000 QRM [For, Interference]^
5NN |S1000 FER [5 N N, For]^
QRM |S1000 UR [Interference, Your]^
QRM |S1000 VY [Interference, Very]^
TEST |S1000 FER [Contest, For]^
UR |S1000 FER [Your, For]^
WX |S1000 FER [Weather, For]^
73 |S1000 FER [73, For]^
5NN |S1000 FER [5 N N, For]^
UR |S1000 QRM [Your, Interference]^
FER |S1000 ES [For, And]^
FER |S1000 599 [For, 5 9 9]^
DE |S1000 73 [From, 73]^
RST |S1000 FER [R S T, For]^
RST |S1000 QRM [R S T, Interference]^
UP |S1000 RST [Up, R S T]^
GE |S1000 AGN [Good evening, Again]^
559 |S1000 FER [5 5 9, For]^
GE |S1000 DE [Good evening, From]^
FER |S1000 VY [For, Very]^
GA |S1000 FER [Good afternoon, For]^
GE |S1000 TEST [Good evening, Contest]^
RST |S1000 FER [R S T, For]^
QRZ |S1000 73 [Q R Zed, 73]^
FER |S1000 GM [For, Good morning]^
FER |S1000 VY [For, Very]^
FER |S1000 GA [For, Good afternoon]^
TEST |S1000 FER [Contest, For]^
DE |S1000 73 [From, 73]^
FER |S1000 599 [For, 5 9 9]^
559 |S1000 FER [5 5 9, For]^
73 |S1000 TEST [73, Contest]^
QRM |S1000 73 [Interference, 73]^
RST |S1000 559 [R S T, 5 5 9]^
QRZ |S1000 559 [Q R Zed, 5 5 9]^
FER |S1000 73 [For, 73]^
ES |S1000 CQ [And, C Q]^
UR |S1000 NAME [Your, Name]^
CQ |S1000 FER [C Q, For]^
