EFHW |S1000 QSL [End fed, half-wave, Q S L]^
QRP |S1000 BCNU [Q R P, Be seeing you]^
QRQ |S1000 CFM [Q R Q, Confirm]^
QSL |S1000 BURO [Q S L, bureau]^
FT |S1000 YAGI [Feet, Yagi]^
CFM |S1000 EL [Confirm, Element]^
YAGI |S1000 DR [Yagi, Dear]^
MNI |S1000 QRS [Many, Q R S]^
QSY |S1000 BURO [Q S Y, bureau]^
FT |S1000 EFHW [Feet, End fed, half-wave]^
YL |S1000 VERT [Young lady, Vertical]^
QRQ |S1000 QRP [Q R Q, Q R P]^
HW\? |S1000 MNI [How copy\?, Many]^
QSL |S1000 QRS [Q S L, Q R S]^
QRP |S1000 YL [Q R P, Young lady]^
HR |S1000 HW\? [Hear, How copy\?]^
QSY |S1000 RX [Q S Y, Receive]^
VERT |S1000 MNI [Vertical, Many]^
OP |S1000 FT [Operator, Feet]^
TX |S1000 WUD [Transmit, Would]^
QRQ |S1000 RX [Q R Q, Receive]^
EFHW |S1000 QSL [End fed, half-wave, Q S L]^
BURO |S1000 BCNU [bureau, Be seeing you]^
EL |S1000 WUD [Element, Would]^
BURO |S1000 YL [bureau, Young lady]^
HW\? |S1000 HR [How copy\?, Hear]^
CFM |S1000 HW\? [Confirm, How copy\?]^
VERT |S1000 QRS [Vertical, Q R S]^
QRP |S1000 HR [Q R P, Hear]^
QRS |S1000 YL [Q R S, Young lady]^
CFM |S1000 PLS [Confirm, Please]^
CFM |S1000 TX [Confirm, Transmit]^
MNI |S1000 CFM [Many, Confirm]^
QRS |S1000 TX [Q R S, Transmit]^
PSE |S1000 EFHW [Please, End fed, half-wave]^
HR |S1000 EFHW [Hear, End fed, half-wave]^
VERT |S1000 YAGI [Vertical, Yagi]^
QRP |S1000 WUD [Q R P, Would]^
QRQ |S1000 CFM [Q R Q, Confirm]^
BURO |S1000 YAGI [bureau, Yagi]^
RX |S1000 QRS [Receive, Q R S]^
EL |S1000 PLS [Element, Please]^
TX |S1000 GUD [Transmit, Good]^
QRS |S1000 FT [Q R S, Feet]^
QRQ |S1000 YAGI [Q R Q, Yagi]^
VERT |S1000 BCNU [Vertical, Be seeing you]^
FT |S1000 QRP [Feet, Q R P]^
YAGI |S1000 QSL [Yagi, Q S L]^
VERT |S1000 PLS [Vertical, Please]^
YL |S1000 QSL [Young lady, Q S L]^
CFM |S1000 DR [Confirm, Dear]^
QRP |S1000 TX [Q R P, Transmit]^
QSY |S1000 BURO [Q S Y, bureau]^
YAGI |S1000 QRQ [Yagi, Q R Q]^
YL |S1000 HR [Young lady, Hear]^
RX |S1000 GUD [Receive, Good]^
YL |S1000 QSL [Young lady, Q S L]^
DR |S1000 QSL [Dear, Q S L]^
BCNU |S1000 OP [Be seeing you, Operator]^
QRQ |S1000 QSY [Q R Q, Q S Y]^
HW\? |S1000 DR [How copy\?, Dear]^
VERT |S1000 OP [Vertical, Operator]^
QRS |S1000 QRP [Q R S, Q R P]^
OP |S1000 YL [Operator, Young lady]^
PSE |S1000 EL [Please, Element]^
TX |S1000 WUD [Transmit, Would]^
RX |S1000 BCNU [Receive, Be seeing you]^
DR |S1000 TX [Dear, Transmit]^
FT |S1000 HW\? [Feet, How copy\?]^
QRQ |S1000 OP [Q R Q, Operator]^
QRS |S1000 HW\? [Q R S, How copy\?]^
MNI |S1000 DR [Many, Dear]^
PSE |S1000 OP [Please, Operator]^
BURO |S1000 QSL [bureau, Q S L]^
