589 |S1000 589 |S1000 589 [5 8 9 | 589]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GD |S1000 GD |S1000 GD [Good | GD]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
88 |S1000 88 |S1000 88 [88 | 88]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
GD |S1000 GD |S1000 GD [Good | GD]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
72 |S1000 72 |S1000 72 [72 | 72]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
NW |S1000 NW |S1000 NW [Now | NW]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GD |S1000 GD |S1000 GD [Good | GD]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
CW |S1000 CW |S1000 CW [C W | CW]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
CW |S1000 CW |S1000 CW [C W | CW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
72 |S1000 72 |S1000 72 [72 | 72]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GN |S1000 GN |S1000 GN [Good night | GN]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
88 |S1000 88 |S1000 88 [88 | 88]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
72 |S1000 72 |S1000 72 [72 | 72]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
CW |S1000 CW |S1000 CW [C W | CW]^
GN |S1000 GN |S1000 GN [Good night | GN]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GN |S1000 GN |S1000 GN [Good night | GN]^
GD |S1000 GD |S1000 GD [Good | GD]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
72 |S1000 72 |S1000 72 [72 | 72]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
CW |S1000 CW |S1000 CW [C W | CW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GD |S1000 GD |S1000 GD [Good | GD]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GN |S1000 GN |S1000 GN [Good night | GN]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
CW |S1000 CW |S1000 CW [C W | CW]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GN |S1000 GN |S1000 GN [Good night | GN]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
88 |S1000 88 |S1000 88 [88 | 88]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
72 |S1000 72 |S1000 72 [72 | 72]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
NW |S1000 NW |S1000 NW [Now | NW]^
72 |S1000 72 |S1000 72 [72 | 72]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
CW |S1000 CW |S1000 CW [C W | CW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GN |S1000 GN |S1000 GN [Good night | GN]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
NW |S1000 NW |S1000 NW [Now | NW]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
GD |S1000 GD |S1000 GD [Good | GD]^
CW |S1000 CW |S1000 CW [C W | CW]^
NW |S1000 NW |S1000 NW [Now | NW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
88 |S1000 88 |S1000 88 [88 | 88]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
88 |S1000 88 |S1000 88 [88 | 88]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GN |S1000 GN |S1000 GN [Good night | GN]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GD |S1000 GD |S1000 GD [Good | GD]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
88 |S1000 88 |S1000 88 [88 | 88]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
72 |S1000 72 |S1000 72 [72 | 72]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
NW |S1000 NW |S1000 NW [Now | NW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
NW |S1000 NW |S1000 NW [Now | NW]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
72 |S1000 72 |S1000 72 [72 | 72]^
88 |S1000 88 |S1000 88 [88 | 88]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
88 |S1000 88 |S1000 88 [88 | 88]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
CW |S1000 CW |S1000 CW [C W | CW]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
88 |S1000 88 |S1000 88 [88 | 88]^
GD |S1000 GD |S1000 GD [Good | GD]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
NW |S1000 NW |S1000 NW [Now | NW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
GD |S1000 GD |S1000 GD [Good | GD]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
NW |S1000 NW |S1000 NW [Now | NW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
NW |S1000 NW |S1000 NW [Now | NW]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
CW |S1000 CW |S1000 CW [C W | CW]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
88 |S1000 88 |S1000 88 [88 | 88]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GD |S1000 GD |S1000 GD [Good | GD]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
CW |S1000 CW |S1000 CW [C W | CW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
GD |S1000 GD |S1000 GD [Good | GD]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
NW |S1000 NW |S1000 NW [Now | NW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
88 |S1000 88 |S1000 88 [88 | 88]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
NW |S1000 NW |S1000 NW [Now | NW]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
CW |S1000 CW |S1000 CW [C W | CW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
88 |S1000 88 |S1000 88 [88 | 88]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
88 |S1000 88 |S1000 88 [88 | 88]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GN |S1000 GN |S1000 GN [Good night | GN]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
72 |S1000 72 |S1000 72 [72 | 72]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
72 |S1000 72 |S1000 72 [72 | 72]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
72 |S1000 72 |S1000 72 [72 | 72]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GN |S1000 GN |S1000 GN [Good night | GN]^
QRL\? |S1000 QRL\? |S1000 QRL\? [Are you busy\? | QRL\?]^
72 |S1000 72 |S1000 72 [72 | 72]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
88 |S1000 88 |S1000 88 [88 | 88]^
SWR |S1000 SWR |S1000 SWR [S W R | SWR]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
72 |S1000 72 |S1000 72 [72 | 72]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GD |S1000 GD |S1000 GD [Good | GD]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GD |S1000 GD |S1000 GD [Good | GD]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
NW |S1000 NW |S1000 NW [Now | NW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
GN |S1000 GN |S1000 GN [Good night | GN]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GD |S1000 GD |S1000 GD [Good | GD]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
72 |S1000 72 |S1000 72 [72 | 72]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
NW |S1000 NW |S1000 NW [Now | NW]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
72 |S1000 72 |S1000 72 [72 | 72]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
QRZ\? |S1000 QRZ\? |S1000 QRZ\? [Who is calling\? | QRZ\?]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
NW |S1000 NW |S1000 NW [Now | NW]^
88 |S1000 88 |S1000 88 [88 | 88]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
72 |S1000 72 |S1000 72 [72 | 72]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
CW |S1000 CW |S1000 CW [C W | CW]^
489 |S1000 489 |S1000 489 [4 8 9 | 489]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
359 |S1000 359 |S1000 359 [3 5 9 | 359]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
GB |S1000 GB |S1000 GB [Goodbye | GB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
SSB |S1000 SSB |S1000 SSB [Single Side Band | SSB]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
INFO |S1000 INFO |S1000 INFO [Information | INFO]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
WIRE |S1000 WIRE |S1000 WIRE [Wire | WIRE]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
479 |S1000 479 |S1000 479 [4 7 9 | 479]^
72 |S1000 72 |S1000 72 [72 | 72]^
NW |S1000 NW |S1000 NW [Now | NW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
88 |S1000 88 |S1000 88 [88 | 88]^
NW |S1000 NW |S1000 NW [Now | NW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
OCF |S1000 OCF |S1000 OCF [Off-center fed dipole | OCF]^
1TT |S1000 1TT |S1000 1TT [100 | 1TT]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
579 |S1000 579 |S1000 579 [5 7 9 | 579]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
LOOP |S1000 LOOP |S1000 LOOP [Loop | LOOP]^
WATT |S1000 WATT |S1000 WATT [Watt | WATT]^
72 |S1000 72 |S1000 72 [72 | 72]^
NW |S1000 NW |S1000 NW [Now | NW]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
72 |S1000 72 |S1000 72 [72 | 72]^
589 |S1000 589 |S1000 589 [5 8 9 | 589]^
