but at the end of the day: 11549
is not for the faint of heart: 862
who did not wish to be named: 859
the best thing that ever happened to: 855
or whatever you want to call it: 851
for the first time in my life: 851
the first three months of the year: 845
work and no play makes jack a: 826
the latest in a long line of: 825
the first country in the world to: 807
have their work cut out for them: 807
your guess is as good as mine: 796
do you want to learn how to: 794
i thought it was going to be: 793
is expected to make a full recovery: 786
the full faith and credit of the: 783
according to people familiar with the matter: 775
to take it to the next level: 758
to err on the side of caution: 743
to get to the bottom of the: 742
greater than the sum of its parts: 738
in a very short period of time: 732
depending on how you look at it: 728
we are in the midst of a: 719
has been around for a long time: 715
give him the benefit of the doubt: 713
there is no evidence to suggest that: 707
would like to take this opportunity to: 707
i dont know whats going to happen: 695
a lot of it has to do: 694
is in the best interest of the: 689
to take matters into their own hands: 687
let me know if you have any: 685
out of the corner of my eye: 684
to take a closer look at the: 661
but that doesnt change the fact that: 661
a good thing or a bad thing: 649
who asked not to be named said: 648
if you build it they will come: 641
this is the kind of thing that: 633
the best thing you can do is: 630
i have come to the conclusion that: 629
there is something to be said for: 625
it should also be noted that the: 624
went on to become one of the: 622
if you want to learn more about: 619
it will be very interesting to see: 619
compared to the same period last year: 610
there has been a lot of talk: 605
get from point a to point b: 603
some of the biggest names in the: 596
would not have been possible without the: 596
let the cat out of the bag: 595
world war i and world war ii: 591
to give you an idea of how: 591
but dont take my word for it: 588
is considered by many to be the: 587
a solution in search of a problem: 585
in the us and around the world: 585
over the course of the next few: 579
what does it mean to be a: 578
for the second week in a row: 571
what i can tell you is that: 571
the most powerful man in the world: 568
to make it as easy as possible: 566
a lot of work to be done: 562
to make it easier for people to: 561
a get out of jail free card: 550
the amount of time it takes to: 546
want to thank you for being with: 546
i want to make it clear that: 546
beyond a shadow of a doubt that: 537
the more things change the more they: 534
youre not going to be able to: 533
once you get the hang of it: 530
the world would be a better place: 529
if for no other reason than to: 529
about a year and a half ago: 528
at some point in the near future: 527
in such a short period of time: 525
need to do a better job of: 524
out of sight and out of mind: 522
to spend more time with his family: 518
were it not for the fact that: 517
had no idea what was going on: 517
were not going to be able to: 514
what do you want me to do: 512
is free and open to the public: 510
on the final day of the season: 506
on both the left and the right: 504
to draw a line in the sand: 502
to do it in a way that: 501
doing the same thing over and over: 500
on the right hand side of the: 500
to get the most out of the: 496
all good things must come to an: 493
there are a number of ways to: 492
when was the last time you saw: 490
i cant remember the last time i: 482
is without a doubt one of the: 481
will go down as one of the: 480
what we do know is that the: 479
i dont know the answer to that: 475
theres nothing you can do about it: 474
the reason for this is that the: 467
taken on a life of its own: 466
i had no idea what i was: 460
to come up with a way to: 459
this is one of the reasons why: 456
there was no way i was going: 455
we will do everything we can to: 454
as well as a number of other: 452
and dont even get me started on: 450
took on a life of its own: 450
how did you come up with the: 450
in the first half of the year: 449
take a step back and look at: 445
and the list goes on and on: 444
since the end of world war ii: 442
at the top of the list of: 442
not that theres anything wrong with that: 441
in the months and years to come: 437
i think its going to be a: 435
it would be nice to have a: 433
there can be no doubt that the: 430
we have to find a way to: 430
with a little help from my friends: 430
the last thing i want to do: 427
the aim of this study was to: 423
once upon a time there was a: 422
is not to be confused with the: 421
lets get this out of the way: 420
there is more than one way to: 418
it is with a heavy heart that: 417
do as i say not as i: 417
in the weeks leading up to the: 416
the best thing to do is to: 411
you cant always get what you want: 409
theres never been a better time to: 408
we are not in a position to: 407
but that doesnt make it any less: 407
a drop in the bucket compared to: 407
to get the most out of your: 405
for the second day in a row: 403
