did not respond to a request for comment: 9295
there was a time not so long ago: 125
now is as good a time as any: 123
our thoughts and prayers go out to the: 122
take a step back and look at the: 122
the only thing we have to fear is: 121
which is more than can be said for: 121
quick brown fox jumps over the lazy dog: 120
to see what all the fuss is about: 119
i can not for the life of me: 118
to win the hearts and minds of the: 117
it is also important to note that the: 117
to the best of our knowledge this is: 117
would go on to become one of the: 116
to see what all the fuss was about: 116
in the first six months of the year: 115
the first time something like this has happened: 114
with the way things are going in the: 113
here is a list of some of the: 113
is a solution in search of a problem: 112
there is no right or wrong way to: 112
but did not receive a response in time: 112
if you want to know more about the: 111
is a slap in the face to the: 111
is just the latest in a series of: 111
to get out of bed in the morning: 110
woke up in the middle of the night: 110
i like to think of myself as a: 109
for god so loved the world that he: 109
it took me a while to figure out: 109
he is a good guy i hope you: 109
to be on the right side of history: 108
but at the end of the day the: 108
