kid folk [kid, folk]^
get seek [get, seek]^
pork hike [pork, hike]^
sock deck [sock, deck]^
up this [up, this]^
ask they [ask, they]^
link up [link, up]^
mark kill [mark, kill]^
hike she [hike, she]^
up like [up, like]^
king kid [king, kid]^
up rock [up, rock]^
go bike [go, bike]^
up link [up, link]^
rock as [rock, as]^
as neck [as, neck]^
up back [up, back]^
they to [they, to]^
or kiss [or, kiss]^
and we [and, we]^
bake up [bake, up]^
like neck [like, neck]^
up lock [up, lock]^
pack sake [pack, sake]^
key lock [key, lock]^
keep pink [keep, pink]^
sack luck [sack, luck]^
skip soak [skip, soak]^
skip look [skip, look]^
up okay [up, okay]^
up kiss [up, kiss]^
you rack [you, rack]^
up skip [up, skip]^
say okay [say, okay]^
mark soak [mark, soak]^
tank bank [tank, bank]^
kiss or [kiss, or]^
desk sink [desk, sink]^
bake pick [bake, pick]^
folk lock [folk, lock]^
at cake [at, cake]^
on or [on, or]^
sake like [sake, like]^
lock link [lock, link]^
you but [you, but]^
pink cake [pink, cake]^
link peak [link, peak]^
mark her [mark, her]^
key like [key, like]^
know up [know, up]^
walk luck [walk, luck]^
up ok [up, ok]^
rank wake [rank, wake]^
you kid [you, kid]^
oak talk [oak, talk]^
skin pick [skin, pick]^
suck walk [suck, walk]^
okay ski [okay, ski]^
get kind [get, kind]^
back up [back, up]^
work up [work, up]^
book be [book, be]^
we bake [we, bake]^
dock sock [dock, sock]^
talk buck [talk, buck]^
kiss this [kiss, this]^
knee like [knee, like]^
back cake [back, cake]^
lock rank [lock, rank]^
up lock [up, lock]^
book as [book, as]^
kid we [kid, we]^
what oak [what, oak]^
you like [you, like]^
as kit [as, kit]^
pack as [pack, as]^
but up [but, up]^
bike knee [bike, knee]^
tuck back [tuck, back]^
okay at [okay, at]^
his keep [his, keep]^
soak dark [soak, dark]^
go up [go, up]^
ok up [ok, up]^
bike hook [bike, hook]^
kick with [kick, with]^
up bake [up, bake]^
