play pass [play, pass]^
cap to [cap, to]^
pie pull [pie, pull]^
wrap slip [wrap, slip]^
tape poll [tape, poll]^
cap soup [cap, soup]^
opt pm [opt, pm]^
help cup [help, cup]^
top peel [top, peel]^
you poem [you, poem]^
trap lap [trap, lap]^
put pace [put, pace]^
pro pace [pro, pace]^
pit pin [pit, pin]^
in hip [in, hip]^
you plus [you, plus]^
you lap [you, lap]^
pray peel [pray, peel]^
play you [play, you]^
