i<BK> [i, <BK>]^
s1 [s,1]^
4b [4,b]^
9v [9,v]^
w6 [w,6]^
k7 [k,7]^
z<BK> [z, <BK>]^
48 [4, 8]^
pm [p,m]^
fl [f,l]^
0k [0,k]^
q/ [q, slash]^
uk [u,k]^
/e [ slash ,e]^
lk [l,k]^
7f [7,f]^
3b [3,b]^
e4 [e,4]^
yp [y,p]^
5j [5,j]^
d<BK> [d, <BK>]^
g3 [g,3]^
u7 [u,7]^
zu [z,u]^
bg [b,g]^
52 [5, 2]^
ux [u,x]^
h8 [h,8]^
gn [g,n]^
/h [ slash ,h]^
se [s,e]^
n9 [n,9]^
qb [q,b]^
43 [4, 3]^
59 [5, 9]^
<BK>p [<BK>, p]^
l\? [l, question mark]^
<BK>1 [<BK>, 1]^
w<BK> [w, <BK>]^
3j [3,j]^
0/ [0, slash]^
19 [1, 9]^
ay [a,y]^
jn [j,n]^
xi [x,i]^
<BT>f [<BT>, f]^
ma [m,a]^
to [t,o]^
4a [4,a]^
bj [b,j]^
w1 [w,1]^
ae [a,e]^
qa [q,a]^
0e [0,e]^
ig [i,g]^
ub [u,b]^
h<BK> [h, <BK>]^
vi [v,i]^
y2 [y,2]^
wz [w,z]^
q2 [q,2]^
ia [i,a]^
bq [b,q]^
2\? [2, question mark]^
m<BT> [m, <BT>]^
m<BK> [m, <BK>]^
ml [m,l]^
<BK>0 [<BK>, 0]^
<BK>f [<BK>, f]^
<BK>8 [<BK>, 8]^
m7 [m,7]^
uz [u,z]^
07 [0, 7]^
ew [e,w]^
ea [e,a]^
1m [1,m]^
bu [b,u]^
vt [v,t]^
9n [9,n]^
59 [5, 9]^
\?s [ question mark ,s]^
zr [z,r]^
b0 [b,0]^
6g [6,g]^
u<BK> [u, <BK>]^
1m [1,m]^
/<BK> [ slash , <BK>]^
iy [i,y]^
x<BK> [x, <BK>]^
lp [l,p]^
rc [r,c]^
<BK>u [<BK>, u]^
