8\? [8, question mark]^
v<BT> [v, <BT>]^
5<BK> [5, <BK>]^
sw [s,w]^
md [m,d]^
a<BK> [a, <BK>]^
yl [y,l]^
dj [d,j]^
4o [4,o]^
ck [c,k]^
17 [1, 7]^
e<BK> [e, <BK>]^
a<BT> [a, <BT>]^
<BK>/ [<BK>,  slash]^
tx [t,x]^
0<BK> [0, <BK>]^
y/ [y, slash]^
iz [i,z]^
7f [7,f]^
sz [s,z]^
qm [q,m]^
b0 [b,0]^
a4 [a,4]^
lj [l,j]^
<BK>6 [<BK>, 6]^
h<BK> [h, <BK>]^
x/ [x, slash]^
8t [8,t]^
lj [l,j]^
<BK>o [<BK>, o]^
ag [a,g]^
<BT>i [<BT>, i]^
p<BK> [p, <BK>]^
xi [x,i]^
ej [e,j]^
h\? [h, question mark]^
/s [ slash ,s]^
4y [4,y]^
bk [b,k]^
91 [9, 1]^
<BK>f [<BK>, f]^
yz [y,z]^
<BK>l [<BK>, l]^
m<BK> [m, <BK>]^
0/ [0, slash]^
7b [7,b]^
7f [7,f]^
zx [z,x]^
vy [v,y]^
89 [8, 9]^
al [a,l]^
h<BT> [h, <BT>]^
y2 [y,2]^
or [o,r]^
vl [v,l]^
vm [v,m]^
l/ [l, slash]^
ni [n,i]^
k<BK> [k, <BK>]^
rv [r,v]^
/e [ slash ,e]^
<BK>3 [<BK>, 3]^
vo [v,o]^
tv [t,v]^
di [d,i]^
/z [ slash ,z]^
sz [s,z]^
hz [h,z]^
5f [5,f]^
42 [4, 2]^
<BK>k [<BK>, k]^
a<BK> [a, <BK>]^
5d [5,d]^
e/ [e, slash]^
93 [9, 3]^
yx [y,x]^
kr [k,r]^
7<BK> [7, <BK>]^
s6 [s,6]^
bk [b,k]^
si [s,i]^
2q [2,q]^
yl [y,l]^
ef [e,f]^
\?w [ question mark ,w]^
kz [k,z]^
h3 [h,3]^
9l [9,l]^
wo [w,o]^
5<BK> [5, <BK>]^
5m [5,m]^
e1 [e,1]^
2b [2,b]^
cv [c,v]^
q0 [q,0]^
qn [q,n]^
1t [1,t]^
<BK>m [<BK>, m]^
v4 [v,4]^
w7 [w,7]^
/<BK> [ slash , <BK>]^
f8 [f,8]^
<BK>x [<BK>, x]^
fq [f,q]^
4w [4,w]^
38 [3, 8]^
<BK>9 [<BK>, 9]^
db [d,b]^
/y [ slash ,y]^
vx [v,x]^
<BK>b [<BK>, b]^
<BK>0 [<BK>, 0]^
x9 [x,9]^
aq [a,q]^
2p [2,p]^
s<BK> [s, <BK>]^
bc [b,c]^
<BK>h [<BK>, h]^
8m [8,m]^
h3 [h,3]^
sa [s,a]^
\?v [ question mark ,v]^
b/ [b, slash]^
b6 [b,6]^
mh [m,h]^
rj [r,j]^
<BK>6 [<BK>, 6]^
ak [a,k]^
<BK>5 [<BK>, 5]^
\?<BK> [ question mark , <BK>]^
67 [6, 7]^
9r [9,r]^
tc [t,c]^
<BK>g [<BK>, g]^
j<BK> [j, <BK>]^
9g [9,g]^
up [u,p]^
j<BK> [j, <BK>]^
t\? [t, question mark]^
1l [1,l]^
<BK>4 [<BK>, 4]^
<BT>i [<BT>, i]^
r5 [r,5]^
<BT>k [<BT>, k]^
d4 [d,4]^
<BK><BT> [<BK>,  <BT>]^
r<BK> [r, <BK>]^
5y [5,y]^
<BK>k [<BK>, k]^
zm [z,m]^
\?v [ question mark ,v]^
<BK>a [<BK>, a]^
<BK>j [<BK>, j]^
<BT>8 [<BT>, 8]^
d<BK> [d, <BK>]^
wx [w,x]^
74 [7, 4]^
<BK>x [<BK>, x]^
ki [k,i]^
dr [d,r]^
9<BK> [9, <BK>]^
ri [r,i]^
ke [k,e]^
2<BK> [2, <BK>]^
iz [i,z]^
iz [i,z]^
wc [w,c]^
10 [1, 0]^
<BK>4 [<BK>, 4]^
<BK>9 [<BK>, 9]^
n7 [n,7]^
v<BT> [v, <BT>]^
v\? [v, question mark]^
5j [5,j]^
g5 [g,5]^
73 [7, 3]^
da [d,a]^
<BK>s [<BK>, s]^
<BK>k [<BK>, k]^
<BK>2 [<BK>, 2]^
gb [g,b]^
52 [5, 2]^
uv [u,v]^
uj [u,j]^
0g [0,g]^
<BK>i [<BK>, i]^
fq [f,q]^
ts [t,s]^
h<BK> [h, <BK>]^
2q [2,q]^
v<BK> [v, <BK>]^
3a [3,a]^
<BK>y [<BK>, y]^
51 [5, 1]^
f0 [f,0]^
us [u,s]^
kt [k,t]^
0<BK> [0, <BK>]^
o3 [o,3]^
g8 [g,8]^
<BK>i [<BK>, i]^
yd [y,d]^
81 [8, 1]^
y/ [y, slash]^
5/ [5, slash]^
v<BK> [v, <BK>]^
52 [5, 2]^
<BK>r [<BK>, r]^
6u [6,u]^
g5 [g,5]^
8y [8,y]^
sn [s,n]^
1m [1,m]^
gq [g,q]^
l<BK> [l, <BK>]^
ba [b,a]^
<BK>s [<BK>, s]^
uj [u,j]^
49 [4, 9]^
/<BK> [ slash , <BK>]^
89 [8, 9]^
l8 [l,8]^
<BK>3 [<BK>, 3]^
oe [o,e]^
0w [0,w]^
tq [t,q]^
e1 [e,1]^
my [m,y]^
2g [2,g]^
jp [j,p]^
<BK>z [<BK>, z]^
9w [9,w]^
os [o,s]^
pi [p,i]^
rv [r,v]^
<BK>p [<BK>, p]^
l<BK> [l, <BK>]^
bv [b,v]^
pw [p,w]^
<BK>2 [<BK>, 2]^
oe [o,e]^
07 [0, 7]^
v<BT> [v, <BT>]^
ci [c,i]^
l/ [l, slash]^
v2 [v,2]^
<BK>t [<BK>, t]^
<BK>s [<BK>, s]^
xy [x,y]^
k0 [k,0]^
to [t,o]^
<BK>3 [<BK>, 3]^
9k [9,k]^
og [o,g]^
l<BK> [l, <BK>]^
ag [a,g]^
an [a,n]^
h2 [h,2]^
1n [1,n]^
/e [ slash ,e]^
w1 [w,1]^
<BK>o [<BK>, o]^
g5 [g,5]^
kn [k,n]^
x9 [x,9]^
t<BK> [t, <BK>]^
pg [p,g]^
0f [0,f]^
<BK>h [<BK>, h]^
fg [f,g]^
9r [9,r]^
j9 [j,9]^
1/ [1, slash]^
5v [5,v]^
wz [w,z]^
4<BK> [4, <BK>]^
nl [n,l]^
32 [3, 2]^
y<BK> [y, <BK>]^
/u [ slash ,u]^
5i [5,i]^
af [a,f]^
<BK>b [<BK>, b]^
<BK>r [<BK>, r]^
z6 [z,6]^
<BT>p [<BT>, p]^
gt [g,t]^
zi [z,i]^
2o [2,o]^
db [d,b]^
<BK>u [<BK>, u]^
k7 [k,7]^
yl [y,l]^
82 [8, 2]^
e\? [e, question mark]^
w<BK> [w, <BK>]^
t2 [t,2]^
o6 [o,6]^
p/ [p, slash]^
gn [g,n]^
v<BK> [v, <BK>]^
/f [ slash ,f]^
uv [u,v]^
ac [a,c]^
m6 [m,6]^
h7 [h,7]^
fy [f,y]^
<BK>x [<BK>, x]^
<BK>t [<BK>, t]^
ae [a,e]^
pe [p,e]^
<BK>t [<BK>, t]^
r<BK> [r, <BK>]^
n8 [n,8]^
mo [m,o]^
\?7 [ question mark ,7]^
g6 [g,6]^
tf [t,f]^
cw [c,w]^
<BT>p [<BT>, p]^
/5 [ slash ,5]^
<BK>o [<BK>, o]^
ml [m,l]^
<BT>2 [<BT>, 2]^
za [z,a]^
b<BK> [b, <BK>]^
s3 [s,3]^
ze [z,e]^
09 [0, 9]^
<BK>v [<BK>, v]^
kd [k,d]^
m\? [m, question mark]^
g<BK> [g, <BK>]^
2v [2,v]^
5u [5,u]^
c8 [c,8]^
gk [g,k]^
<BK>\? [<BK>,  question mark]^
6l [6,l]^
ul [u,l]^
<BK>v [<BK>, v]^
8<BK> [8, <BK>]^
q5 [q,5]^
yv [y,v]^
16 [1, 6]^
n1 [n,1]^
2\? [2, question mark]^
vu [v,u]^
rm [r,m]^
nt [n,t]^
pm [p,m]^
<BK>o [<BK>, o]^
sb [s,b]^
to [t,o]^
em [e,m]^
yk [y,k]^
rx [r,x]^
4<BK> [4, <BK>]^
\?f [ question mark ,f]^
j9 [j,9]^
d<BT> [d, <BT>]^
wv [w,v]^
sx [s,x]^
ho [h,o]^
hr [h,r]^
e\? [e, question mark]^
a0 [a,0]^
sa [s,a]^
\?1 [ question mark ,1]^
n<BT> [n, <BT>]^
c5 [c,5]^
<BK>o [<BK>, o]^
<BK>x [<BK>, x]^
<BK>s [<BK>, s]^
z7 [z,7]^
d7 [d,7]^
