b<BK> [b, <BK>]^
4v [4,v]^
s6 [s,6]^
l<BK> [l, <BK>]^
r5 [r,5]^
w1 [w,1]^
2\. [2, period]^
9u [9,u]^
9\. [9, period]^
o2 [o,2]^
y<BK> [y, <BK>]^
q\. [q, period]^
d0 [d,0]^
\.3 [ period ,3]^
ef [e,f]^
<BT>x [<BT>, x]^
\.x [ period ,x]^
2\. [2, period]^
v3 [v,3]^
k0 [k,0]^
mi [m,i]^
s\? [s, question mark]^
kn [k,n]^
<BT>0 [<BT>, 0]^
qz [q,z]^
pw [p,w]^
eg [e,g]^
\.r [ period ,r]^
1v [1,v]^
l\. [l, period]^
ur [u,r]^
ge [g,e]^
\.1 [ period ,1]^
n9 [n,9]^
p\. [p, period]^
dh [d,h]^
5<BT> [5, <BT>]^
al [a,l]^
16 [1, 6]^
lh [l,h]^
pe [p,e]^
2y [2,y]^
ae [a,e]^
9b [9,b]^
\.j [ period ,j]^
v5 [v,5]^
rb [r,b]^
9i [9,i]^
f\? [f, question mark]^
<BT>i [<BT>, i]^
x6 [x,6]^
9e [9,e]^
\.m [ period ,m]^
hi [h,i]^
n\? [n, question mark]^
gs [g,s]^
8h [8,h]^
t8 [t,8]^
ni [n,i]^
mt [m,t]^
/5 [ slash ,5]^
tm [t,m]^
u8 [u,8]^
p7 [p,7]^
\.z [ period ,z]^
sm [s,m]^
2u [2,u]^
8s [8,s]^
i\. [i, period]^
<BT>\? [<BT>,  question mark]^
40 [4, 0]^
o5 [o,5]^
bz [b,z]^
4a [4,a]^
\.0 [ period ,0]^
j\. [j, period]^
nh [n,h]^
\.7 [ period ,7]^
1f [1,f]^
x\. [x, period]^
el [e,l]^
47 [4, 7]^
lp [l,p]^
l\. [l, period]^
10 [1, 0]^
wm [w,m]^
2c [2,c]^
ec [e,c]^
/6 [ slash ,6]^
1b [1,b]^
ks [k,s]^
\.w [ period ,w]^
7\. [7, period]^
\?e [ question mark ,e]^
z8 [z,8]^
72 [7, 2]^
de [d,e]^
3u [3,u]^
p/ [p, slash]^
5o [5,o]^
bf [b,f]^
\.k [ period ,k]^
d\. [d, period]^
6b [6,b]^
q\. [q, period]^
bl [b,l]^
<BK>g [<BK>, g]^
xs [x,s]^
/\. [ slash , period]^
ep [e,p]^
b\? [b, question mark]^
aw [a,w]^
h2 [h,2]^
ej [e,j]^
/7 [ slash ,7]^
5\. [5, period]^
i9 [i,9]^
\.0 [ period ,0]^
\.n [ period ,n]^
02 [0, 2]^
<BK>5 [<BK>, 5]^
<BT>b [<BT>, b]^
p1 [p,1]^
ly [l,y]^
8s [8,s]^
nt [n,t]^
8o [8,o]^
ue [u,e]^
fv [f,v]^
au [a,u]^
iv [i,v]^
mi [m,i]^
43 [4, 3]^
j8 [j,8]^
e\. [e, period]^
jx [j,x]^
un [u,n]^
aw [a,w]^
\.n [ period ,n]^
\.3 [ period ,3]^
rf [r,f]^
\.z [ period ,z]^
<BT>3 [<BT>, 3]^
kf [k,f]^
m\. [m, period]^
m\. [m, period]^
2<BK> [2, <BK>]^
u1 [u,1]^
g\. [g, period]^
7g [7,g]^
ed [e,d]^
qk [q,k]^
0n [0,n]^
2d [2,d]^
qy [q,y]^
2\. [2, period]^
j0 [j,0]^
gf [g,f]^
zy [z,y]^
cq [c,q]^
mb [m,b]^
6w [6,w]^
uy [u,y]^
40 [4, 0]^
cu [c,u]^
9s [9,s]^
6s [6,s]^
mh [m,h]^
83 [8, 3]^
bq [b,q]^
9\. [9, period]^
/i [ slash ,i]^
r<BK> [r, <BK>]^
wg [w,g]^
wr [w,r]^
0h [0,h]^
z\. [z, period]^
fg [f,g]^
d2 [d,2]^
qv [q,v]^
nu [n,u]^
kx [k,x]^
\.n [ period ,n]^
2b [2,b]^
wr [w,r]^
/1 [ slash ,1]^
t\. [t, period]^
jq [j,q]^
l2 [l,2]^
3w [3,w]^
\.3 [ period ,3]^
lq [l,q]^
c\. [c, period]^
tk [t,k]^
\.d [ period ,d]^
qp [q,p]^
t5 [t,5]^
fr [f,r]^
\.g [ period ,g]^
85 [8, 5]^
d3 [d,3]^
\?f [ question mark ,f]^
03 [0, 3]^
p7 [p,7]^
go [g,o]^
rm [r,m]^
2h [2,h]^
\.f [ period ,f]^
8m [8,m]^
k/ [k, slash]^
9x [9,x]^
3o [3,o]^
t\. [t, period]^
rf [r,f]^
sq [s,q]^
7b [7,b]^
dq [d,q]^
/6 [ slash ,6]^
fu [f,u]^
<BT>r [<BT>, r]^
4g [4,g]^
kc [k,c]^
dt [d,t]^
\?\. [ question mark , period]^
jy [j,y]^
mn [m,n]^
k6 [k,6]^
\.8 [ period ,8]^
5w [5,w]^
1\. [1, period]^
9\. [9, period]^
9k [9,k]^
c<BT> [c, <BT>]^
mq [m,q]^
z5 [z,5]^
mc [m,c]^
57 [5, 7]^
ir [i,r]^
f9 [f,9]^
q\. [q, period]^
sf [s,f]^
au [a,u]^
b\. [b, period]^
g5 [g,5]^
01 [0, 1]^
yi [y,i]^
8p [8,p]^
3y [3,y]^
b<BK> [b, <BK>]^
\.p [ period ,p]^
1\. [1, period]^
n\. [n, period]^
v3 [v,3]^
6x [6,x]^
y\. [y, period]^
a1 [a,1]^
e\. [e, period]^
xu [x,u]^
pc [p,c]^
b5 [b,5]^
qr [q,r]^
z9 [z,9]^
g4 [g,4]^
v<BT> [v, <BT>]^
l8 [l,8]^
r4 [r,4]^
xp [x,p]^
w\. [w, period]^
0e [0,e]^
\?x [ question mark ,x]^
4c [4,c]^
lu [l,u]^
se [s,e]^
8\? [8, question mark]^
q\. [q, period]^
p<BK> [p, <BK>]^
b<BK> [b, <BK>]^
rp [r,p]^
w\. [w, period]^
ut [u,t]^
74 [7, 4]^
au [a,u]^
e<BK> [e, <BK>]^
\.r [ period ,r]^
qo [q,o]^
\.e [ period ,e]^
<BK>7 [<BK>, 7]^
8r [8,r]^
<BK>h [<BK>, h]^
2y [2,y]^
\.o [ period ,o]^
