Callsign,Section,PH,CW,DI,Mult,Pwr X,Bonus,Claimed Score,Calculated Score,Class
KM4CCB,WV,3,0,0,1,2,3000,3000,3006,2I
KM4ZZN,WV,5,0,28,6,2,3000,3000,3593,2I
KY4KY,KY,155,0,0,3,1, ,465,429,2I
N0CSM,AZ,50,0,0,2,2,3000,3300,3090,3I
N0KVN,UT,247,136,0,10,1,3000,8190,7730,1I
N0OY,KS,594,28,185,9,2,4500,22860,21404,2I
N3IS,EPA,37,0,57,6,2,3000,5114,4009,2I
N3PC,WPA,170,2,52,5,2,1500,4280,3852,3I
N4GAS,NC,362,0,94,5,2,3000,8500,8134,2I
N5JSC,LA,132,0,0,5,2,3000,4320,4210,1I
N8LC,MI,129,20,3,7,2,1500,3950,3787,3I
N8SE,MI,40,0,0,3,2,1500,1740,1719,3I
NA1RA,CT,104,0,0,3,2,1500,2124,2096,2I
NC4OC,NC,112,0,77,7,2,1500,5224,4669,3I
NC4PC,NC,54,0,0,3,2,1500,1824,1768,2I
NN4VA,VA,36,0,0,5,2,1500,1860,1849,1I
VE2CRO,QC,68,172,0,6,2,3000,7944,7468,4I
VE2CWQ,QC,131,0,58,6,2,4500,7464,7133,2I
VE3FRG,ONE,56,0,10,4,2,1500,2108,1960,3I
VE3LON,ONS,30,0,57,4,2,1500,2652,2497,1I
VE3PJ,ONE,433,26,117,20,2,1500,31698,27497,3I
VE3VSA,ONS,15,0,0,2,2,3000,3060,3055,1I
VE3ZM,ONS,61,18,0,4,2,3000,3776,3672,2I
VO1TZ,NL,45,15,0,6,2,3000,3888,3861,2I
W0ARC,IA,68,0,163,6,2,3000,7728,7153,3I
W0AU,MO,26,1,0,5,2,1500,1780,1747,3I
W0BLK,SD,5,0,4,4,2,3000,3248,3248,2I
W0IN,MO,268,0,44,4,2,3000,5848,5574,2I
W0YR,IA,177,6,126,9,2,4500,12438,11767,1I
W1AW,CT,1305,99,0,15,1,1500,33882,22918,3I
W1TU,ME,3,3,0,3,2,0,54,48,1I
W2C,NNY,396,2,66,11,2,3000,9384,13953,3I
W2DQ,NLI,21,0,0,2,2,0,1584,84,2I
W2GSB,NLI,518,8,10,7,2,1500,2217,8347,4I
W2SO,WNY,146,7,84,7,2,1500,6092,5360,6I
W3RRR,EPA,21,55,14,7,2,3000,5226,4892,6I
W4BFB,NC,240,2,25,8,2,1500,6204,5950,2I
W4CN,KY,50,12,140,8,2,4500,7332,9386,2I
W4GR,GA,106,108,99,9,2,1500,19860,9764,4I
W5AWL,NTX,120,132,114,7,2,3000,11568,10490,3I
W5OBM,MS,423,6,0,7,2,3000,9090,8730,3I
W5W,NTX,77,1,45,7,2,4500,7236,6647,4I
W7PIG,WWA,28,5,123,9,2,3000,5850,7408,2I
W8DC,MI,205,0,0,3,2,0,1230,1152,1I
W8LKY,OH,138,17,2,6,2,1500,3612,3266,3I
W8OTC,MI,321,0,0,3,1,3000,3963,3907,3I
W8UKE,OH,101,18,0,3,2,3000,3822,3759,1I
W8VVL,OH,173,10,13,8,2,3000,3504,6136,4I
W9AIM,IN,281,2,17,6,2,1500,5328,4926,4I
W9CUS,WI,54,0,20,4,2,3000,1296,3337,1I
W9JZ,WI,58,171,77,10,2,1500,12580,11224,6I
W9UUU,IL,150,9,100,13,2,3000,12568,11636,4I
WA6JGM,MO,48,66,67,9,2,0,,4356,3I
WA8Q,OH,18,0,0,5,1,0,90,70,1I
WA9MC,IN,40,0,0,2,2,1500,1660,1645,1I
WD5TYL,STX,71,0,48,3,2,1500,2502,2461,4I
WE8J,GA,40,0,0,2,2,3000,3042,3105,1I
WM9W,IL,28,0,0,3,2,3000,3168,3154,4I
WR4EC,SC,39,20,103,8,2,3000,7560,6833,1I
WR9ARC,WI,18,0,0,2,2,3000,3072,3062,2I
WS8G,OH,0,0,69,2,2,1500,1776,1899,1I
WX4SC,SC,14,0,0,2,2,1500,1556,1556,2I
W3SGJ,WPA,208, , ,3,2,3000,4248,4248,2I
 , , , , , , , , , ,
 , , , , , , , , , ,
6Y5IPS,DX,2,0,0,1,4,4500,4508,4498,1O
AB0DK,MO,15,6,0,3,2,3000,3162,3155,2O
AB0TX,KS,112,101,33,7,2,4500,9820,9558,1O
AC8UC,OH,37,0,0,1,2,4500,37,4565,1O
AD0ND,ND,15,4,138,9,4,4500,15264,13293,1O
AD0TZ,KS,13,0,0,1,2,4500,4526,4523,1O
AG5AB,MS,18,0,0,2,4,4500,4608,4644,1O
AG7AA,OR,22,0,0,1,2,4500,4544,4532,1O
AG7GX,UT,8,0,0,1,2,4500,4516,4513,1O
AI6JB,SV,23,0,78,7,2,4500,7006,6861,1O
AI6OU,ORG,3,0,0,2,2,3000,,3007,1O
AJ4UQ,VA,0,1,0,1,4,4500,4508,4508,1O
K0GUZ,CO,1,14,0,3,4,4500,4848,4748,1O
K0PIR,SD,17,0,0,3,2,4500,4684,4588,1O
K0W,CO,21,0,39,5,2,6000,7212,6821,2O
K0WDO,KS,34,3,0,8,4,3000,4440,4115,1O
K1EWE,NFL,11,2,0,3,2,3000,3090,3083,3O
K2MAX,SCV,5,0,0,2,2,3000,3020,3010,1O
K3CTB,MDC,12,0,0,1,2,3000,3076,2994,1O
K3PG,AZ,0,5,0,1,2,4500,4520,4515,1O
K4BO,NFL,292,43,69,8,2,4500,12756,12041,4O
K4GG,WCF,196,37,17,8,2,6000,11472,10311,2O
K4HOG,NFL,338,143,0,8,2,4500,18340,13566,2O
K4KJQ,KY,133,20,0,4,1,4500,5192,5108,5O
K4NRB,NC,319,47,17,7,2,4500,10758,10034,6O
K4OGB,NC,5,0,0,1,2,4500,4510,4504,1O
K4SWG,NFL,218,183,0,5,2,4500,10340,8016,2O
K4WAK,NFL,134,0,92,6,2,4500,7680,7697,2O
K4Y,KY,46,0,0,2,2,4500,4684,4674,3O
K5JTB,AR,23,0,0,2,2,4500,4592,4577,1O
K5K,STX,196,0,98,6,2,3000,7704,7414,1O
K5RWK,NTX,152,33,1,6,2,6000,8640,8255,2O
K6BOS,SDG,17,0,13,3,2,4500,4758,4744,1O
K6GAT,ORG,3,0,0,1,2,4500,4503,4506,1O
K6QWR,ORG,20,0,0,2,2,4500,4632,4555,3O
K7DSC,ID,13,0,83,5,2,4500,6240,6048,2O
K7EAR,AZ,60,9,108,11,2,4500,10792,10133,3O
K7FLG,AZ,0,0,11,1,4,4500,4588,4579,1O
K8BMI,MI,128,9,0,4,2,4500,5668,5578,4O
K8DDT,MI,59,0,3,4,2,4500,5020,4984,1O
K9CU,IL,158,0,0,2,2,4500,5132,5082,2O
K9HMX,IN,53,0,2,4,2,4500,4956,4920,1O
K9LBC,SV,49,0,0,5,2,4500,4990,4891,4O
K9OO,WI,9,0,3,4,2,4500,4620,4611,1O
K9RDT,IN,16,0,0,1,2,4500,4532,4526,1O
KA2SJG,NNY,0,7,0,1,4,4500,4514,4538,1O
KB0ZOM,NE,16,22,0,5,2,4500,5100,5047,1O
KB3DXU,EPA,3,0,0,1,2,4500,4503,4506,2O
KB3MUN,WPA,1,0,0,1,2,4500,4502,4502,1O
KB8BMY,STX,11,0,0,1,4,4500,4544,4534,1O
KC1EYS,EMA,0,2,0,1,4,4500,4516,4516,1O
KC1FOZ,EMA,17,0,0,2,2,4500,4568,4563,2O
KC1GGP,EMA,5,0,0,1,2,,10,10,2O
KC2LM,NM,2,2,26,5,2,,,480,1O
KC2QFT,LAX,1,0,0,1,4,4500,4504,4504,1O
KC2WI,NNY,12,0,0,2,4,4500,4596,4587,1O
KC3TOM,WPA,33,0,0,3,1,4500,4599,4595,1O
KC7DM,OR,3,16,0,4,4,4500,5060,4878,1O
KC9BKS,IL,3,0,0,1,4,3000,3012,3012,1O
KC9CND,IN,219,0,0,1,2,4500,4930,4896,1O
KC9YVL,WI,40,0,0,3,2,1500,,1719,1O
KD6HOF,SV,29,0,8,3,2,4500,4770,4736,1O
KD6VKW,SDG,16,0,0,2,4,3000,3128,3128,1O
KD8RSJ,MI,95,0,0,3,2,4500,5070,5035,1O
KD9IPZ,IN,86,0,8,3,2,4500,5112,5023,4O
KE6MT,SCV,4,0,0,2,4,4500,4532,4523,1O
KF5THB,NTX,33,0,0,2,2,4500,64,4627,1O
KG4MYD,NC,7,0,32,3,2,4500,4926,4887,2O
KG7HTE,OR,20,0,0,4,2,4500,4660,4633,1O
KG7KKE,ID,13,0,2,3,4,4500,4704,4691,2O
KG7WFQ,WWA,1,0,0,1,2,4500,4502,4502,1O
KI4ITI,AL,139,15,103,13,2,4500,14250,13373,2O
KK5HT,NTX,8,21,0,3,2,4500,4800,4800,1O
KK6UDF,ORG,2,0,0,1,4,4500,4508,4503,1O
KM3GWR,AL,14,0,0,2,2,3000,3056,3046,2O
KM4IZZ,TN,72,0,0,3,2,3000,3144,3313,1O
KM4OUS,EPA,133,0,0,1,2,4500,4766,4730,1O
KM4PHI,NFL,5,0,0,1,2,4500,4506,4510,1O
KM4YSC,GA,1,0,0,1,2,4500,4502,4502,1O
KM6LON,ORG,2,0,0,1,4,4500,4508,4508,1O
KT5TX,STX,127,0,18,5,2,3000,3815,4476,4O
KU6S,EB,21,1,0,4,2,4500,5112,4666,3O
KV4AC,AL,2,62,0,5,2,4500,5760,5718,1O
KW4LY,KY,22,0,0,2,4,,176,168,1O
N0AIS,MN,0,5,0,1,4,4500,4540,4531,1O
N0ECK,MN,10,10,10,30,4,1500,10500,7500,1O
N0EVH,MO,21,11,0,6,2,4500,5016,4952,2O
N1BOX,ME,30,0,42,6,2,4500,5868,5729,2O
N1ECC,EMA,34,0,0,3,2,3000,3204,3197,1O
N1STV,EMA,17,0,0,1,2,,,32,1O
N1UNH,NH,6,0,0,2,4,,,48,1O
N2RDX,WCF,7,0,2,3,2,4500,4566,4566,1O
N3CKI,NC,0,23,0,2,2,4500,4684,4666,1O
N3GWZ,MDC,5,5,0,2,4,4500,4620,4603,1O
N3MDG,VA,11,0,0,1,2,4500,4522,4513,1O
N3OS,WCF,7,11,0,5,4,4500,5080,4977,1O
N3PEC,EPA,29,0,24,5,2,4500,5270,5214,1O
N4CVG,KY,30,7,28,5,2,4500,5500,5352,3O
N4FA,SFL,33,0,0,2,2,4500,4632,4577,1O
N4FR,TN,123,291,70,9,2,4500,19710,16853,4O
N4LNR,NC,66,23,0,5,2,4500,5620,5407,2O
N4Y,NFL,20,20,21,9,4,6000,9672,8722,2O
N5OAK,STX,212,26,0,6,2,6000,9120,8832,4O
N5XU,STX,5,0,0,1,2,4500,4510,4507,1O
N6AN,SB,0,28,0,2,4,4500,4948,4812,1O
N7HQR,OR,33,0,4,3,2,6000,6328,6225,1O
N7Q,AZ,705,33,119,21,2,6000,50440,45902,4O
N8SL,MI,594,0,30,5,2,6000,12540,12200,3O
N9EDV,WI,4,0,0,1,2,3000,,3005,1O
N9OU,WCF,41,1,3,6,2,3000,3588,3575,1O
NA4DC,SFL,178,26,0,5,1,3000,4140,3932,4O
NC4TX,NC,19,0,0,2,2,4500,4576,4551,3O
ND9E,MO,496,14,84,13,2,4500,22310,21180,2O
ND9Q,WI,3,1,33,4,4,4500,6516,6516,1O
NG1R,CT,0,125,0,3,2,3000,4464,4422,10
NN4SA,AL,102,10,48,12,2,4500,9732,9163,1O
NW2C,NLI,78,11,24,5,2,4500,5980,5863,1O
NX0G,CO,62,0,0,3,2,4500,4872,4830,2O
VA2NDX,QC,6,47,0,4,2,4500,5300,5266,1O
VE1PVH,MAR,7,8,0,4,2,4500,4684,4658,1O
VE2CWI,QC,23,204,0,6,2,6000,10932,10608,2O
VE3DQN,ONE,0,11,0,1,4,4500,4588,4579,1O
VE3EFQ,ONS,12,0,8,5,2,4500,4920,4747,1O
VE3FAL,ONN,2,1,0,2,4,4500,4532,4515,1O
VE3LS,ONS,153,0,0,3,2,4500,5418,5299,2O
VE3OKV,GTA,131,0,20,8,2,4500,7236,5666,3O
VE3RB,ONE,383,25,0,6,2,4500,9660,9257,2O
VE3YRA,GTA,143,2,94,7,2,6000,10690,10222,3O
VE7NA,BC,33,12,0,3,2,4500,4842,4788,1O
VE7NSR,BC,14,22,0,6,2,4500,5196,5064,2O
W0FW,SD,17,0,16,4,4,6000,6980,6718,1O
W0KNG,MO,60,0,0,2,2,3000,3378,3210,10
W0WX,MN,360,10,56,30,2,4500,33960,32075,3O
W0YES,MN,34,0,0,2,2,4500,4636,4611,10
W1IZZ,EMA,30,0,28,4,4,3000,4376,4043,1O
W1NRG,CT,38,2,0,4,2,4500,4836,4818,1O
W1SYE,RI,733,292,68,11,2,6000,37966,35743,2O
W2LRC,NLI,5,22,0,3,2,3000,3294,3268,1O
W2NPT,NNJ,75,49,0,5,2,4500,6230,6059,2O
W3ACH,WPA,156,24,8,7,2,4500,7580,5990,3O
W3LP,EPA,28,34,0,6,4,4500,6804,6313,3O
W4AM,TN,123,77,44,10,2,4500,11800,10932,2O
W4BUG,SFL,148,0,0,2,1,4500,4792,4736,2O
W4CA,VA,415,0,0,3,2,4500,6990,6787,3O
W4CAE,SC,169,0,0,3,2,4500,4840,5367,5O
W4CRG,NC,10,0,0,2,4,4500,4580,4553,1O
W4CVY,GA,318,11,69,10,2,6000,15520,14664,3O
W4D,NFL,299,4,0,8,2,6000,10912,10641,1O
W4DAA,NA,215,0,0,3,2,4500,5790,5069,1O
W4DEX,NC,276,0,0,4,2,4500,6708,6618,1O
W4GMF,VA,82,6,7,13,2,6000,9270,8486,2O
W4K,TN,427,138,38,8,2,4500,16964,15980,3O
W4OT,SFL,7,24,10,4,2,4500,5100,5100,4O
W4POT,NFL,8,0,0,2,4,3000,3064,3055,1O
W4SNC,NC,89,0,37,5,2,6000,7630,7501,4O
W4TA,WCF,416,3,8,8,2,6000,13920,12264,3O
W4WJP,SC,13,0,0,2,2,4500,4552,4537,1O
W5BCR,NTX,17,0,0,3,2,4500,4602,4588,1O
W5FC,NTX,19,0,27,5,2,4500,5230,5103,3O
W5JCR,NTX,127,0,4,5,4,4500,7200,6888,3O
W5KS,OK,65,19,0,4,2,3000,3824,3797,4O
W5M,MS,107,0,42,7,2,3000,5292,5409,3O
W5NOR,OK,187,135,0,6,2,4500,9984,7908,2O
W5RRR,STX,248,75,32,7,2,4500,10968,10078,3O
W5SH,NTX,134,0,100,6,2,4500,8508,8139,5O
W6F,SJV,30,8,0,5,2,6000,,6365,1O
W6TJ,ORG,9,0,33,2,2,4500,4800,4746,3O
W6ZE,ORG,544,59,71,17,2,6000,33336,30869,4O
W6ZQ,AZ,31,0,0,1,2,4500,4593,4556,1O
W7A,WWA,10,0,14,4,2,4500,4804,4701,2O
W7CO,OR,45,0,0,1,2,4500,4590,4575,2O
W7ED,MT,214,0,0,3,2,,5760,1176,1O
W7V,AZ,109,0,92,6,2,6000,10116,9001,4O
W7VMI,WWA,8,0,8,3,2,4500,4644,4585,2O
W8F,OH,106,0,0,3,2,3000,3636,3601,1O
W8FT,OH,6,0,0,1,2,4500,4512,4509,2O
W8ISH,FL,1,0,0,1,2,4500,4502,4502,1O
W9AFQ,WI,11,0,0,2,2,4500,4544,4534,1O
W9VCF,IN,50,0,0,1,2,4500,,4591,3O
WA2MJM,ENY,77,0,0,5,2,4500,4922,5127,3O
WA4T,WCF,0,16,33,3,2,,354,456,2O
WA5DCT,NTX,50,5,0,3,4,4500,5220,5142,1O
WA5IEK,MS,16,8,2,8,2,4500,5076,4927,1O
WA5MWD,NTX,3,0,0,1,2,1500,1506,1506,1O
WA9JG,STX,63,1,124,8,2,4500,9508,8863,2O
WA9Z,IA,0,232,0,3,2,3000,4962,5498,1O
WB2RIS,NC,5,0,0,2,2,,,20,1O
WB3GCK,EPA,4,38,0,3,4,4500,5460,5410,1O
WD5DDH,NTX,200,0,0,3,2,4500,5700,5560,2O
WI1G,EMA,40,0,0,3,4,4500,4980,4954,1O
WM7RC,AZ,110,0,25,5,2,4500,6100,5452,3O
WS1EC,ME,178,25,0,9,1,4500,11052,6326,3O
W6BSD,SCV,22,0,2,2,2,4500,4612,4549,1O
WW1VT,VT,104,0,12,5,2,4500,5780,5606,2O
WX5DC,STX,21,0,13,3,4,3000,3564,3438,1O
K3MRK,EPA,11,0,0,2,4,4500,4588,4588,1O
K4DSO,AL,176,0,0,6,2,4500,5514,5562,3O
K0SEK,KS,337,0,72,5,2,3000,7810,7307,2O
W3SGJ,WPA,372,,,4,2,3000,5976,5976,1O
W0A,CO,93,,,2,2,4500,4872,4872,
K7UVA,UT,30,,46,,,4500,5492,5492,3O
AA2CQ,ENY,18,0,0,1,2,1500,1536,1536,1H
AA2Y,ENY,0,16,0,2,2,,128,120,1H
A4OM,AL,11,0,0,1,4,1500,1544,1539,1H
AA6SF,SF,7,0,0,2,2,,7,28,1H
AA8DC,OH,37,0,0,3,1,,111,105,1H
AA9F,IL,6,6,0,2,2,,,72,1H
AB1ZQ,VT,11,0,23,4,2,,456,352,1H
AB5XM,STX,0,0,2,1,2,,,8,1H
AC0IU,IA,30,0,0,3,2,,93,132,1H
AC8NP,OH,20,0,5,4,2,,240,184,1H
AC9EZ,IN,14,1,0,3,2,,,84,1H
AE1T,NH,12,2,0,3,2,,96,96,1H
AE4TH,VA,14,0,0,3,2,,84,84,1H
AF5Q,OK,278,29,0,10,2,3000,9720,9303,1H
AG4YL,GA,45,0,0,2,2,1500,1680,1665,1H
AG6AG,SB,39,0,0,3,2,,550,222,1H
AG6JN,ORG,2,0,29,3,2,1500,1660,1769,1H
AG6TT,EB,2,0,0,1,2,,4,4,1H
AI3KS,EPA,0,12,6,3,2,,216,216,1H
AI6DO,LAX,0,2,0,1,2,,1508,8,1H
K0ARG,CO,3,0,0,1,4,,12,12,1H
K0LTC,MN,52,0,30,6,2,,648,1164,2H
K0WPM,KS,270,0,0,4,1,,1080,1028,1H
K0WRY,KS,0,32,0,2,2,,256,240,1H
K1AUS,MT,6,0,0,1,2,,12,12,1H
K1MTD,CT,41,0,0,3,2,,,222,1H
K1NPT,RI,12,0,7,5,2,,260,240,1H
K1SO,VA,70,0,0,2,2,,280,264,1H
K1WCC,EMA,140,0,0,3,2,,280,786,1H
K2RYD,NLI,260,0,0,2,1,,510,504,1H
K2VN,NLI,171,189,148,9,2,1500,16710,15371,3H
K4ARQ,NFL,0,10,0,3,4,1500,1740,1690,1H
K4CAE,SC,186,0,0,4,1,,744,696,1H
K4EET,MDC,7,0,0,1,2,,14,12,1H
K4F,NC,146,0,0,3,2,,876,774,2H
K4JDF,MDC,32,0,0,2,1,,64,60,1H
K4LDC,GA,68,0,2,4,2,,576,560,1H
K4OBI,NC,95,0,193,6,2,,5772,4920,2H
K4OTH,NC,27,76,49,9,2,1500,2716,5558,1H
K4RT,VA,13,7,0,4,2,,112,192,1H
K4VBM,GA,38,0,0,3,2,,76,204,1H
K4YTZ,SC,251,231,57,14,2,,23156,20860,4H
K5DSM,STX,38,0,0,2,2,,76,140,1H
K5LVL,MS,406,0,0,3,2,,2170,2202,1H
K5TXM,NTX,430,0,0,3,2,,2580,2442,1H
K6MBD,SV,3,1,0,2,2,,20,20,1H
K6OWS,EB,24,0,0,1,2,,,46,1H
K6WSC,AZ,0,150,0,3,2,,1752,1632,1H
K7DBN,UT,25,3,0,3,2,,186,180,1H
K7HKR,AZ,5,0,0,2,4,1500,1540,1522,1H
K7PCB,UT,0,0,11,3,2,1500,1632,1632,1H
K7XE,SV,40,0,0,3,2,,240,216,1H
K8EEN,OH,104,25,0,6,2,,1848,1644,2H
K8PRC,OH,24,28,3,8,2,,1376,1152,1H
K8RJW,OH,0,21,0,2,4,,336,272,1H
K8ZT,OH,8,9,0,5,4,1500,2020,1938,1H
K9ABR,IL,40,0,0,2,2,,160,160,1H
K9DY,SFL,14,0,0,2,2,,56,52,1H
K9GDF,WI,0,33,0,3,2,,198,300,1H
K9ILS,IL,184,0,0,3,2,,1104,1050,2H
K9TIT,WI,5,0,41,4,2,1500,2196,2128,2H
KA1PPV,CT,0,0,22,2,4,,,352,1H
KA2D,NLI,8,10,80,7,2,,1316,2352,1H
KA2QPG,WPA,8,7,0,5,2,,,210,1H
KA3EAJ,EPA,0,26,0,3,4,1500,2124,2049,1H
KA3EHL,VA,29,6,0,2,4,,828,160,1H
KA3PMW,WPA,4,1,6,3,2,,108,72,1H
KA4OTB,TN,106,0,0,2,1,,212,202,1H
KA4TLC,NC,400,1,4,4,1,1500,3140,3042,1H
KA9GDW,TN,41,0,0,1,2,,82,76,1H
KB0QGT,KS,3,0,0,1,2,,,6,1H
KB0YD,UT,7,0,14,4,2,,252,256,1H
KB1VUN,NH,2,0,15,2,2,,120,88,1H
KB2F,AL,266,0,0,3,2,,1596,1506,1H
KB2GD,WNY,14,0,0,2,2,,56,56,1H
KB3IPZ,EPA,3,0,0,1,2,,6,6,1H
KB4DE,SC,0,7,0,2,2,,28,48,1H
KB6UNC,UT,208,35,0,7,2,,3892,3668,1H
KB8ZR,OH,21,0,0,1,2,,42,38,1H
KB9EWG,WI,15,0,0,2,2,,60,60,1H
KC0CAU,ND,23,0,0,3,2,,138,126,1H
KC0JRW,NE,59,0,45,4,2,,416,984,1H
KCOTAF,MN,0,0,49,3,2,,,516,1H
KC1CUE,RI,121,0,0,4,1,,484,444,2H
KC2PDO,NNJ,11,0,0,2,2,,,44,1H
KC2QJB,NNJ,11,0,0,3,2,,66,66,1H
KC2VPE,NNJ,7,0,0,2,2,,,28,1H
KC3AIV,WPA,16,0,14,4,2,,352,312,1H
KC3ESH,EPA,17,0,0,3,2,,102,90,1H
KC3GSV,EPA,15,0,0,3,2,,90,78,1H
KC3JNW,EPA,18,0,0,3,2,1500,1608,1608,1H
KC4EZN,NC,0,0,45,3,2,,552,456,1H
KC5MAY,NTX,22,0,0,2,2,,88,76,1H
KC6WOT,SB,27,0,0,3,2,,162,156,1H
KC7FCW,WWA,25,1,0,4,4,,432,416,1H
KC8LGR,WV,115,0,0,3,2,,690,648,1H
KC9BG,IL,2,0,0,1,2,,4,2,1H
KC9PUX,IN,64,0,58,6,2,3000,5160,4833,1H
KC9WAV,IN,37,0,0,2,2,,1074,104,1H
KD0JLE,CO,170,0,0,3,1,,510,495,1H
KDORIY,NE,37,0,1,4,2,,156,312,1H
KD2DXI,NNY,98,0,0,4,2,,784,752,1H
KD2KEH,WNY,9,7,8,5,2,,390,370,1H
KD2KSG,WNY,31,0,0,2,2,,124,112,1H
KD2LMW,NNY,27,0,2,4,1,,124,108,1H
KD4DRJ,SC,56,0,0,3,1,,168,153,1H
KD4EMU,VA,65,0,0,3,1,1500,1695,1659,1H
KD4QMY,GA,35,0,0,2,2,,,136,1H
KD5ILA,AR,22,0,54,6,2,,1560,1260,1H
KD5OHT,AR,13,0,0,3,2,,39,66,1H
KD7QOT,WPA,140,4,52,8,2,,3528,3664,1H
KD8TNS,OH,9,0,0,1,2,1500,1518,1518,1H
KEOBRZ,MN,12,0,44,6,2,,1200,1044,1H
KE0CLP,MN,135,0,0,3,2,,810,786,1H
KE0EK,KS,0,135,0,3,1,,810,732,1H
KE0FKE,WI,42,0,0,6,2,1500,2004,1881,1H
KE0ITC,IA,56,0,0,3,2,,108,288,1H
KE0JYJ,NE,6,0,0,1,2,,12,12,1H
KE0KKD,IA,439,0,0,3,1,,,1101,1H
KE0MPG,MO,11,0,0,1,1,,,10,1H
KE2D,SNJ,14,16,0,3,2,,276,246,1H
KE3K,MI,47,55,0,6,2,,1884,1692,1H
K35IRK,OK,1,0,0,1,2,,1,2,1H
KE5NJ,DE,75,0,0,2,2,,75,248,1H
KE5RUJ,NTX,11,0,0,2,2,,44,40,1H
KE7FIY,ID,23,0,20,3,2,,378,300,1H
KE7GKI,AZ,15,0,0,2,2,,,28,1H
KE8HEA,OH,161,0,1,5,2,,1304,1530,1H
KF0JB,CO,13,0,20,5,2,1500,2030,1956,1H
KF5ZNQ,STX,102,0,0,1,1,,102,100,1H
KF6CRW,ID,18,0,17,5,4,3000,4040,3814,1H
KF7E,AZ,9,9,0,18,2,,972,972,1H
KG4WEZ,MDC,25,0,0,3,2,1500,3050,1580,1H
KG5FPU,OK,0,0,41,2,2,,328,200,1H
KG6LHW,SF,114,0,0,2,2,1500,1956,1901,1H
KI4CJT,KY,80,15,23,6,2,1500,3372,3107,1H
KI4LEH,NFL,11,0,0,2,2,,44,44,1H
KI4TXP,SFL,15,0,0,2,2,,60,56,1H
KI5LR,STX,5,12,0,4,2,,116,208,1H
KI6OY,EB,2,21,0,4,2,,352,272,1H
KI7AAY,WWA,26,0,0,1,2,,50,48,1H
KI7FXJ,OR,7,0,0,2,2,,28,28,1H
KI7QVR,AZ,76,0,0,1,2,,152,124,1H
KJ4KKD,TN,55,0,0,3,2,,330,282,1H
KJ6TTR,SB,0,0,12,2,2,,96,72,1H
KK4ADQ,VA,19,0,0,1,2,,,32,1H
KK4ECU,TN,12,2,140,7,2,,4144,3654,1H
KK4QAM,AL,36,16,0,5,2,,412,630,1H
KK4TCE,VA,34,0,0,2,1,,68,66,1H
KK6VZE,SF,1,0,0,1,2,,2,2,1H
KM2O,ENY,62,0,0,1,2,,124,120,1H
KM4FLU,NC,8,0,0,2,2,,32,32,1H
KM4QE,SC,24,0,0,1,2,,48,42,1H
KM4QXN,NFL,17,0,0,1,2,,34,28,1H
KM4SUI,NFL,2,0,5,2,2,,48,44,1H
KM4UKP,NC,14,15,50,12,2,1500,4956,4319,1H
KM6DOV,SCV,5,0,14,5,2,,95,270,1H
KN4BAR,WCF,8,0,18,4,2,,376,248,1H
KN4DUS,WCF,43,0,0,3,2,,258,228,1H
KN4GVU,AL,36,0,0,3,1,,108,102,1H
KR4NO,SC,29,0,0,3,2,,174,174,1H
KR5QA,NTX,21,0,0,1,1,,,16,1H
KS0B,MO,17,0,0,2,2,,68,68,2H
KS3N,WPA,161,0,0,4,2,,1288,1240,1H
